Sent_ID	Token_ID	Corr_token	Orig_token	Lemma	POS
s11	w344	D.	D.	D.	NE
s11	w345	Georg	Georg	Georg	NE
s11	w346	Henning	Henning	Henning	NE
s11	w347	Behrens	Behrens	Behrens	NE
s11	w348	Physici	Physici	Physici	NE
s11	w349	Subordinati	Subordinati	Subordinati	NE
s11	w34a	zu	zu	zu	APPR
s11	w34b	Nordhausen	Nordhauſen	Nordhausen	NE
s11	w34c	Hercinia	Hercinia	Hercinia	NE
s11	w34d	Kuriosa	Curiosa	Kuriosum	NN
s11	w34e	oder	od’	oder	KON
s11	w34f	Kurieuser	Curieuser	Kurieuser	NN
s11	w350	Hartz	Hartz	Hartz	NE
s11	w351	Wurde	Ward	werden	VAFIN
s11	w352	das	das	die	PDS
s11	w353	ist	iſt	sein	VAFIN
s11	w354	Beschreibung	Beſchreibung	Beschreibung	NN
s11	w355	derer	derer	die	PDS
s11	w356	Curieusen	Curieusen	Curieusen	NN
s11	w357	an	an	an	APPR
s11	w358	und	und	und	KON
s11	w359	auf	auf	auf	APPR
s11	w35a	dem	dem	d	ART
s11	w35b	Harß	Harß	Harß	NN
s11	w35c	gelegenen	gelegenen	gelegen	ADJA
s11	w35d	Holen	Holen	Holen	NN
s11	w35e	Seen	Seen	See	NN
s11	w35f	Hergen	Hergen	Hergen	NN
s11	w360	u.	u.	u.	APPR
s11	w361	anderen	andern	andere	PIS
s11	w362	daselbst	daſelbſt	daselbst	PAV
s11	w363	an	an	an	APPR
s11	w364	zutreffende	zutreffende	zutreffend	ADJA
s11	w365	Kuriositäten	Curioſitæten	Kuriosität	NN
s11	w366	.	.	.	$.
s12	w367	Nordhausen	Nordhauſen	Nordhausen	NE
s13	w368	Beij	Beij	Beij	NE
s13	w369	Carl	Carl	Carl	NE
s13	w36a	Christian	Chriſtian	Christian	NE
s13	w36b	Neuenhahn	Neuenhahn	Neuenhahn	NN
s13	w36c	Buchend	Buchänd	buchen	VVPP
s13	w36d	:	:	:	$.
s1	w1	HERCYNIA	HERCYNIA	Hercynia	NE
s1	w2	Kuriosa	CURIOSA	Kuriosum	NN
s1	w3	,	,	,	$,
s1	w4	oder	oder	oder	KON
s1	w5	Kurioser	Curiöſer	kurios	ADJA
s1	w6	Hartz-Wald	Hartz-Wald	Hartz-Wald	NN
s1	w7	/	/	/	$(
s1	w8	Das	Das	die	PDS
s1	w9	ist	iſt	sein	VAFIN
s1	wa	Sonderbare	Sonderbahre	sonderbar	ADJA
s1	wb	Beschreibung	Beſchreibung	Beschreibung	NN
s1	wc	und	und	und	KON
s1	wd	Verzeichnis	Verzeichnis	Verzeichnis	NN
s1	we	Derer	Derer	Derer	ADJA
s1	wf	Kuriosen	Curiöſen	kurios	ADJA
s1	w10	Höhlen	Hoͤlen	Höhle	NN
s1	w11	/	/	/	$(
s1	w12	Seen	Seen	See	NN
