Sent_ID	Token_ID	Corr_token	Orig_token	Lemma	POS
s1	w1	Die	Die	d	ART
s1	w2	Herrnhuterei	Herrnhuterey	Herrnhuterei	NN
s1	w3	in	in	in	APPR
s1	w4	ihrer	ihrer	ihr	PPOSAT
s1	w5	Schalkheit	Schalkheit	Schalkheit	NN
s1	w6	/	/	/	$(
s1	w7	wo	wo	wo	PWAV
s1	w8	die	die	d	ART
s1	w9	schädliche	ſchaͤdliche	schädlich	ADJA
s1	wa	Irgeisterey	Irgeiſterey	Irgeisterey	NN
s1	wb	des	des	d	ART
s1	wc	Herrn	Herrn	Herr	NN
s1	wd	Grafen	Grafen	Graf	NN
s1	we	von	von	von	APPR
s1	wf	Zinzendorf	Zinzendorf	Zinzendorf	NE
s1	w10	aus	aus	aus	APPR
s1	w11	dessen	deſen	die	PDS
s1	w12	neuesten	neueſten	neu	ADJA
s1	w13	Schriften	Schriften	Schrift	NN
s1	w14	entdecket	entdecket	entdecken	VVFIN
s1	w15	wird	wird	werden	VAFIN
s1	w16	von	von	von	APPR
s1	w17	D.	D.	D.	NE
s1	w18	Johann	Johann	Johann	NE
s1	w19	Hermann	Hermann	Hermann	NE
s1	w1a	Benner	Benner	Benner	NE
s1	w1b	Fürstl.	Fuͤrſtl.	Fürstl.	NE
s1	w1c	Hess	Heſſ	Hess	NE
s1	w1d	.	.	.	$.
s2	w1e	Prof.	Prof.	Prof.	NN
s2	w1f	und	und	und	KON
s2	w20	Superint.	Superint.	Superint.	NN
s2	w21	Zweiter	Zweiter	zweit	ADJA
s2	w22	Teil	Theil	Teil	NN
s2	w23	.	.	.	$.
s3	w24	Giesen	Gieſen	Giesen	NE
s3	w25	/	/	/	$(
s3	w26	bei	bey	bei	APPR
s3	w27	Joh.	Joh.	Joh.	NE
s3	w28	Philipp	Philipp	Philipp	NE
s3	w29	Krieger	Krieger	Krieger	NN
s3	w2a	.	.	.	$.
s3	w2b	1747	1747	1747	CARD
s3	w2c	.	.	.	$.
s40	w59f	Vorrede	Vorrede	Vorrede	NN
s40	w5a0	.	.	.	$.
s4	w2d	Streitschriften	STreitſchriften	Streitschrift	NN
s4	w2e	sind	ſind	sein	VAFIN
s4	w2f	mein	mein	mein	PPOSAT
s4	w30	liebstes	liebſtes	lieb	ADJA
s4	w31	Geschäfte	geſchaͤfte	Geschäft	NN
s4	w32	nicht	nicht	nicht	PTKNEG
s4	w33	.	.	.	$.
s5	w34	Aber	Aber	aber	KON
s5	w35	ich	ich	ich	PPER
s5	w36	liebe	liebe	lieben	VVFIN
s5	w37	doch	doch	doch	ADV
s5	w38	die	die	d	ART
s5	w39	Wahrheit	warheit	Wahrheit	NN
s5	w3a	,	,	,	$,
s5	w3b	und	und	und	KON
s5	w3c	setze	ſetze	setzen	VVFIN
s5	w3d	meinen	meinen	meine	PPOSAT
s5	w3e	beruf	beruf	Berufen	NN
s5	w3f	nicht	nicht	nicht	PTKNEG
s5	w40	vorsätzlich	fuͤrſetzlich	vorsätzlich	ADJD
s5	w41	aus	aus	aus	APPR
s5	w42	den	den	d	ART
s5	w43	Augen	augen	Auge	NN
s5	w44	.	.	.	$.
s6	w45	Wenn	Wenn	wenn	KOUS
s6	w46	man	man	man	PIS
s6	w47	in	in	in	APPR
s6	w48	dem	dem	d	ART
s6	w49	benachbarten	benachbarten	benachbart	ADJA
s6	w4a	Herrnhag	Herrnhag	Herrnhag	NN
s6	w4b	,	,	,	$,
s6	w4c	oder	oder	oder	KON
s6	w4d	Marienborn	Marienborn	Marienborn	NE
s6	w4e	könnte	koͤnte	können	VMFIN
s6	w4f	stille	ſtille	still	ADV
s6	w50	sein	ſeyn	sein	VAINF
s6	w51	,	,	,	$,
s6	w52	so	ſo	so	ADV
s6	w53	wollte	wolte	wollen	VMFIN
s6	w54	ich	ich	ich	PPER
s6	w55	mit	mit	mit	APPR
s6	w56	Freuden	freuden	Freude	NN
s6	w57	schweigen	ſchweigen	schweigen	VVINF
s6	w58	.	.	.	$.
s7	w59	O	O	O	NE
s7	w5a	wie	wie	wie	KOKOM
s7	w5b	vollkommen	vollkommen	vollkommen	ADJD
s7	w5c	würde	wuͤrde	werden	VAFIN
s7	w5d	mein	mein	mein	PPOSAT
s7	w5e	Wunsch	wunſch	Wunsch	NN
s7	w5f	erfüllet	erfuͤllet	erfüllen	VVFIN
s7	w60	,	,	,	$,
s7	w61	wann	wann	wann	PWAV
s7	w62	sich	ſich	sich	PRF
s7	w63	die	die	d	ART
s7	w64	Wahrheit	warheit	Wahrheit	NN
s7	w65	endlich	endlich	endlich	ADV
s7	w66	an	an	an	APPR
s7	w67	denen	denen	die	PDS
s7	w68	bezeugen	bezeugen	bezeugen	VVFIN
s7	w69	wollte	wolte	wollen	VMFIN
s7	w6a	,	,	,	$,
s7	w6b	die	die	die	PRELS
s7	w6c	sich	ſich	sich	PRF
s7	w6d	ein	ein	eine	ART
s7	w6e	Geschäfte	geſchaͤfte	Geschäft	NN
s7	w6f	daraus	daraus	daraus	PAV
s7	w70	machen	machen	machen	VVINF
s7	w71	,	,	,	$,
s7	w72	sie	ſie	sie	PPER
s7	w73	mehr	mehr	mehr	ADV
s7	w74	und	und	und	KON
s7	w75	mehr	mehr	mehr	ADV
s7	w76	zu	zu	zu	PTKZU
s7	w77	unterdrücken	unterdruͤken	unterdrücken	VVINF
s7	w78	.	.	.	$.
s8	w79	Aber	Aber	aber	KON
s8	w7a	seit	ſeit	seit	APPR
s8	w7b	vielen	vielen	viel	PIAT
s8	w7c	Jahrhunderten	jahrhunderten	Jahrhundert	NN
s8	w7d	weiß	weiß	wissen	VVFIN
s8	w7e	man	man	man	PIS
s8	w7f	keine	keine	keine	PIAT
s8	w80	Sekte	ſekte	Sekte	NN
s8	w81	,	,	,	$,
s8	w82	welche	welche	welche	PRELS
s8	w83	mit	mit	mit	APPR
s8	w84	größerer	groͤſerer	groß	ADJA
s8	w85	arglist	argliſt	Arglist	NN
s8	w86	das	das	d	ART
s8	w87	letzte	letzte	letzte	ADJA
s8	w88	unternommen	unternommen	unternehmen	VVPP
s8	w89	hat	hat	haben	VAFIN
s8	w8a	,	,	,	$,
s8	w8b	als	als	als	KOUS
s8	w8c	die	die	d	ART
s8	w8d	Synagoge	ſynagoge	Synagoge	NN
s8	w8e	des	des	d	ART
s8	w8f	Herrn	Herrn	Herr	NN
s8	w90	Grafen	Grafen	Graf	NN
s8	w91	von	von	von	APPR
s8	w92	Zinzendorf	Zinzendorf	Zinzendorf	NE
s8	w93	.	.	.	$.
s9	w94	So	So	so	ADV
s9	w95	nennt	nennet	nennen	VVFIN
s9	w96	er	er	er	PPER
s9	w97	selbst	ſelbſt	selbst	ADV
s9	w98	die	die	d	ART
s9	w99	Partie	parthie	Partie	NN
s9	w9a	verführter	verfuͤhrter	verführt	ADJA
s9	w9b	Menschen	menſchen	Mensch	NN
s9	w9c	,	,	,	$,
s9	w9d	die	die	die	PRELS
s9	w9e	er	er	er	PPER
s9	w9f	fast	faſt	fast	ADV
s9	wa0	in	in	in	APPR
s9	wa1	allen	allen	alle	PIAT
s9	wa2	teilen	theilen	teilen	VVFIN
s9	wa3	der	der	d	ART
s9	wa4	Welt	welt	Welt	NN
