Sent_ID	Token_ID	Corr_token	Orig_token	Lemma	POS
s1	w1	Carl	Carl	Carl	NE
s1	w2	Philipp	Philipp	Philipp	NE
s1	w3	Emanuel	Emanuel	Emanuel	NE
s1	w4	Bachs	Bachs	Bach	NE
s1	w5	Versuch	Verſuch	Versuch	NN
s1	w6	über	uͤber	über	APPR
s1	w7	die	die	d	ART
s1	w8	wahre	wahre	wahr	ADJA
s1	w9	Art	Art	Art	NN
s1	wa	das	das	d	ART
s1	wb	Klavier	Clavier	Klavier	NN
s1	wc	zu	zu	zu	PTKZU
s1	wd	spielen	ſpielen	spielen	VVINF
s1	we	mit	mit	mit	APPR
s1	wf	Exempeln	Exempeln	Exempel	NN
s1	w10	und	und	und	KON
s1	w11	achtzehn	achtzehn	achtzehn	CARD
s1	w12	Probe-Stücken	Probe-Stuͤcken	Probe-Stück	NN
s1	w13	in	in	in	APPR
s1	w14	sechs	ſechs	sechs	CARD
s1	w15	Sonaten	Sonaten	Sonate	NN
s1	w16	erläutert	erlaͤutert	erläutern	VVFIN
s1	w17	.	.	.	$.
s2	w18	Erster	Erſter	Erster	NN
s2	w19	Teil	Theil	Teil	NN
s2	w1a	.	.	.	$.
s3	w1b	Zweite	Zweyte	zweit	ADJA
s3	w1c	Auflage	Auflage	Auflage	NN
s3	w1d	.	.	.	$.
s4	w1e	In	Jn	in	APPR
s4	w1f	Verlegung	Verlegung	Verlegung	NN
s4	w20	des	des	d	ART
s4	w21	Auctoris	Auctoris	Auctoris	NE
s4	w22	.	.	.	$.
s5	w23	Berlin	Berlin	Berlin	NE
s5	w24	,	,	,	$,
s5	w25	1759	1759	1759	CARD
s5	w26	.	.	.	$.
s5	w27	Gedruckt	Gedruckt	drucken	VVPP
s5	w28	bei	bey	bei	APPR
s5	w29	George	George	George	NE
s5	w2a	Ludewig	Ludewig	Ludewig	NE
s5	w2b	Winter	Winter	Winter	NE
s5	w2c	.	.	.	$.
s21	w43b	Vorrede	Vorrede	Vorrede	NN
s21	w43c	.	.	.	$.
s6	w2d	So	So	so	ADV
s6	w2e	viele	viele	viel	PIAT
s6	w2f	Vorzüge	Vorzuͤge	Vorzug	NN
s6	w30	das	das	d	ART
s6	w31	Klavier	Clavier	Klavier	NN
s6	w32	besitzet	beſitzet	besitzen	VVFIN
s6	w33	,	,	,	$,
s6	w34	so	ſo	so	ADV
s6	w35	vielen	vielen	viel	PIAT
