Sent_ID	Token_ID	Corr_token	Orig_token	Lemma	POS
s1	w1	ANTONIUS	ANTONIUS	Antonius	NE
s1	w2	Römischer	Roͤmiſcher	römisch	ADJA
s1	w3	TRIUMVIR	TRIUMVIR	Triumvir	NN
s1	w4	,	,	,	$,
s1	w5	bei	bey	bei	APPR
s1	w6	Feierung	Feyerung	Feierung	NN
s1	w7	des	des	d	ART
s1	w8	höchsterfreulichen	hoͤchſt-erfreulichen	höchsterfreulich	ADJA
s1	w9	Geburts-Festes	Geburths-Feſtes	Geburts-Fest	NN
s1	wa	Der	Der	d	ART
s1	wb	Durchlauchtigsten	Durchlauchtigſten	durchlauchtig	ADJA
s1	wc	Fürstin	Fuͤrſtin	Fürstin	NN
s1	wd	und	und	und	KON
s1	we	Frauen	Frauen	Frau	NN
s1	wf	/	/	/	$(
s1	w10	Frauen	Frauen	Frau	NN
s1	w11	Christiane	Chriſtianen	Christiane	NE
s1	w12	Wilhelmminen	Wilhelminen	Wilhelmmine	NN
s1	w13	/	/	/	$(
s1	w14	Herzogin	Hertzogin	Herzogin	NN
s1	w15	zu	zu	zu	APPR
s1	w16	Sachsen	Sachſen	Sachsen	NE
s1	w17	/	/	/	$(
s1	w18	Jülich	Juͤlich	Jülich	NE
s1	w19	/	/	/	$(
s1	w1a	Cleve	Cleve	Cleve	NE
s1	w1b	/	/	/	$(
s1	w1c	Berg	Berg	Berg	NE
s1	w1d	/	/	/	$(
s1	w1e	auch	auch	auch	ADV
s1	w1f	Engeren	Engern	Engeren	NN
s1	w20	und	und	und	KON
s1	w21	Westfalen	Weſtphalen	Westfalen	NE
s1	w22	/	/	/	$(
s1	w23	Land-Gräfin	Land-Graͤfin	Land-Grafin	NN
s1	w24	in	in	in	APPR
s1	w25	Thüringen	Thuͤringen	Thüringen	NE
s1	w26	/	/	/	$(
s1	w27	Marg-Gräfin	Marg-Graͤfin	Marg-Grafin	NN
s1	w28	zu	zu	zu	APPR
s1	w29	Meißen	Meißen	Meißen	NE
s1	w2a	/	/	/	$(
s1	w2b	auch	auch	auch	ADV
s1	w2c	Ober-	Ober-	ober-	TRUNC
s1	w2d	und	und	und	KON
s1	w2e	Nieder-Lausitz	Nieder-Lauſitz	Nieder-Lausitz	NN
s1	w2f	/	/	/	$(
s1	w30	Gefürsteter	Gefuͤrſteter	gefürstet	ADJA
s1	w31	Gräfin	Graͤfin	Gräfin	NN
s1	w32	zu	zu	zu	APPR
s1	w33	Henneberg	Henneberg	Henneberg	NE
s1	w34	/	/	/	$(
s1	w35	Gräfin	Graͤfin	Gräfin	NN
s1	w36	zu	zu	zu	APPR
s1	w37	der	der	d	ART
s1	w38	Mark	Marck	Mark	NN
s1	w39	/	/	/	$(
s1	w3a	Ravensberg	Ravensberg	Ravensberg	NE
s1	w3b	und	und	und	KON
s1	w3c	Barby	Barby	Barby	NE
s1	w3d	/	/	/	$(
s1	w3e	Frauen	Frauen	Frau	NN
s1	w3f	zu	zu	zu	APPR
s1	w40	Ravenstein	Ravenſtein	Ravenstein	NE
s1	w41	/	/	/	$(
s1	w42	etc.	ꝛc.	etc.	ADV
s1	w43	in	in	in	APPR
s1	w44	einem	einem	eine	ART
s1	w45	Singe-Spiele	Singe-Spiele	Singe-Spiel	NN
s1	w46	auf	auf	auf	APPR
s1	w47	dem	dem	d	ART
s1	w48	Schau-Platze	Schau-Platze	Schau-Platz	NN
s1	w49	in	in	in	APPR
s1	w4a	der	der	d	ART
s1	w4b	Neuen	Neuen	neu	ADJA
s1	w4c	Augustus-Burg	Auguſtus-Burg	Augustus-Burg	NN
s1	w4d	zu	zu	zu	APPR
s1	w4e	Weißenfels	Weißenfels	Weißenfels	NE
s1	w4f	Untertänigst	Unterthaͤnigſt	untertänig	ADJD
s1	w50	aufgeführt	aufgefuͤhret	aufführen	VVPP
s1	w51	1697	1697	1697	CARD
s1	w52	.	.	.	$.
s2	w53	Weißenfels	Weißenfels	Weißenfels	NE
s2	w54	/	/	/	$(
s2	w55	gedruckt	gedruckt	gedruckt	ADJD
s2	w56	mit	mit	mit	APPR
s2	w57	Brühlischen	Bruͤhliſchen	Brühlischen	NN
s2	w58	Litern	Litern	Liter	NN
s2	w59	.	.	.	$.
s222	w1cbf	Inhalt	Jnhalt	Inhalt	NN
s222	w1cc0	des	des	d	ART
s222	w1cc1	Singe-Spiels	Singe-Spiels	Singe-Spiel	NN
s222	w1cc2	.	.	.	$.
s223	w1cc3	Nachdem	NAchdem	nachdem	KOUS
s223	w1cc4	Cäsar	Cæſar	Cäsar	NE
s223	w1cc5	Augustus	Auguſtus	Augustus	NE
s223	w1cc6	und	und	und	KON
s223	w1cc7	Antonius	Antonius	Antonius	NE
s223	w1cc8	den	den	d	ART
s223	w1cc9	Cassium	Caſſium	Cassium	NE
s223	w1cca	und	und	und	KON
s223	w1ccb	Brutum	Brutum	Brutum	NE
s223	w1ccc	überwunden	uͤberwunden	überwinden	VVPP
s223	w1ccd	/	/	/	$(
s223	w1cce	und	und	und	KON
s223	w1ccf	beide	beyde	beide	PIS
s223	w1cd0	die	die	d	ART
s223	w1cd1	souveraine	ſouveraine	souveraine	ADJA
s223	w1cd2	Gewalt	Gewalt	Gewalt	NN
s223	w1cd3	unter	unter	unter	APPR
s223	w1cd4	sich	ſich	sich	PRF
s223	w1cd5	geteilt	getheilet	teilen	VVPP
s223	w1cd6	/	/	/	$(
s223	w1cd7	machte	machete	machen	VVFIN
s223	w1cd8	sich	ſich	sich	PRF
s223	w1cd9	Anton	Anton	Anton	NE
s223	w1cda	nach	nach	nach	APPR
s223	w1cdb	Cilicien	Cilicien	Cilicien	NE
s223	w1cdc	/	/	/	$(
s223	w1cdd	und	und	und	KON
s223	w1cde	lässt	laͤſſet	lassen	VVFIN
s223	w1cdf	dahin	dahin	dahin	PAV
s223	w1ce0	die	die	d	ART
s223	w1ce1	ägyptische	Egyptiſche	ägyptisch	ADJA
s223	w1ce2	Königin	Koͤnigin	Königin	NN
s223	w1ce3	/	/	/	$(
s223	w1ce4	Kleopatra	Cleopatra	Kleopatra	NE
s223	w1ce5	,	,	,	$,
s223	w1ce6	hohlen	hohlen	hohl	ADJA
s223	w1ce7	/	/	/	$(
s223	w1ce8	daß	daß	daß	KOUS
s223	w1ce9	sie	ſie	sie	PPER
s223	w1cea	wegen	wegen	wegen	APPR
s223	w1ceb	ihrer	ihrer	ihr	PPOSAT
s223	w1cec	bisherigen	bißherigen	bisherig	ADJA
s223	w1ced	Konduite	Conduite	Konduite	NN
s223	w1cee	bei	bey	bei	APPR
s223	w1cef	den	den	d	ART
s223	w1cf0	Römischen	Roͤmiſchen	römisch	ADJA
s223	w1cf1	Kriegen	Kriegen	Krieg	NN
s223	w1cf2	Rechenschaft	Rechenſchafft	Rechenschaft	NN
s223	w1cf3	geben	geben	geben	VVINF
s223	w1cf4	soll	ſoll	sollen	VMFIN
