Sent_ID	Token_ID	Corr_token	Orig_token	Lemma	POS
s1	w1	Pegnesische	Pegneſiſche	Pegnesische	NE
s1	w2	Gesprächspiel-Gesellschaft	Geſpraͤchſpiel-Geſellſchaft	Gesprächspiel-Gesellschaft	NN
s1	w3	von	von	von	APPR
s1	w4	Nymphen	Nymfen	Nymphe	NN
s1	w5	und	und	und	KON
s1	w6	Hirten	Hirten	Hirte	NN
s1	w7	:	:	:	$.
s2	w8	bei	bey	bei	APPR
s2	w9	dem	dem	d	ART
s2	wa	Windischgrätz-	Windiſchgraͤtz-	windischgrätz-	TRUNC
s2	wb	Oettingischen	Oettingiſchen	Oettingischen	NE
s2	wc	Hochgräflichen	HochGraͤflichen	hochgräflich	ADJA
s2	wd	Beilager	Beylager	Beilager	NN
s2	we	/	/	/	$(
s2	wf	aufgeführt	aufgefuͤhret	aufführen	VVPP
s2	w10	durch	durch	durch	APPR
s2	w11	den	den	d	ART
s2	w12	Erwachsenen	Erwachſenen	Erwachsene	NN
s2	w13	.	.	.	$.
s3	w14	Nürnberg	Nuͤrnberg	Nürnberg	NE
s3	w15	Bei	Bey	bei	APPR
s3	w16	Michael	Michael	Michael	NE
s3	w17	und	und	und	KON
s3	w18	Johann	Johann	Johann	NE
s3	w19	Fridrich	Fridrich	Fridrich	NE
s3	w1a	entern	Endtern	entern	VVINF
s3	w1b	.	.	.	$.
s4	w1c	A.	A.	A.	APPRART
s4	w1d	1665	1665	1665	CARD
s4	w1e	.	.	.	$.
s5	w1f	Dem	Dem	d	ART
s5	w20	Hoch-	Hoch-	hoch-	TRUNC
s5	w21	und	und	und	KON
s5	w22	Wohlgeborenen	Wohlgebohrnen	wohlgebären	ADJA
s5	w23	Grafen	Grafen	Graf	NN
s5	w24	und	und	und	KON
s5	w25	Herrn	Herrn	Herr	NN
s5	w26	Herrn	Herrn	Herr	NN
s5	w27	GOTTLIEB	GOTTLIEB	Gottlieb	NE
s5	w28	des	des	d	ART
s5	w29	Heil.	Heil.	Heil.	NN
s5	w2a	Röm.	Roͤm.	Röm.	ADJA
s5	w2b	Reichsgrafen	ReichsGrafen	Reichsgraf	NN
s5	w2c	und	und	und	KON
s5	w2d	Herrn	Herrn	Herr	NN
s5	w2e	von	von	von	APPR
s5	w2f	Windischgrätz	Windiſchgraͤtz	Windischgrätz	NE
s5	w30	Freiherrn	Freyherrn	Freiherr	NN
s5	w31	zu	zu	zu	APPR
s5	w32	Waldstein	Waldſtein	Waldstein	NN
s5	w33	und	und	und	KON
s5	w34	im	im	im	APPRART
s5	w35	Tal	Thal	Tal	NN
s5	w36	Herrn	Herrn	Herr	NN
s5	w37	auf	auf	auf	APPR
s5	w38	Trautmansdorf	Trautmansdorf	Trautmansdorf	NE
s5	w39	/	/	/	$(
s5	w3a	Erbland	Erbland	Erbeland	NN
s5	w3b	Stallmeistern	Stallmeiſtern	Stallmeister	NN
s5	w3c	in	in	in	APPR
s5	w3d	Steyr	Steyr	Steyr	NE
s5	w3e	/	/	/	$(
s5	w3f	Deren	Dero	die	PDS
s5	w40	Röm.	Roͤm.	Röm.	NN
s5	w41	Keyserl.	Keyſerl.	Keyserl.	NE
s5	w42	Majestät	Majeſtaͤt	Majestät	NN
s5	w43	wirklichem	wuͤrcklichem	wirklich	ADJA
s5	w44	ReichsHofRaht	ReichsHofRaht	Reichshofraht	NN
s5	w45	/	/	/	$(
s5	w46	Rittern	Rittern	Ritter	NN
s5	w47	/	/	/	$(
s5	w48	etc	ꝛc	et_cetera	ADV
s5	w49	.	.	.	$.
s6	w4a	Wie	Wie	wie	PWAV
s6	w4b	auch	auch	auch	ADV
s6	w4c	Der	Der	d	ART
s6	w4d	Hochgeborenen	Hochgebohrnen	hochgebären	ADJA
s6	w4e	Gräfin	Graͤfinn	Gräfin	NN
s6	w4f	und	und	und	KON
s6	w50	Fräulein	Freulein	Fräulein	NN
s6	w51	/	/	/	$(
s6	w52	Fräulein	Freulein	Fräulein	NN
s6	w53	MARIA	MARIA	Maria	NE
s6	w54	ELEONORA	ELEONORA	Eleonora	NE
s6	w55	/	/	/	$(
s6	w56	Gräfin	Graͤfinn	Gräfin	NN
s6	w57	von	von	von	APPR
s6	w58	Oettingen	Oettingen	Oettingen	NE
s6	w59	/	/	/	$(
s6	w5a	etc.	ꝛc.	etc.	ADV
s6	w5b	Sr.	Sr.	Sr.	NE
s6	w5c	Hochgräfl.	Hochgraͤfl.	Hochgräfl.	NE
s6	w5d	Exzellenz	Excellenz	Exzellenz	NN
s6	w5e	Hochfürtrefflichen	HochFuͤrtrefflichen	hochfürtrefflich	ADJA
s6	w5f	Hochgeliebtesten	Hochgeliebteſten	hochgeliebt	ADJA
s6	w60	Fräulein	Freulein	Fräulein	NN
s6	w61	Gespons	Geſpons	Gespons	NN
s6	w62	:	:	:	$.
s6	w63	widmet	widmet	widmen	VVFIN
s6	w64	sich	ſich	sich	PRF
s6	w65	diese	dieſe	diese	PDAT
s6	w66	Gesprächspielgesellschaft	GeſpraͤchSpielGeſellſchaft	Gesprächspielgesellschaft	NN
s6	w67	/	/	/	$(
s6	w68	zu	zu	zu	APPR
s6	w69	gehorsamster	gehorſamſter	gehorsam	ADJA
s6	w6a	Aufwartung	Aufwartung	Aufwartung	NN
s6	w6b	:	:	:	$.
s7	w6c	Wir	WIr	wir	PPER
s7	w6d	reden	reden	reden	VVFIN
s7	w6e	hier	hier	hier	ADV
s7	w6f	von	von	von	APPR
s7	w70	Euch	Euch	ihr	PPER
s7	w71	/	/	/	$(
s7	w72	ihr	ihr	ihr	PPOSAT
s7	w73	hohe	hohe	hoch	ADJA
s7	w74	Seelen	Seelen	Seele	NN
s7	w75	!	!	!	$.
s8	w76	Viel	Viel	viel	ADV
s8	w77	kleiner	kleiner	klein	ADJD
s8	w78	ist	iſt	sein	VAFIN
s8	w79	das	das	d	ART
s8	w7a	Werk	Werk	Werk	NN
s8	w7b	/	/	/	$(
s8	w7c	als	als	als	KOKOM
s8	w7d	die	die	d	ART
s8	w7e	Begier	Begier	Begier	NN
s8	w7f	und	und	und	KON
s8	w80	unsere	unſre	unsere	PPOSAT
s8	w81	Pflicht	Pflicht	Pflicht	NN
s8	w82	.	.	.	$.
s9	w83	So	So	so	ADV
s9	w84	wenig	wenig	wenig	PIAT
s9	w85	Blätter	Blaͤtter	Blatt	NN
s9	w86	hier	hier	hier	ADV
s9	w87	/	/	/	$(
s9	w88	nicht	nicht	nicht	PTKNEG
s9	w89	Eure	Eure	euer	PPOSAT
s9	w8a	Preise	Preiſe	Preis	NN
s9	w8b	zählen	zehlen	zählen	VVINF
s9	w8c	/	/	/	$(
s9	w8d	noch	noch	noch	ADV
s9	w8e	erzählen	erzehlen	erzählen	VVINF
s9	w8f	.	.	.	$.
sa	w90	Wir	Wir	wir	PPER
sa	w91	wollen	wollen	wollen	VMFIN
sa	w92	Euch	Euch	ihr	PPER
sa	w93	/	/	/	$(
sa	w94	der	der	d	ART
sa	w95	Ehre	Ehre	Ehre	NN
sa	w96	selbst	ſelbſt	selbst	ADV
sa	w97	/	/	/	$(
sa	w98	empfehle	empfehlē	empfehlen	VVFIN
sa	w99	:	:	:	$.
sa	w9a	die	die	d	ART
sa	w9b	Eurem	Eurem	euer	PPOSS
sa	w9c	Wehrt	Wehrt	wehren	VVFIN
sa	w9d	soll	ſoll	sollen	VMFIN
sa	w9e	zahlen	zahlen	zahlen	VVINF
sa	w9f	die	die	d	ART
sa	wa0	Gebühr	Gebuͤhr	Gebühr	NN
sa	wa1	.	.	.	$.
sb	wa2	Tritt	Tritt	Tritt	NN
sb	wa3	Fama	Fama	Fama	NE
sb	wa4	doch	doch	doch	ADV
sb	wa5	/	/	/	$(
sb	wa6	zu	zu	zu	PTKZU
sb	wa7	reden	reden	reden	VVINF
sb	wa8	/	/	/	$(
sb	wa9	selbst	ſelbſt	selbst	ADV
sb	waa	herfür	herfuͤr	herfür	ADV
sb	wab	:	:	:	$.
sb	wac	dieweil	dieweil	dieweil	KOUS
sb	wad	Verdienst	Verdienſt	Verdienst	NN
sb	wae	und	und	und	KON
sb	waf	Glück	Gluͤck	Glück	NN
sb	wb0	sich	ſich	sich	PRF
sb	wb1	jetzt	izt	jetzt	ADV
sb	wb2	vermählen	vermaͤhlen	vermählen	VVINF
sb	wb3	.	.	.	$.
sc	wb4	So	So	so	ADV
sc	wb5	wachse	wachſe	wachsen	VVFIN
sc	wb6	dann	dan̄	dann	ADV
sc	wb7	empor	empor	empor	PTKVZ
sc	wb8	/	/	/	$(
sc	wb9	du	du	du	PPER
sc	wba	Gräfliches	Graͤflichs	gräflich	ADJA
sc	wbb	Haus	Haus	Haus	NN
sc	wbc	!	!	!	$.
sc	wbd	und	und	und	KON
sc	wbe	breite	breite	breit	ADJA
sc	wbf	dich	dich	du	PPER
sc	wc0	in	in	in	APPR
sc	wc1	hohe	hohe	hoch	ADJA
sc	wc2	Aster	Aeſter	Aster	NN
sc	wc3	aus	aus	aus	PTKVZ
sc	wc4	/	/	/	$(
sc	wc5	steige	ſteig	steigen	VVFIN
sc	wc6	Wolken-an	Wolken-an	Wolken-An	NE
sc	wc7	/	/	/	$(
sc	wc8	werde	werd	werden	VAFIN
sc	wc9	Nachbar	Nachbar	Nachbar	NN
sc	wca	mit	mit	mit	APPR
sc	wcb	den	den	d	ART
sc	wcc	Sternen	Sternen	Stern	NN
sc	wcd	!	!	!	$.
sd	wce	Denke	Denk	denken	VVIMP
sd	wcf	/	/	/	$(
sd	wd0	daß	daß	daß	KOUS
sd	wd1	du	du	du	PPER
sd	wd2	uns	uns	uns	PRF
sd	wd3	viel	viel	viel	PIAT
sd	wd4	Helden	Helden	Held	NN
sd	wd5	schuldig	ſchuldig	schuldig	ADJD
sd	wd6	seist	ſeyſt	sein	VAFIN
sd	wd7	und	und	und	KON
sd	wd8	Heldinnen	Heldinnen	Heldin	NN
sd	wd9	/	/	/	$(
sd	wda	von	von	von	APPR
sd	wdb	solchem	ſolchem	solch	PIAT
sd	wdc	Preis	Preis	Preis	NN
sd	wdd	und	und	und	KON
sd	wde	Deist	Deiſt	Deist	NN
sd	wdf	.	.	.	$.
se	we0	Es	Es	es	PPER
se	we1	soll	ſoll	sollen	VMFIN
se	we2	/	/	/	$(
se	we3	von	von	von	APPR
se	we4	dir	dir	du	PPER
se	we5	/	/	/	$(
se	we6	die	die	d	ART
se	we7	Nachwelt	Nachwelt	Nachwelt	NN
se	we8	reden	reden	reden	VVINF
se	we9	lernen	lernen	lernen	VVINF
se	wea	.	.	.	$.
sf	web	Ihr	Ihr	sie	PPER
sf	wec	.	.	.	$.
s10	wed	Ihr	Ihr	sie	PPER
s10	wee	.	.	.	$.
s10	wef	HochGräfl.	HochGraͤfl.	HochGräfl.	NE
s10	wf0	Gd.	Gd.	Gd.	NE
s10	wf1	Gd	Gd	Gd	NE
s10	wf2	.	.	.	$.
s11	wf3	Untergebenster	Untergebenſter	untergeben	ADJA
s11	wf4	Pflicht-Schuldner	Pflicht-Schuldner	Pflicht-Schuldner	NN
s11	wf5	und	und	und	KON
s11	wf6	Gehorsamster	Gehorſamſter	Gehorsamster	NN
s11	wf7	Knecht	Knecht	Knecht	NE
s11	wf8	Sigmund	Sigmund	Sigmund	NE
s11	wf9	von	von	von	APPR
s11	wfa	Birken	Birken	Birken	NE
s11	wfb	C.	C.	C.	NE
s11	wfc	P.	P.	P.	NE
s11	wfd	C.	C.	C.	NE
s11	wfe	P.	P.	p.	XY
s11	wff	C	C	c	XY
s11	w100	.	.	.	$.
s47c	w5735	Pegnesische	Pegneſiſche	Pegnesische	NE
s47c	w5736	Frühlings-Freude	Fruͤlings-Freude	Frühlings-Freude	NN
s47c	w5737	.	.	.	$.
s12	w101	Drion	DRion	Drion	NE
s12	w102	hatte	hatte	haben	VAFIN
s12	w103	nun	nun	nun	ADV
s12	w104	den	den	d	ART
s12	w105	Säbel	Sebel	Säbel	NN
s12	w106	eingesteckt	eingeſtecket	einstecken	VVPP
s12	w107	.	.	.	$.
s13	w108	Vom	Vom	vom	APPRART
s13	w109	Perseus	Perſeus	Perseus	NN
s13	w10a	/	/	/	$(
s13	w10b	Eichthon	Erichthon	Eichthon	NN
s13	w10c	jetzt	izt	jetzt	ADV
