Sent_ID	Token_ID	Corr_token	Orig_token	Lemma	POS
s1	w1	Der	Der	d	ART
s1	w2	Paria	Paria	Paria	NN
s1	w3	.	.	.	$.
s2	w4	Trauerspiel	Trauerſpiel	Trauerspiel	NN
s2	w5	in	in	in	APPR
s2	w6	einem	einem	eine	ART
s2	w7	Aufzug	Aufzuge	Aufzug	NN
s2	w8	von	von	von	APPR
s2	w9	Michael	Michael	Michael	NE
s2	wa	Beer	Beer	Beer	NE
s2	wb	.	.	.	$.
s3	wc	Der	Der	d	ART
s3	wd	Paria	Paria	Paria	NN
s3	we	.	.	.	$.
s4	wf	Trauerspiel	Trauerſpiel	Trauerspiel	NN
s4	w10	in	in	in	APPR
s4	w11	einem	einem	eine	ART
s4	w12	Aufzug	Aufzuge	Aufzug	NN
s4	w13	von	von	von	APPR
s4	w14	Michael	Michael	Michael	NE
s4	w15	Beer	Beer	Beer	NE
s4	w16	.	.	.	$.
s5	w17	Zum	Zum	zum	APPRART
s5	w18	Erstenmal	Erſtenmale	erstenmal	ADV
s5	w19	dargestellt	dargeſtellt	darstellen	VVPP
s5	w1a	auf	auf	auf	APPR
s5	w1b	dem	dem	d	ART
s5	w1c	königlichen	koͤniglichen	königlich	ADJA
s5	w1d	Theater	Theater	Theater	NN
s5	w1e	zu	zu	zu	APPR
s5	w1f	Berlin	Berlin	Berlin	NE
s5	w20	,	,	,	$,
s5	w21	den	den	d	ART
s5	w22	22.	22.	22.	ADJA
s5	w23	Dezember	December	Dezember	NN
s5	w24	1825	1825	1825	CARD
s5	w25	.	.	.	$.
s6	w26	Stuttgart	Stuttgart	Stuttgart	NE
s6	w27	und	und	und	KON
s6	w28	Tübingen	Tuͤbingen	Tübingen	NE
s6	w29	,	,	,	$,
s6	w2a	Verlag	Verlag	Verlag	NN
s6	w2b	der	der	d	ART
s6	w2c	J.	J.	J.	NE
s6	w2d	G.	G.	G.	NE
s6	w2e	Cotta'schen	Cotta’ſchen	Cotta'schen	NE
s6	w2f	Buchhandlung	Buchhandlung	Buchhandlung	NN
s6	w30	.	.	.	$.
s6	w31	1829	1829	1829	CARD
s6	w32	.	.	.	$.
s7	w33	Seiner	Seiner	seine	PPOSAT
s7	w34	geliebten	geliebten	geliebt	ADJA
s7	w35	Mutter	Mutter	Mutter	NN
s7	w36	Amalia	Amalia	Amalia	NE
s7	w37	Beer	Beer	Beer	NE
s7	w38	gewidmet	gewidmet	widmen	VVPP
s7	w39	vom	vom	vom	APPRART
s7	w3a	Verfasser	Verfaſſer	Verfasser	NN
s7	w3b	.	.	.	$.
s32b	w20db	Der	Der	d	ART
s32b	w20dc	Paria	Paria	Paria	NN
s32b	w20dd	.	.	.	$.
s32c	w20de	Trauerspiel	Trauerſpiel	Trauerspiel	NN
