Sent_ID	Token_ID	Corr_token	Orig_token	Lemma	POS
s1	w1	Von	VOn	von	APPR
s1	w2	Gottes	Gottes	Gott	NN
s1	w3	Gnaden	Gnaden	Gnade	NN
s1	w4	Wir	Wir	wir	PPER
s1	w5	Rudolf	Rudolff	Rudolf	NE
s1	w6	Augusts	Auguſts	August	NE
s1	w7	/	/	/	$(
s1	w8	Herzog	Hertzog	Herzog	NE
s1	w9	zu	zu	zu	APPR
s1	wa	Braunschweig	Braunſchweig	Braunschweig	NE
s1	wb	und	und	und	KON
s1	wc	Lüneburg	Luͤneburg	Lüneburg	NE
s1	wd	/	/	/	$(
s1	we	etc.	ꝛc.	etc.	ADV
s1	wf	Uhrkunden	Uhrkunden	Uhrkunde	NN
s1	w10	und	und	und	KON
s1	w11	fügen	fuͤgen	fügen	VVFIN
s1	w12	hiermit	hiemit	hiermit	PAV
s1	w13	zuwissen	zuwiſſen	zuwissen	VVINF
s1	w14	/	/	/	$(
s1	w15	ob	ob	ob	KOUS
s1	w16	wir	wir	wir	PPER
s1	w17	Unswol	Unswol	Unswol	NE
s1	w18	gänzlich	gaͤntzlich	gänzlich	ADJD
s1	w19	versehen	verſehen	versehen	VVPP
s1	w1a	/	/	/	$(
s1	w1b	es	es	es	PPER
s1	w1c	würde	wuͤrde	werden	VAFIN
s1	w1d	denen	denen	die	PDS
s1	w1e	in	in	in	APPR
s1	w1f	Unseren	Unſern	unsere	PPOSAT
s1	w20	Fürstentum	Fuͤrſtenthum	Fürstentum	NN
s1	w21	und	und	und	KON
s1	w22	Landen	Landen	Land	NN
s1	w23	wider	wider	wider	APPR
s1	w24	die	die	die	PRELS
s1	w25	herum	herumb	herum	APZR
s1	w26	vagierende	vagirende	vagierend	ADJA
s1	w27	Zigeuner	Zigeuner	Zigeuner	NN
s1	w28	/	/	/	$(
s1	w29	oder	oder	oder	KON
s1	w2a	so	ſo	so	ADV
s1	w2b	genante	genandte	genant	ADJA
s1	w2c	Tartaren	Tartarn	Tartar	NN
s1	w2d	vielfältig	vielfaͤltig	vielfältig	ADJD
s1	w2e	publizierten	publicirten	publiziert	ADJA
s1	w2f	/	/	/	$(
s1	w30	und	und	und	KON
s1	w31	auf	auf	auf	APPR
s1	w32	denen	denen	die	PRELS
