Sent_ID	Token_ID	Corr_token	Orig_token	Lemma	POS
s1	w1	kurzer	Kurtzer	kurz	ADJA
s1	w2	Bericht	Bericht	Bericht	NN
s1	w3	Von	Von	von	APPR
s1	w4	der	der	d	ART
s1	w5	Fruchtbringenden	Fruchtbringenden	fruchtbringend	ADJA
s1	w6	Gesellschaft	Geſellſchafft	Gesellschaft	NN
s1	w7	Vorhaben	Vorhaben	Vorhaben	NN
s1	w8	/	/	/	$(
s1	w9	auch	auch	auch	ADV
s1	wa	deren	dero	die	PDS
s1	wb	Namen	Nahmen	Name	NN
s1	wc	/	/	/	$(
s1	wd	Gemälde	Gemaͤhlde	Gemälde	NN
s1	we	und	und	und	KON
s1	wf	Wörter	Woͤrter	Wort	NN
s1	w10	In	In	in	APPR
s1	w11	Reimen	Reimen	Reim	NN
s1	w12	fast	verfaſt	fast	ADV
s1	w13	.	.	.	$.
s2	w14	Gedruckt	Gedruckt	drucken	VVPP
s2	w15	im	im	im	APPRART
s2	w16	Jahr	Jahr	Jahr	NN
s2	w17	1628	1628	1628	CARD
s2	w18	.	.	.	$.
s3	w19	Nach	NAch	nach	APPR
s3	w1a	dem	dem	d	ART
s3	w1b	ihrer	jhrer	ihr	PPOSAT
s3	w1c	viel	viel	viel	ADV
s3	w1d	von	von	von	APPR
s3	w1e	der	der	d	ART
s3	w1f	Fruchtbringenden	Fruchtbringenden	fruchtbringend	ADJA
s3	w20	Gesellschaft	Geſellſchafft	Gesellschaft	NN
s3	w21	/	/	/	$(
s3	w22	was	was	was	PWS
s3	w23	deren	dero	die	PDS
s3	w24	eigentlicher	eigentlicher	eigentlich	ADJA
s3	w25	Zweck	Zweck	Zweck	NN
s3	w26	/	/	/	$(
s3	w27	auch	auch	auch	ADV
s3	w28	wie	wie	wie	PWAV
s3	w29	und	und	und	KON
s3	w2a	wozu	worzu	wozu	PWAV
s3	w2b	sie	ſie	sie	PPER
s3	w2c	aufgerichtet	auffgerichtet	aufrichten	VVPP
s3	w2d	/	/	/	$(
s3	w2e	und	und	und	KON
s3	w2f	angestellt	angeſtellet	anstellen	VVPP
s3	w30	/	/	/	$(
s3	w31	Bericht	bericht	Bericht	NN
s3	w32	zu	zu	zu	PTKZU
s3	w33	haben	haben	haben	VAINF
s3	w34	/	/	/	$(
