Sent_ID	Token_ID	Corr_token	Orig_token	Lemma	POS
s1	w1	kurzer	Kurtzer	kurz	ADJA
s1	w2	Bericht	Bericht	Bericht	NN
s1	w3	/	/	/	$(
s1	w4	von	von	von	APPR
s1	w5	Der	Der	d	ART
s1	w6	Nützlichen	Nuͤtzlichen	Nützliche	NN
s1	w7	und	und	und	KON
s1	w8	Fürtrefflichen	Fuͤrtrefflichen	fürtrefflich	ADJA
s1	w9	Buch-Handlung	Buch-Handlung	Buch-Handlung	NN
s1	wa	/	/	/	$(
s1	wb	und	und	und	KON
s1	wc	Derselben	Deroſelben	dieselbe	PDAT
s1	wd	Privilegien	Privilegien	Privilegium	NN
s1	we	.	.	.	$.
s1	wf	auffgetzet	auffgetzet	Auffgetzet	NE
s1	w10	von	von	von	APPR
s1	w11	ADRIAN	ADRIAN	Adrian	NE
s1	w12	BEIERN	BEIERN	beiern	VVINF
s1	w13	,	,	,	$,
s1	w14	J.	J.	J.	NE
s1	w15	C.	C.	C.	NE
s1	w16	JENA	JENA	Jena	NE
s1	w17	/	/	/	$(
s1	w18	Auf	Uf	auf	APPR
s1	w19	Unkosten	Unkoſten	Unkosten	NN
s1	w1a	Johann	Johann	Johann	NE
s1	w1b	Meyers	Meyers	Meyers	NE
s1	w1c	.	.	.	$.
s1	w1d	Anno	Anno	Anno	NN
s1	w1e	1690	1690	1690	CARD
s1	w1f	.	.	.	$.
s197	w372f	I.	I.	I.	NE
s197	w3730	N.	N.	N.	NE
s197	w3731	C.	C.	C.	NE
s197	w3732	I	I	I	NE
s197	w3733	.	.	.	$.
s2	w20	§	§	§	XY
s2	w21	.	.	.	$.
s3	w22	1.	1.	1.	ADJA
s4	w23	Wie	WJe	wie	PWAV
s4	w24	wohl	wol	wohl	ADV
s4	w25	die	die	d	ART
s4	w26	von	von	von	APPR
s4	w27	der	der	d	ART
s4	w28	Feder	Feder	Feder	NN
s4	w29	mit	mit	mit	APPR
s4	w2a	Leuten	Leuten	Leute	NN
s4	w2b	von	von	von	APPR
s4	w2c	allerhand	allerhand	allerhand	PIAT
s4	w2d	Professionen	Profesſionen	Profession	NN
s4	w2e	umzugehen	umbzugehen	umgehen	VVIZU
s4	w2f	haben	haben	haben	VAFIN
s4	w30	/	/	/	$(
s4	w31	und	und	und	KON
