Sent_ID	Token_ID	Corr_token	Orig_token	Lemma	POS
s1	w1	D.	D.	D.	NE
s1	w2	Joh.	Joh.	Joh.	NE
s1	w3	Hermann	Hermann	Hermann	NE
s1	w4	Banners	Benners	Banner	NE
s1	w5	Christliches	Chriſtliches	christlich	ADJA
s1	w6	Bedenken	Bedencken	Bedenken	NN
s1	w7	von	von	von	APPR
s1	w8	dem	dem	d	ART
s1	w9	vorsätzlichen	vorſetzlichen	vorsätzlich	ADJA
s1	wa	Meineid	Meineid	Meineid	NN
s1	wb	wodurch	wodurch	wodurch	PWAV
s1	wc	das	das	d	ART
s1	wd	Recht	Recht	Recht	NN
s1	we	des	des	d	ART
s1	wf	Nächsten	Nechſten	Nächste	NN
s1	w10	wissentlich	wiſſentlich	wissentlich	ADJD
s1	w11	gekränkt	gekraͤncket	kränken	VVPP
s1	w12	wird	wird	werden	VAFIN
s1	w13	Ob	Ob	ob	KOUS
s1	w14	,	,	,	$,
s1	w15	und	und	und	KON
s1	w16	wie	wie	wie	PWAV
s1	w17	ein	ein	eine	ART
s1	w18	solcher	ſolcher	solch	PIAT
s1	w19	Meineid	Meineid	Meineid	NN
s1	w1a	von	von	von	APPR
s1	w1b	Gott	GOtt	Gott	NN
s1	w1c	vergeben	vergeben	vergeben	VVPP
s1	w1d	werde	werde	werden	VAFIN
s1	w1e	?	?	?	$.
s2	w1f	Frankfurt	Franckfurt	Frankfurt	NE
s2	w20	und	und	und	KON
s2	w21	Leipzig	Leipzig	Leipzig	NE
s2	w22	,	,	,	$,
s2	w23	Bei	Bey	bei	APPR
s2	w24	Heinrich	Heinrich	Heinrich	NE
s2	w25	Ludwig	Ludwig	Ludwig	NE
s2	w26	Brönner	Broͤnner	Brönner	NE
s2	w27	M	M	m	XY
s2	w28	DCC	DCC	dcc	XY
s2	w29	XXXIX	XXXIX	xxxix	XY
s2	w2a	.	.	.	$.
s3	w2b	Inhalt	Jnhalt	Inhalt	NN
s3	w2c	.	.	.	$.
s4	w2d	I.	I.	I.	NE
s5	w2e	Von	Von	von	APPR
s5	w2f	der	der	d	ART
s5	w30	Beschaffenheit	Beſchaffenheit	Beschaffenheit	NN
s5	w31	und	und	und	KON
s5	w32	Verbindlichkeit	Verbindlichkeit	Verbindlichkeit	NN
s5	w33	des	des	d	ART
s5	w34	Eides	Eides	Eid	NN
s5	w35	,	,	,	$,
se	w8e	1	1	1	CARD
se	w8f	)	)	)	$(
se	w90	Im	Jm	im	APPRART
se	w91	Eid	Eid	Eid	NN
se	w92	liegt	lieget	liegen	VVFIN
se	w93	ein	ein	eine	ART
se	w94	Bekenntnis	Bekentnis	Bekenntnis	NN
se	w95	der	der	d	ART
se	w96	Allwissenheit	Allwiſſenheit	Allwissenheit	NN
se	w97	,	,	,	$,
se	w98	Gerechtigkeit	Gerechtigkeit	Gerechtigkeit	NN
se	w99	und	und	und	KON
se	w9a	Allmacht	Allmacht	Allmacht	NN
se	w9b	Gottes	GOttes	Gott	NN
se	w9c	,	,	,	$,
se	w9d	welchen	welchen	welchen	PWAT
se	w9e	man	man	man	PIS
se	w9f	zum	zum	zum	APPRART
se	wa0	Zeugen	Zeugen	Zeuge	NN
se	wa1	der	der	d	ART
se	wa2	Wahrheit	Warheit	Wahrheit	NN
se	wa3	,	,	,	$,
se	wa4	und	und	und	KON
se	wa5	Rächer	Raͤcher	Rächer	NN
se	wa6	des	des	d	ART
se	wa7	Meineids	Meineids	Meineid	NN
se	wa8	,	,	,	$,
se	wa9	anrufet	anrufet	anrufen	VVFIN
se	waa	§.	§.	§.	$(
se	wab	1	1	1	CARD
se	wac	.	.	.	$.
se	wad	2.	2.	2.	ADJA
se	wae	3.	3.	3.	ADJA
sf	waf	2.	2.	2.	ADV
s10	wb0	Ein	Ein	eine	ART
s10	wb1	Christ	Chriſt	Christ	NN
s10	wb2	entsaget	entſaget	entsagen	VVFIN
s10	wb3	zugleich	zugleich	zugleich	ADV
s10	wb4	seinem	ſeinem	seine	PPOSAT
s10	wb5	Anteil	Antheil	Anteil	NN
s10	wb6	an	an	an	APPR
s10	wb7	der	der	d	ART
s10	wb8	Erlösung	Erloͤſung	Erlösung	NN
s10	wb9	Jesu	JESU	Jesu	NE
s10	wba	Christi	Chriſti	Christi	NE
s10	wbb	,	,	,	$,
s10	wbc	im	im	im	APPRART
s10	wbd	Fall	fall	Fall	NN
s10	wbe	er	er	er	PPER
s10	wbf	betrügen	betriegen	betrügen	VVFIN
s10	wc0	werde	werde	werden	VAFIN
s10	wc1	§.	§.	§.	$(
s11	wc2	4.	4.	4.	ADV
s12	wc3	3	3	3	CARD
s12	wc4	)	)	)	$(
s12	wc5	Diese	Dieſe	diese	PDAT
s12	wc6	Entsagung	Entſagung	Entsagung	NN
s12	wc7	wird	wird	werden	VAFIN
s12	wc8	im	im	im	APPRART
s12	wc9	Fall	fall	Fall	NN
s12	wca	des	des	d	ART
s12	wcb	Meineides	Meineides	Meineid	NN
s12	wcc	von	von	von	APPR
s12	wcd	GOTT	GOTT	Gott	NE
s12	wce	angenommen	angenommen	annehmen	VVPP
s12	wcf	und	und	und	KON
s12	wd0	genehm	genehm	genehm	ADJD
s12	wd1	gehalten	gehalten	halten	VVPP
s12	wd2	§.	§.	§.	$(
s13	wd3	5.	5.	5.	ADJA
s6	w36	II.	II.	Ii.	NE
s7	w37	Die	Die	d	ART
s7	w38	Geschäftigkeit	Geſchaͤftigkeit	Geschäftigkeit	NN
s7	w39	des	des	d	ART
s7	w3a	Satans	Satans	Satan	NN
s7	w3b	bei	bey	bei	APPR
s7	w3c	denen	denen	die	PRELS
s7	w3d	die	die	d	ART
s7	w3e	mit	mit	mit	APPR
s7	w3f	Meineid	Meineid	Meineid	NN
s7	w40	schwanger	ſchwanger	schwanger	ADJD
s7	w41	gehen.	gehen.	gehen.	ADJA
s7	w42	§.	§.	§.	$(
s7	w43	6	6	6	CARD
s7	w44	.	.	.	$.
s14	wd4	1	1	1	CARD
s14	wd5	)	)	)	$(
s14	wd6	erster	erſter	erst	ADJA
s14	wd7	Griff	Grif	Griff	NN
s14	wd8	des	des	d	ART
s14	wd9	Satans	Satans	Satan	NN
s14	wda	.	.	.	$.
s15	wdb	Er	Er	er	PPER
s15	wdc	suchet	ſuchet	suchen	VVFIN
s15	wdd	den	den	d	ART
s15	wde	zeitlichen	zeitlichen	zeitlich	ADJA
s15	wdf	Vorteil	Vortheil	Vorteil	NN
s15	we0	des	des	d	ART
s15	we1	Meineides	Meineides	Meineid	NN
s15	we2	,	,	,	$,
s15	we3	und	und	und	KON
s15	we4	hingegen	hingegen	hingegen	ADV
s15	we5	den	den	d	ART
s15	we6	irdischen	irdiſchen	irdisch	ADJA
s15	we7	Schaden	Schaden	Schaden	NN
s15	we8	des	des	d	ART
s15	we9	wahren	wahren	wahr	ADJA
s15	wea	Eides	Eides	Eid	NN
s15	web	,	,	,	$,
s15	wec	groß	gros	groß	ADJD
s15	wed	zu	zu	zu	PTKZU
s15	wee	machen	machen	machen	VVINF
s15	wef	,	,	,	$,
s15	wf0	§.	§.	§.	$(
s15	wf1	7	7	7	CARD
s15	wf2	.	.	.	$.
s15	wf3	8.	8.	8.	ADJA
s15	wf4	9	9	9	CARD
s15	wf5	.	.	.	$.
s16	wf6	2	2	2	CARD
s16	wf7	)	)	)	$(
s16	wf8	Zweiter	Zweiter	zweit	ADJA
s16	wf9	Griff	Grif	Griff	NN
s16	wfa	des	des	d	ART
s16	wfb	Versuchers	Verſuchers	Versucher	NN
s16	wfc	.	.	.	$.
s17	wfd	Er	Er	er	PPER
s17	wfe	beredet	beredet	bereden	VVFIN
s17	wff	den	den	d	ART
s17	w100	Schwörenden	Schwoͤrenden	Schwörende	NN
s17	w101	,	,	,	$,
s17	w102	er	er	er	PPER
s17	w103	solle	ſolle	sollen	VMFIN
s17	w104	anders	anders	anders	ADV
s17	w105	denken	dencken	denken	VVINF
s17	w106	als	als	als	KOKOM
s17	w107	er	er	er	PPER
s17	w108	aussaget	ausſaget	aussagen	VVFIN
s17	w109	§.	§.	§.	$(
s17	w10a	10.	10.	10.	ADJA
s17	w10b	11	11	11	CARD
s17	w10c	.	.	.	$.
s18	w10d	3	3	3	CARD
s18	w10e	)	)	)	$(
s18	w10f	Dritter	Dritter	Dritter	NN
s18	w110	und	und	und	KON
s18	w111	gefährlichster	gefaͤhrlichſter	gefährlich	ADJA
s18	w112	Strick	Strick	Strick	NN
s18	w113	des	des	d	ART
s18	w114	Teufels	Teufels	Teufel	NN
s18	w115	.	.	.	$.
s19	w116	Er	Er	er	PPER
s19	w117	bringt	bringet	bringen	VVFIN
s19	w118	dem	dem	d	ART
s19	w119	Schwörenden	Schwoͤrenden	Schwörende	NN
s19	w11a	die	die	d	ART
s19	w11b	Einbildung	Einbildung	Einbildung	NN
s19	w11c	bei	bey	bei	PTKVZ
s19	w11d	,	,	,	$,
s19	w11e	der	der	d	ART
s19	w11f	Meineid	Meineid	Meineid	NN
s19	w120	werde	werde	werden	VAFIN
s19	w121	im	im	im	APPRART
s19	w122	Beichtstuhl	Beichtſtuhl	Beichtstuhl	NN
s19	w123	vergeben	vergeben	vergeben	VVPP
s19	w124	§.	§.	§.	$(
s19	w125	12	12	12	CARD
s19	w126	.	.	.	$.
s1a	w127	a	a	a	XY
s1a	w128	)	)	)	$(
s1b	w129	Die	Die	d	ART
s1b	w12a	Worte	Worte	Wort	NN
s1b	w12b	in	in	in	APPR
s1b	w12c	unseren	unſern	unsere	PPOSAT
s1b	w12d	Kirchen-Agenden	Kirchen-Agenden	Kirchen-Agende	NN
s1b	w12e	,	,	,	$,
s1b	w12f	scheinen	ſcheinen	scheinen	VVFIN
s1b	w130	dieses	dieſes	diese	PDS
s1b	w131	zu	zu	zu	PTKZU
s1b	w132	versichern	verſichern	versichern	VVINF
s1b	w133	§.	§.	§.	$(
s1b	w134	13	13	13	CARD
s1b	w135	.	.	.	$.
s1c	w136	b	b	b	XY
s1c	w137	)	)	)	$(
s1d	w138	Der	Der	d	ART
s1d	w139	Ungrund	Ungrund	Ungrund	NN
s1d	w13a	dieser	dieſer	diese	PDAT
s1d	w13b	Einbildung	Einbildung	Einbildung	NN
s1d	w13c	wird	wird	werden	VAFIN
s1d	w13d	gezeigt	gezeiget	zeigen	VVPP
s1d	w13e	,	,	,	$,
s1d	w13f	und	und	und	KON
s1d	w140	angemerkt	angemercket	anmerken	VVPP
s1d	w141	.	.	.	$.
s20	w155	1	1	1	CARD
s20	w156	)	)	)	$(
s20	w157	daß	daß	daß	KOUS
s20	w158	in	in	in	APPR
s20	w159	dem	dem	d	ART
s20	w15a	Meineid	Meineid	Meineid	NN
s20	w15b	eine	eine	eine	ART
s20	w15c	große	groſe	groß	ADJA
s20	w15d	Beleidigung	Beleidigung	Beleidigung	NN
s20	w15e	des	des	d	ART
s20	w15f	Nächsten	Nechſten	Nächste	NN
s20	w160	,	,	,	$,
s20	w161	sonderlich	ſonderlich	sonderlich	ADJD
s20	w162	des	des	d	ART
s20	w163	Richters	Richters	Richter	NN
s20	w164	,	,	,	$,
s20	w165	vorgehe	vorgehe	vorgehen	VVFIN
s20	w166	,	,	,	$,
s20	w167	§.	§.	§.	$(
s20	w168	14.	14.	14.	ADJA
s20	w169	15	15	15	CARD
s20	w16a	.	.	.	$.
s21	w16b	2	2	2	CARD
s21	w16c	)	)	)	$(
s21	w16d	Daß	Daß	daß	KOUS
s21	w16e	keine	keine	keine	PIAT
s21	w16f	Vergebung	Vergebung	Vergebung	NN
s21	w170	der	der	d	ART
s21	w171	Sünden	Suͤnden	Sünde	NN
s21	w172	statt	ſtat	statt	PTKVZ
s21	w173	habe	habe	haben	VAFIN
s21	w174	,	,	,	$,
s21	w175	wo	wo	wo	PWAV
s21	w176	nicht	nicht	nicht	PTKNEG
s21	w177	die	die	d	ART
s21	w178	Beleidigung	Beleidigung	Beleidigung	NN
s21	w179	des	des	d	ART
s21	w17a	Nächsten	Nechſten	Nächste	NN
