Sent_ID	Token_ID	Corr_token	Orig_token	Lemma	POS
s1	w1	D.	D.	D.	NE
s1	w2	Joh.	Joh.	Joh.	NE
s1	w3	Friedr.	Friedr.	Friedr.	NE
s1	w4	Blumenbach	Blumenbach	Blumenbach	NE
s1	w5	königl.	koͤnigl.	Königl.	NE
s1	w6	großbritannischer	grosbrittanniſcher	großbritannisch	ADJA
s1	w7	Hofrat	Hofrath	Hofrat	NN
s1	w8	und	und	und	KON
s1	w9	Prof.	Prof.	Prof.	NN
s1	wa	zu	zu	zu	APPR
s1	wb	Göttingen	Goͤttingen	Göttingen	NE
s1	wc	Über	Über	über	APPR
s1	wd	die	die	d	ART
s1	we	natürlichen	natuͤrlichen	natürlich	ADJA
s1	wf	Verschiedenheiten	Verſchiedenheiten	Verschiedenheit	NN
s1	w10	im	im	im	APPRART
s1	w11	Menschengeschlechte	Menſchengeſchlechte	Menschengeschlechte	NN
s1	w12	.	.	.	$.
s2	w13	Nach	Nach	nach	APPR
s2	w14	der	der	d	ART
s2	w15	dritten	dritten	dritt	ADJA
s2	w16	Ausgabe	Ausgabe	Ausgabe	NN
s2	w17	und	und	und	KON
s2	w18	den	den	d	ART
s2	w19	Erinnerungen	Erinnerungen	Erinnerung	NN
s2	w1a	des	des	d	ART
s2	w1b	Verfassers	Verfaſſers	Verfasser	NN
s2	w1c	übersetzt	uͤberſetzt	übersetzen	VVPP
s2	w1d	,	,	,	$,
s2	w1e	und	und	und	KON
s2	w1f	mit	mit	mit	APPR
s2	w20	einigen	einigen	einige	PIAT
s2	w21	Zusätzen	Zuſaͤtzen	Zusatz	NN
s2	w22	und	und	und	KON
s2	w23	erläuternden	erlaͤuternden	erläuternd	ADJA
s2	w24	Anmerkungen	Anmerkungen	Anmerkung	NN
s2	w25	herausgegeben	herausgegeben	herausgeben	VVPP
s2	w26	von	von	von	APPR
s2	w27	Johann	Johann	Johann	NE
s2	w28	Gottfried	Gottfried	Gottfried	NE
s2	w29	Gruber	Gruber	Gruber	NE
s2	w2a	Doktor	Doktor	Doktor	NN
s2	w2b	der	der	d	ART
s2	w2c	Philosophie	Philoſophie	Philosophie	NN
s2	w2d	.	.	.	$.
s3	w2e	Mit	Mit	mit	APPR
s3	w2f	Kupfern	Kupfern	Kupfer	NN
s3	w30	.	.	.	$.
s4	w31	Leipzig	Leipzig	Leipzig	NE
s4	w32	,	,	,	$,
s4	w33	bei	bey	bei	APPR
s4	w34	Breitkopf	Breitkopf	Breitkopf	NE
s4	w35	und	und	und	KON
s4	w36	Härtel	Haͤrtel	Härtel	NE
s4	w37	1798	1798	1798	CARD
s4	w38	.	.	.	$.
s4	w39	Blatt	Blatt	Blatt	NN
s4	w3a	,	,	,	$,
s4	w3b	nach	nach	nach	APPR
s4	w3c	angegebener	angegebener	angegeben	ADJA
s4	w3d	Seitenzahl	Seitenzahl	Seitenzahl	NN
s4	w3e	,	,	,	$,
s4	w3f	Stadt	Statt	Stadt	NN
s4	w40	dessen	deſſen	die	PDS
s4	w41	eingeheftet	eingeheftet	einheften	VVPP
s4	w42	.	.	.	$.
s5	w43	Seiner	Seiner	seine	PPOSAT
s5	w44	Hochwürdigen	Hochwuͤrdigen	hochwürdig	ADJA
s5	w45	Magnifizenz	Magnifizenz	Magnifizenz	NN
s5	w46	dem	dem	d	ART
s5	w47	Herrn	Herrn	Herr	NN
s5	w48	Vize-Präsidenten	Vize-Praͤſidenten	Vize-Präsident	NN
s5	w49	Herder	Herder	Herder	NE
s5	w4a	in	in	in	APPR
s5	w4b	Weimar	Weimar	Weimar	NE
s5	w4c	aus	aus	aus	APPR
s5	w4d	innigster	innigſter	innig	ADJA
s5	w4e	Verehrung	Verehrung	Verehrung	NN
s5	w4f	gewidmet	gewidmet	widmen	VVPP
s5	w50	.	.	.	$.
s6	w51	Gewiß	Gewiß	gewiß	ADV
s6	w52	ist	iſt	sein	VAFIN
s6	w53	es	es	es	PPER
s6	w54	,	,	,	$,
s6	w55	wenn	wenn	wenn	KOUS
s6	w56	auch	auch	auch	ADV
s6	w57	nicht	nicht	nicht	PTKNEG
s6	w58	eben	eben	eben	ADV
s6	w59	für	fuͤr	für	APPR
s6	w5a	den	den	d	ART
s6	w5b	Naturforscher	Naturforſcher	Naturforscher	NN
s6	w5c	von	von	von	APPR
s6	w5d	Profession	Profeſſion	Profession	NN
s6	w5e	,	,	,	$,
s6	w5f	welcher	welcher	welche	PRELS
s6	w60	ein	ein	eine	ART
s6	w61	so	ſo	so	ADV
s6	w62	treffliches	trefliches	trefflich	ADJA
s6	w63	Original	Original	Original	NN
s6	w64	wohl	wohl	wohl	ADV
s6	w65	mit	mit	mit	APPR
s6	w66	keiner	keiner	keine	PIAT
s6	w67	Übersetzung	Uiberſetzung	Übersetzung	NN
s6	w68	vertauschen	vertauſchen	vertauschen	VVINF
s6	w69	möchte	moͤchte	mögen	VMFIN
s6	w6a	,	,	,	$,
s6	w6b	so	ſo	so	ADV
s6	w6c	doch	doch	doch	ADV
s6	w6d	für	fuͤr	für	APPR
s6	w6e	den	den	d	ART
s6	w6f	Naturliebhaber	Naturliebhaber	Naturliebhaber	NN
s6	w70	,	,	,	$,
s6	w71	ein	ein	eine	ART
s6	w72	weder	weder	weder	KON
s6	w73	unangenehmes	unangenehmes	unangenehm	ADJA
s6	w74	noch	noch	noch	ADV
s6	w75	ungewünschtes	ungewuͤnſchtes	ungewünscht	ADJA
s6	w76	Geschenk	Geſchenk	Geschenk	NN
s6	w77	,	,	,	$,
s6	w78	was	was	was	PRELS
s6	w79	ich	ich	ich	PPER
s6	w7a	ihm	ihm	er	PPER
s6	w7b	hier	hier	hier	ADV
s6	w7c	übergebe	uͤbergebe	übergeben	VVFIN
s6	w7d	.	.	.	$.
s7	w7e	Überhaupt	Uiberhaupt	überhaupt	ADV
s7	w7f	hoffe	hoffe	hoffen	VVFIN
s7	w80	ich	ich	ich	PPER
s7	w81	auf	auf	auf	APPR
s7	w82	keinen	keinen	keine	PIAT
s7	w83	Fall	Fall	Fall	NN
s7	w84	wegen	wegen	wegen	APPR
s7	w85	Übertragung	Uibertragung	Übertragung	NN
s7	w86	dieses	dieſes	diese	PDAT
s7	w87	Werks	Werks	Werk	NN
s7	w88	getadelt	getadelt	tadeln	VVPP
s7	w89	zu	zu	zu	PTKZU
s7	w8a	werden	werden	werden	VAINF
s7	w8b	,	,	,	$,
s7	w8c	es	es	es	PPER
s7	w8d	müßte	muͤßte	müssen	VMFIN
s7	w8e	denn	denn	denn	ADV
s7	w8f	die	die	d	ART
s7	w90	Ausführung	Ausfuͤhrung	Ausführung	NN
s7	w91	desselben	deſſelben	desselben	PDAT
s7	w92	Tadel	Tadel	Tadel	NN
s7	w93	verdienen	verdienen	verdienen	VVINF
s7	w94	.	.	.	$.
s8	w95	Denn	Denn	denn	KON
s8	w96	abgerechnet	abgerechnet	abrechnen	VVPP
s8	w97	das	das	d	ART
s8	w98	Interesse	Intereſſe	Interesse	NN
s8	w99	,	,	,	$,
s8	w9a	welches	welches	welche	PRELS
s8	w9b	die	die	d	ART
s8	w9c	behandelte	behandelte	behandeln	VVFIN
s8	w9d	Materie	Materie	Materie	NN
s8	w9e	,	,	,	$,
s8	w9f	für	fuͤr	für	APPR
s8	wa0	den	den	d	ART
s8	wa1	philosophischen	philoſophiſchen	philosophisch	ADJA
s8	wa2	Geschichtsforscher	Geſchichtsforſcher	Geschichtesforscher	NN
s8	wa3	der	der	d	ART
s8	wa4	Menschheit	Menſchheit	Menschheit	NN
s8	wa5	,	,	,	$,
s8	wa6	ja	ja	ja	ADV
s8	wa7	gewissermaßen	gewiſſermaßen	gewißermaßen	ADV
s8	wa8	selbst	ſelbſt	selbst	ADV
s8	wa9	für	fuͤr	für	APPR
s8	waa	den	den	d	ART
s8	wab	bloßen	bloßen	bloß	ADJA
s8	wac	Universalhistoriker	Univerſalhiſtoriker	Universalhistoriker	NN
s8	wad	hat	hat	haben	VAFIN
s8	wae	,	,	,	$,
s8	waf	wüßte	wuͤßte	wissen	VVFIN
s8	wb0	ich	ich	ich	PPER
s8	wb1	auch	auch	auch	ADV
s8	wb2	überhaupt	uͤberhaupt	überhaupt	ADV
s8	wb3	keine	keine	keine	PIAT
s8	wb4	,	,	,	$,
s8	wb5	welche	welche	welche	PRELS
s8	wb6	für	fuͤr	für	APPR
s8	wb7	den	den	d	ART
s8	wb8	Menschen	Menſchen	Mensch	NN
s8	wb9	als	als	als	KOKOM
s8	wba	solchen	ſolchen	solch	PIS
s8	wbb	wichtiger	wichtiger	wichtig	ADJD
s8	wbc	sein	ſeyn	sein	VAINF
s8	wbd	könnte	koͤnnte	können	VMFIN
s8	wbe	.	.	.	$.
s9	wbf	Ich	Ich	ich	PPER
s9	wc0	getraue	getraue	getrauen	VVFIN
s9	wc1	mich	mich	ich	PPER
s9	wc2	zu	zu	zu	PTKZU
s9	wc3	behaupten	behaupten	behaupten	VVINF
s9	wc4	,	,	,	$,
s9	wc5	und	und	und	KON
s9	wc6	was	was	was	PWS
s9	wc7	sich	ſich	sich	PRF
s9	wc8	von	von	von	APPR
s9	wc9	selbst	ſelbſt	selbst	ADV
s9	wca	versteht	verſteht	verstehen	VVFIN
s9	wcb	,	,	,	$,
s9	wcc	mit	mit	mit	APPR
s9	wcd	Beweisen	Beweiſen	Beweis	NN
s9	wce	zu	zu	zu	PTKZU
s9	wcf	belegen	belegen	belegen	VVINF
s9	wd0	,	,	,	$,
s9	wd1	daß	daß	daß	KOUS
s9	wd2	in	in	in	APPR
s9	wd3	Europa	Europa	Europa	NE
s9	wd4	allgemeine	allgemeine	allgemein	ADJA
s9	wd5	Duldung	Duldung	Duldung	NN
s9	wd6	,	,	,	$,
s9	wd7	echte	aͤchte	echt	ADJA
s9	wd8	Humanität	Humanitaͤt	Humanität	NN
s9	wd9	,	,	,	$,
s9	wda	nie	nie	nie	ADV
s9	wdb	so	ſo	so	ADV
s9	wdc	verbreitet	verbreitet	verbreiten	VVPP
s9	wdd	gewesen	geweſen	sein	VAPP
s9	wde	sind	ſind	sein	VAFIN
s9	wdf	,	,	,	$,
s9	we0	als	als	als	KOKOM
s9	we1	seit	ſeit	seit	APPR
s9	we2	die	die	d	ART
s9	we3	Behandlung	Behandlung	Behandlung	NN
s9	we4	dieser	dieſer	diese	PDAT
s9	we5	Materie	Materie	Materie	NN
s9	we6	von	von	von	APPR
s9	we7	einigen	einigen	einige	PIAT
s9	we8	Schriftstellern	Schriftſtellern	Schriftsteller	NN
s9	we9	,	,	,	$,
s9	wea	welche	welche	welche	PWAT
s9	web	Einfluß	Einfluß	Einfluß	NN
s9	wec	auf	auf	auf	APPR
s9	wed	das	das	d	ART
s9	wee	Publikum	Publikum	Publikum	NN
s9	wef	hatten	hatten	haben	VAFIN
s9	wf0	,	,	,	$,
s9	wf1	auf	auf	auf	APPR
s9	wf2	die	die	d	ART
s9	wf3	Bahn	Bahn	Bahn	NN
s9	wf4	gebracht	gebracht	bringen	VVPP
s9	wf5	worden	worden	werden	VAPP
s9	wf6	ist	iſt	sein	VAFIN
s9	wf7	.	.	.	$.
sa	wf8	Und	Und	und	KON
sa	wf9	,	,	,	$,
sa	wfa	wie	wie	wie	PWAV
sa	wfb	natürlich	natuͤrlich	natürlich	ADV
sa	wfc	,	,	,	$,
sa	wfd	unvermerkt	unvermerkt	unvermerkt	ADV
sa	wfe	erweiterten	erweiterten	erweitert	ADJA
sa	wff	sich	ſich	sich	PRF
sa	w100	die	die	d	ART
sa	w101	vorher	vorher	vorher	ADV
sa	w102	engen	engen	eng	ADJA
sa	w103	Begriffe	Begriffe	Begriff	NN
sa	w104	über	uͤber	über	APPR
sa	w105	Charakter	Charakter	Charakter	NN
sa	w106	und	und	und	KON
sa	w107	Wert	Werth	Wert	NN
sa	w108	der	der	d	ART
sa	w109	Menschheit	Menſchheit	Menschheit	NN
sa	w10a	.	.	.	$.
sb	w10b	Indem	Indem	indem	KOUS
sb	w10c	man	man	man	PIS
