Sent_ID	Token_ID	Corr_token	Orig_token	Lemma	POS
s9	w224	SERENISSIMI	SERENISSIMI	Serenissimus	NN
s9	w225	Rudolph-Auguste	RUDOLPH-AUGUSTI	Rudolph-Auguste	NE
s9	w226	renoviertes	renovirtes	renoviert	ADJA
s9	w227	Verbot	Verboht	Verbot	NN
s9	w228	wegen	wegen	wegen	APPR
s9	w229	der	der	d	ART
s9	w22a	Zigeuner	Ziegeuner	Zigeuner	NN
s9	w22b	und	und	und	KON
s9	w22c	Tartaren	Tartarn	Tartar	NN
s9	w22d	.	.	.	$.
s1	w1	Von	VOn	von	APPR
s1	w2	Gottes	GOttes	Gott	NN
s1	w3	Gnaden	Gnaden	Gnade	NN
s1	w4	Wir	Wir	wir	PPER
s1	w5	Rudolf	Rudolff	Rudolf	NE
s1	w6	Augusts	Auguſts	August	NE
s1	w7	/	/	/	$(
s1	w8	Herzog	Hertzog	Herzog	NE
s1	w9	zu	zu	zu	APPR
s1	wa	Braunsweig	Braunsweig	Braunsweig	NE
s1	wb	und	und	und	KON
s1	wc	Lüneburg	Luͤneburg	Lüneburg	NE
s1	wd	/	/	/	$(
s1	we	etc.	ꝛc.	etc.	ADV
s1	wf	Uhrkunden	Uhrkunden	Uhrkunde	NN
s1	w10	und	und	und	KON
s1	w11	fügen	fuͤgen	fügen	VVFIN
s1	w12	hiermit	hiemit	hiermit	PAV
s1	w13	zuwissen	zuwiſſen	zuwissen	VVINF
s1	w14	/	/	/	$(
s1	w15	was	was	was	PWS
s1	w16	Gestalt	geſtalt	Gestalt	NN
s1	w17	Wir	Wir	wir	PPER
s1	w18	in	in	in	APPR
s1	w19	Erfahrung	Erfahrung	Erfahrung	NN
s1	w1a	kommen	kommen	kommen	VVINF
s1	w1b	/	/	/	$(
s1	w1c	daß	daß	daß	KOUS
s1	w1d	die	die	d	ART
s1	w1e	Zigeuner	Ziegeuner	Zigeuner	NN
s1	w1f	/	/	/	$(
s1	w20	so	ſo	so	ADV
s1	w21	sonsten	ſonſten	sonsten	ADV
s1	w22	Tartaren	Tartarn	Tartar	NN
s1	w23	ins	ins	ins	APPRART
s1	w24	gemein	gemein	gemein	ADJD
s1	w25	genannt	genennet	nennen	VVPP
s1	w26	werden	weꝛden	werden	VAINF
s1	w27	/	/	/	$(
s1	w28	sich	ſich	sich	PRF
s1	w29	wieder	wieder	wieder	ADV
s1	w2a	hervor	heꝛvor	hervor	PTKVZ
s1	w2b	tun	thun	tun	VVINF
s1	w2c	/	/	/	$(
s1	w2d	und	und	und	KON
s1	w2e	auch	auch	auch	ADV
s1	w2f	unser	unſer	unsere	PPOSAT
s1	w30	Land	Land	Land	NN
s1	w31	hin	hin	hin	PTKVZ
s1	w32	und	und	und	KON
s1	w33	wieder	wieder	wieder	ADV
s1	w34	durchziehen	durchziehen	durchziehen	VVINF
s1	w35	sollen	ſollen	sollen	VMFIN
s1	w36	.	.	.	$.
s2	w37	Ob	Ob	ob	KOUS
s2	w38	nun	nun	nun	ADV
s2	w39	zwart	zwart	Zwart	NE
s2	w3a	deswegen	deßwegen	deswegen	PAV
s2	w3b	nicht	nicht	nicht	PTKNEG
s2	w3c	allein	allein	allein	ADV
s2	w3d	in	in	in	APPR
