Sent_ID	Token_ID	Corr_token	Orig_token	Lemma	POS
s1	w1	Gaben	Gaben	Gabe	NN
s1	w2	der	der	d	ART
s1	w3	Milde	Milde	Milde	NN
s1	w4	.	.	.	$.
s2	w5	Viertes	Viertes	viert	ADJA
s2	w6	Bändchen	Bändchen	Bandchen	NN
s2	w7	.	.	.	$.
s3	w8	Mit	Mit	mit	APPR
s3	w9	Beiträgen	Beiträgen	Beitrag	NN
s3	wa	von	von	von	APPR
s3	wb	L.	L.	L.	NE
s3	wc	Achim	Achim	Achim	NE
s3	wd	von	von	von	APPR
s3	we	Arnim	Arnim	Arnim	NE
s3	wf	,	,	,	$,
s3	w10	F.	F.	F.	NE
s3	w11	W.	W.	W.	NE
s3	w12	Gubitz	Gubitz	Gubitz	NE
s3	w13	,	,	,	$,
s3	w14	Heraklius	Heraklius	Heraklius	NE
s3	w15	,	,	,	$,
s3	w16	C.	C.	C.	NE
s3	w17	F.	F.	F.	NE
s3	w18	E.	E.	E.	NE
s3	w19	Ludwig	Ludwig	Ludwig	NE
s3	w1a	.	.	.	$.
s4	w1b	Wilh.	Wilh.	Wilh.	NE
s4	w1c	Müller	Müller	Müller	NE
s4	w1d	,	,	,	$,
s4	w1e	L.	L.	L.	NE
s4	w1f	Velhar	Velhar	Velhar	NE
s4	w20	und	und	und	KON
s4	w21	Julius	Julius	Julius	NE
s4	w22	von	von	von	APPR
s4	w23	Voß	Voß	Voß	NE
s4	w24	.	.	.	$.
s5	w25	Für	Für	für	APPR
s5	w26	die	die	d	ART
s5	w27	Bücher-Verloosung	Bücher-Verlooſung	Bücher-Verloosung	NE
s5	w28	""""	„	""""	$(
s5	w29	zum	zum	zum	APPRART
s5	w2a	Vorteil	Vortheil	Vorteil	NN
s5	w2b	hilfloser	hülfloſer	hilflos	ADJA
s5	w2c	Krieger	Krieger	Krieger	NN
s5	w2d	""""	“	""""	$(
s5	w2e	herausgegeben	herausgegeben	herausgeben	VVPP
s5	w2f	von	von	von	APPR
s5	w30	F.	F.	F.	NE
s5	w31	W.	W.	W.	NE
s5	w32	Gubitz	Gubitz	Gubitz	NE
s5	w33	.	.	.	$.
s6	w34	Berlin	Berlin	Berlin	NE
s6	w35	,	,	,	$,
s6	w36	1818	1818	1818	CARD
s6	w37	.	.	.	$.
s107	w239a	Der	Der	d	ART
s107	w239b	tolle	tolle	toll	ADJA
s107	w239c	Invalide	Invalide	Invalide	NE
s107	w239d	auf	auf	auf	APPR
s107	w239e	dem	dem	d	ART
s107	w239f	Fort	Fort	Fort	NN
s107	w23a0	Ratonneau	Ratonneau	Ratonneau	NN
s107	w23a1	.	.	.	$.
s7	w38	Erzählung	Erzählung	Erzählung	NN
s7	w39	von	von	von	APPR
s7	w3a	L.	L.	L.	NE
s7	w3b	Achim	Achim	Achim	NE
s7	w3c	von	von	von	APPR
s7	w3d	Arnim	Arnim	Arnim	NE
s7	w3e	.	.	.	$.
s8	w3f	Graf	Graf	Graf	NE
s8	w40	Dürande	Dürande	Dürande	NE
s8	w41	,	,	,	$,
s8	w42	der	der	d	ART
s8	w43	gute	gute	gut	ADJA
s8	w44	alte	alte	alt	ADJA
s8	w45	Kommandant	Kommandant	Kommandant	NN
s8	w46	von	von	von	APPR
s8	w47	Marseille	Marſeille	Marseille	NE
s8	w48	,	,	,	$,
s8	w49	saß	ſaß	sitzen	VVFIN
s8	w4a	einsam	einſam	einsam	ADJD
s8	w4b	frierend	frierend	frieren	VVPP
s8	w4c	an	an	an	APPR
s8	w4d	einem	einem	eine	ART
s8	w4e	kalt	kalt	kalt	ADJD
s8	w4f	stürmenden	ſtürmenden	stürmend	ADJA
s8	w50	Oktoberabende	Oktoberabende	Oktoberabend	NN
s8	w51	bei	bei	bei	APPR
s8	w52	dem	dem	d	ART
s8	w53	schlecht	ſchlecht	schlecht	ADJD
s8	w54	eingerichteten	eingerichteten	eingerichtet	ADJA
s8	w55	Kamine	Kamine	Kamin	NN
s8	w56	seiner	ſeiner	seine	PPOSAT
s8	w57	prachtvollen	prachtvollen	prachtvoll	ADJA
s8	w58	Kommandantenwohnung	Kommandantenwohnung	Kommandantenwohnung	NN
s8	w59	und	und	und	KON
s8	w5a	rückte	rückte	rücken	VVFIN
s8	w5b	immer	immer	immer	ADV
s8	w5c	näher	näher	nah	ADJD
s8	w5d	und	und	und	KON
s8	w5e	näher	näher	nah	ADJD
s8	w5f	zum	zum	zum	APPRART
s8	w60	Feuer	Feuer	Feuer	NN
s8	w61	,	,	,	$,
s8	w62	während	während	während	KOUS
s8	w63	die	die	d	ART
s8	w64	Kutschen	Kutſchen	Kutsche	NN
s8	w65	zu	zu	zu	APPR
s8	w66	einem	einem	eine	ART
s8	w67	großen	großen	groß	ADJA
s8	w68	Balle	Balle	Ball	NN
s8	w69	in	in	in	APPR
s8	w6a	der	der	d	ART
s8	w6b	Straße	Straße	Straße	NN
s8	w6c	vorüber	vorüber	vorüber	ADV
s8	w6d	rollten	rollten	rollen	VVFIN
s8	w6e	,	,	,	$,
s8	w6f	und	und	und	KON
s8	w70	sein	ſein	sein	PPOSAT
s8	w71	Kammerdiener	Kammerdiener	Kammerdiener	NN
s8	w72	Basset	Baſſet	Basset	NE
s8	w73	,	,	,	$,
s8	w74	der	der	die	PRELS
s8	w75	zugleich	zugleich	zugleich	ADV
s8	w76	sein	ſein	sein	PPOSAT
s8	w77	liebster	liebſter	lieb	ADJA
s8	w78	Gesellschafter	Geſellſchafter	Gesellschafter	NN
s8	w79	war	war	sein	VAFIN
s8	w7a	,	,	,	$,
s8	w7b	im	im	im	APPRART
s8	w7c	Vorzimmer	Vorzimmer	Vorzimmer	NN
s8	w7d	heftig	heftig	heftig	ADJD
s8	w7e	schnarchte	ſchnarchte	schnarchen	VVFIN
s8	w7f	.	.	.	$.
s9	w80	Auch	Auch	auch	ADV
s9	w81	im	im	im	APPRART
s9	w82	südlichen	ſüdlichen	südlich	ADJA
s9	w83	Frankreich	Frankreich	Frankreich	NE
s9	w84	ist	iſt	sein	VAFIN
s9	w85	es	es	es	PPER
s9	w86	nicht	nicht	nicht	PTKNEG
s9	w87	immer	immer	immer	ADV
s9	w88	warm	warm	warm	ADJD
s9	w89	,	,	,	$,
s9	w8a	dachte	dachte	denken	VVFIN
s9	w8b	der	der	d	ART
s9	w8c	alte	alte	alt	ADJA
s9	w8d	Herr	Herr	Herr	NN
s9	w8e	,	,	,	$,
s9	w8f	und	und	und	KON
s9	w90	schüttelte	ſchüttelte	schütteln	VVFIN
s9	w91	mit	mit	mit	APPR
s9	w92	dem	dem	d	ART
s9	w93	Kopfe	Kopfe	Kopf	NN
s9	w94	,	,	,	$,
s9	w95	die	die	d	ART
s9	w96	Menschen	Menſchen	Mensch	NN
s9	w97	bleiben	bleiben	bleiben	VVFIN
s9	w98	auch	auch	auch	ADV
s9	w99	da	da	da	ADV
s9	w9a	nicht	nicht	nicht	PTKNEG
s9	w9b	immer	immer	immer	ADV
s9	w9c	jung	jung	jung	ADJD
s9	w9d	,	,	,	$,
s9	w9e	aber	aber	aber	ADV
s9	w9f	die	die	d	ART
s9	wa0	lebhafte	lebhafte	lebhaft	ADJA
s9	wa1	gesellige	geſellige	gesellig	ADJA
s9	wa2	Bewegung	Bewegung	Bewegung	NN
s9	wa3	nimmt	nimmt	nehmen	VVFIN
s9	wa4	so	ſo	so	ADV
s9	wa5	wenig	wenig	wenig	PIAT
s9	wa6	Rücksicht	Rückſicht	Rücksicht	NN
s9	wa7	auf	auf	auf	APPR
s9	wa8	das	das	d	ART
s9	wa9	Alter	Alter	Alter	NN
s9	waa	,	,	,	$,
s9	wab	wie	wie	wie	PWAV
s9	wac	die	die	d	ART
s9	wad	Baukunst	Baukunſt	Baukunst	NN
s9	wae	auf	auf	auf	APPR
s9	waf	den	den	d	ART
s9	wb0	Winter	Winter	Winter	NN
s9	wb1	.	.	.	$.
sa	wb2	Was	Was	was	PWS
sa	wb3	sollte	ſollte	sollen	VMFIN
sa	wb4	er	er	er	PPER
sa	wb5	,	,	,	$,
sa	wb6	der	der	d	ART
sa	wb7	Chef	Chef	Chef	NN
sa	wb8	aller	aller	alle	PIAT
sa	wb9	Invaliden	Invaliden	Invalide	NN
sa	wba	,	,	,	$,
sa	wbb	die	die	die	PRELS
sa	wbc	damals	damals	damals	ADV
sa	wbd	(	(	(	$(
sa	wbe	während	während	während	APPR
sa	wbf	des	des	d	ART
sa	wc0	siebenjährigen	ſiebenjährigen	siebenjahrig	ADJA
sa	wc1	Krieges	Krieges	Krieg	NN
sa	wc2	)	)	)	$(
sa	wc3	die	die	d	ART
sa	wc4	Besatzung	Beſatzung	Besatzung	NN
sa	wc5	von	von	von	APPR
sa	wc6	Marseille	Marſeille	Marseille	NE
sa	wc7	und	und	und	KON
sa	wc8	seiner	ſeiner	seine	PPOSAT
