Sent_ID	Token_ID	Corr_token	Orig_token	Lemma	POS
s1	w1	Fenitschka	Fenitſchka	Fenitschka	NE
s1	w2	.	.	.	$.
s2	w3	Eine	Eine	eine	ART
s2	w4	Ausschweifung	Ausſchweifung	Ausschweifung	NN
s2	w5	.	.	.	$.
s3	w6	Zwei	Zwei	zwei	CARD
s3	w7	Erzählungen	Erzählungen	Erzählung	NN
s3	w8	von	von	von	APPR
s3	w9	Lou	Lou	Lou	NE
s3	wa	Andreas-Salomé	Andreas-Salomé	Andreas-Salomé	NE
s3	wb	.	.	.	$.
s4	wc	Stuttgart	Stuttgart	Stuttgart	NE
s4	wd	1898	1898	1898	CARD
s4	we	.	.	.	$.
s5	wf	Verlag	Verlag	Verlag	NN
s5	w10	der	der	d	ART
s5	w11	J.	J.	J.	NE
s5	w12	G.	G.	G.	NE
s5	w13	Cotta'schen	Cotta'ſchen	Cotta'schen	NE
s5	w14	Buchhandlung	Buchhandlung	Buchhandlung	NN
s5	w15	Nachfolger	Nachfolger	Nachfolger	NN
s5	w16	.	.	.	$.
s6	w17	Alle	Alle	alle	PIAT
s6	w18	Rechte	Rechte	Rechte	NN
s6	w19	vorbehalten	vorbehalten	vorbehalten	VVPP
s6	w1a	.	.	.	$.
s7	w1b	Druck	Druck	Druck	NN
s7	w1c	der	der	d	ART
s7	w1d	Union	Union	Union	NN
s7	w1e	Deutsche	Deutſche	deutsch	ADJA
s7	w1f	Verlagsgesellschaft	Verlagsgeſellſchaft	Verlagsgesellschaft	NN
s7	w20	in	in	in	APPR
s7	w21	Stuttgart	Stuttgart	Stuttgart	NE
s7	w22	.	.	.	$.
s8b6	wb056	Fenitschka	Fenitſchka	Fenitschka	NE
s8b6	wb057	.	.	.	$.
s8	w23	Es	Es	es	PPER
s8	w24	war	war	sein	VAFIN
s8	w25	im	im	im	APPRART
s8	w26	September	September	September	NN
s8	w27	,	,	,	$,
s8	w28	der	der	d	ART
s8	w29	stillsten	ſtillſten	still	ADJA
s8	w2a	Zeit	Zeit	Zeit	NN
s8	w2b	des	des	d	ART
s8	w2c	Pariser	Pariſer	Pariser	ADJA
s8	w2d	Lebens	Lebens	Leben	NN
s8	w2e	.	.	.	$.
s9	w2f	Die	Die	d	ART
s9	w30	vornehme	vornehme	vornehm	ADJA
s9	w31	Welt	Welt	Welt	NN
s9	w32	steckte	ſteckte	stecken	VVFIN
s9	w33	in	in	in	APPR
s9	w34	den	den	d	ART
s9	w35	Seebädern	Seebädern	Seebad	NN
s9	w36	,	,	,	$,
s9	w37	die	die	d	ART
s9	w38	Fremden	Fremden	Fremde	NN
s9	w39	wurden	wurden	werden	VAFIN
s9	w3a	scharenweise	ſcharenweiſe	scharenweise	ADV
s9	w3b	von	von	von	APPR
s9	w3c	der	der	d	ART
s9	w3d	drückenden	drückenden	drückend	ADJA
s9	w3e	Hitze	Hitze	Hitze	NN
s9	w3f	vertrieben	vertrieben	vertreiben	VVPP
s9	w40	.	.	.	$.
sa	w41	Trotzdem	Trotzdem	trotzdem	PAV
sa	w42	drängte	drängte	drängen	VVFIN
sa	w43	sich	ſich	sich	PRF
sa	w44	an	an	an	APPR
sa	w45	den	den	d	ART
sa	w46	schwülen	ſchwülen	schwül	ADJA
sa	w47	Abenden	Abenden	Abend	NN
sa	w48	auf	auf	auf	APPR
sa	w49	den	den	d	ART
sa	w4a	Boulevards	Boulevards	Boulevard	NN
sa	w4b	eine	eine	eine	ART
sa	w4c	so	ſo	so	ADV
sa	w4d	vielköpfige	vielköpfige	vielköpfig	ADJA
sa	w4e	Menge	Menge	Menge	NN
sa	w4f	,	,	,	$,
