Sent_ID	Token_ID	Corr_token	Orig_token	Lemma	POS
s7	w2ba	SERENISSIMI	SERENISSIMI	Serenissimus	NN
s7	w2bb	Rudolph-Auguste	RUDOLPH-AUGUSTI	Rudolph-Auguste	NE
s7	w2bc	Abermahl-renovirtes	Abermahl-renovirtes	Abermahl-Renovirtes	NE
s7	w2bd	Verbot	Verboht	Verbot	NN
s7	w2be	wegen	wegen	wegen	APPR
s7	w2bf	der	der	d	ART
s7	w2c0	Zigeuner	Ziegeuner	Zigeuner	NN
s7	w2c1	und	und	und	KON
s7	w2c2	Tartaren	Tartarn	Tartar	NN
s7	w2c3	.	.	.	$.
s1	w1	Von	VOn	von	APPR
s1	w2	Gottes	Gottes	Gott	NN
s1	w3	Gnaden	Gnaden	Gnade	NN
s1	w4	Wir	Wir	wir	PPER
s1	w5	Rudolph-Augusts	RUDOLPH-AUGUSTS	Rudolph-August	NN
s1	w6	,	,	,	$,
s1	w7	Herzog	Hertzog	Herzog	NE
s1	w8	zu	zu	zu	APPR
s1	w9	Braunschweig	Braunſchweig	Braunschweig	NE
s1	wa	und	uñ	und	KON
s1	wb	Lüneburg	Luͤneburg	Lüneburg	NE
s1	wc	etc.	ꝛc.	etc.	ADV
s1	wd	Uhrkunden	Uhrkunden	Uhrkunde	NN
s1	we	und	und	und	KON
s1	wf	fügen	fuͤgen	fügen	VVFIN
s1	w10	hiermit	hiemit	hiermit	PAV
s1	w11	zuwissen	zuwiſſen	zuwissen	VVINF
s1	w12	/	/	/	$(
s1	w13	ob	ob	ob	KOUS
s1	w14	Wir	Wir	wir	PPER
s1	w15	Uns	Uns	wir	PPER
s1	w16	wohl	wol	wohl	ADV
s1	w17	gänzlich	gaͤntzlich	gänzlich	ADJD
s1	w18	versehen	verſehen	versehen	VVPP
s1	w19	,	,	,	$,
s1	w1a	es	es	es	PPER
s1	w1b	würde	wuͤrde	werden	VAFIN
s1	w1c	denen	denen	die	PDS
s1	w1d	in	in	in	APPR
s1	w1e	Unseren	Unſern	unsere	PPOSAT
s1	w1f	Fürstentum	Fuͤrſtenthum	Fürstentum	NN
s1	w20	und	und	und	KON
s1	w21	Landen	Landen	Land	NN
s1	w22	wider	wider	wider	APPR
s1	w23	die	die	die	PRELS
s1	w24	herum	herumb	herum	APZR
s1	w25	vagierende	vagirende	vagierend	ADJA
s1	w26	Zigeuner	Zigeuner	Zigeuner	NN
s1	w27	/	/	/	$(
s1	w28	oder	oder	oder	KON
s1	w29	so	ſo	so	ADV
s1	w2a	genante	genandte	genant	ADJA
s1	w2b	Tartaren	Tartarn	Tartar	NN
s1	w2c	vielfältig	vielfaͤltig	vielfältig	ADJD
s1	w2d	publizierten	publicirten	publiziert	ADJA
s1	w2e	/	/	/	$(
s1	w2f	und	und	und	KON
s1	w30	auf	auf	auf	APPR
s1	w31	denen	denen	die	PRELS
s1	w32	Reichs-Konstitutionen	Reichs-Conſtitutionen	Reichs-Konstitution	NN
s1	w33	und	und	und	KON
s1	w34	der	der	d	ART
s1	w35	Reichs-Policey-Ordnung	Reichs-Policey-Ordnung	Reichs-Policey-Ordnung	NN
s1	w36	gegründeten	gegruͤndeten	gegründet	ADJA
s1	w37	Edikten	Edicten	Edikt	NN
s1	w38	,	,	,	$,
s1	w39	sonderlich	ſonderlich	sonderlich	ADJD
s1	w3a	da	da	da	ADV
s1	w3b	selbige	ſelbige	selbig	ADJA
s1	w3c	am	am	am	APPRART
s1	w3d	26.	26.	26.	ADJA
s1	w3e	Sept.	Sept.	Sept.	NN
s1	w3f	Anno	Anno	Anno	NN
s1	w40	1669	1669	1669	CARD
s1	w41	.	.	.	$.
s1	w42	von	von	von	APPR
s1	w43	Uns	Uns	wir	PPER
s1	w44	durch	durch	durch	APPR
s1	w45	offenen	offenen	offen	ADJA
s1	w46	Anschlag	Anſchlag	Anschlag	NN
s1	w47	erneuert	erneuert	erneuern	VVPP
s1	w48	worden	worden	werden	VAPP
s1	w49	/	/	/	$(
s1	w4a	gehorsamlich	gehorſamlich	gehorsamlich	ADJD
s1	w4b	nachgelebt	nachgelebet	nachleben	VVPP
s1	w4c	/	/	/	$(
s1	w4d	und	und	und	KON
s1	w4e	von	von	von	APPR
s1	w4f	Unseren	Unſern	unsere	PPOSAT
s1	w50	Magistraten	Magiſtraten	Magistrat	NN
s1	w51	/	/	/	$(
s1	w52	Gerichts-Herrn	Gerichts-Herrn	Gerichts-Herr	NN
s1	w53	und	und	und	KON
s1	w54	Beamten	Beambten	Beamte	NN
s1	w55	darüber	daruͤber	darüber	PAV
s1	w56	mit	mit	mit	APPR
s1	w57	nachdrücklicherem	nachdruͤcklicherm	nachdrücklich	ADJA
s1	w58	Ernst	Ernſt	Ernst	NN
s1	w59	gehalten	gehalten	halten	VVPP
s1	w5a	sein	ſeyn	sein	VAINF
s1	w5b	;	;	;	$.
s1	w5c	So	So	so	ADV
s1	w5d	müssen	muͤſſen	müssen	VMFIN
s1	w5e	Wir	Wir	wir	PPER
s1	w5f	dennoch	dennoch	dennoch	ADV
s1	w60	mit	mit	mit	APPR
s1	w61	höhesten	hoͤheſten	Höhesten	NE
s1	w62	Unseren	Unſern	unsere	PPOSAT
s1	w63	Mißfallen	Mißfallen	Mißfallen	NN
s1	w64	wahrnehmen	wahrnehmen	wahrnehmen	VVINF
s1	w65	/	/	/	$(
s1	w66	daß	daß	daß	KOUS
s1	w67	nichts	nichts	nichts	PIS
s1	w68	desto	deſto	desto	ADV
s1	w69	weniger	weniger	wenige	ADV
s1	w6a	solch	ſolch	solch	PIAT
s1	w6b	unleidliches	unleidliches	unleidlich	ADJA
s1	w6c	Gesinde	Geſinde	Gesinde	NN
s1	w6d	sich	ſich	sich	PRF
s1	w6e	verschiedentlich	verſchiedentlich	verschiedentlich	ADJD
s1	w6f	hervortun	hervorthun	hervortuen	VVINF
s1	w70	/	/	/	$(
s1	w71	aus	aus	aus	APPR
s1	w72	denen	denen	die	PRELS
s1	w73	Benagbarten	benachtbarten	Benagbarte	NN
s1	w74	Provinzen	Provincien	Provinz	NN
s1	w75	sich	ſich	sich	PRF
s1	w76	in	in	in	APPR
s1	w77	Unser	Unſer	unsere	PPOSAT
s1	w78	Lande	Lande	Land	NN
s1	w79	einschleichen	einſchleichen	einschleichen	VVINF
s1	w7a	/	/	/	$(
s1	w7b	und	und	und	KON
