Sent_ID	Token_ID	Corr_token	Orig_token	Lemma	POS
s3	w107	Von	Von	von	APPR
s3	w108	Gottes	Gottes	Gott	NN
s3	w109	Gnaden	Gnaden	Gnade	NN
s3	w10a	Wir	Wir	wir	PPER
s3	w10b	Ernst	Ernſt	Ernst	NE
s3	w10c	Augusts	Auguſts	August	NE
s3	w10d	/	/	/	$(
s3	w10e	Herzog	Hertzog	Herzog	NE
s3	w10f	zu	zu	zu	APPR
s3	w110	Braunschweig	Braunſchweig	Braunschweig	NE
s3	w111	und	und	und	KON
s3	w112	Lüneburg	Luͤneburg	Lüneburg	NE
s3	w113	/	/	/	$(
s3	w114	des	des	d	ART
s3	w115	Heil.	Heil.	Heil.	ADJA
s3	w116	Köm	Koͤm	Köm	NN
s3	w117	.	.	.	$.
s4	w118	Reichs	Reichs	Reichs	NE
s4	w119	Kurfürst	Churfuͤrſt	Kurfürst	NE
s4	w11a	/	/	/	$(
s4	w11b	Bischof	Biſchoff	Bischof	NN
s4	w11c	zu	zu	zu	APPR
s4	w11d	Osnabrück	Oßnabruͤck	Osnabrück	NE
s4	w11e	/	/	/	$(
s4	w11f	etc	ꝛc	et_cetera	ADV
s4	w120	.	.	.	$.
s1	w1	Fügen	Fuͤgen	Fügen	NN
s1	w2	hiermit	hiemit	hiermit	PAV
s1	w3	zu	zu	zu	PTKZU
s1	w4	wissen	wiſſen	wissen	VVINF
s1	w5	/	/	/	$(
s1	w6	demnach	demnach	demnach	PAV
s1	w7	Wir	Wir	wir	PPER
s1	w8	zu	zu	zu	APPR
s1	w9	Unserem	Vnſerm	unsere	PPOSAT
s1	wa	sonderbaren	ſonderbahren	sonderbar	ADJA
s1	wb	Mißfallen	Mißfallen	Mißfallen	NN
s1	wc	berichtet	berichtet	berichten	VVPP
s1	wd	worden	worden	werden	VAPP
s1	we	/	/	/	$(
s1	wf	daß	daß	daß	KOUS
s1	w10	eine	eine	eine	ART
s1	w11	Zeither	Zeithero	zeither	ADV
s1	w12	vielfältige	vielfaͤltige	vielfältig	ADJA
s1	w13	räuberische	raͤuberſche	räuberisch	ADJA
s1	w14	Parteien	Partheien	Partei	NN
s1	w15	und	und	und	KON
s1	w16	Zigeuner	Ziegeuner	Zigeuner	NN
s1	w17	/	/	/	$(
s1	w18	denen	denen	die	PRELS
s1	w19	desfalls	deßfals	desfalls	ADV
s1	w1a	vorhin	vorhin	vorhin	ADV
s1	w1b	ergangenen	ergangenen	ergehen	ADJA
s1	w1c	und	und	und	KON
s1	w1d	publizierten	publicirten	publiziert	ADJA
s1	w1e	verschiedenen	verſchiedenen	verschieden	ADJA
s1	w1f	Edictis	Edictis	Edictis	NE
s1	w20	zu	zu	zu	PTKZU
s1	w21	wider	wider	wider	PTKVZ
s1	w22	/	/	/	$(
s1	w23	in	in	in	APPR
s1	w24	Unserem	Vnſerm	unsere	PPOSAT
s1	w25	Kurfürstentum	Churfuͤrſtenthumb	Kurfürstentum	NN
s1	w26	und	und	und	KON
s1	w27	Landen	Landen	Land	NN
s1	w28	herum	herum	herum	APZR
s1	w29	vagieren	vagiren	vagieren	VVINF
s1	w2a	,	,	,	$,
s1	w2b	und	und	und	KON
s1	w2c	Unsern	Vnſern	unsere	PPOSAT
s1	w2d	Untertanen	Vnterthanen	Untertan	NN
s1	w2e	mit	mit	mit	APPR
s1	w2f	ihrem	ihrem	ihr	PPOSAT
s1	w30	Rauben	Rauben	Raub	NN
s1	w31	und	und	und	KON
s1	w32	Stelen	Stelen	Stele	NN
s1	w33	großen	groſſen	groß	ADJA
s1	w34	Schaden	Schaden	Schaden	NN
s1	w35	zufügen	zufuͤgen	zufügen	VVINF
s1	w36	;	;	;	$.
s1	w37	So	So	so	ADV
s1	w38	haben	haben	haben	VAFIN
s1	w39	Wir	Wir	wir	PPER
s1	w3a	/	/	/	$(
s1	w3b	aus	aus	aus	APPR
s1	w3c	Landes-Väterlicher	Landes-Vaͤterlicher	landes-väterlich	ADJA
s1	w3d	Sorgfalt	Sorgfald	Sorgfalt	NN
s1	w3e	/	/	/	$(
s1	w3f	der	der	d	ART
s1	w40	Notdurft	Nothdurfft	Notdurft	NN
s1	w41	ermessen	ermeſſen	ermessen	VVPP
s1	w42	/	/	/	$(
s1	w43	die	die	d	ART
s1	w44	ausgegangene	ausgegangene	ausgegehen	ADJA
s1	w45	Edicta	Edicta	Edicta	NN
s1	w46	dahin	dahin	dahin	PAV
s1	w47	zu	zu	zu	PTKZU
s1	w48	renovieren	renoviren	renovieren	VVINF
s1	w49	,	,	,	$,
s1	w4a	daß	daß	daß	KOUS
s1	w4b	die	die	d	ART
s1	w4c	also	alſo	also	ADV
s1	w4d	genante	genante	genant	ADJA
s1	w4e	Zigeuner	Ziegeuner	Zigeuner	NN
s1	w4f	/	/	/	$(
s1	w50	deren	deren	die	PRELAT
s1	w51	Weiber	Weiber	Weib	NN
s1	w52	/	/	/	$(
s1	w53	Kinder	Kinder	Kind	NN
s1	w54	und	und	und	KON
s1	w55	ganzer	gantzer	ganz	ADJA
s1	w56	Anhang	Anhang	Anhang	NN
s1	w57	/	/	/	$(
s1	w58	hinfür	hinfuͤhro	hinfür	ADV
s1	w59	und	und	und	KON
s1	w5a	zu	zu	zu	APPR
s1	w5b	allen	allen	alle	PIAT
s1	w5c	Zeiten	Zeiten	Zeit	NN
s1	w5d	in	in	in	APPR
s1	w5e	Unsern	Vnſern	unsere	PPOSAT
s1	w5f	Landen	Landen	Land	NN
s1	w60	nicht	nicht	nicht	PTKNEG
s1	w61	geduldet	geduldet	gedulden	VVPP
s1	w62	/	/	/	$(
s1	w63	ihnen	ihnen	sie	PPER
s1	w64	auch	auch	auch	ADV
s1	w65	kein	kein	keine	PIAT
s1	w66	Durchzug	Durchzug	Durchzug	NN
s1	w67	oder	oder	oder	KON
s1	w68	Nachtlager	Nachtlager	Nachtlager	NN
s1	w69	bestattet	berſtattet	bestatten	VVPP
s1	w6a	werden	werden	werden	VAINF
s1	w6b	soll	ſoll	sollen	VMFIN
s1	w6c	/	/	/	$(
s1	w6d	Gestalt	geſtalt	Gestalt	NN
s1	w6e	Wir	Wir	wir	PPER
s1	w6f	dann	dann	dann	ADV
s1	w70	ferner	ferner	ferner	ADV
s1	w71	setzen	ſetzen	setzen	VVINF
s1	w72	und	und	und	KON
s1	w73	ordnen	ordnen	ordnen	VVINF
s1	w74	/	/	/	$(
s1	w75	daß	daß	daß	KOUS
s1	w76	/	/	/	$(
s1	w77	wenn	wenn	wenn	KOUS
s1	w78	hinfür	hinfuͤhro	hinfür	ADV
s1	w79	jemand	jemand	jemand	PIS
s1	w7a	von	von	von	APPR
s1	w7b	Unsern	Vnſern	unsere	PPOSAT
s1	w7c	Untertanen	Vnterthanen	Untertan	NN
s1	w7d	/	/	/	$(
s1	w7e	absonderlich	abſonderlich	absonderlich	ADJD
s1	w7f	der	der	d	ART
s1	w80	gemeine	gemeine	gemein	ADJA
s1	w81	Mann	Mann	Mann	NN
s1	w82	in	in	in	APPR
s1	w83	den	den	d	ART
s1	w84	Städten	Staͤdten	Stadt	NN
s1	w85	und	und	und	KON
s1	w86	auf	auf	auf	APPR
s1	w87	dem	dem	d	ART
s1	w88	Lande	Lande	Land	NN
s1	w89	betroffen	betroffen	betreffen	VVPP
s1	w8a	werden	werden	werden	VAINF
s1	w8b	wird	wird	werden	VAFIN
s1	w8c	/	/	/	$(
s1	w8d	der	der	d	ART
s1	w8e	einen	einen	eine	ART
s1	w8f	Zigeuner	Ziegeuner	Zigeuner	NN
s1	w90	oder	oder	oder	KON
s1	w91	Zigeunerin	Ziegeunerinn	Zigeunerin	NN
s1	w92	beherberget	beherberget	beherbergen	VVFIN
s1	w93	/	/	/	$(
s1	w94	hauset	hauſet	hausen	VVFIN
s1	w95	oder	oder	oder	KON
s1	w96	heget	heget	hegen	VVFIN
s1	w97	/	/	/	$(
s1	w98	derselbe	derſelbe	dieselbe	PDAT
s1	w99	jedesmal	jedesmal	jedesmal	ADV
s1	w9a	mit	mit	mit	APPR
s1	w9b	zehn	zehen	zehn	CARD
s1	w9c	Taler	Thaler	Taler	NN
s1	w9d	/	/	/	$(
s1	w9e	oder	oder	oder	KON
s1	w9f	/	/	/	$(
s1	wa0	da	da	da	ADV
s1	wa1	zu	zu	zu	APPR
s1	wa2	Erlegung	Erlegung	Erlegung	NN
s1	wa3	sothaner	ſothaner	sothaner	ADJA
s1	wa4	Gelder	Gelder	Geld	NN
s1	wa5	/	/	/	$(
s1	wa6	keine	keine	keine	PIAT
s1	wa7	Mittel	Mittel	Mittel	NN
s1	wa8	bei	bey	bei	APPR
s1	wa9	ihm	ihm	er	PPER
s1	waa	vorhanden	verhanden	vorhanden	ADJD
s1	wab	/	/	/	$(
s1	wac	mit	mit	mit	APPR
s1	wad	Gefängnis	Gefaͤngniß	Gefängnis	NN
s1	wae	unausbleiblich	ohnausbleiblich	unausbleiblich	ADJD
s1	waf	bestrafet	beſtraffet	bestrafen	VVFIN
s1	wb0	werden	werden	werden	VAINF
s1	wb1	soll	ſoll	sollen	VMFIN
s1	wb2	;	;	;	$.
s1	wb3	Befehlen	Befehlen	Befehl	NN
s1	wb4	demnach	demnach	demnach	PAV
s1	wb5	allen	allen	alle	PIAT
s1	wb6	und	und	und	KON
s1	wb7	jeden	jeden	jede	PIAT
s1	wb8	Obrigkeiten	Obrigkeiten	Obrigkeit	NN
s1	wb9	in	in	in	APPR
s1	wba	den	den	d	ART
s1	wbb	Städten	Staͤdten	Stadt	NN
s1	wbc	und	und	und	KON
s1	wbd	auf	auf	auf	APPR
s1	wbe	dem	dem	d	ART
s1	wbf	Lande	Lande	Land	NN
s1	wc0	/	/	/	$(
s1	wc1	auch	auch	auch	ADV
s1	wc2	allen	allen	alle	PIAT
s1	wc3	und	und	und	KON
s1	wc4	jeden	jeden	jede	PIAT
s1	wc5	Gerichts-Einhabern	Gerichts-Einhabern	Gerichts-Einhabern	NN
s1	wc6	/	/	/	$(
s1	wc7	über	uͤber	über	APPR
s1	wc8	den	den	d	ART
s1	wc9	Inhalt	Jnhalt	Inhalt	NN
s1	wca	dieses	dieſes	diese	PDAT
s1	wcb	Unsern	Vnſern	unsere	PPOSAT
s1	wcc	Edikts	Edicts	Edikt	NN
s1	wcd	mit	mit	mit	APPR
s1	wce	allem	allem	alle	PIS
s1	wcf	Ernst	Ernſt	Ernst	NN
s1	wd0	zu	zu	zu	PTKZU
s1	wd1	halten	halten	halten	VVINF
s1	wd2	/	/	/	$(
s1	wd3	widrigen	widrigen	widrig	ADJA
s1	wd4	falls	fals	falls	KOUS
s1	wd5	aber	aber	aber	ADV
s1	wd6	scharfen	ſcharffen	scharf	ADJA
s1	wd7	Einsehens	Einſehens	Einsehen	NN
s1	wd8	gewärtig	gewaͤrtig	gewärtig	ADJD
s1	wd9	zu	zu	zu	PTKZU
s1	wda	sein	ſeyn	sein	VAINF
s1	wdb	/	/	/	$(
s1	wdc	damit	damit	damit	PAV
s1	wdd	auch	auch	auch	ADV
s1	wde	niemand	niemand	niemand	PIS
s1	wdf	mit	mit	mit	APPR
s1	we0	der	der	d	ART
s1	we1	Unwissenheit	Vnwiſſenheit	Unwissenheit	NN
s1	we2	sich	ſich	sich	PRF
s1	we3	entschuldigen	entſchuldigen	entschuldigen	VVINF
s1	we4	könne	koͤnne	können	VMFIN
s1	we5	/	/	/	$(
s1	we6	soll	ſoll’	sollen	VMFIN
s1	we7	dieser	dieſer	diese	PDAT
s1	we8	unser	vnſer	unsere	PPOSAT
s1	we9	ernster	ernſter	ernst	ADJA
s1	wea	Befehl	Befehl	Befehl	NN
s1	web	und	und	und	KON
s1	wec	Verordnung	verordnung	Verordnung	NN
s1	wed	von	von	von	APPR
s1	wee	den	den	d	ART
s1	wef	Kanzeln	Cantzeln	Kanzel	NN
s1	wf0	allenthalben	allenthalben	allenthalben	ADV
s1	wf1	öffentlich	oͤffentlich	öffentlich	ADJD
s1	wf2	verlesen	verleſen	verlesen	VVPP
s1	wf3	/	/	/	$(
s1	wf4	und	und	und	KON
s1	wf5	gewöhnlicher	gewoͤhnlicher	gewöhnlich	ADJA
s1	wf6	Orten	Orten	Ort	NN
s1	wf7	affigieret	affigiret	affigieren	VVFIN
s1	wf8	werden	werden	werden	VAINF
s1	wf9	;	;	;	$.
s1	wfa	Geben	Geben	Geben	NN
s1	wfb	in	in	in	APPR
s1	wfc	Unser	Vnſer	unsere	PPOSAT
s1	wfd	Residence	Reſidence	Residence	NE
s1	wfe	Hannover	Hannover	Hannover	NE
s1	wff	am	am	am	APPRART
s1	w100	28.	28.	28.	ADJA
s1	w101	Januarii	Januarii	Januarii	NE
s1	w102	1697	1697	1697	CARD
s1	w103	.	.	.	$.
s2	w104	Ernst	Ernſt	Ernst	NE
s2	w105	Augustschurfürst	Auguſts/Churfuͤrſt	Augustschurfürst	NN
s2	w106	.	.	.	$.
