S_ID	T_ID	TOKENcorr	TOKENorig	LEMMA	POS

# text = Die Judenſchule , oder gruͤndliche Anleitung , in kurzer Zeit ein vollkommener ſchwarzer oder weißer Jude zu werden ; von Hartwig Hundt von Radowsky , dem Verfaſſer des Judenſpiegels Nebſt einem Angebinde fuͤr den Wuͤrtenbergiſchen Abgeordneten , Herrn Weber von Kuͤnzelsau , uͤber den Nachdruck .
s1	w1	Die	Die	d	ART
s1	w2	Judenschule	Judenſchule	Judenschule	NN
s1	w3	,	,	,	$,
s1	w4	oder	oder	oder	KON
s1	w5	gründliche	gruͤndliche	gründlich	ADJA
s1	w6	Anleitung	Anleitung	Anleitung	NN
s1	w7	,	,	,	$,
s1	w8	in	in	in	APPR
s1	w9	kurzer	kurzer	kurz	ADJA
s1	wa	Zeit	Zeit	Zeit	NN
s1	wb	ein	ein	eine	ART
s1	wc	vollkommener	vollkommener	vollkommen	ADJA
s1	wd	schwarzer	ſchwarzer	schwarz	ADJA
s1	we	oder	oder	oder	KON
s1	wf	weißer	weißer	weiß	ADJA
s1	w10	Jude	Jude	Jude	NN
s1	w11	zu	zu	zu	PTKZU
s1	w12	werden	werden	werden	VAINF
s1	w13	;	;	;	$.
s1	w14	von	von	von	APPR
s1	w15	Hartwig	Hartwig	Hartwig	NE
s1	w16	Hund	Hundt	Hund	NN
s1	w17	von	von	von	APPR
s1	w18	Radowsky	Radowsky	Radowsky	NE
s1	w19	,	,	,	$,
s1	w1a	dem	dem	d	ART
s1	w1b	Verfasser	Verfaſſer	Verfasser	NN
s1	w1c	des	des	d	ART
s1	w1d	Judenspiegels	Judenſpiegels	Judenspiegel	NN
s1	w1e	Nebst	Nebſt	nebst	APPR
s1	w1f	einem	einem	eine	ART
s1	w20	Angebinde	Angebinde	Angebinde	NN
s1	w21	für	fuͤr	für	APPR
s1	w22	den	den	d	ART
s1	w23	Württembergischen	Wuͤrtenbergiſchen	württembergisch	ADJA
s1	w24	Abgeordneten	Abgeordneten	Abgeordnete	NN
s1	w25	,	,	,	$,
s1	w26	Herrn	Herrn	Herr	NN
s1	w27	Weber	Weber	Weber	NE
s1	w28	von	von	von	APPR
s1	w29	Künzelsau	Kuͤnzelsau	Künzelsau	NE
s1	w2a	,	,	,	$,
s1	w2b	über	uͤber	über	APPR
s1	w2c	den	den	d	ART
s1	w2d	Nachdruck	Nachdruck	Nachdruck	NN
s1	w2e	.	.	.	$.

# text = Erſtes Buch .
s2	w2f	Erstes	Erſtes	erst	ADJA
s2	w30	Buch	Buch	Buch	NN
s2	w31	.	.	.	$.

# text = Mit einem Titelkupfer .
s3	w32	Mit	Mit	mit	APPR
s3	w33	einem	einem	eine	ART
s3	w34	Titelkupfer	Titelkupfer	Titelkupfer	NN
s3	w35	.	.	.	$.

# text = Jeruſalem , in der neuen Buchhandlung . 5582 .
s4	w36	Jerusalem	Jeruſalem	Jerusalem	NE
s4	w37	,	,	,	$,
s4	w38	in	in	in	APPR
s4	w39	der	der	d	ART
s4	w3a	neuen	neuen	neu	ADJA
s4	w3b	Buchhandlung	Buchhandlung	Buchhandlung	NN
s4	w3c	.	.	.	$.
s4	w3d	5582	5582	5582	CARD
s4	w3e	.	.	.	$.

