Sent_ID	Token_ID	Corr_token	Orig_token	Lemma	POS
s1	w1	Des	Des	d	ART
s1	w2	Knaben	Knaben	Knabe	NN
s1	w3	Wunderhorn	Wunderhorn	Wunderhorn	NN
s1	w4	.	.	.	$.
s2	w5	Alte	Alte	alt	ADJA
s2	w6	deutsche	deutſche	deutsch	ADJA
s2	w7	Lieder	Lieder	Lied	NN
s2	w8	gesammelt	geſammelt	sammeln	VVPP
s2	w9	von	von	von	APPR
s2	wa	L.	L.	L.	NE
s2	wb	A.	A.	A.	NE
s2	wc	v.	v.	v.	APPR
s2	wd	Arnim	Arnim	Arnim	NE
s2	we	und	und	und	KON
s2	wf	Clemens	Clemens	Clemens	NE
s2	w10	Brentano	Brentano	Brentano	NE
s2	w11	.	.	.	$.
s3	w12	Des	Des	d	ART
s3	w13	Knaben	Knaben	Knabe	NN
s3	w14	Wunderhorn	Wunderhorn	Wunderhorn	NN
s3	w15	Alte	Alte	alt	ADJA
s3	w16	deutsche	deutſche	deutsch	ADJA
s3	w17	Lieder	Lieder	Lied	NN
s3	w18	L.	L.	L.	NE
s3	w19	Achim	Achim	Achim	NE
s3	w1a	v.	v.	v.	APPRART
s3	w1b	Arnim	Arnim	Arnim	NE
s3	w1c	.	.	.	$.
s4	w1d	Clemens	Clemens	Clemens	NE
s4	w1e	Brentano	Brentano	Brentano	NE
s4	w1f	.	.	.	$.
s5	w20	Heidelberg	Heidelberg	Heidelberg	NE
s5	w21	,	,	,	$,
s5	w22	bei	beÿ	bei	APPR
s5	w23	Mohr	Mohr	Mohr	NN
s5	w24	u.	u.	u.	APPR
s5	w25	Zimmer	Zimmer	Zimmer	NN
s5	w26	.	.	.	$.
s6	w27	Frankfurt	Frankfurt	Frankfurt	NE
s6	w28	bei	beÿ	bei	APPR
s6	w29	J.	J.	J.	NE
s6	w2a	C.	C.	C.	NE
s6	w2b	B.	B.	B.	NE
s6	w2c	Mohr	Mohr	Mohr	NE
s6	w2d	1806	1806	1806	CARD
s6	w2e	.	.	.	$.
s2a	w544	Sr.	Sr.	Sr.	NE
s2a	w545	Exzellenz	Excellenz	Exzellenz	NN
s2a	w546	des	des	d	ART
s2a	w547	Herrn	Herrn	Herr	NN
s2a	w548	Geheimrat	Geheimerath	Geheimrat	NN
s2a	w549	von	von	von	APPR
s2a	w54a	Goethe	Göthe	Goethe	NE
s2a	w54b	.	.	.	$.
s7	w2f	""""	„	""""	$(
s7	w30	Auf	Auf	auf	APPR
s7	w31	dem	dem	d	ART
s7	w32	Reichstage	Reichstage	Reichstag	NN
s7	w33	zu	zu	zu	APPR
s7	w34	Augsburg	Augsburg	Augsburg	NE
s7	w35	geschah	geſchah	geschehen	VVFIN
s7	w36	ein	ein	eine	ART
s7	w37	guter	guter	gut	ADJA
s7	w38	Schwank	Schwank	Schwank	NN
s7	w39	von	von	von	APPR
s7	w3a	Grünenwald	Gruͤnenwald	Grünenwald	NE
s7	w3b	,	,	,	$,
s7	w3c	Singer	Singer	Singer	NN
s7	w3d	an	an	an	APPR
s7	w3e	des	des	d	ART
s7	w3f	Herzogs	Herzogs	Herzog	NE
s7	w40	Wilhelm	Wilhelmen	Wilhelm	NE
s7	w41	von	von	von	APPR
s7	w42	München	Muͤnchen	München	NE
s7	w43	Hof	Hof	Hof	NE
s7	w44	.	.	.	$.
s8	w45	Er	Er	er	PPER
s8	w46	war	war	sein	VAFIN
s8	w47	ein	ein	eine	ART
s8	w48	guter	guter	gut	ADJA
s8	w49	Musikus	Muſikus	Musikus	NN
s8	w4a	und	und	und	KON
s8	w4b	Zechbruder	Zechbruder	Zechbruder	NN
s8	w4c	,	,	,	$,
