Sent_ID	Token_ID	Corr_token	Orig_token	Lemma	POS
s1	w1	Das	Das	d	ART
s1	w2	Deutsche	Deutſche	deutsch	ADJA
s1	w3	Gaunertum	Gaunerthum	Gaunertum	NN
s1	w4	in	in	in	APPR
s1	w5	seiner	ſeiner	seine	PPOSAT
s1	w6	sozial-politischen	ſocial-politiſchen	sozial-politisch	ADJA
s1	w7	,	,	,	$,
s1	w8	literarischen	literariſchen	literarisch	ADJA
s1	w9	und	und	und	KON
s1	wa	linguistischen	linguiſtiſchen	linguistisch	ADJA
s1	wb	Ausbildung	Ausbildung	Ausbildung	NN
s1	wc	zu	zu	zu	APPR
s1	wd	seinem	ſeinem	seine	PPOSAT
s1	we	heutigen	heutigen	heutig	ADJA
s1	wf	Bestande	Beſtande	Bestand	NN
s1	w10	.	.	.	$.
s2	w11	Von	Von	von	APPR
s2	w12	Friedrich	Friedrich	Friedrich	NE
s2	w13	Christian	Chriſtian	Christian	NE
s2	w14	Benedict	Benedict	Benedict	NE
s2	w15	Ave-Lallemant	Avé-Lallemant	Ave-Lallemant	NE
s2	w16	,	,	,	$,
s2	w17	Doktor	Doctor	Doktor	NN
s2	w18	beider	beider	beide	PIAT
s2	w19	Rechte	Rechte	Rechte	NN
s2	w1a	.	.	.	$.
s3	w1b	Mit	Mit	mit	APPR
s3	w1c	zahlreichen	zahlreichen	zahlreich	ADJA
s3	w1d	Holzschnitten	Holzſchnitten	Holzschnitt	NN
s3	w1e	.	.	.	$.
s4	w1f	Erster	Erſter	Erster	NN
s4	w20	Teil	Theil	Teil	NN
s4	w21	.	.	.	$.
s5	w22	Leipzig	Leipzig	Leipzig	NE
s5	w23	:	:	:	$(
s5	w24	F.	F.	F.	NE
s5	w25	A.	A.	A.	APPRART
s5	w26	Brockhaus	Brockhaus	Brockhaus	NN
s5	w27	.	.	.	$.
s5	w28	1858	1858	1858	CARD
s5	w29	.	.	.	$.
s6	w2a	Das	Das	d	ART
s6	w2b	Recht	Recht	Recht	NN
s6	w2c	der	der	d	ART
s6	w2d	Übersetzung	Ueberſetzung	Übersetzung	NN
s6	w2e	dieses	dieſes	diese	PDAT
s6	w2f	Werks	Werks	Werk	NN
s6	w30	ins	ins	ins	APPRART
s6	w31	Englische	Engliſche	englisch	ADJA
s6	w32	,	,	,	$,
s6	w33	Französische	Franzöſiſche	französisch	ADJA
s6	w34	und	und	und	KON
s6	w35	andere	andere	ander	ADJA
s6	w36	fremde	fremde	fremd	ADJA
s6	w37	Sprachen	Sprachen	Sprache	NN
s6	w38	behält	behält	behalten	VVFIN
s6	w39	sich	ſich	sich	PRF
s6	w3a	die	die	d	ART
s6	w3b	Verlagshandlung	Verlagshandlung	Verlagshandlung	NN
s6	w3c	vor	vor	vor	PTKVZ
s6	w3d	.	.	.	$.
s7	w3e	Den	Den	d	ART
s7	w3f	Hohen	Hohen	hoch	ADJA
s7	w40	Senaten	Senaten	Senat	NN
s7	w41	der	der	d	ART
s7	w42	vier	vier	vier	CARD
s7	w43	Freien	Freien	frei	ADJA
s7	w44	Städte	Städte	Stadt	NN
s7	w45	Deutschlands	Deutſchlands	Deutschland	NE
s7	w46	:	:	:	$.
s7	w47	Lübeck	Lübeck	Lübeck	NE
s7	w48	,	,	,	$,
s7	w49	Hamburg	Hamburg	Hamburg	NE
s7	w4a	,	,	,	$,
