Sent_ID	Token_ID	Corr_token	Orig_token	Lemma	POS
s1	w1	Gottfried	Gottfried	Gottfried	NE
s1	w2	Arnolds	Arnolds	Arnolds	NE
s1	w3	Erklärung	Erklaͤrung	Erklärung	NN
s1	w4	/	/	/	$(
s1	w5	Vom	Vom	vom	APPRART
s1	w6	gemeinen	gemeinen	gemein	ADJA
s1	w7	Sekten-Wesen	Secten-weſen	Sekten-Wesen	NN
s1	w8	/	/	/	$(
s1	w9	Kirchen-	Kirchen-	kirchen-	TRUNC
s1	wa	und	und	und	KON
s1	wb	Abendmahl-Gehen	Abendmahl-gehen	Abendmahl-Gehen	NN
s1	wc	;	;	;	$.
s1	wd	Wie	Wie	wie	PWAV
s1	we	auch	auch	auch	ADV
s1	wf	Vom	Vom	vom	APPRART
s1	w10	recht-Evangel	recht-Evangel	Recht-Evangel	NN
s1	w11	.	.	.	$.
s2	w12	Lehr-Amt	Lehr-Amt	Lehr-Amt	NN
s2	w13	/	/	/	$(
s2	w14	und	und	und	KON
s2	w15	recht-Christl.	recht-Chriſtl.	recht-Christl.	ADJA
s2	w16	Freiheit	Freyheit	Freiheit	NN
s2	w17	:	:	:	$.
s3	w18	Auf	Auff	auf	APPR
s3	w19	Veranlassung	veranlaſſung	Veranlaßung	NN
s3	w1a	derer	derer	die	PDS
s3	w1b	von	von	von	APPR
s3	w1c	ERNEST.	ERNEST.	ERNEST.	NE
s3	w1d	SALOM.	SALOM.	SALOM.	NE
s3	w1e	CYPRIANI	CYPRIANI	Cypriani	NE
s3	w1f	,	,	,	$,
s3	w20	Extraord	Extraord	Extraord	NE
s3	w21	.	.	.	$.
s4	w22	Prof.	Prof.	Prof.	NN
s4	w23	Philos.	Philoſ.	Philos.	NE
s4	w24	Helmst.	Helmſt.	Helmst.	NE
s4	w25	Vorgebrachten	Vorgebrachten	vorgebringt	ADJA
s4	w26	Beschuldigungen	beſchuldigungen	Beschuldigung	NN
s4	w27	wider	wider	wider	APPR
s4	w28	seine	ſeine	seine	PPOSAT
s4	w29	Person	Perſon	Person	NN
s4	w2a	/	/	/	$(
s4	w2b	unparteiisch	unpartheyiſch	unparteiisch	ADJD
s4	w2c	vorgetragen	vorgetragen	vortragen	VVPP
s4	w2d	.	.	.	$.
s5	w2e	Leipzig	Leipzig	Leipzig	NE
s5	w2f	/	/	/	$(
s5	w30	Bei	Bey	bei	APPR
s5	w31	Thomas	Thomas	Thomas	NE
s5	w32	Fritsch	Fritſch	Fritsch	NE
s5	w33	/	/	/	$(
s5	w34	1700	1700	1700	CARD
s5	w35	.	.	.	$.
s6	w36	Allen	Allen	Allen	NE
s6	w37	Hohen	Hohen	hoch	ADJA
s6	w38	und	und	und	KON
s6	w39	Niederen	Niedern	nieder	ADJA
s6	w3a	Obrigkeiten	OBRJGKEJTEN	Obrigkeit	NN
s6	w3b	an	an	an	APPR
s6	w3c	allen	allen	alle	PIAT
s6	w3d	Orten	orten	Ort	NN
s6	w3e	/	/	/	$(
s6	w3f	wünschet	wuͤnſchet	wünschen	VVFIN
s6	w40	der	der	d	ART
s6	w41	Autor	Autor	Autor	NN
s6	w42	diejenige	diejenige	diejenige	PDAT
s6	w43	vortreffliche	vortreffliche	vortrefflich	ADJA
s6	w44	Weisheit	Weißheit	Weisheit	NN
s6	w45	/	/	/	$(
s6	w46	durch	durch	durch	APPR
s6	w47	welche	welche	welche	PRELS
s6	w48	vormals	vormals	vormals	ADV
s6	w49	Salomo	Salomo	Salomo	NE
s6	w4a	sein	ſein	sein	PPOSAT
s6	w4b	Volk	volck	Volk	NN
s6	w4c	richtete	richtete	richten	VVFIN
s6	w4d	/	/	/	$(
s6	w4e	und	und	und	KON
s6	w4f	des	des	d	ART
s6	w50	Regenten-Stuhls	Regenten-ſtuls	Regens-Stuhl	NN
s6	w51	würdig	wuͤrdig	würdig	ADJD
s6	w52	wurde	ward	werden	VAFIN
s6	w53	:	:	:	$.
s6	w54	damit	damit	damit	PAV
s6	w55	durchgehends	durchgehends	durchgehends	ADV
s6	w56	und	und	und	KON
s6	w57	allezeit	allezeit	allezeit	ADV
s6	w58	Sie	Sie	sie	PPER
s6	w59	einen	einen	eine	ART
s6	w5a	genauen	genauen	genau	ADJA
s6	w5b	Unterschied	Unterſcheid	Unterschied	NN
s6	w5c	machen	machen	machen	VVINF
s6	w5d	und	und	und	KON
s6	w5e	halten	halten	halten	VVINF
s6	w5f	mögen	moͤgen	mögen	VMFIN
s6	w60	zwischen	zwiſchen	zwischen	APPR
s6	w61	wahren	wahren	wahr	ADJA
s6	w62	und	und	und	KON
s6	w63	falschen	falſchen	falsch	ADJA
s6	w64	/	/	/	$(
s6	w65	guten	guten	gut	ADJA
s6	w66	und	und	und	KON
s6	w67	bösen	boͤſen	böse	ADJA
s6	w68	/	/	/	$(
s6	w69	gerechten	gerechten	gerecht	ADJA
s6	w6a	und	und	und	KON
s6	w6b	ungerechten	ungerechten	ungerecht	ADJA
s6	w6c	/	/	/	$(
s6	w6d	gottlosen	gottloſen	gottlos	ADJA
s6	w6e	/	/	/	$(
s6	w6f	heuchlerischen	heuchleriſchen	heuchlerisch	ADJA
s6	w70	/	/	/	$(
s6	w71	und	und	und	KON
s6	w72	gottlosen	gottloſen	gottlos	ADJA
s6	w73	Sachen	ſachen	Sache	NN
s6	w74	und	und	und	KON
s6	w75	Personen	perſonen	Person	NN
s6	w76	/	/	/	$(
s6	w77	insonderheit	inſonderheit	insonderheit	ADV
s6	w78	zwischen	zwiſchen	zwischen	APPR
s6	w79	falschen	falſchen	falsch	ADJA
s6	w7a	und	und	und	KON
s6	w7b	Göttlichen	Goͤttlichen	Göttliche	NN
s6	w7c	Eifer	eiffer	Eifer	NN
s6	w7d	und	und	und	KON
s6	w7e	Eiferern	eifferern	Eiferer	NN
s6	w7f	/	/	/	$(
s6	w80	nach	nach	nach	APPR
s6	w81	dem	dem	d	ART
s6	w82	Sinn	ſinn	Sinn	NN
s6	w83	Der	Der	d	ART
s6	w84	Allerhöchsten	Allerhoͤchſten	allerhoch	ADJA
s6	w85	Majestät	Majeſtaͤt	Majestät	NN
s6	w86	und	und	und	KON
s6	w87	ihrem	ihrem	ihr	PPOSAT
s6	w88	unveränderlichem	unveraͤnderlichem	unveränderlich	ADJA
s6	w89	Gesetz	geſetz	Gesetz	NN
s6	w8a	/	/	/	$(
s6	w8b	zu	zu	zu	PTKZU
s6	w8c	strafen	ſtraffen	strafen	VVINF
s6	w8d	und	und	und	KON
s6	w8e	zu	zu	zu	PTKZU
s6	w8f	belohnen	belohnen	belohnen	VVINF
s6	w90	/	/	/	$(
s6	w91	zu	zu	zu	PTKZU
s6	w92	verurteilen	verurtheilen	verurteilen	VVINF
s6	w93	und	und	und	KON
s6	w94	los	loß	los	ADJD
s6	w95	zu	zu	zu	PTKZU
s6	w96	sprechen	ſprechen	sprechen	VVINF
s6	w97	/	/	/	$(
s6	w98	zu	zu	zu	PTKZU
s6	w99	verstoßen	verſtoſſen	verstoßen	VVINF
s6	w9a	und	und	und	KON
s6	w9b	zu	zu	zu	PTKZU
s6	w9c	schützen	ſchuͤtzen	schützen	VVINF
s6	w9d	:	:	:	$.
s7	w9e	Und	Und	und	KON
s7	w9f	leget	leget	legen	VVFIN
s7	wa0	Denselben	Denenſelben	dieselbe	PDS
s7	wa1	zugleich	zugleich	zugleich	ADV
s7	wa2	mit	mit	mit	APPR
s7	wa3	geziemendem	geziemendem	geziemend	ADJA
s7	wa4	Respekt	reſpect	Respekt	NN
s7	wa5	diese	dieſe	diese	PDAT
s7	wa6	Schrift	ſchrifft	Schrift	NN
s7	wa7	vor	vor	vor	APPR
s7	wa8	Augen	augen	Auge	NN
s7	wa9	/	/	/	$(
s7	waa	nächst	nechſt	nächst	APPR
s7	wab	demütiger	demuͤthiger	demütig	ADJA
s7	wac	bitte	bitte	bitte	ADV
s7	wad	/	/	/	$(
s7	wae	daß	daß	daß	KOUS
s7	waf	sie	ſie	sie	PPER
s7	wb0	dem	dem	d	ART
s7	wb1	Freistem	Allerfreyeſtem	frei	ADJA
s7	wb2	Göttlichem	Goͤttlichem	göttlich	ADJA
s7	wb3	Wesen	Weſen	Wesen	NN
s7	wb4	nicht	nicht	nicht	PTKNEG
s7	wb5	allein	allein	allein	ADV
s7	wb6	selbst	ſelbſt	selbst	ADV
s7	wb7	frei	frey	frei	ADJD
s7	wb8	und	und	und	KON
s7	wb9	willig	willig	willig	ADJD
s7	wba	dienen	dienen	dienen	VVINF
s7	wbb	/	/	/	$(
s7	wbc	sondern	ſondern	sondern	KON
s7	wbd	auch	auch	auch	ADV
s7	wbe	anderen	andern	ander	ADJA
s7	wbf	/	/	/	$(
s7	wc0	(	(	(	$(
s7	wc1	zu	zu	zu	APPR
s7	wc2	denen	denen	die	PRELS
s7	wc3	ihre	ihre	ihr	PPOSAT
s7	wc4	Feinde	feinde	Feind	NN
s7	wc5	keine	keine	keine	PIAT
s7	wc6	Sache	ſache	Sache	NN
s7	wc7	/	/	/	$(
s7	wc8	als	als	als	KOKOM
s7	wc9	über	uͤber	über	APPR
s7	wca	ihren	ihren	ihr	PPOSAT
s7	wcb	Gottesdienst	Gottesdienſt	Gottesdienst	NN
s7	wcc	/	/	/	$(
s7	wcd	finden	finden	finden	VVINF
s7	wce	)	)	)	$(
s7	wcf	also	alſo	also	ADV
s7	wd0	frei	frey	frei	ADJD
s7	wd1	und	und	und	KON
s7	wd2	ohne	ohne	ohne	KOUI
s7	wd3	Gewissens-Zwang	gewiſſens-zwang	Gewissens-Zwang	NN
s7	wd4	zu	zu	zu	PTKZU
s7	wd5	dienen	dienen	dienen	VVINF
s7	wd6	gnädig	gnaͤdig	gnädig	ADJD
s7	wd7	verstatten	verſtatten	verstatten	VVINF
s7	wd8	/	/	/	$(
s7	wd9	und	und	und	KON
s7	wda	endlich	endlich	endlich	ADV
s7	wdb	eine	eine	eine	ART
s7	wdc	unendliche	unendliche	unendlich	ADJA
s7	wdd	Freiheit	freyheit	Freiheit	NN
s7	wde	und	und	und	KON
s7	wdf	Herrlichkeit	herꝛlichkeit	Herrlichkeit	NN
s7	we0	ererben	ererben	ererben	VVINF
s7	we1	mögen	moͤgen	mögen	VMFIN
s7	we2	.	.	.	$.
s54	wb67	Vorbericht	Vorbericht	Vorbericht	NN
s54	wb68	.	.	.	$.
s8	we3	1.	1.	1.	ADJA
s9	we4	Es	ES	es	PPER
s9	we5	ist	iſt	sein	VAFIN
s9	we6	eine	eine	eine	ART
s9	we7	von	von	von	APPR
s9	we8	denen	denen	die	PRELS
s9	we9	ältesten	aͤlteſten	alt	ADJA
s9	wea	practiquen	practiquen	Practiquen	NN
s9	web	der	der	d	ART
s9	wec	alten	alten	alt	ADJA
s9	wed	Schlange	ſchlange	Schlange	NN
s9	wee	/	/	/	$(
s9	wef	daß	daß	daß	KOUS
s9	wf0	sie	ſie	sie	PPER
s9	wf1	in	in	in	APPR
s9	wf2	ermangelung	ermangelung	Ermangelung	NE
s9	wf3	anderer	anderer	ander	ADJA
s9	wf4	Praetexte	Prætexte	Praetexte	NE
s9	wf5	wieder	wieder	wieder	ADV
s9	wf6	die	die	d	ART
s9	wf7	ewige	ewige	ewig	ADJA
s9	wf8	Wahrheit	wahrheit	Wahrheit	NN
s9	wf9	und	und	und	KON
s9	wfa	deren	dero	die	PRELAT
s9	wfb	Liebhaber	liebhaber	Liebhaber	NN
s9	wfc	/	/	/	$(
s9	wfd	eine	eine	eine	ART
s9	wfe	Sache	ſache	Sache	NN
s9	wff	über	uͤber	über	APPR
