Sent_ID	Token_ID	Corr_token	Orig_token	Lemma	POS
s1	w1	Moderne	Moderne	modern	ADJA
s1	w2	Dichter-Charaktere	Dichter-Charaktere	Dichter-Charakter	NN
s1	w3	herausgegeben	herausgegeben	herausgeben	VVPP
s1	w4	von	von	von	APPR
s1	w5	Wilhelm	Wilhelm	Wilhelm	NE
s1	w6	Arent	Arent	Arent	NE
s1	w7	.	.	.	$.
s2	w8	Mit	Mit	mit	APPR
s2	w9	Einleitungen	Einleitungen	Einleitung	NN
s2	wa	von	von	von	APPR
s2	wb	Hermann	Hermann	Hermann	NE
s2	wc	Conradi	Conradi	Conradi	NE
s2	wd	und	und	und	KON
s2	we	Karl	Karl	Karl	NE
s2	wf	Henkel	Henckell	Henkel	NE
s2	w10	.	.	.	$.
s3	w11	Leipzig	Leipzig	Leipzig	NE
s3	w12	.	.	.	$.
s3	w13	Verlag	Verlag	Verlag	NN
s3	w14	von	von	von	APPR
s3	w15	Wilhelm	Wilhelm	Wilhelm	NE
s3	w16	Friedrich	Friedrich	Friedrich	NE
s3	w17	,	,	,	$,
s3	w18	K.	K.	K.	NE
s3	w19	R.	R.	R.	NE
s3	w1a	Hofbuchhändler	Hofbuchhändler	Hofbuchhändler	NN
s3	w1b	.	.	.	$.
s4	w1c	Motte	Motti	Motte	NN
s4	w1d	:	:	:	$.
s4	w1e	Wir	Wir	wir	PPER
s4	w1f	rufen	rufen	rufen	VVFIN
s4	w20	dem	dem	d	ART
s4	w21	kommenden	kommenden	kommend	ADJA
s4	w22	Jahrhundert	Jahrhundert	Jahrhundert	NN
s4	w23	!	!	!	$.
s5	w24	Der	Der	d	ART
s5	w25	Geist	Geiſt	Geist	NN
s5	w26	des	des	d	ART
s5	w27	Künstlers	Künſtlers	Künstler	NN
s5	w28	wiegt	wiegt	wiegen	VVFIN
s5	w29	mehr	mehr	mehr	PIAT
s5	w2a	als	als	als	KOKOM
s5	w2b	das	das	d	ART
s5	w2c	Werk	Werk	Werk	NN
s5	w2d	seiner	ſeiner	seine	PPOSAT
s5	w2e	Kunst.	Kunſt.	Kunst.	NN
s5	w2f	J.	J.	J.	NE
s5	w30	M.	M.	M.	NE
s5	w31	R.	R.	R.	NE
s5	w32	Lenz	Lenz	Lenz	NE
s5	w33	.	.	.	$.
s69	wb41	Unser	Unſer	unsere	PPOSAT
s69	wb42	Credo	Credo	Credo	NN
s69	wb43	.	.	.	$.
s6a	wb44	Einleitung	Einleitung	Einleitung	NN
s6a	wb45	von	von	von	APPR
s6a	wb46	Hermann	Hermann	Hermann	NE
s6a	wb47	Conradi	Conradi	Conradi	NE
s6a	wb48	.	.	.	$.
s6	w34	""""	„	""""	$(
s6	w35	Die	Die	d	ART
s6	w36	Geister	Geiſter	Geist	NN
s6	w37	erwachen	erwachen	erwachen	VVINF
s6	w38	.	.	.	$.
s6	w39	""""	“	""""	$(
s7	w3a	Hutten	Hutten	Hutten	NE
s7	w3b	.	.	.	$.
s8	w3c	""""	„	""""	$(
s8	w3d	Unser	Unſer	unsere	PPOSAT
s8	w3e	Credo	Credo	Credo	NN
s8	w3f	!	!	!	$.
s8	w40	""""	“	""""	$(
s9	w41	Wir	Wir	wir	PPER
s9	w42	wissen	wiſſen	wissen	VVFIN
s9	w43	,	,	,	$,
s9	w44	daß	daß	daß	KOUS
s9	w45	dieser	dieſer	diese	PDAT
s9	w46	Titel	Titel	Titel	NN
s9	w47	etwas	etwas	etwas	ADV
s9	w48	kühn	kühn	kühn	ADJD
s9	w49	und	und	und	KON
s9	w4a	stolz	ſtolz	stolz	ADJD
s9	w4b	klingt	klingt	klingen	VVFIN
s9	w4c	.	.	.	$.
sa	w4d	Es	Es	es	PPER
sa	w4e	werden	werden	werden	VAFIN
sa	w4f	mit	mit	mit	APPR
sa	w50	der	der	d	ART
sa	w51	Zeit	Zeit	Zeit	NN
sa	w52	sogar	ſogar	sogar	ADV
