Sent_ID	Token_ID	Corr_token	Orig_token	Lemma	POS
s1	w1	Die	Die	d	ART
s1	w2	Kunst	Kunſt	Kunst	NN
s1	w3	zu	zu	zu	APPR
s1	w4	Schwimmen	Schwimmen	Schwimmen	NN
s1	w5	,	,	,	$,
s1	w6	Oder	Oder	oder	KON
s1	w7	Erfindung	Erfindung	Erfindung	NN
s1	w8	,	,	,	$,
s1	w9	vermittels	vermittelſt	vermittels	APPR
s1	wa	welcher	welcher	welche	PRELS
s1	wb	man	man	man	PIS
s1	wc	sich	ſich	sich	PRF
s1	wd	allemal	allemal	allemal	ADV
s1	we	aus	aus	aus	APPR
s1	wf	einem	einem	eine	ART
s1	w10	Schiffbruch	Schiffbruch	Schiffbruch	NN
s1	w11	retten	retten	retten	VVINF
s1	w12	,	,	,	$,
s1	w13	auch	auch	auch	ADV
s1	w14	bedürfenden	beduͤrfenden	bedürfend	ADJA
s1	w15	Falls	Falls	Fall	NN
s1	w16	ganze	ganze	ganz	ADJA
s1	w17	Armeen	Arméen	Armee	NN
s1	w18	über	uͤber	über	APPR
s1	w19	die	die	d	ART
s1	w1a	breitesten	breiteſten	breit	ADJA
s1	w1b	Flüsse	Fluͤſſe	Fluß	NN
s1	w1c	bringen	bringen	bringen	VVINF
s1	w1d	,	,	,	$,
s1	w1e	kann	kan	können	VMFIN
s1	w1f	.	.	.	$.
s2	w20	In	Jn	in	APPR
s2	w21	Französischer	Franzoͤſiſcher	französisch	ADJA
s2	w22	Sprache	Sprache	Sprache	NN
s2	w23	beschrieben	beſchrieben	beschreiben	VVPP
s2	w24	von	von	von	APPR
s2	w25	Joh.	Joh.	Joh.	NE
s2	w26	Friedrich	Friedrich	Friedrich	NE
s2	w27	Bachstrom	Bachſtrom	Bachstrom	NE
s2	w28	,	,	,	$,
s2	w29	D.	D.	D.	NE
s2	w2a	Medicinae	Medicinæ	Medicinae	NE
s2	w2b	und	und	und	KON
s2	w2c	General-Directore	General-Directore	General-Directore	NE
s2	w2d	der	der	d	ART
s2	w2e	Fabriquen	Fabriquen	Fabriquen	NN
s2	w2f	Ihrer	Jhrer	ihr	PPOSAT
s2	w30	Hochfürstl.	Hochfuͤrſtl.	Hochfürstl.	ADJA
s2	w31	Gnaden	Gnaden	Gnade	NN
s2	w32	,	,	,	$,
s2	w33	der	der	d	ART
s2	w34	Herzogin	Herzogin	Herzogin	NN
s2	w35	von	von	von	APPR
s2	w36	RADZIVIL	RADZIVIL	Radzivil	NN
s2	w37	,	,	,	$,
s2	w38	Gros-Canzlerin	Gros-Canzlerin	Gros-Canzlerin	NE
s2	w39	von	von	von	APPR
s2	w3a	Litauen	Lithauen	Litauen	NE
s2	w3b	,	,	,	$,
s2	w3c	und	und	und	KON
s2	w3d	aus	aus	aus	APPR
s2	w3e	derselben	derſelben	dieselbe	PDAT
s2	w3f	ins	ins	ins	APPRART
s2	w40	Deutsche	Deutſche	Deutsche	NN
s2	w41	übersetzt	uͤberſetzt	übersetzen	VVPP
s2	w42	von	von	von	APPR
s2	w43	D.	D.	D.	NE
s2	w44	J.	J.	J.	NE
s2	w45	v.	v.	v.	APPR
s2	w46	d.	d.	d.	ART
s2	w47	F.	F.	F.	NE
s2	w48	Berlin	BERLJN	Berlin	NE
s2	w49	,	,	,	$,
s2	w4a	zu	zu	zu	PTKZU
s2	w4b	finden	finden	finden	VVINF
s2	w4c	bei	bey	bei	APPR
s2	w4d	Johann	Johann	Johann	NE
s2	w4e	Andreas	Andreas	Andreas	NE
s2	w4f	Rüdiger	Ruͤdiger	Rüdiger	NE
s2	w50	,	,	,	$,
s2	w51	1742	1742	1742	CARD
s2	w52	.	.	.	$.
s16d	w3ac7	Die	Die	d	ART
s16d	w3ac8	Kunst	Kunſt	Kunst	NN
s16d	w3ac9	zu	zu	zu	PTKZU
s16d	w3aca	schwimmen	ſchwimmen	schwimmen	VVINF
s16d	w3acb	.	.	.	$.
s3	w53	Es	ES	es	PPER
s3	w54	ist	iſt	sein	VAFIN
s3	w55	nicht	nicht	nicht	PTKNEG
s3	w56	allein	allein	allein	ADV
s3	w57	das	das	d	ART
s3	w58	lateinische	lateiniſche	lateinisch	ADJA
s3	w59	Sprichwort	Sprichwort	Sprichwort	NN
s3	w5a	,	,	,	$,
s3	w5b	neque	neque	neque	FM
s3	w5c	nare	nare	nare	FM
s3	w5d	,	,	,	$,
s3	w5e	neque	neque	neque	FM
s3	w5f	litteras	litteras	litteras	FM
s3	w60	,	,	,	$,
s3	w61	didicit	didicit	didicit	FM
s3	w62	,	,	,	$,
s3	w63	welches	welches	welche	PRELS
s3	w64	mich	mich	mich	PRF
s3	w65	in	in	in	APPR
s3	w66	meiner	meiner	meine	PPOSAT
s3	w67	Jugend	Jugend	Jugend	NN
s3	w68	angetrieben	angetrieben	antreiben	VVPP
s3	w69	,	,	,	$,
s3	w6a	mich	mich	mich	PRF
s3	w6b	auf	auf	auf	APPR
s3	w6c	beides	beides	beide	PIS
s3	w6d	mit	mit	mit	APPR
s3	w6e	allem	allem	alle	PIS
s3	w6f	Fleisse	Fleiſſe	Fleiß	NN
s3	w70	zulegen	zulegen	zulegen	VVINF
s3	w71	,	,	,	$,
s3	w72	sondern	ſondern	sondern	KON
s3	w73	auch	auch	auch	ADV
s3	w74	,	,	,	$,
s3	w75	und	und	und	KON
s3	w76	noch	noch	noch	ADV
s3	w77	weit	weit	weit	ADJD
s3	w78	mehr	mehr	mehr	ADV
s3	w79	,	,	,	$,
s3	w7a	die	die	d	ART
s3	w7b	Bedeutung	Bedeutung	Bedeutung	NN
s3	w7c	meines	meines	meine	PPOSAT
s3	w7d	Namens	Namens	Name	NN
s3	w7e	,	,	,	$,
s3	w7f	indem	indem	indem	KOUS
s3	w80	ich	ich	ich	PPER
s3	w81	Bachstrom	Bachſtrom	Bachstrom	NN
s3	w82	heiße	heiſſe	heißen	VVFIN
s3	w83	.	.	.	$.
s4	w84	Dieser	Dieſer	diese	PDAT
s4	w85	letzte	letzte	letzte	ADJA
s4	w86	Beweg-Grund	Beweg-Grund	Beweg-Grund	NN
s4	w87	,	,	,	$,
s4	w88	hat	hat	haben	VAFIN
s4	w89	bei	bei	bei	APPR
s4	w8a	mir	mir	ich	PPER
s4	w8b	eine	eine	eine	ART
s4	w8c	Lust	Luſt	Lust	NN
s4	w8d	erwecket	erwecket	erwecken	VVFIN
s4	w8e	,	,	,	$,
s4	w8f	genau	genau	genau	ADJD
s4	w90	und	und	und	KON
s4	w91	mühsam	muͤhſam	mühsam	ADJD
s4	w92	dasjenige	dasjenige	diejenige	PDS
s4	w93	aufzusuchen	aufzuſuchen	aufsuchen	VVIZU
s4	w94	,	,	,	$,
s4	w95	was	was	was	PRELS
s4	w96	sich	ſich	sich	PRF
s4	w97	in	in	in	APPR
s4	w98	Ansehung	Anſehung	Ansehung	NN
s4	w99	der	der	d	ART
