Sent_ID	Token_ID	Corr_token	Orig_token	Lemma	POS
s1	w1	Der	DER	d	ART
s1	w2	VÖLKERGEDANKE	VÖLKERGEDANKE	Volkergedanke	NN
s1	w3	IM	IM	IM	APPR
s1	w4	AUFBAU	AUFBAU	Aufbau	NN
s1	w5	EINER	EINER	eine	ART
s1	w6	WISSENSCHAFT	WISSENSCHAFT	Wissenschaft	NN
s1	w7	VOM	VOM	vom	ADJA
s1	w8	MENSCHEN	MENSCHEN	Mensch	NN
s1	w9	UND	UND	und	KON
s1	wa	SEINE	SEINE	seine	PPOSAT
s1	wb	BEGRÜNDUNG	BEGRÜNDUNG	Begründung	NN
s1	wc	Auf	AUF	auf	APPR
s1	wd	ETHNOLOGISCHE	ETHNOLOGISCHE	ethnologisch	ADJA
s1	we	SAMMLUNGEN.	SAMMLUNGEN.	SAMMLUNGEN.	NN
s1	wf	BERLIN	BERLIN	Berlin	NE
s1	w10	FERD.	FERD.	FERD.	NE
s1	w11	Tümmlers	DÜMMLERS	Tümmler	NE
s1	w12	VERLAGSBUCHHANDLUNG	VERLAGSBUCHHANDLUNG	Verlagsbuchhandlung	NN
s1	w13	HARRWITZ	HARRWITZ	Harrwitz	NE
s1	w14	UND	UND	und	KON
s1	w15	GOSSMANN	GOSSMANN	Gossmann	NE
s1	w16	1881	1881	1881	CARD
s1	w17	.	.	.	$.
s83	w143b	Vorwort	Vorwort	Vorwort	NN
s83	w143c	.	.	.	$.
s2	w18	Es	Es	es	PPER
s2	w19	ist	ist	sein	VAFIN
s2	w1a	Nichts	Nichts	nichts	PIS
s2	w1b	Neues	Neues	Neu	NN
s2	w1c	unter	unter	unter	APPR
s2	w1d	der	der	d	ART
s2	w1e	Sonne	Sonne	Sonne	NN
s2	w1f	!	!	!	$.
s3	w20	Diesem	Diesem	diese	PDAT
s3	w21	Spruche	Spruche	Spruch	NN
s3	w22	der	der	d	ART
s3	w23	Volksweisheit	Volksweisheit	Volksweisheit	NN
s3	w24	steht	steht	stehen	VVFIN
s3	w25	das	das	d	ART
s3	w26	Wort	Wort	Wort	NN
s3	w27	des	des	d	ART
s3	w28	Dichterfürsten	Dichterfürsten	Dichterfürst	NN
s3	w29	gegenüber	gegenüber	gegenüber	PTKVZ
s3	w2a	:	:	:	$.
s3	w2b	""""	„	""""	$(
s3	w2c	Gar	Gar	gar	ADV
s3	w2d	manche	manche	manche	PIAT
s3	w2e	Dinge	Dinge	Ding	NN
s3	w2f	gibt	giebt	geben	VVFIN
s3	w30	es	es	es	PPER
s3	w31	zwischen	zwischen	zwischen	APPR
s3	w32	Himmel	Himmel	Himmel	NN
s3	w33	und	und	und	KON
s3	w34	Erde	Erde	Erde	NN
s3	w35	,	,	,	$,
s3	w36	von	von	von	APPR
s3	w37	denen	denen	die	PRELS
s3	w38	sich	sich	sich	PRF
s3	w39	die	die	d	ART
s3	w3a	Philosophen	Philosophen	Philosoph	NN
s3	w3b	nichts	nichts	nichts	PIS
s3	w3c	träumen	träumen	träumen	VVINF
s3	w3d	lassen	lassen	lassen	VVINF
s3	w3e	""""	“	""""	$(
s3	w3f	.	.	.	$.
s4	w40	Noch	Noch	noch	ADV
s4	w41	nichts	nichts	nichts	PIS
s4	w42	,	,	,	$,
s4	w43	müsste	müsste	müssen	VMFIN
s4	w44	es	es	es	PPER
s4	w45	heißen	heissen	heißen	VVINF
s4	w46	.	.	.	$.
s5	w47	Denn	Denn	denn	KON
s5	w48	eines	eines	eine	ART
s5	w49	schönen	schönen	schön	ADJA
s5	w4a	Tages	Tages	Tag	NN
s5	w4b	oder	oder	oder	KON
s5	w4c	in	in	in	APPR
s5	w4d	einer	einer	eine	ART
s5	w4e	stillen	stillen	still	ADJA
s5	w4f	,	,	,	$,
s5	w50	ruhigen	ruhigen	ruhig	ADJA
s5	w51	Nacht	Nacht	Nacht	NN
s5	w52	kommt	kommt	kommen	VVFIN
s5	w53	es	es	es	PPER
s5	w54	über	über	über	APPR
s5	w55	sie	sie	sie	PPER
s5	w56	im	im	im	APPRART
s5	w57	Traum	Traum	Traum	NN
s5	w58	,	,	,	$,
s5	w59	--	—	--	$(
s5	w5a	in	in	in	APPR
s5	w5b	keimschwangerer	keimschwangerer	keimschwanger	ADJA
s5	w5c	Mutternacht	Mutternacht	Mutternacht	NN
s5	w5d	vielleicht	vielleicht	vielleicht	ADV
s5	w5e	(	(	(	$(
s5	w5f	jener	jener	jen	PDAT
s5	w60	modranecht	modranecht	Modranecht	NN
s5	w61	,	,	,	$,
s5	w62	die	die	die	PRELS
s5	w63	dem	dem	d	ART
s5	w64	Morgen	Morgen	Morgen	NN
s5	w65	vorhergeht	vorhergeht	vorhergehen	VVFIN
s5	w66	)	)	)	$(
s5	w67	,	,	,	$,
s5	w68	--	—	--	$(
s5	w69	und	und	und	KON
s5	w6a	was	was	was	PWS
s5	w6b	sich	sich	sich	PRF
s5	w6c	dann	dann	dann	ADV
s5	w6d	in	in	in	APPR
s5	w6e	dunkler	dunkler	dunkel	ADJA
s5	w6f	Nacht	Nacht	Nacht	NN
s5	w70	traumhaft	traumhaft	traumhaft	ADJD
s5	w71	vor	vor	vor	APPR
s5	w72	dem	dem	d	ART
s5	w73	Geist	Geist	Geist	NN
s5	w74	erhoben	erhoben	erheben	VVPP
s5	w75	,	,	,	$,
s5	w76	das	das	die	PRELS
s5	w77	,	,	,	$,
s5	w78	unter	unter	unter	APPR
s5	w79	den	den	d	ART
s5	w7a	Arbeiten	Arbeiten	Arbeit	NN
s5	w7b	im	im	im	APPRART
s5	w7c	Tageslicht	Tageslicht	Tageslicht	NN
s5	w7d	,	,	,	$,
s5	w7e	beginnt	beginnt	beginnen	VVFIN
s5	w7f	sodann	sodann	sodann	ADV
s5	w80	Gestalt	Gestalt	Gestalt	NN
s5	w81	zu	zu	zu	PTKZU
s5	w82	gewinnen	gewinnen	gewinnen	VVINF
s5	w83	,	,	,	$,
s5	w84	dem	dem	d	ART
s5	w85	Verständnis	Verständniss	Verständnis	NN
s5	w86	sich	sich	sich	PRF
s5	w87	zu	zu	zu	APPR
s5	w88	nahen	nahen	nah	ADJA
s5	w89	in	in	in	APPR
s5	w8a	klareren	klareren	klar	ADJA
s5	w8b	Anschauungen	Anschauungen	Anschauung	NN
s5	w8c	.	.	.	$.
s6	w8d	Sie	Sie	sie	PPER
s6	w8e	sind	sind	sein	VAFIN
s6	w8f	ein	ein	eine	ART
s6	w90	Neues	Neues	Neu	NN
s6	w91	zwar	zwar	zwar	ADV
s6	w92	;	;	;	$.
s6	w93	neu	neu	neu	ADJD
s6	w94	aber	aber	aber	ADV
s6	w95	nur	nur	nur	ADV
s6	w96	in	in	in	APPR
s6	w97	dem	dem	d	ART
s6	w98	Grade	Grade	Grad	NN
s6	w99	der	der	d	ART
s6	w9a	Entfaltung	Entfaltung	Entfaltung	NN
s6	w9b	,	,	,	$,
s6	w9c	denn	denn	denn	KON
s6	w9d	jedem	jedem	jede	PIAT
s6	w9e	Traume	Traume	Traum	NN
s6	w9f	schon	schon	schon	ADV
s6	wa0	liegt	liegt	liegen	VVFIN
s6	wa1	ein	ein	eine	ART
s6	wa2	Wirkliches	Wirkliches	wirklich	ADJA
s6	wa3	voran	voran	voran	PTKVZ
s6	wa4	,	,	,	$,
s6	wa5	das	das	die	PRELS
s6	wa6	dorthin	dorthin	dorthin	ADV
s6	wa7	seine	seine	seine	PPOSAT
s6	wa8	Schatten	Schatten	Schatten	NN
s6	wa9	geworfen	geworfen	werfen	VVPP
s6	waa	,	,	,	$,
s6	wab	und	und	und	KON
s6	wac	dem	dem	d	ART
s6	wad	Keime	Keime	Keim	NN
s6	wae	nach	nach	nach	APPO
s6	waf	war	war	sein	VAFIN
s6	wb0	das	das	d	ART
s6	wb1	Neue	Neue	neu	ADJA
s6	wb2	also	also	also	ADV
s6	wb3	bereits	bereits	bereits	ADV
s6	wb4	vorhanden	vorhanden	vorhanden	ADJD
s6	wb5	gewesen	gewesen	sein	VAPP
s6	wb6	,	,	,	$,
s6	wb7	mithin	mithin	mithin	ADV
s6	wb8	nichts	nichts	nichts	PIS
s6	wb9	neues	neues	neu	ADJA
s6	wba	an	an	an	APPR
s6	wbb	sich	sich	sich	PRF
s6	wbc	,	,	,	$,
s6	wbd	neu	neu	neu	ADJD
s6	wbe	nur	nur	nur	ADV
s6	wbf	im	im	im	APPRART
s6	wc0	zeugenden	zeugenden	zeugend	ADJA
s6	wc1	Gang	Gang	Gang	NN
s6	wc2	der	der	d	ART
s6	wc3	Entwicklung	Entwicklung	Entwicklung	NN
s6	wc4	.	.	.	$.
s7	wc5	Und	Und	und	KON
s7	wc6	so	so	so	ADV
s7	wc7	bliebe	bliebe	bleiben	VVFIN
s7	wc8	es	es	es	PPER
s7	wc9	wahr	wahr	wahr	PTKVZ
s7	wca	,	,	,	$,
s7	wcb	""""	„	""""	$(
s7	wcc	nichts	nichts	nichts	PIS
s7	wcd	Neues	Neues	Neu	NN
s7	wce	unter	unter	unter	APPR
s7	wcf	der	der	d	ART
s7	wd0	Sonne	Sonne	Sonne	NN
s7	wd1	""""	“	""""	$(
s7	wd2	,	,	,	$,
s7	wd3	weil	weil	weil	KOUS
s7	wd4	nichts	nichts	nichts	PIAT
s7	wd5	Neues	Neues	Neu	NN
s7	wd6	sein	sein	sein	VAINF
s7	wd7	kann	kann	können	VMFIN
s7	wd8	,	,	,	$,
s7	wd9	innerhalb	innerhalb	innerhalb	APPR
s7	wda	eines	eines	eine	ART
