Sent_ID	Token_ID	Corr_token	Orig_token	Lemma	POS
s1	w1	Soldaten	Soldaten	Soldat	NN
s1	w2	Spiegel	Spiegel	Spiegel	NE
s1	w3	/	/	/	$(
s1	w4	Das	Das	die	PDS
s1	w5	ist	iſt	sein	VAFIN
s1	w6	:	:	:	$.
s1	w7	Historische	Hiſtoriſche	historisch	ADJA
s1	w8	Anweisung	Anweiſung	Anweisung	NN
s1	w9	/	/	/	$(
s1	wa	welcher	welcher	welcher	PWAT
s1	wb	Gestalt	Geſtalt	Gestalt	NN
s1	wc	ein	ein	eine	ART
s1	wd	Guarison	Guariſon	Guarison	NE
s1	we	/	/	/	$(
s1	wf	oder	oder	oder	KON
s1	w10	Festung	Veſtung	Festung	NN
s1	w11	/	/	/	$(
s1	w12	nicht	nicht	nicht	PTKNEG
s1	w13	allein	allein	allein	ADV
s1	w14	mit	mit	mit	APPR
s1	w15	aller	aller	alle	PIAT
s1	w16	ihrer	jhrer	ihr	PPOSAT
s1	w17	Notdurft	Notturfft	Notdurft	NN
s1	w18	und	vnnd	und	KON
s1	w19	Zugehörung	Zugehoͤrung	Zugehörung	NN
s1	w1a	/	/	/	$(
s1	w1b	wohl	wohl	wohl	ADV
s1	w1c	zu	zu	zu	PTKZU
s1	w1d	versorgen	verſorgen	versorgen	VVINF
s1	w1e	/	/	/	$(
s1	w1f	hohen	hohen	hoch	ADJA
s1	w20	und	vnd	und	KON
s1	w21	niedern	nidern	niedern	VVFIN
s1	w22	Ämtern	Aemptern	Amt	NN
s1	w23	recht	recht	recht	ADJD
s1	w24	anzuordnen	anzuordnen	anordnen	VVIZU
s1	w25	:	:	:	$.
s2	w26	Sondern	Sondern	sondern	KON
s2	w27	auch	auch	auch	ADV
s2	w28	wie	wie	wie	KOKOM
s2	w29	man	man	man	PIS
s2	w2a	ein	ein	eine	ART
s2	w2b	ganzes	gantzes	ganz	ADJA
s2	w2c	Veldtläger	Veldtlaͤger	Veldtläger	NN
s2	w2d	artlich	artlich	artlich	ADJD
s2	w2e	/	/	/	$(
s2	w2f	nach	nach	nach	APPR
s2	w30	alten	alten	alt	ADJA
s2	w31	rechten	rechten	recht	ADJA
s2	w32	Kriegsbrauch	Kriegsbrauch	Kriegsbrauch	NN
s2	w33	anstellen	anſtellen	anstellen	VVINF
s2	w34	soll	ſol	sollen	VMFIN
s2	w35	/	/	/	$(
s2	w36	damit	damit	damit	PAV
s2	w37	so	ſo	so	ADV
s2	w38	wohl	wol	wohl	ADV
s2	w39	ein	ein	eine	ART
s2	w3a	Kriegsfürst	Kriegsfuͤrſt	Kriegsfürst	NN
s2	w3b	selbst	ſelbſt	selbst	ADV
s2	w3c	/	/	/	$(
s2	w3d	wie	wie	wie	KOKOM
s2	w3e	auch	auch	auch	ADV
s2	w3f	sein	ſein	sein	PPOSAT
s2	w40	Kriegsvolk	Kriegsvolck	Kriegsvolk	NN
s2	w41	und	vnnd	und	KON
s2	w42	Soldaten	Soldaten	Soldat	NN
s2	w43	/	/	/	$(
s2	w44	sonder	ſonder	sonder	APPR
s2	w45	Abbruch	Abbruch	Abbruch	NN
s2	w46	vor	vor	vor	APPR
s2	w47	ihren	jhren	ihr	PPOSAT
s2	w48	Feinden	Feinden	Feind	NN
s2	w49	bleiben	bleiben	bleiben	VVINF
s2	w4a	/	/	/	$(
s2	w4b	und	vnnd	und	KON
s2	w4c	den	den	d	ART
s2	w4d	gewünschten	gewuͤnſchten	gewünscht	ADJA
s2	w4e	Sieg	Sieg	Sieg	NN
s2	w4f	/	/	/	$(
s2	w50	auch	auch	auch	ADV
s2	w51	Ehre	Ehr	Ehre	NN
s2	w52	/	/	/	$(
s2	w53	Ruhm	Ruhm	Ruhm	NN
s2	w54	und	vnnd	und	KON
s2	w55	Lob	Lob	Lob	NN
s2	w56	/	/	/	$(
s2	w57	durch	durch	durch	APPR
s2	w58	Göttlichen	Goͤttlichen	Göttliche	NN
s2	w59	Beistand	Beyſtand	Beistand	NN
s2	w5a	/	/	/	$(
s2	w5b	erlangen	erlangen	erlangen	VVINF
s2	w5c	und	vnd	und	KON
s2	w5d	davon	davon	davon	PAV
s2	w5e	bringen	bringen	bringen	VVINF
s2	w5f	mögen	moͤgen	mögen	VMFIN
s2	w60	:	:	:	$.
s3	w61	Dabei	Dabey	dabei	PAV
s3	w62	ein	ein	eine	ART
s3	w63	lustiger	luſtiger	lustig	ADJA
s3	w64	Unterricht	Vnterricht	Unterricht	NN
s3	w65	für	fuͤr	für	APPR
s3	w66	die	die	d	ART
s3	w67	Reiterei	Reutterey	Reiterei	NN
s3	w68	/	/	/	$(
s3	w69	wie	wie	wie	KOKOM
s3	w6a	nämlich	nemblich	nämlich	ADV
s3	w6b	vornehme	vornemme	vornehm	ADJA
s3	w6c	Adels	Adels	Adel	NN
s3	w6d	und	vnd	und	KON
s3	w6e	andere	andere	ander	ADJA
s3	w6f	Rittermässige	Rittermaͤſſige	Rittermäßige	NN
s3	w70	Personen	Perſonen	Person	NN
s3	w71	in	in	in	APPR
s3	w72	Heroischen	Heroiſchen	heroisch	ADJA
s3	w73	Ritterspielen	Ritterſpielen	Ritterspiel	NN
s3	w74	sich	ſich	sich	PRF
s3	w75	exercirn	exercirn	Exercirn	NE
s3	w76	und	vnnd	und	KON
s3	w77	üben	vben	üben	VVINF
s3	w78	sollen	ſollen	sollen	VMFIN
s3	w79	:	:	:	$.
s4	w7a	Dem	Dem	d	ART
s4	w7b	gemeinen	gemeinen	gemein	ADJA
s4	w7c	Vaterland	Vatterlandt	Vaterland	NN
s4	w7d	Deutscher	Teutſcher	deutsch	ADJA
s4	w7e	Nation	Nation	Nation	NN
s4	w7f	zum	zum	zum	APPRART
s4	w80	besten	beſten	gut	ADJA
s4	w81	/	/	/	$(
s4	w82	auch	auch	auch	ADV
s4	w83	allen	allen	alle	PIAT
s4	w84	ehrlichen	ehrlichen	ehrlich	ADJA
s4	w85	Kapitänen	Capitaͤnen	Kapitän	NN
s4	w86	/	/	/	$(
s4	w87	Befehlhaben	Befehlhabern	Befehlhaben	NN
s4	w88	und	vnd	und	KON
s4	w89	Kriegsleuten	Kriegsleuten	Kriegsleute	NN
s4	w8a	zu	zu	zu	APPR
s4	w8b	Nutz	Nutz	Nutz	NN
s4	w8c	und	vnd	und	KON
s4	w8d	Unterricht	Vnterricht	Unterricht	NN
s4	w8e	an	an	an	APPR
s4	w8f	Tag	Tag	Tag	NN
s4	w90	gebracht	gebracht	bringen	VVPP
s4	w91	durch	durch	durch	APPR
s4	w92	Bertholden	Bertholden	Bertholden	NE
s4	w93	von	von	von	APPR
s4	w94	der	der	d	ART
s4	w95	Beke	Beke	Beke	NE
s4	w96	/	/	/	$(
s4	w97	Kön.	Koͤn.	Kön.	NE
s4	w98	May.	May.	May.	NE
s4	w99	in	in	in	APPR
s4	w9a	Tennenmarkt	Dennenmarckt	Tennenmarkt	NN
