Sent_ID	Token_ID	Corr_token	Orig_token	Lemma	POS
s1	w1	Vorlesungen	Vorleſungen	Vorlesung	NN
s1	w2	über	uͤber	über	APPR
s1	w3	Esskunst	Esskunst	Eßkunst	NN
s1	w4	von	von	von	APPR
s1	w5	Antonius	Antonius	Antonius	NE
s1	w6	Anthus	Anthus	Anthus	NE
s1	w7	.	.	.	$.
s2	w8	""""	„	""""	$(
s2	w9	Ernst	Ernſt	Ernst	NE
s2	wa	ist	iſt	sein	VAFIN
s2	wb	das	das	d	ART
s2	wc	Leben	Leben	Leben	NN
s2	wd	,	,	,	$,
s2	we	heiter	heiter	heiter	ADJD
s2	wf	ist	iſt	sein	VAFIN
s2	w10	die	die	d	ART
s2	w11	Kunst	Kunſt	Kunst	NN
s2	w12	.	.	.	$.
s2	w13	""""	“	""""	$(
s3	w14	Leipzig	Leipzig	Leipzig	NE
s3	w15	,	,	,	$,
s3	w16	Verlag	Verlag	Verlag	NN
s3	w17	von	von	von	APPR
s3	w18	Otto	Otto	Otto	NE
s3	w19	Wigand	Wigand	Wigand	NE
s3	w1a	.	.	.	$.
s3	w1b	1838	1838	1838	CARD
s3	w1c	.	.	.	$.
s19	w24b	Vorwort	Vorwort	Vorwort	NN
s19	w24c	.	.	.	$.
s4	w1d	In	In	in	APPR
s4	w1e	der	der	d	ART
s4	w1f	teuren	theuren	teuer	ADJA
s4	w20	und	und	und	KON
s4	w21	werten	werthen	werten	VVFIN
s4	w22	Stadt	Stadt	Stadt	NN
s4	w23	,	,	,	$,
s4	w24	innerhalb	innerhalb	innerhalb	APPR
s4	w25	deren	deren	die	PRELAT
s4	w26	Ringmauern	Ringmauern	Ringmauer	NN
s4	w27	ich	ich	ich	PPER
s4	w28	den	den	d	ART
s4	w29	schönsten	ſchoͤnſten	schön	ADJA
s4	w2a	Teil	Theil	Teil	NN
s4	w2b	meiner	meiner	meine	PPOSAT
s4	w2c	Tage	Tage	Tag	NN
s4	w2d	verlebte	verlebte	verleben	VVFIN
s4	w2e	,	,	,	$,
s4	w2f	hatte	hatte	haben	VAFIN
s4	w30	sich	ſich	sich	PRF
s4	w31	ein	ein	eine	ART
s4	w32	Verein	Verein	Verein	NN
s4	w33	mehrerer	mehrerer	mehrere	PIAT
s4	w34	kunstsinniger	kunſtſinniger	kunstsinnig	ADJA
s4	w35	und	und	und	KON
s4	w36	gelehrter	gelehrter	gelehrt	ADJA
s4	w37	Eßliebhaber	Eßliebhaber	Eßliebhaber	NN
s4	w38	gebildet	gebildet	bilden	VVPP
s4	w39	,	,	,	$,
s4	w3a	welche	welche	welche	PRELS
s4	w3b	am	am	am	APPRART
s4	w3c	ersten	erſten	erst	ADJA
s4	w3d	Sonnabend	Sonnabend	Sonnabend	NN
s4	w3e	eines	eines	eine	ART
s4	w3f	jeden	jeden	jede	PIAT
s4	w40	Monats	Monats	Monat	NN
s4	w41	wechselsweise	wechſelsweiſe	wechselsweise	ADJD
s4	w42	bei	bei	bei	APPR
s4	w43	Einem	Einem	eine	PIS
s4	w44	der	der	d	ART
