S_ID	T_ID	TOKENcorr	TOKENorig	LEMMA	POS

# text = ΓΝΩΘΙ ΣΕΑΥ- ΤΟΝ .
s1	w1	ΓΝΩΘΙ	ΓΝΩΘΙ	γνωθι	FM.el
s1	w2	ΣΕΑΥ-	ΣΕΑΥ-	σεαυ-	FM.el
s1	w3	ΤΟΝ	ΤΟΝ	τον	FM.el
s1	w4	.	.	.	$.

# text = Noſce teipſum .
s2	w5	Nosce	Noſce	nosce	FM.la
s2	w6	teipsum	teipſum	teipsum	FM.la
s2	w7	.	.	.	$.

# text = Erkenne dich ſelbſt .
s3	w8	Erkenne	Erkenne	erkennen	VVFIN
s3	w9	dich	dich	du	PPER
s3	wa	selbst	ſelbſt	selbst	ADV
s3	wb	.	.	.	$.

# text = Zeiget vñ weiſet dahin / daß der Menſch ſey ein Microcoſmus , das groͤſte Werck Gottes / vnter dem Himmel / Er ſey die kleine Welt / vnd tregt alles in jhme / was da funden wird / in Himmel vnd Erden / vnd auch daruͤber .
s4	wc	Zeiget	Zeiget	zeigen	VVFIN
s4	wd	und	vñ	und	KON
s4	we	weiset	weiſet	weisen	VVFIN
s4	wf	dahin	dahin	dahin	PAV
s4	w10	/	/	/	$(
s4	w11	daß	daß	daß	KOUS
s4	w12	der	der	d	ART
s4	w13	Mensch	Menſch	Mensch	NN
s4	w14	sei	ſey	sein	VAFIN
s4	w15	ein	ein	eine	ART
s4	w16	Microcosmus	Microcoſmus	Microcosmus	NN
s4	w17	,	,	,	$,
s4	w18	das	das	d	ART
s4	w19	größte	groͤſte	groß	ADJA
s4	w1a	Werk	Werck	Werk	NN
s4	w1b	Gottes	Gottes	Gott	NN
s4	w1c	/	/	/	$(
s4	w1d	unter	vnter	unter	APPR
s4	w1e	dem	dem	d	ART
s4	w1f	Himmel	Himmel	Himmel	NN
s4	w20	/	/	/	$(
s4	w21	Er	Er	er	PPER
s4	w22	sei	ſey	sein	VAFIN
s4	w23	die	die	d	ART
s4	w24	kleine	kleine	klein	ADJA
s4	w25	Welt	Welt	Welt	NN
s4	w26	/	/	/	$(
s4	w27	und	vnd	und	KON
s4	w28	trägt	tregt	tragen	VVFIN
s4	w29	alles	alles	alle	PIS
s4	w2a	in	in	in	APPR
s4	w2b	ihm	jhme	er	PPER
s4	w2c	/	/	/	$(
s4	w2d	was	was	was	PWS
s4	w2e	da	da	da	ADV
