Sent_ID	Token_ID	Corr_token	Orig_token	Lemma	POS
s1	w1	Handbuch	Handbuch	Handbuch	NN
s1	w2	der	der	d	ART
s1	w3	vergleichenden	vergleichenden	vergleichend	ADJA
s1	w4	Anatomie	Anatomie	Anatomie	NN
s1	w5	.	.	.	$.
s2	w6	Handbuch	Handbuch	Handbuch	NN
s2	w7	der	der	d	ART
s2	w8	vergleichenden	vergleichenden	vergleichend	ADJA
s2	w9	Anatomie	Anatomie	Anatomie	NN
s2	wa	von	von	von	APPR
s2	wb	J.	J.	J.	NE
s2	wc	F.	F.	F.	NE
s2	wd	Blumenbach	Blumenbach	Blumenbach	NE
s2	we	.	.	.	$.
s3	wf	Spartam	Spartam	spartam	FM.la
s3	w10	quam	quam	quam	FM.la
s3	w11	nactus	nactus	nactus	FM.la
s3	w12	es	es	es	FM.la
s3	w13	,	,	,	$,
s3	w14	orna	orna	orna	FM.la
s3	w15	.	.	.	$.
s4	w16	Erasmi	Erasmi	Erasmi	NE
s4	w17	adag	adag	Adag	NE
s4	w18	.	.	.	$.
s5	w19	Mit	Mit	mit	APPR
s5	w1a	Kupfern	Kupfern	Kupfer	NN
s5	w1b	.	.	.	$.
s6	w1c	Göttingen	Göttingen	Göttingen	NE
s6	w1d	,	,	,	$,
s6	w1e	1805	1805	1805	CARD
s6	w1f	.	.	.	$.
s7	w20	Bei	Bey	bei	APPR
s7	w21	Heinrich	Heinrich	Heinrich	NE
s7	w22	Dietrich	Dieterich	Dietrich	NE
s7	w23	.	.	.	$.
s1d	w448	Vorrede	Vorrede	Vorrede	NN
s1d	w449	.	.	.	$.
s8	w24	Seit	Seit	seit	KOUS
s8	w25	ich	ich	ich	PPER
s8	w26	aus	aus	aus	APPR
s8	w27	Neigung	Neigung	Neigung	NN
s8	w28	und	und	und	KON
s8	w29	Beruf	Beruf	Beruf	NN
s8	w2a	den	den	d	ART
s8	w2b	größten	gröſsten	groß	ADJA
s8	w2c	Teil	Theil	Teil	NN
s8	w2d	meiner	meiner	meine	PPOSAT
s8	w2e	reiferen	reifern	reif	ADJA
s8	w2f	Studien	Studien	Studie	NN
s8	w30	und	und	und	KON
s8	w31	meiner	meiner	meine	PPOSAT
s8	w32	besten	besten	gut	ADJA
s8	w33	Zeit	Zeit	Zeit	NN
s8	w34	der	der	d	ART
s8	w35	Grundfeste	Grundfeste	Grundfeste	NN
s8	w36	der	der	d	ART
s8	w37	Arzneiwissenschaft	Arzneywissenschaft	Arzneiwissenschaft	NN
s8	w38	,	,	,	$,
s8	w39	wie	wie	wie	PWAV
s8	w3a	Zimmermann	Zimmermann	Zimmermann	NN
s8	w3b	die	die	d	ART
s8	w3c	Physiologie	Physiologie	Physiologie	NN
s8	w3d	nennt	nennt	nennen	VVFIN
s8	w3e	,	,	,	$,
s8	w3f	und	und	und	KON
s8	w40	der	der	d	ART
s8	w41	prima	prima	prima	ADV
s8	w42	materia	materia	materia	FM
s8	w43	philosophiae	philosophiae	philosophiae	FM
s8	w44	,	,	,	$,
s8	w45	wie	wie	wie	PWAV
s8	w46	die	die	d	ART
s8	w47	Naturgeschichte	Naturgeschichte	Naturgeschichte	NN
s8	w48	bei	bey	bei	APPR
s8	w49	Bacon	Bacon	Bacon	NN
s8	w4a	von	von	von	APPR
s8	w4b	Verulam	Verulam	Verulam	NE
s8	w4c	heißt	heiſst	heißen	VVFIN
s8	w4d	,	,	,	$,
s8	w4e	gewidmet	gewidmet	widmen	VVPP
s8	w4f	habe	habe	haben	VAFIN
s8	w50	,	,	,	$,
s8	w51	bin	bin	sein	VAFIN
s8	w52	ich	ich	ich	PPER
s8	w53	sehr	sehr	sehr	ADV
s8	w54	bald	bald	bald	ADV
s8	w55	und	und	und	KON
s8	w56	täglich	täglich	täglich	ADJD
s8	w57	mehr	mehr	mehr	ADV
s8	w58	überzeugt	überzeugt	überzeugen	VVPP
s8	w59	geworden	geworden	werden	VAPP
s8	w5a	wie	wie	wie	PWAV
s8	w5b	wahr	wahr	wahr	ADJD
s8	w5c	es	es	es	PPER
s8	w5d	ist	ist	sein	VAFIN
s8	w5e	wenn	wenn	wenn	KOUS
s8	w5f	Haller	Haller	Haller	NE
s8	w60	sagt	sagt	sagen	VVFIN
s8	w61	:	:	:	$.
s8	w62	die	die	d	ART
s8	w63	Physiologie	Physiologie	Physiologie	NN
s8	w64	habe	habe	haben	VAFIN
s8	w65	von	von	von	APPR
s8	w66	der	der	d	ART
s8	w67	vergleichenden	vergleichenden	vergleichend	ADJA
s8	w68	Anatomie	Anatomie	Anatomie	NN
s8	w69	mehr	mehr	mehr	PIAT
s8	w6a	Licht	Licht	Licht	NN
s8	w6b	erhalten	erhalten	erhalten	VVINF
s8	w6c	als	als	als	KOKOM
s8	w6d	selbst	selbst	selbst	ADV
s8	w6e	von	von	von	APPR
s8	w6f	der	der	d	ART
s8	w70	Zergliederung	Zergliederung	Zergliederung	NN
s8	w71	menschlicher	menschlicher	menschlich	ADJA
s8	w72	Leichen	Leichen	Leiche	NN
s8	w73	;	;	;	$.
s8	w74	und	und	und	KON
s8	w75	wenn	wenn	wenn	KOUS
s8	w76	J.	J.	J.	NE
s8	w77	J.	J.	J.	NE
s8	w78	Rousseau	Rousseau	Rousseau	NE
s8	w79	eben	eben	eben	ADV
s8	w7a	jene	jene	jen	PDAT
s8	w7b	Anatom	anatome	Anatom	NN
s8	w7c	comparata	comparata	Comparata	NE
s8	w7d	für	für	für	APPR
s8	w7e	die	die	d	ART
s8	w7f	lebendige	lebendige	lebendig	ADJA
s8	w80	Seele	Seele	Seele	NN
s8	w81	der	der	d	ART
s8	w82	ganzen	ganzen	ganz	ADJA
s8	w83	Naturgeschichte	Naturgeschichte	Naturgeschichte	NN
s8	w84	der	der	d	ART
s8	w85	Tiere	Thiere	Tier	NN
s8	w86	erklärt	erklärt	erklären	VVPP
s8	w87	.	.	.	$.
s9	w88	Und	Und	und	KON
s9	w89	wenn	wenn	wenn	KOUS
s9	w8a	ich	ich	ich	PPER
s9	w8b	glauben	glauben	glauben	VVINF
s9	w8c	darf	darf	dürfen	VMFIN
s9	w8d	in	in	in	APPR
s9	w8e	jenen	jenen	jen	PDAT
s9	w8f	beiden	beyden	beide	PIAT
s9	w90	Feldern	Feldern	Feld	NN
s9	w91	nicht	nicht	nicht	PTKNEG
s9	w92	ohne	ohne	ohne	APPR
s9	w93	Nutzen	Nutzen	Nutzen	NN
s9	w94	gearbeitet	gearbeitet	arbeiten	VVPP
s9	w95	zu	zu	zu	PTKZU
s9	w96	haben	haben	haben	VAINF
s9	w97	,	,	,	$,
s9	w98	so	so	so	ADV
s9	w99	verdanke	verdanke	verdanken	VVFIN
s9	w9a	ich	ich	ich	PPER
s9	w9b	das	das	die	PDS
s9	w9c	größtenteils	gröſstentheils	größtenteils	ADV
s9	w9d	der	der	d	ART
s9	w9e	Beihilfe	Beyhülfe	Beihilfe	NN
s9	w9f	die	die	d	ART
s9	wa0	mir	mir	ich	PPER
s9	wa1	die	die	d	ART
s9	wa2	vergleichende	vergleichende	vergleichend	ADJA
s9	wa3	Anatomie	Anatomie	Anatomie	NN
s9	wa4	dazu	dazu	dazu	PAV
s9	wa5	gewährt	gewährt	gewähren	VVPP
s9	wa6	hat	hat	haben	VAFIN
s9	wa7	;	;	;	$.
s9	wa8	so	so	so	ADV
s9	wa9	wie	wie	wie	KOKOM
s9	waa	ich	ich	ich	PPER
s9	wab	es	es	es	PPER
s9	wac	mir	mir	ich	PPER
s9	wad	andererseits	anderseits	andererseits	ADV
s9	wae	wohl	wohl	wohl	ADV
s9	waf	zu	zu	zu	APPR
s9	wb0	einigen	einigen	einige	PIAT
s9	wb1	Verdienst	Verdienst	Verdienst	NN
s9	wb2	anrechnen	anrechnen	anrechnen	VVINF
s9	wb3	darf	darf	dürfen	VMFIN
s9	wb4	,	,	,	$,
s9	wb5	dass	daſs	dass	KOUS
s9	wb6	ich	ich	ich	PPER
s9	wb7	,	,	,	$,
s9	wb8	meines	meines	meine	PPOSAT
s9	wb9	Wissens	Wissens	Wissen	NN
s9	wba	,	,	,	$,
s9	wbb	wenigstens	wenigstens	wenigstens	ADV
s9	wbc	in	in	in	APPR
s9	wbd	Deutschland	Deutschland	Deutschland	NE
s9	wbe	zu	zu	zu	PTKA
s9	wbf	erst	erst	erst	ADV
s9	wc0	,	,	,	$,
s9	wc1	schon	schon	schon	ADV
s9	wc2	seit	seit	seit	APPR
s9	wc3	langer	langer	lang	ADJA
