Sent_ID	Token_ID	Corr_token	Orig_token	Lemma	POS
s7	w18c	Von	Von	von	APPR
s7	w18d	Gottes	Gottes	Gott	NN
s7	w18e	Gnaden	Gnaden	Gnade	NN
s7	w18f	Rudolf	Rudolff	Rudolf	NE
s7	w190	Augusts	Auguſts	August	NE
s7	w191	/	/	/	$(
s7	w192	Herzog	Hertzog	Herzog	NE
s7	w193	zu	zu	zu	APPR
s7	w194	Braunschweig	Braunſchweig	Braunschweig	NE
s7	w195	und	und	und	KON
s7	w196	Lüneburg	Luͤneburg	Lüneburg	NE
s7	w197	/	/	/	$(
s7	w198	etc	ꝛc	et_cetera	ADV
s7	w199	.	.	.	$.
s1	w1	Wir	WJr	wir	PPER
s1	w2	mögen	moͤgen	mögen	VMFIN
s1	w3	hiermit	hiemit	hiermit	PAV
s1	w4	in	in	in	APPR
s1	w5	Gnaden	Gnaden	Gnade	NN
s1	w6	unverhalten	ohnverhalten	unverhalten	ADJD
s1	w7	/	/	/	$(
s1	w8	was	was	was	PWS
s1	w9	Gestalt	geſtalt	Gestalt	NN
s1	wa	Wir	Wir	wir	PPER
s1	wb	mit	mit	mit	APPR
s1	wc	nicht	nicht	nicht	PTKNEG
s1	wd	geringen	geringen	gering	ADJA
s1	we	Missfallen	Misfallen	Mißfallen	NN
s1	wf	vernommen	vernommen	vernehmen	VVPP
s1	w10	/	/	/	$(
s1	w11	wie	wie	wie	KOKOM
s1	w12	daß	daß	daß	KOUS
s1	w13	/	/	/	$(
s1	w14	ungeachtet	ohngeachtet	ungeachtet	APPR
s1	w15	in	in	in	APPR
s1	w16	Unseren	Unſern	unsere	PPOSAT
s1	w17	/	/	/	$(
s1	w18	der	der	d	ART
s1	w19	besorgenden	beſorgenden	besorgend	ADJA
s1	w1a	Contagion	Contagion	Contagion	NN
s1	w1b	halber	halber	halber	APPO
s1	w1c	/	/	/	$(
s1	w1d	unlängst	ohnlaͤngſt	unlängst	ADV
s1	w1e	publizierten	publicirten	publiziert	ADJA
s1	w1f	Fürstl.	Fuͤrſtl.	Fürstl.	NN
s1	w20	Edikten	Edicten	Edikt	NN
s1	w21	ausdrücklich	ausdruͤcklich	ausdrücklich	ADJD
s1	w22	enthalten	enthalten	enthalten	VVPP
s1	w23	/	/	/	$(
s1	w24	das	das	d	ART
s1	w25	kein	kein	keine	PIAT
s1	w26	verdächtiges	verdaͤchtiges	verdächtig	ADJA
s1	w27	loses	loſes	lose	ADJA
s1	w28	Gesindlein	Geſindlein	Gesindelein	NN
s1	w29	ein-	ein-	ein-	TRUNC
s1	w2a	noch	noch	noch	KON
s1	w2b	durch	durch	durch	APPR
s1	w2c	gelassen	gelaſſen	lassen	VVPP
s1	w2d	werden	werden	werden	VAINF
s1	w2e	sollte	ſolte	sollen	VMFIN
s1	w2f	/	/	/	$(
s1	w30	und	und	und	KON
s1	w31	in	in	in	APPR
s1	w32	specie	specie	Specie	NE
s1	w33	der	der	d	ART
s1	w34	Zigeuner	Zigeuner	Zigeuner	NN
s1	w35	halber	halber	halber	APPO
s1	w36	schon	ſchon	schon	ADV
s1	w37	vor	vor	vor	APPR
s1	w38	einigen	einigen	einige	PIAT
s1	w39	Jahren	Jahren	Jahr	NN
s1	w3a	ernstliche	ernſtliche	ernstlich	ADJA
s1	w3b	Verordnung	Verordnung	Verordnung	NN
s1	w3c	ergangen	ergangen	ergehen	VVPP
s1	w3d	/	/	/	$(
s1	w3e	dieselbe	dieſelbe	dieselbe	PDAT
s1	w3f	in	in	in	APPR
s1	w40	Unseren	Unſern	unsere	PPOSAT
s1	w41	Landen	Landen	Land	NN
s1	w42	keines	keines	keine	PIAT
s1	w43	Weges	weges	Weg	NN
s1	w44	zu	zu	zu	PTKZU
s1	w45	dulden	dulden	dulden	VVINF
s1	w46	/	/	/	$(
s1	w47	Dennoch	Dennoch	dennoch	ADV
s1	w48	in	in	in	APPR
s1	w49	neulicher	neulicher	neulich	ADJA
s1	w4a	Zeit	Zeit	Zeit	NN
s1	w4b	hin	hin	hin	PTKVZ
s1	w4c	und	und	und	KON
s1	w4d	wieder	wieder	wieder	ADV
s1	w4e	auf	auf	auf	APPR
s1	w4f	den	den	d	ART
s1	w50	Grenzen	Graͤntzen	Grenze	NN
s1	w51	sich	ſich	sich	PRF
s1	w52	einige	einige	einige	PIAT
s1	w53	derselben	derſelben	dieselbe	PDS
s1	w54	finden	finden	finden	VVINF
s1	w55	lassen	laſſen	lassen	VVINF
s1	w56	/	/	/	$(
s1	w57	und	und	und	KON
s1	w58	zum	zum	zum	APPRART
s1	w59	teile	theile	teilen	VVFIN
s1	w5a	wegen	wegen	wegen	APPR
s1	w5b	vorgezeigter	vorgezeigeter	vorgezeigt	ADJA
s1	w5c	Pässe	Paͤſſe	Paß	NN
s1	w5d	ein	ein	eine	ART
s1	w5e	und	und	und	KON
s1	w5f	andere	andere	ander	ADJA
s1	w60	Tage	Tage	Tag	NN
s1	w61	tolerieret	toleriret	tolerieren	VVFIN
s1	w62	worden	worden	werden	VAPP
s1	w63	.	.	.	$.
s2	w64	Wann	Wann	wann	PWAV
s2	w65	aber	aber	aber	ADV
s2	w66	dies	diß	diese	PDS
s2	w67	eine	eine	eine	ART
s2	w68	gefährliche	gefaͤhrliche	gefährlich	ADJA
s2	w69	Sache	Sache	Sache	NN
s2	w6a	/	/	/	$(
s2	w6b	und	und	und	KON
s2	w6c	durch	durch	durch	APPR
s2	w6d	dieses	dieſes	diese	PDAT
s2	w6e	Gesindlein	Geſindlein	Gesindelein	NN
s2	w6f	leicht	leicht	leicht	ADJD
s2	w70	eine	eine	eine	ART
s2	w71	Infektion	infection	Infektion	NN
s2	w72	ins	ins	ins	APPRART
s2	w73	Land	Land	Land	NN
s2	w74	gebracht	gebracht	bringen	VVPP
s2	w75	werden	werden	werden	VAINF
s2	w76	könnte	koͤnte	können	VMFIN
s2	w77	/	/	/	$(
s2	w78	solchen	ſolchen	solch	PIAT
s2	w79	Zigeunern	Ziegeunern	Zigeuner	NN
s2	w7a	auch	auch	auch	ADV
s2	w7b	wenn	wenn	wenn	KOUS
s2	w7c	sie	ſie	sie	PPER
s2	w7d	schon	ſchon	schon	ADV
s2	w7e	Pässe	Paͤſſe	Paß	NN
s2	w7f	und	und	und	KON
s2	w80	Fehde-Briefe	Fehde-Briefe	Fehde-Brief	NN
s2	w81	bei	bey	bei	APPR
s2	w82	sich	ſich	sich	PRF
s2	w83	haben	haben	haben	VAFIN
s2	w84	/	/	/	$(
s2	w85	dennoch	dennoch	dennoch	ADV
s2	w86	nicht	nicht	nicht	PTKNEG
s2	w87	zu	zu	zu	PTKZU
s2	w88	trauen	trauen	trauen	VVINF
s2	w89	steht	ſtehet	stehen	VVFIN
s2	w8a	/	/	/	$(
s2	w8b	indem	indem	indem	KOUS
s2	w8c	sie	ſie	sie	PPER
s2	w8d	der	der	d	ART
s2	w8e	gleichen	gleichen	gleich	ADJA
