Sent_ID	Token_ID	Corr_token	Orig_token	Lemma	POS
s1	w1	Neues	Neues	neu	ADJA
s1	w2	Wiener	Wiener	Wiener	ADJA
s1	w3	Theater.	Theater.	Theater.	NN
s1	w4	Nr.	Nr.	Nr.	NN
s1	w5	41.	41.	41.	ADJA
s1	w6	1	1	1	CARD
s1	w7	fl	fl	Fl	NN
s1	w8	.	.	.	$.
s2	w9	Der	Der	d	ART
s2	wa	Gewissenswurm	G’wiſſenswurm	Gewissenswurm	NN
s2	wb	.	.	.	$.
s3	wc	Bauernkomödie	Bauernkomödie	Bauernkomödie	NN
s3	wd	mit	mit	mit	APPR
s3	we	Gesang	Gesang	Gesang	NN
s3	wf	in	in	in	APPR
s3	w10	drei	drei	drei	CARD
s3	w11	Akten	Akten	Akte	NN
s3	w12	von	von	von	APPR
s3	w13	L.	L.	L.	NE
s3	w14	Anzengruber	Anzengruber	Anzengruber	NE
s3	w15	.	.	.	$.
s4	w16	Verlag	Verlag	Verlag	NN
s4	w17	der	der	d	ART
s4	w18	Wallishausser'schen	Wallishausser’schen	Wallishausser'schen	NE
s4	w19	k.	k.	k.	ADJA
s4	w1a	k.	k.	k.	ADJA
s4	w1b	Hof-Buchhandlung	Hof-Buchhandlung	Hof-Buchhandlung	NN
s4	w1c	Adolph	Adolph	Adolph	NE
s4	w1d	W.	W.	W.	NE
s4	w1e	Künast	Künast	Künast	NE
s4	w1f	Wien	Wien	Wien	NE
s4	w20	,	,	,	$,
s4	w21	I.	I.	i.	ADJA
s4	w22	Hoher	Hoher	hoch	ADJA
s4	w23	Markt	Markt	Markt	NN
s4	w24	Nr.	Nr.	Nr.	NN
s4	w25	1	1	1	CARD
s4	w26	.	.	.	$.
sa	w6d	Verlag	Verlag	Verlag	NN
sa	w6e	von	von	von	APPR
sa	w6f	L.	L.	L.	NE
sa	w70	Kosner	Kosner	Kosner	NE
sa	w71	in	in	in	APPR
sa	w72	Wien	Wien	Wien	NE
sa	w73	.	.	.	$.
sb	w74	Neues	Neues	neu	ADJA
sb	w75	Wiener	Wiener	Wiener	ADJA
sb	w76	Theater	Theater	Theater	NN
sb	w77	.	.	.	$.
sc	w78	Nr.	Nr.	Nr.	NN
sc	w79	1.	1.	1.	ADV
sc	w7a	Drei	Drei	drei	CARD
sc	w7b	Paar	Paar	Paar	NN
sc	w7c	Schuhe	Schuhe	Schuh	NN
sc	w7d	.	.	.	$.
sd	w7e	Lebensbild	Lebensbild	Lebensbild	NN
sd	w7f	mit	mit	mit	APPR
sd	w80	Gesang	Geſang	Gesang	NN
sd	w81	in	in	in	APPR
sd	w82	drei	drei	drei	CARD
sd	w83	Abteilungen	Abtheilungen	Abteilung	NN
sd	w84	und	und	und	KON
sd	w85	einem	einem	eine	ART
sd	w86	Vorspiele	Vorſpiele	Vorspiel	NN
sd	w87	von	von	von	APPR
sd	w88	Carl	Carl	Carl	NE
sd	w89	Görlitz	Görlitz	Görlitz	NE
sd	w8a	.	.	.	$.
se	w8b	Für	Für	für	APPR
se	w8c	die	die	d	ART
se	w8d	österreichischen	öſterreichiſchen	österreichisch	ADJA
se	w8e	Bühnen	Bühnen	Bühne	NN
se	w8f	bearbeitet	bearbeitet	bearbeiten	VVPP
se	w90	von	von	von	APPR
se	w91	Alois	Alois	Alois	NE
se	w92	Berla	Berla	Berla	NE
se	w93	.	.	.	$.
sf	w94	--	—	--	$(
sf	w95	Musik	Muſik	Musik	NN
sf	w96	von	von	von	APPR
sf	w97	Carl	Carl	Carl	NE
sf	w98	Millöcker	Millöcker	Millöcker	NE
sf	w99	.	.	.	$.
s10	w9a	Preis	Preis	Preis	NN
s10	w9b	1	1	1	CARD
s10	w9c	fl.	fl.	Fl.	NN
s10	w9d	od.	od.	Od.	NN
