Sent_ID	Token_ID	Corr_token	Orig_token	Lemma	POS
s1	w1	Wie	Wie	wie	PWAV
s1	w2	Arbeiterwohnungen	Arbeiterwohnungen	Arbeiterwohnung	NN
s1	w3	gut	gut	gut	ADJD
s1	w4	und	und	und	KON
s1	w5	gesund	geſund	gesund	ADJD
s1	w6	einzurichten	einzurichten	einrichten	VVIZU
s1	w7	und	und	und	KON
s1	w8	zu	zu	zu	PTKZU
s1	w9	erhalten	erhalten	erhalten	VVINF
s1	wa	seien	ſeien	sein	VAFIN
s1	wb	.	.	.	$.
s2	wc	Preisschrift	Preisſchrift	Preisschrift	NN
s2	wd	von	von	von	APPR
s2	we	Dr.	Dr.	Dr.	NN
s2	wf	Bernhard	Bernhard	Bernhard	NE
s2	w10	Becker	Becker	Becker	NE
s2	w11	,	,	,	$,
s2	w12	Pfarrer	Pfarrer	Pfarrer	NN
s2	w13	in	in	in	APPR
s2	w14	Linththal	Linththal	Linththal	NE
s2	w15	,	,	,	$,
s2	w16	gekrönt	gekrönt	krönen	VVPP
s2	w17	und	und	und	KON
s2	w18	herausgegeben	herausgegeben	herausgeben	VVPP
s2	w19	von	von	von	APPR
s2	w1a	der	der	d	ART
s2	w1b	Gesellschaft	Geſellſchaft	Gesellschaft	NN
s2	w1c	des	des	d	ART
s2	w1d	Guten	Guten	Gute	NN
s2	w1e	und	und	und	KON
s2	w1f	Gemeinnützigen	Gemeinnützigen	Gemeinnützige	NN
s2	w20	in	in	in	APPR
s2	w21	Basel	Baſel	Basel	NE
s2	w22	.	.	.	$.
s3	w23	Basel	Baſel	Basel	NE
s3	w24	.	.	.	$.
s4	w25	Bahnmaier's	Bahnmaier's	Bahnmaier	NE
s4	w26	Buchhandlung	Buchhandlung	Buchhandlung	NN
s4	w27	(	(	(	$(
s4	w28	C.	C.	C.	NE
s4	w29	Detloff	Detloff	Detloff	NE
s4	w2a	)	)	)	$(
s4	w2b	.	.	.	$.
s4	w2c	1860	1860	1860	CARD
s4	w2d	.	.	.	$.
s385	w5eb9	I.	I.	I.	NE
s5	w2e	Es	Es	es	PPER
s5	w2f	geht	geht	gehen	VVFIN
s5	w30	durch	durch	durch	APPR
s5	w31	unsere	unſere	unsere	PPOSAT
s5	w32	Zeit	Zeit	Zeit	NN
s5	w33	ein	ein	eine	ART
s5	w34	mächtiges	mächtiges	mächtig	ADJA
s5	w35	Streben	Streben	Strebe	NN
s5	w36	,	,	,	$,
s5	w37	die	die	d	ART
s5	w38	Gesundheits-	Geſundheits-	gesundheits-	TRUNC
s5	w39	und	und	und	KON
s5	w3a	Lebenszustände	Lebenszuſtände	Lebenszustand	NN
s5	w3b	zu	zu	zu	PTKZU
s5	w3c	verbessern	verbeſſern	verbessern	VVINF
s5	w3d	.	.	.	$.
s6	w3e	Einzelne	Einzelne	einzeln	ADJA
s6	w3f	und	und	und	KON
s6	w40	die	die	d	ART
s6	w41	Gesellschaft	Geſellſchaft	Gesellschaft	NN
s6	w42	und	und	und	KON
s6	w43	der	der	d	ART
s6	w44	Staat	Staat	Staat	NN
s6	w45	machen	machen	machen	VVFIN
s6	w46	großartige	großartige	großartig	ADJA
s6	w47	Anstrengungen	Anſtrengungen	Anstrengung	NN
s6	w48	.	.	.	$.
s7	w49	Unter	Unter	unter	APPR
s7	w4a	den	den	d	ART
s7	w4b	Einzelnen	Einzelnen	Einzelne	NN
s7	w4c	sind	ſind	sein	VAFIN
s7	w4d	es	es	es	PPER
s7	w4e	natürlich	natürlich	natürlich	ADV
s7	w4f	zumeist	zumeiſt	zumeist	ADV
s7	w50	die	die	d	ART
s7	w51	Wohlhabenden	Wohlhabenden	Wohlhabende	NN
s7	w52	und	und	und	KON
s7	w53	Reichen	Reichen	Reiche	NN
s7	w54	.	.	.	$.
s8	w55	Diese	Dieſe	diese	PDS
s8	w56	waren	waren	sein	VAFIN
s8	w57	von	von	von	APPR
s8	w58	jeher	jeher	jeher	ADV
s8	w59	besser	beſſer	gut	ADJD
s8	w5a	daran	daran	daran	PAV
s8	w5b	;	;	;	$.
s8	w5c	aber	aber	aber	KON
s8	w5d	es	es	es	PPER
s8	w5e	macht	macht	machen	VVFIN
s8	w5f	sich	ſich	sich	PRF
s8	w60	doch	doch	doch	ADV
s8	w61	auch	auch	auch	ADV
s8	w62	jetzt	jetzt	jetzt	ADV
s8	w63	die	die	d	ART
s8	w64	Einsicht	Einſicht	Einsicht	NN
s8	w65	immer	immer	immer	ADV
s8	w66	mehr	mehr	mehr	ADV
s8	w67	unter	unter	unter	APPR
s8	w68	ihnen	ihnen	sie	PPER
s8	w69	geltend	geltend	geltend	ADJD
s8	w6a	,	,	,	$,
s8	w6b	daß	daß	daß	KOUS
s8	w6c	gerade	gerade	gerade	ADV
s8	w6d	in	in	in	APPR
s8	w6e	Bezug	Bezug	Bezug	NN
