Sent_ID	Token_ID	Corr_token	Orig_token	Lemma	POS
s1	w1	Anleitung	Anleitung	Anleitung	NN
s1	w2	zur	zur	zur	APPRART
s1	w3	Technologie	Technologie	Technologie	NN
s1	w4	,	,	,	$,
s1	w5	oder	oder	oder	KON
s1	w6	zur	zur	zur	APPRART
s1	w7	Kenntnis	Kentniß	Kenntnis	NN
s1	w8	der	der	d	ART
s1	w9	Handwerke	Handwerke	Handwerk	NN
s1	wa	,	,	,	$,
s1	wb	Fabriken	Fabriken	Fabrik	NN
s1	wc	und	und	und	KON
s1	wd	Manufakturen	Manufacturen	Manufaktur	NN
s1	we	,	,	,	$,
s1	wf	vornehmlich	vornehmlich	vornehmlich	ADJD
s1	w10	derer	derer	die	PDS
s1	w11	,	,	,	$,
s1	w12	die	die	die	PRELS
s1	w13	mit	mit	mit	APPR
s1	w14	der	der	d	ART
s1	w15	Landwirtschaft	Landwirthſchaft	Landwirtschaft	NN
s1	w16	,	,	,	$,
s1	w17	Polizei	Polizey	Polizei	NN
s1	w18	und	und	und	KON
s1	w19	Kameralwissenschaft	Cameralwiſſenſchaft	Kameralwissenschaft	NN
s1	w1a	in	in	in	APPR
s1	w1b	nächster	naͤchſter	nächst	ADJA
s1	w1c	Verbindung	Verbindung	Verbindung	NN
s1	w1d	stehen	ſtehn	stehen	VVFIN
s1	w1e	.	.	.	$.
s2	w1f	Nebst	Nebſt	nebst	APPR
s2	w20	Beiträgen	Beytraͤgen	Beitrag	NN
s2	w21	zur	zur	zur	APPRART
s2	w22	Kunstgeschichte	Kunſtgeſchichte	Kunstgeschichte	NN
s2	w23	.	.	.	$.
s3	w24	Von	Von	von	APPR
s3	w25	Johann	Johann	Johann	NE
s3	w26	Beckmann	Beckmann	Beckmann	NE
s3	w27	ordentlichem	ordentlichem	ordentlich	ADJA
s3	w28	Professor	Profeſſor	Professor	NN
s3	w29	der	der	d	ART
s3	w2a	Ökonomie	Oekonomie	Ökonomie	NN
s3	w2b	in	in	in	APPR
s3	w2c	Göttingen	Goͤttingen	Göttingen	NE
s3	w2d	.	.	.	$.
s4	w2e	Mit	Mit	mit	APPR
s4	w2f	einer	einer	eine	ART
s4	w30	Kupfertafel	Kupfertafel	Kupfertafel	NN
s4	w31	.	.	.	$.
s5	w32	Göttingen	Goͤttingen	Göttingen	NE
s5	w33	,	,	,	$,
s5	w34	im	im	im	APPRART
s5	w35	Verlag	Verlag	Verlag	NN
s5	w36	der	der	d	ART
s5	w37	Witwe	Wittwe	Witwe	NN
s5	w38	Vandenhoeck	Vandenhoeck	Vandenhoeck	NE
s5	w39	.	.	.	$.
s5	w3a	1777	1777	1777	CARD
s5	w3b	.	.	.	$.
s73	w1060	Vorrede	Vorrede	Vorrede	NN
s73	w1061	.	.	.	$.
s6	w3c	Die	Die	d	ART
s6	w3d	Kenntnis	Kentniß	Kenntnis	NN
s6	w3e	der	der	d	ART
s6	w3f	Handwerke	Handwerke	Handwerk	NN
s6	w40	,	,	,	$,
s6	w41	Fabriken	Fabriken	Fabrik	NN
s6	w42	und	und	und	KON
s6	w43	Manufakturen	Manufacturen	Manufaktur	NN
s6	w44	ist	iſt	sein	VAFIN
s6	w45	jedem	jedem	jede	PIS
s6	w46	,	,	,	$,
s6	w47	der	der	die	PRELS
s6	w48	sich	ſich	sich	PRF
s6	w49	der	der	d	ART
s6	w4a	Polizei	Polizey	Polizei	NN
s6	w4b	und	und	und	KON
s6	w4c	Kameralwissenschaft	Cameralwiſſenſchaft	Kameralwissenschaft	NN
s6	w4d	widmen	widmen	widmen	VVINF
s6	w4e	will	will	wollen	VMFIN
s6	w4f	,	,	,	$,
s6	w50	unentbehrlich	unentbehrlich	unentbehrlich	ADJD
s6	w51	.	.	.	$.
s7	w52	Denn	Denn	denn	KON
s7	w53	was	was	was	PWS
s7	w54	man	man	man	PIS
s7	w55	veranstalten	veranſtalten	veranstalten	VVFIN
s7	w56	,	,	,	$,
s7	w57	anlegen	anlegen	anlegen	VVINF
s7	w58	,	,	,	$,
s7	w59	anordnen	anordnen	anordnen	VVINF
s7	w5a	,	,	,	$,
s7	w5b	beurteilen	beurtheilen	beurteilen	VVFIN
s7	w5c	,	,	,	$,
s7	w5d	regieren	regieren	regieren	VVFIN
