Sent_ID	Token_ID	Corr_token	Orig_token	Lemma	POS
s1	w1	JOHANN	JOHANN	Johann	NE
s1	w2	JOACHIM	JOACHIM	Joachim	NE
s1	w3	BECHERS	BECHERS	Becher	NE
s1	w4	,	,	,	$,
s1	w5	von	von	von	APPR
s1	w6	Speyer	Speyer	Speyer	NE
s1	w7	/	/	/	$(
s1	w8	Röm.	Roͤm.	Röm.	NE
s1	w9	Käys.	Kaͤyſ.	Käys.	NE
s1	wa	Maj.	Maj.	Maj.	NE
s1	wb	gewesenen	geweſenen	gewesen	ADJA
s1	wc	Kammer-Rats	Cammer-Raths	Kammer-Rat	NN
s1	wd	PSYCHOSOPHIA	PSYCHOSOPHIA	Psychosophia	NN
s1	we	Oder	Oder	oder	KON
s1	wf	Seelen-Weißheit	Seelen-Weißheit	Seelen-Weißheit	NN
s1	w10	/	/	/	$(
s1	w11	Wie	Wie	wie	PWAV
s1	w12	nämlich	nemlich	nämlich	ADV
s1	w13	ein	ein	eine	ART
s1	w14	jeder	jeder	jede	PIAT
s1	w15	Mensch	Menſch	Mensch	NN
s1	w16	aus	auß	aus	APPR
s1	w17	Betrachtung	Betrachtung	Betrachtung	NN
s1	w18	seiner	ſeiner	seine	PPOSAT
s1	w19	Seelen	Seelen	Seele	NN
s1	w1a	selbst	ſelbſt	selbst	ADV
s1	w1b	allein	allein	allein	ADV
s1	w1c	alle	alle	alle	PIAT
s1	w1d	Wissenschaft	Wiſſenſchafft	Wissenschaft	NN
s1	w1e	und	und	und	KON
s1	w1f	Weisheit	Weißheit	Weisheit	NN
s1	w20	gründlich	gruͤndlich	gründlich	ADJD
s1	w21	und	und	und	KON
s1	w22	beständig	beſtaͤndig	beständig	ADJD
s1	w23	erlangen	erlangen	erlangen	VVINF
s1	w24	könne	koͤnne	können	VMFIN
s1	w25	.	.	.	$.
s2	w26	Zweite	Zweyte	zweit	ADJA
s2	w27	Edition	Edition	Edition	NN
s2	w28	.	.	.	$.
s3	w29	Von	Von	von	APPR
s3	w2a	dem	dem	d	ART
s3	w2b	Authore	Authore	Authore	NE
s3	w2c	selbst	ſelbſten	selbst	ADV
s3	w2d	übersehen	uͤberſehen	übersehen	VVPP
s3	w2e	korrigiert	corrigirt	korrigieren	VVPP
s3	w2f	und	und	und	KON
s3	w30	in	in	in	APPR
s3	w31	vielem	vielem	viel	PIS
s3	w32	verbessert	verbeſſert	verbessern	VVPP
s3	w33	.	.	.	$.
s4	w34	Frankfurt	Franckfurt	Frankfurt	NE
s4	w35	/	/	/	$(
s4	w36	In	Jn	in	APPR
s4	w37	Verlegung	Verlegung	Verlegung	NN
s4	w38	Joh.	Joh.	Joh.	NE
s4	w39	Georg	Georg	Georg	NE
s4	w3a	Schiele	Schiele	Schiele	NE
s4	w3b	.	.	.	$.
s5	w3c	Simm	Symb	Simm	NE
s5	w3d	.	.	.	$.
s6	w3e	Conscia	Conſcia	conscia	FM.la
s6	w3f	mens	mens	mens	FM.la
s6	w40	recti	recti	recti	FM.la
s6	w41	famae	famæ	famae	FM.la
s6	w42	mendacia	mendacia	mendacia	FM.la
s6	w43	ridet	ridet	ridet	FM.la
s6	w44	.	.	.	$.
s8	w6e	Auslegung	Außlegung	Auslegung	NN
s8	w6f	des	des	d	ART
s8	w70	Kupffer-Tituls	Kupffer-Tituls	Kupffer-Tituls	NN
s8	w71	:	:	:	$.
s7	w45	Der	Der	d	ART
s7	w46	Spiegel	Spiegel	Spiegel	NN
s7	w47	deut	deut	Deut	NE
s7	w48	die	die	d	ART
s7	w49	Seele	Seel	Seele	NN
s7	w4a	/	/	/	$(
s7	w4b	wann	wann	wann	PWAV
s7	w4c	Gott	Gott	Gott	NN
s7	w4d	dieselbe	dieſelb	dieselbe	PDAT
