Sent_ID	Token_ID	Corr_token	Orig_token	Lemma	POS
s1	w1	Sammlung	Sammlung	Sammelung	NN
s1	w2	kritischer	Critiſcher	kritisch	ADJD
s1	w3	,	,	,	$,
s1	w4	Poetischer	Poetiſcher	Poetische	NN
s1	w5	,	,	,	$,
s1	w6	und	und	und	KON
s1	w7	anderer	anderer	ander	ADJA
s1	w8	geistvollen	geiſtvollen	geistvoll	ADJA
s1	w9	Schriften	Schriften	Schrift	NN
s1	wa	,	,	,	$,
s1	wb	Zur	Zur	zur	APPRART
s1	wc	Verbesserung	Verbeſſerung	Verbesserung	NN
s1	wd	des	des	d	ART
s1	we	Urteiles	Urtheiles	Urteil	NN
s1	wf	und	und	und	KON
s1	w10	des	des	d	ART
s1	w11	Witzes	Witzes	Witz	NN
s1	w12	in	in	in	APPR
s1	w13	den	den	d	ART
s1	w14	Werken	Wercken	Werken	NN
s1	w15	der	der	d	ART
s1	w16	Wohlredenheit	Wohlredenheit	Wohlredenheit	NN
s1	w17	und	und	und	KON
s1	w18	der	der	d	ART
s1	w19	Poesie	Poeſie	Poesie	NN
s1	w1a	.	.	.	$.
s2	w1b	Sechstes	Sechstes	sechst	ADJA
s2	w1c	Stück	Stuͤck	Stück	NN
s2	w1d	.	.	.	$.
s3	w1e	Zürich	Zuͤrich	Zürich	NE
s3	w1f	,	,	,	$,
s3	w20	Bei	Bey	bei	APPR
s3	w21	Conrad	Conrad	Conrad	NE
s3	w22	Orell	Orell	Orell	NE
s3	w23	und	und	und	KON
s3	w24	Comp.	Comp.	Comp.	NE
s3	w25	1742	1742	1742	CARD
s3	w26	.	.	.	$.
s346	w59b0	Fortsetzung	Fortſetzung	Fortsetzung	NN
s346	w59b1	Der	Der	d	ART
s346	w59b2	Echo	Echo	Echo	NN
s346	w59b3	Des	Des	d	ART
s346	w59b4	Deutschen	Deutſchen	deutsch	ADJA
s346	w59b5	Witzes	Witzes	Witz	NN
s346	w59b6	.	.	.	$.
s347	w59b7	V.	V.	v.	ADJA
s347	w59b8	Erörterung	Eroͤrterung	Erörterung	NN
s347	w59b9	der	der	d	ART
s347	w59ba	Frage	Frage	Frage	NN
s347	w59bb	:	:	:	$.
s348	w59bc	Wie	Wie	wie	PWAV
s348	w59bd	ferne	ferne	ferne	ADV
s348	w59be	die	die	d	ART
s348	w59bf	Königin	Koͤniginn	Königin	NN
s348	w59c0	von	von	von	APPR
s348	w59c1	Saba	Saba	Saba	NE
s348	w59c2	,	,	,	$,
s348	w59c3	und	und	und	KON
s348	w59c4	der	der	d	ART
s348	w59c5	König	Koͤnig	König	NN
s348	w59c6	Herodes	Herodes	Herod	NN
s348	w59c7	mit	mit	mit	APPR
s348	w59c8	der	der	d	ART
s348	w59c9	Christlichen	Chriſtlichen	christlich	ADJA
s348	w59ca	Religion	Religion	Religion	NN
s348	w59cb	einen	einen	eine	ART
s348	w59cc	Zusammenhäng	Zuſammenhang	Zusammenhäng	NN
