Sent_ID	Token_ID	Corr_token	Orig_token	Lemma	POS
s1	w1	DIE	DIE	d	ART
s1	w2	ELEMENTARORGANISMEN	ELEMENTARORGANISMEN	Elementarorganismus	NN
s1	w3	UND	UND	und	KON
s1	w4	IHRE	IHRE	Ihre	ADJA
s1	w5	BEZIEHUNGEN	BEZIEHUNGEN	Beziehung	NN
s1	w6	ZU	ZU	zu	APPR
s1	w7	Den	DEN	d	ART
s1	w8	Zellen	ZELLEN	Zelle	NN
s1	w9	.	.	.	$.
s1	wa	VON	VON	VON	NN
s1	wb	RICHARD	RICHARD	Richard	NE
s1	wc	ALTMANN	ALTMANN	Altmann	NE
s1	wd	.	.	.	$.
s2	we	MIT	MIT	Massachussetts_Institute_Of_Technology	NE
s2	wf	ZWEI	ZWEI	zwei	ADJA
s2	w10	ABBILDUNGEN	ABBILDUNGEN	Abbildung	NN
s2	w11	IM	IM	IM	APPR
s2	w12	TEXT	TEXT	Text	NE
s2	w13	UND	UND	und	KON
s2	w14	XXI	XXI	Xxi	NE
s2	w15	TAFELN.	TAFELN.	TAFELN.	NE
s2	w16	Leipzig	LEIPZIG	Leipzig	NE
s2	w17	,	,	,	$,
s2	w18	VERLAG	VERLAG	Verlag	NN
s2	w19	VON	VON	VON	NE
s2	w1a	VEIT	VEIT	Veit	NE
s2	w1b	&	&	&	$(
s2	w1c	COMP.	COMP.	COMP.	NE
s2	w1d	1890	1890	1890	CARD
s2	w1e	.	.	.	$.
s3	w1f	DIE	DIE	d	ART
s3	w20	ELEMENTARORGANISMEN	ELEMENTARORGANISMEN	Elementarorganismus	NN
s3	w21	UND	UND	und	KON
s3	w22	IHRE	IHRE	Ihre	ADJA
s3	w23	BEZIEHUNGEN	BEZIEHUNGEN	Beziehung	NN
s3	w24	ZU	ZU	zu	APPR
s3	w25	Den	DEN	d	ART
s3	w26	Zellen	ZELLEN	Zelle	NN
s3	w27	.	.	.	$.
s3	w28	VON	VON	VON	NN
s3	w29	RICHARD	RICHARD	Richard	NE
s3	w2a	ALTMANN	ALTMANN	Altmann	NE
s3	w2b	.	.	.	$.
s4	w2c	MIT	MIT	Massachussetts_Institute_Of_Technology	NE
s4	w2d	ZWEI	ZWEI	zwei	ADJA
s4	w2e	ABBILDUNGEN	ABBILDUNGEN	Abbildung	NN
s4	w2f	IM	IM	IM	APPR
s4	w30	TEXT	TEXT	Text	NE
s4	w31	UND	UND	und	KON
s4	w32	XXI	XXI	Xxi	NE
s4	w33	TAFELN.	TAFELN.	TAFELN.	NE
s4	w34	Leipzig	LEIPZIG	Leipzig	NE
s4	w35	,	,	,	$,
s4	w36	VERLAG	VERLAG	Verlag	NN
s4	w37	VON	VON	VON	NE
s4	w38	VEIT	VEIT	Veit	NE
s4	w39	&	&	&	$(
s4	w3a	COMP.	COMP.	COMP.	NE
s4	w3b	1890	1890	1890	CARD
s4	w3c	.	.	.	$.
s5	w3d	HERRN	HERRN	Herr	NN
s5	w3e	WILHELM	WILHELM	Wilhelm	NE
s5	w3f	HIS	HIS	His	NE
s5	w40	IN	IN	in	APPR
s5	w41	DANKBARER	DANKBARER	dankbar	ADJA
s5	w42	VEREHRUNG	VEREHRUNG	Verehrung	NN
s5	w43	GEWIDMET	GEWIDMET	widmen	VVPP
s5	w44	VOM	VOM	vom	ADJA
s5	w45	VERFASSER	VERFASSER	Verfasser	NN
s5	w46	.	.	.	$.
sc	wce	Vorbemerkung	Vorbemerkung	Vorbemerkung	NN
sc	wcf	.	.	.	$.
s6	w47	Die	Die	d	ART
s6	w48	nachfolgenden	nachfolgenden	nachfolgend	ADJA
s6	w49	Kapitel	Capitel	Kapitel	NN
s6	w4a	enthalten	enthalten	enthalten	VVFIN
s6	w4b	im	im	im	APPRART
s6	w4c	Wesentlichen	Wesentlichen	Wesentliche	NN
s6	w4d	eine	eine	eine	ART
s6	w4e	teils	theils	teils	ADV
s6	w4f	erweiterte	erweiterte	erweitert	ADJA
s6	w50	,	,	,	$,
s6	w51	teils	theils	teils	ADV
s6	w52	verkürzte	verkürzte	verkürzt	ADJA
s6	w53	Zusammenstellung	Zusammenstellung	Zusammenstellung	NN
s6	w54	derjenigen	derjenigen	diejenige	PDS
s6	w55	Abhandlungen	Abhandlungen	Abhandlung	NN
s6	w56	,	,	,	$,
s6	w57	welche	welche	welche	PRELS
s6	w58	bisher	bisher	bisher	ADV
s6	w59	von	von	von	APPR
s6	w5a	mir	mir	ich	PPER
s6	w5b	über	über	über	APPR
s6	w5c	die	die	d	ART
s6	w5d	Zellengranula	Zellengranula	Zellengranulum	NN
s6	w5e	veröffentlicht	veröffentlicht	veröffentlichen	VVPP
s6	w5f	worden	worden	werden	VAPP
s6	w60	sind	sind	sein	VAFIN
s6	w61	.	.	.	$.
s7	w62	Indem	Indem	indem	KOUS
s7	w63	hierzu	hierzu	hierzu	PAV
s7	w64	die	die	d	ART
s7	w65	Beschreibung	Beschreibung	Beschreibung	NN
s7	w66	der	der	d	ART
s7	w67	Methoden	Methoden	Methode	NN
s7	w68	und	und	und	KON
s7	w69	die	die	d	ART
s7	w6a	erläuternden	erläuternden	erläuternd	ADJA
s7	w6b	Abbildungen	Abbildungen	Abbildung	NN
