Sent_ID	Token_ID	Corr_token	Orig_token	Lemma	POS
s1	w1	Gedanken	Gedanken	Gedanke	NN
s1	w2	und	und	und	KON
s1	w3	Erinnerungen	Erinnerungen	Erinnerung	NN
s1	w4	.	.	.	$.
s2	w5	Von	Von	von	APPR
s2	w6	Otto	Otto	Otto	NE
s2	w7	Fürst	Fürſt	Fürst	NN
s2	w8	von	von	von	APPR
s2	w9	Bismarck	Bismarck	Bismarck	NE
s2	wa	.	.	.	$.
s3	wb	Gedanken	Gedanken	Gedanke	NN
s3	wc	und	und	und	KON
s3	wd	Erinnerungen	Erinnerungen	Erinnerung	NN
s3	we	.	.	.	$.
s4	wf	Von	Von	von	APPR
s4	w10	Otto	Otto	Otto	NE
s4	w11	Fürst	Fürſt	Fürst	NN
s4	w12	von	von	von	APPR
s4	w13	Bismarck	Bismarck	Bismarck	NE
s4	w14	.	.	.	$.
s5	w15	Zweiter	Zweiter	zweit	ADJA
s5	w16	Band	Band	Band	NN
s5	w17	.	.	.	$.
s6	w18	Stuttgart	Stuttgart	Stuttgart	NE
s6	w19	1898	1898	1898	CARD
s6	w1a	.	.	.	$.
s7	w1b	Verlag	Verlag	Verlag	NN
s7	w1c	der	der	d	ART
s7	w1d	J.	J.	J.	NE
s7	w1e	G.	G.	G.	NE
s7	w1f	Cotta'schen	Cotta'ſchen	Cotta'schen	NE
s7	w20	Buchhandlung	Buchhandlung	Buchhandlung	NN
s7	w21	Nachfolger	Nachfolger	Nachfolger	NN
s7	w22	.	.	.	$.
s8	w23	Alle	Alle	alle	PIAT
s8	w24	Rechte	Rechte	Rechte	NN
s8	w25	,	,	,	$,
s8	w26	insbesondere	insbeſondere	insbesondere	ADV
s8	w27	das	das	d	ART
s8	w28	Übersetzungsrecht	Ueberſetzungsrecht	Übersetzungsrecht	NN
s8	w29	,	,	,	$,
s8	w2a	vorbehalten	vorbehalten	vorbehalten	VVPP
s8	w2b	.	.	.	$.
s9	w2c	Copyright	Copyright	Copyright	NN
s9	w2d	1898	1898	1898	CARD
s9	w2e	by	by	by	FM
s9	w2f	J.	J.	J.	NE
s9	w30	G.	G.	G.	NE
s9	w31	Kottasche	Cotta'sche	Kottasche	NN
s9	w32	Buchhandlung	Buchhandlung	Buchhandlung	NN
s9	w33	Nachfolger	Nachfolger	Nachfolger	NN
s9	w34	.	.	.	$.
sa	w35	Druck	Druck	Druck	NN
sa	w36	von	von	von	APPR
sa	w37	C.	C.	C.	NE
sa	w38	Grumbach	Grumbach	Grumbach	NE
sa	w39	in	in	in	APPR
sa	w3a	Leipzig	Leipzig	Leipzig	NE
sa	w3b	.	.	.	$.
s989	w16dd8	Inhaltsverzeichnis	Inhaltsverzeichniß	Inhaltsverzeichnis	NN
s989	w16dd9	.	.	.	$.
s98a	w16dda	Seite	Seite	Seite	NN
s98b	w16ddb	Neunzehntes	Neunzehntes	neunzehnt	ADJA
s98b	w16ddc	Kapitel	Kapitel	Kapitel	NN
s98b	w16ddd	:	:	:	$.
s98b	w16dde	Schleswig-Holstein	Schleswig-Holſtein	Schleswig-Holstein	NE
s98b	w16ddf	1-31	1–31	1-31	CARD
s98c	w16de0	I.	I.	i.	ADJA
s98c	w16de1	Differenz	Differenz	Differenz	NN
s98c	w16de2	mit	mit	mit	APPR
s98c	w16de3	Graf	Graf	Graf	NE
s98c	w16de4	R.	R.	R.	NE
s98c	w16de5	v.	v.	v.	APPR
s98c	w16de6	der	der	d	ART
s98c	w16de7	Goltz	Goltz	Goltz	NE
s98c	w16de8	über	über	über	APPR
s98c	w16de9	die	die	d	ART
s98c	w16dea	Behandlung	Behandlung	Behandlung	NN
s98c	w16deb	der	der	d	ART
s98c	w16dec	schleswig-holsteinischen	ſchleswig-holſteiniſchen	schleswig-holsteinisch	ADJA
s98c	w16ded	Frage	Frage	Frage	NN
s98c	w16dee	S.	S.	S.	NN
s98c	w16def	1.	1.	1.	ADJA
s98c	w16df0	Brief	Brief	Brief	NN
