Sent_ID	Token_ID	Corr_token	Orig_token	Lemma	POS
s1	w1	Kurze	Kurtze	kurz	ADJA
s1	w2	doch	doch	doch	KON
s1	w3	bewährte	bewaͤhrte	bewährt	ADJA
s1	w4	Vieh-Artzney	Vieh-Artzney	Vieh-Artzney	NN
s1	w5	,	,	,	$,
s1	w6	darinnen	darinnen	darinnen	ADV
s1	w7	die	die	d	ART
s1	w8	meisten	meiſten	meiste	PIAT
s1	w9	Krankheiten	Kranckheiten	Krankheit	NN
s1	wa	und	und	und	KON
s1	wb	dawider	darwider	dawider	PAV
s1	wc	dienende	dienende	dienend	ADJA
s1	wd	Arzneien	Artzneyen	Arznei	NN
s1	we	der	der	d	ART
s1	wf	Rinder	Rinder	Rind	NN
s1	w10	,	,	,	$,
s1	w11	Schaf	Schaf	Schaf	NN
s1	w12	Ziegen	Ziegen	Ziege	NN
s1	w13	,	,	,	$,
s1	w14	Schweine	Schweine	Schwein	NN
s1	w15	,	,	,	$,
s1	w16	Hunde	Hunde	Hund	NN
s1	w17	,	,	,	$,
s1	w18	Gänse	Gaͤnſe	Gans	NN
s1	w19	und	und	und	KON
s1	w1a	Hühner	Huͤner	Huhn	NN
s1	w1b	zu	zu	zu	PTKZU
s1	w1c	befinden	befinden	befinden	VVINF
s1	w1d	.	.	.	$.
s2	w1e	Männiglichen	Maͤnniglichen	Männigliche	NN
s2	w1f	,	,	,	$,
s2	w20	insonderheit	inſonderheit	insonderheit	ADV
s2	w21	aber	aber	aber	ADV
s2	w22	den	den	d	ART
s2	w23	Haus-Vätern	Hauß-Vaͤtern	Haus-Vater	NN
s2	w24	zu	zu	zu	APPR
s2	w25	Nutz	Nutz	Nutz	NN
s2	w26	mit	mit	mit	APPR
s2	w27	Fleiß	Fleiß	Fleiß	NN
s2	w28	colligiret	colligiret	Colligiret	NE
s2	w29	und	und	und	KON
s2	w2a	beschrieben	beſchrieben	beschreiben	VVPP
s2	w2b	.	.	.	$.
s3	w2c	Durch	Durch	durch	APPR
s3	w2d	Michael	Michael	Michael	NE
s3	w2e	Böhmen	Boͤhmen	Böhmen	NE
s3	w2f	.	.	.	$.
s4	w30	Gedruckt	Gedruckt	drucken	VVPP
s4	w31	im	im	im	APPRART
s4	w32	Jahr	Jahr	Jahr	NN
s4	w33	1712	1712	1712	CARD
s4	w34	.	.	.	$.
s103	w2cef	Viehe-Artzeney	Viehe-Artzeney	Viehe-Artzeney	NE
s103	w2cf0	.	.	.	$.
s104	w2cf1	Das	Das	das	FM.la
s104	w2cf2	I.	I.	i.	FM.la
s104	w2cf3	Capit	Capit	capit	FM.la
s104	w2cf4	.	.	.	$.
s105	w2cf5	Von	Von	von	APPR
s105	w2cf6	Ochsen	Ochſen	Ochse	NN
s105	w2cf7	und	und	und	KON
s105	w2cf8	Kühen	Kuͤhen	Kuh	NN
s105	w2cf9	.	.	.	$.
s5	w35	So	SO	so	ADV
s5	w36	ein	ein	eine	ART
s5	w37	Ochs	Ochs	Ochs	NN
s5	w38	sich	ſich	sich	PRF
s5	w39	rohe	rohe	roh	ADJA
s5	w3a	oder	oder	oder	KON
s5	w3b	wund	wund	wund	ADJD
s5	w3c	gezogen	gezogen	ziehen	VVPP
s5	w3d	,	,	,	$,
s5	w3e	also	alſo	also	ADV
s5	w3f	,	,	,	$,
s5	w40	daß	daß	daß	KOUS
s5	w41	ihm	ihm	er	PPER
s5	w42	die	die	d	ART
s5	w43	Haut	Haut	Haut	NN
s5	w44	abgegangen	abgangen	abgehen	VVPP
s5	w45	,	,	,	$,
s5	w46	so	ſo	so	ADV
s5	w47	nimm	nim̃	nehmen	VVIMP
s5	w48	alte	alte	alt	ADJA
s5	w49	Butter	Butter	Butter	NN
s5	w4a	oder	oder	oder	KON
s5	w4b	Wagen-Teer	Wagen-Theer	Wagen-Teer	NN
s5	w4c	,	,	,	$,
s5	w4d	schmiere	ſchmiere	schmieren	VVFIN
s5	w4e	ihm	ihm	er	PPER
s5	w4f	damit	damit	damit	PAV
s5	w50	den	den	d	ART
s5	w51	rohen	rohen	roh	ADJA
s5	w52	Ort	Orth	Ort	NN
s5	w53	,	,	,	$,
s5	w54	laß	laß	lassen	VVIMP
s5	w55	ihm	ihm	er	PPER
s5	w56	drei	drey	drei	CARD
s5	w57	Tage	Tage	Tag	NN
s5	w58	in	in	in	APPR
s5	w59	einen	einen	eine	ART
s5	w5a	warmen	warmen	warm	ADJA
s5	w5b	Stalle	Stalle	Stall	NN
s5	w5c	stehen	ſtehen	stehen	VVFIN
s5	w5d	,	,	,	$,
s5	w5e	so	ſo	so	ADV
s5	w5f	heilet	heilet	heilen	VVFIN
s5	w60	es	es	es	PPER
s5	w61	wieder	wieder	wieder	ADV
s5	w62	.	.	.	$.
s6	w63	Wann	Wann	wann	PWAV
s6	w64	das	das	d	ART
s6	w65	Rindviehe	Rindviehe	Rindvieh	NN
s6	w66	die	die	d	ART
s6	w67	Blattern	Blattern	Blattern	NN
s6	w68	bekommet	bekommet	bekommen	VVFIN
s6	w69	,	,	,	$,
s6	w6a	welches	welches	welche	PRELS
s6	w6b	zu_merken	zumercken	zumerken	VVIZU
s6	w6c	,	,	,	$,
s6	w6d	wann	wann	wann	PWAV
s6	w6e	das	das	d	ART
s6	w6f	Vieh	Vieh	Vieh	NN
s6	w70	an	an	an	APPR
s6	w71	der	der	d	ART
s6	w72	Erden	Erden	Erde	NN
s6	w73	liegt	lieget	liegen	VVFIN
s6	w74	und	und	und	KON
s6	w75	mit	mit	mit	APPR
s6	w76	den	den	d	ART
s6	w77	Beinen	Beinen	Bein	NN
s6	w78	von	von	von	APPR
s6	w79	sich	ſich	sich	PRF
s6	w7a	schlägt	ſchlaͤget	schlagen	VVFIN
s6	w7b	,	,	,	$,
s6	w7c	muß	muß	müssen	VMFIN
s6	w7d	man	man	man	PIS
s6	w7e	ihnen	ihnen	sie	PPER
s6	w7f	helfen	helffen	helfen	VVINF
s6	w80	,	,	,	$,
s6	w81	oder	oder	oder	KON
s6	w82	sie	ſie	sie	PPER
s6	w83	ersticken	erſticken	ersticken	VVINF
s6	w84	.	.	.	$.
s106	w2cfa	Blattern	Blattern	Blattern	NN
s106	w2cfb	am	am	am	APPRART
s106	w2cfc	Rindviehe	Rindviehe	Rindvieh	NN
s106	w2cfd	.	.	.	$.
s7	w85	Schneide	Schneid	Schneide	NN
s7	w86	oder	oder	oder	KON
s7	w87	beiße	beiß	beissen	VVFIN
s7	w88	ihnen	ihnen	sie	PPER
s7	w89	ein	ein	eine	ART
s7	w8a	wenig	wenig	wenig	PIS
s7	w8b	von	von	von	APPR
s7	w8c	der	der	d	ART
s7	w8d	Zungen	Zungen	Zunge	NN
s7	w8e	,	,	,	$,
s7	w8f	nimm	nim̃	nehmen	VVIMP
s7	w90	sie	ſie	sie	PPER
s7	w91	bei	bey	bei	APPR
s7	w92	den	den	d	ART
s7	w93	Füßen	Fuͤſſen	Fuß	NN
s7	w94	,	,	,	$,
s7	w95	wälze	waͤltze	wälzen	VVFIN
s7	w96	sie	ſie	sie	PPER
s7	w97	von	von	von	APPR
s7	w98	einer	einer	eine	ART
s7	w99	Seiten	Seiten	Seite	NN
s7	w9a	zur	zur	zur	APPRART
s7	w9b	anderen	andern	ander	ADJA
s7	w9c	,	,	,	$,
s7	w9d	daß	daß	daß	KOUS
s7	w9e	sie	ſie	sie	PPER
s7	w9f	sich	ſich	sich	PRF
s7	wa0	wohl	wohl	wohl	ADV
s7	wa1	auf	auf	auf	APPR
s7	wa2	den	den	d	ART
s7	wa3	Rücken	Ruͤcken	Rücken	NN
s7	wa4	wälzen	waͤltzen	wälzen	VVINF
s7	wa5	,	,	,	$,
s7	wa6	danach	darnach	darnach	PAV
s7	wa7	nimm	nim̃	nehmen	VVFIN
s7	wa8	einen	einen	eine	ART
s7	wa9	Riemen	Riemen	Riemen	NN
s7	waa	von	von	von	APPR
s7	wab	Leder	Leder	Leder	NN
s7	wac	und	und	und	KON
s7	wad	schlage	ſchlage	schlagen	VVFIN
s7	wae	sie	ſie	sie	PPER
s7	waf	einmal	einmahl	einmal	ADV
s7	wb0	oder	oder	oder	KON
s7	wb1	vier	vier	vier	CARD
s7	wb2	auf	auf	auf	APPR
s7	wb3	den	den	d	ART
s7	wb4	Leib	Leib	Leib	NN
s7	wb5	,	,	,	$,
s7	wb6	so	ſo	so	ADV
s7	wb7	wird	wird	werden	VAFIN
s7	wb8	ihnen	ihnen	sie	PPER
s7	wb9	bald	bald	bald	ADV
s7	wba	besser	beſſer	gut	ADJD
s7	wbb	.	.	.	$.
s8	wbc	Item	Jtem	Item	NE
s8	wbd	,	,	,	$,
s8	wbe	Wann	Wann	wann	PWAV
s8	wbf	das	das	d	ART
s8	wc0	Vieh	Vieh	Vieh	NN
s8	wc1	die	die	d	ART
s8	wc2	Augen	Augen	Auge	NN
s8	wc3	verkehret	verkehret	verkehren	VVFIN
s8	wc4	,	,	,	$,
s8	wc5	so	ſo	so	ADV
s8	wc6	blase	blaſe	blasen	VVFIN
s8	wc7	ihnen	ihnen	sie	PPER
s8	wc8	nur	nur	nur	ADV
s8	wc9	Salz	Saltz	Salz	NN
s8	wca	in	in	in	APPR
s8	wcb	die	die	d	ART
s8	wcc	Augen	Augen	Auge	NN
s8	wcd	.	.	.	$.
s107	w2cfe	Stertz-	Stertz-	stertz-	TRUNC
s107	w2cff	Seuche	Seuche	Seuche	NN
s107	w2d00	.	.	.	$.
s9	wce	Wenn	Wenn	wenn	KOUS
s9	wcf	ein	ein	eine	ART
s9	wd0	Vieh	Vieh	Vieh	NN
s9	wd1	nicht	nicht	nicht	PTKNEG
s9	wd2	essen	eſſen	essen	VVINF
s9	wd3	will	will	wollen	VMFIN
s9	wd4	,	,	,	$,
s9	wd5	so	ſo	so	ADV
s9	wd6	greife	greiffe	greifen	VVFIN
s9	wd7	ihn	ihn	er	PPER
s9	wd8	an	an	an	APPR
s9	wd9	den	den	d	ART
s9	wda	Schwanz	Schwantz	Schwanz	NN
s9	wdb	,	,	,	$,
s9	wdc	ist	iſt	sein	VAFIN
s9	wdd	der	der	d	ART
s9	wde	welk	welck	welk	ADJD
s9	wdf	und	und	und	KON
s9	we0	weich	weich	weich	ADJD
s9	we1	,	,	,	$,
s9	we2	also	alſo	also	ADV
s9	we3	,	,	,	$,
s9	we4	daß	daß	daß	KOUS
s9	we5	man	man	man	PIS
s9	we6	ihn	ihn	er	PPER
s9	we7	gar	gar	gar	ADV
s9	we8	umdrehet	umdrehet	umdrehen	VVFIN
s9	we9	,	,	,	$,
s9	wea	so	ſo	so	ADV
s9	web	nimm	nimm	nehmen	VVIMP
s9	wec	ein	ein	eine	ART
s9	wed	Messer	Meſſer	Messer	NN
s9	wee	und	und	und	KON
s9	wef	schneide	ſchneide	schneiden	VVFIN
s9	wf0	ihnen	ihnen	sie	PPER
s9	wf1	die	die	d	ART
s9	wf2	quer	qveer	quer	ADV
s9	wf3	über	uͤber	über	APPR
s9	wf4	so	ſo	so	ADV
s9	wf5	tief	tieff	tief	ADJD
s9	wf6	,	,	,	$,
s9	wf7	als	als	als	KOUS
s9	wf8	die	die	d	ART
s9	wf9	Hälfte	Helffte	Hälfte	NN
s9	wfa	der	der	d	ART
s9	wfb	Breite	Breite	Breite	NN
s9	wfc	eines	eines	eine	ART
s9	wfd	Messers	Meſſers	Messer	NN
s9	wfe	in	in	in	APPR
s9	wff	Schwanz	Schwantz	Schwanz	NN
s9	w100	,	,	,	$,
s9	w101	sie	ſie	sie	PPER
s9	w102	Fühlens	fuͤhlens	Fühlen	NN
s9	w103	nicht	nicht	nicht	PTKNEG
s9	w104	,	,	,	$,
s9	w105	denn	denn	denn	KON
s9	w106	der	der	d	ART
s9	w107	Schwanz	Schwantz	Schwanz	NN
s9	w108	ist	iſt	sein	VAFIN
s9	w109	wie	wie	wie	KOKOM
s9	w10a	er	er	er	PPER
s9	w10b	tot	todt	tot	ADJD
s9	w10c	wäre	waͤre	sein	VAFIN
s9	w10d	,	,	,	$,
