Sent_ID	Token_ID	Corr_token	Orig_token	Lemma	POS
s1	w1	Spaziergänge	Spatziergänge	Spaziergang	NN
s1	w2	.	.	.	$.
s2	w3	Zweiter	Zweyter	Zweiter	NN
s2	w4	Theil.	Theil.	Theil.	NE
s2	w5	Berlin	Berlin	Berlin	NE
s2	w6	1775	1775	1775	CARD
s2	w7	,	,	,	$,
s2	w8	Bei	Bey	bei	APPR
s2	w9	Christian	Chriſtian	Christian	NE
s2	wa	Friedrich	Friedrich	Friedrich	NE
s2	wb	Himburg	Himburg	Himburg	NE
s2	wc	.	.	.	$.
s51e	w8065	Vorrede	Vorrede	Vorrede	NN
s51e	w8066	.	.	.	$.
s3	wd	Die	Die	d	ART
s3	we	Hoffnung	Hoffnung	Hoffnung	NN
s3	wf	,	,	,	$,
s3	w10	dass	daſs	dass	KOUS
s3	w11	ich	ich	ich	PPER
s3	w12	öfter	öfter	öfter	ADV
s3	w13	als	als	als	KOKOM
s3	w14	achtundzwanzigmal	achtundzwanzigmal	achtundzwanzigmal	ADV
s3	w15	spazieren	ſpatzieren	spazieren	VVINF
s3	w16	würde	würde	werden	VAFIN
s3	w17	,	,	,	$,
s3	w18	haben	haben	haben	VAFIN
s3	w19	meine	meine	meine	PPOSAT
s3	w1a	Leser	Leſer	Leser	NN
s3	w1b	zuerst	zuerſt	zuerst	ADV
s3	w1c	dem	dem	d	ART
s3	w1d	Herrn	Herrn	Herr	NN
s3	w1e	Himburg	Himburg	Himburg	NE
s3	w1f	zu	zu	zu	PTKZU
s3	w20	danken	danken	danken	VVINF
s3	w21	.	.	.	$.
s4	w22	Mein	Mein	mein	PPOSAT
s4	w23	Herz	Herz	Herz	NN
s4	w24	wußte	wußte	wissen	VVFIN
s4	w25	anfangs	anfangs	anfangs	ADV
s4	w26	von	von	von	APPR
s4	w27	dem	dem	d	ART
s4	w28	Versprechen	Verſprechen	Versprechen	NN
s4	w29	des	des	d	ART
s4	w2a	Titelblatts	Titelblatts	Titelblatt	NN
s4	w2b	nichts	nichts	nichts	PIS
s4	w2c	.	.	.	$.
s5	w2d	Ich	Ich	ich	PPER
s5	w2e	sah	ſahe	sehen	VVFIN
s5	w2f	mich	mich	ich	PPER
s5	w30	ungern	ungern	ungern	ADV
s5	w31	,	,	,	$,
s5	w32	in	in	in	APPR
s5	w33	Verlegenheit	Verlegenheit	Verlegenheit	NN
s5	w34	etwas	etwas	etwas	ADV
s5	w35	wider	wider	wider	APPR
s5	w36	Willen	Willen	Willen	NN
s5	w37	zu	zu	zu	PTKZU
s5	w38	tun	thun	tun	VVINF
s5	w39	;	;	;	$.
s5	w3a	oder	oder	oder	KON
s5	w3b	in	in	in	APPR
s5	w3c	Gefahr	Gefahr	Gefahr	NN
s5	w3d	für	für	für	APPR
s5	w3e	einen	einen	eine	ART
s5	w3f	Menschen	Menſchen	Mensch	NN
s5	w40	gehalten	gehalten	halten	VVPP
s5	w41	zu	zu	zu	PTKZU
s5	w42	werden	werden	werden	VAINF
s5	w43	,	,	,	$,
s5	w44	der	der	die	PRELS
s5	w45	sich	ſich	sich	PRF
s5	w46	zu	zu	zu	APPR
s5	w47	Geschäften	Geſchäfften	Geschäft	NN
s5	w48	erbietet	erbietet	erbieten	VVFIN
s5	w49	,	,	,	$,
s5	w4a	die	die	die	PRELS
s5	w4b	er	er	er	PPER
s5	w4c	nicht	nicht	nicht	PTKNEG
s5	w4d	zu	zu	zu	PTKZU
s5	w4e	verrichten	verrichten	verrichten	VVINF
s5	w4f	gesonnen	geſonnen	sinnen	VVPP
s5	w50	ist	iſt	sein	VAFIN
s5	w51	.	.	.	$.
s6	w52	In	In	in	APPR
s6	w53	der	der	d	ART
s6	w54	Tat	That	Tat	NN
s6	w55	war	war	sein	VAFIN
s6	w56	ich	ich	ich	PPER
s6	w57	auch	auch	auch	ADV
s6	w58	schon	ſchon	schon	ADV
s6	w59	für	für	für	APPR
s6	w5a	einen	einen	eine	ART
s6	w5b	anderen	andern	ander	ADJA
s6	w5c	Gang	Gang	Gang	NN
s6	w5d	entschloßen	entſchloßen	entschließen	VVPP
s6	w5e	,	,	,	$,
s6	w5f	wenn	wenn	wenn	KOUS
s6	w60	nicht	nicht	nicht	PTKNEG
s6	w61	einige	einige	einige	PIAT
s6	w62	schätzbare	ſchätzbare	schätzbar	ADJA
s6	w63	Leute	Leute	Leute	NN
s6	w64	in	in	in	APPR
s6	w65	den	den	d	ART
s6	w66	Weg	Weg	Weg	NN
s6	w67	getreten	getreten	treten	VVPP
s6	w68	wären	wären	sein	VAFIN
s6	w69	und	und	und	KON
s6	w6a	mir	mir	ich	PPER
s6	w6b	ihre	ihre	ihr	PPOSAT
s6	w6c	Begleitung	Begleitung	Begleitung	NN
s6	w6d	auf	auf	auf	APPR
s6	w6e	meinen	meinen	meine	PPOSAT
s6	w6f	ferneren	fernern	fern	ADJA
s6	w70	Spaziergängen	Spatziergängen	Spaziergang	NN
