Sent_ID	Token_ID	Corr_token	Orig_token	Lemma	POS
s1	w1	NERO	NERO	Nero	NE
s1	w2	Der	Der	d	ART
s1	w3	verzweifelte	verzweiffelte	verzweifelt	ADJA
s1	w4	Selbst-Mörder	Selbſt-Moͤrder	Selbst-Mörder	NN
s1	w5	/	/	/	$(
s1	w6	Auf	Auf	auf	APPR
s1	w7	gnädigste	gnaͤdigſte	gnädig	ADJA
s1	w8	Verordnung	Verordnung	Verordnung	NN
s1	w9	Des	Des	d	ART
s1	wa	Durchlauchtigsten	Durchlauchtigſten	durchlauchtig	ADJA
s1	wb	Fürsten	Fuͤrſten	Fürst	NN
s1	wc	und	und	und	KON
s1	wd	Herrn	Herrn	Herr	NN
s1	we	/	/	/	$(
s1	wf	Hn.	Hn.	Hn.	NE
s1	w10	Johann	Johann	Johann	NE
s1	w11	Adolphs	Adolphs	Adolphs	NE
s1	w12	/	/	/	$(
s1	w13	Herzogs	Hertzogs	Herzog	NE
s1	w14	zu	zu	zu	APPR
s1	w15	Sachsen	Sachſen	Sachsen	NE
s1	w16	/	/	/	$(
s1	w17	Jülich	Juͤlich	Jülich	NE
s1	w18	/	/	/	$(
s1	w19	Cleve	Cleve	Cleve	NE
s1	w1a	und	und	und	KON
s1	w1b	Berg	Berg	Berg	NE
s1	w1c	/	/	/	$(
s1	w1d	Land-Grafen	Land-Grafen	Land-Graf	NN
s1	w1e	in	in	in	APPR
s1	w1f	Thüringen	Thuͤringen	Thüringen	NE
s1	w20	/	/	/	$(
s1	w21	Marg-Grafen	Marg-Grafen	Marg-Graf	NN
s1	w22	zu	zu	zu	APPR
s1	w23	Meißen	Meißen	Meißen	NE
s1	w24	/	/	/	$(
s1	w25	auch	auch	auch	ADV
s1	w26	Ober-	Ober-	ober-	TRUNC
s1	w27	und	und	und	KON
s1	w28	Nieder-Lausitz	Nieder-Lauſitz	Nieder-Lausitz	NN
s1	w29	/	/	/	$(
s1	w2a	Gefürsteten	Gefuͤrſteten	gefürstet	ADJA
s1	w2b	Grafen	Grafen	Graf	NN
s1	w2c	zu	zu	zu	APPR
s1	w2d	Henneberg	Henneberg	Henneberg	NE
s1	w2e	/	/	/	$(
s1	w2f	Grafen	Grafen	Graf	NN
s1	w30	zu	zu	zu	APPR
s1	w31	der	der	d	ART
s1	w32	Mark	Marck	Mark	NN
s1	w33	/	/	/	$(
s1	w34	Ravensberg	Ravensberg	Ravensberg	NE
s1	w35	und	und	und	KON
s1	w36	Barby	Barby	Barby	NE
s1	w37	/	/	/	$(
s1	w38	Herrn	Herrn	Herr	NN
s1	w39	zum	zum	zum	APPRART
s1	w3a	Ravenstein	Ravenſtein	Ravenstein	NN
s1	w3b	/	/	/	$(
s1	w3c	etc.	ꝛc.	etc.	ADV
s1	w3d	Bei	Bey	bei	APPR
s1	w3e	erfreulicher	erfreulicher	erfreulich	ADJA
s1	w3f	Zusammenkunft	Zuſammenkunft	Zusammenkunft	NN
s1	w40	Unterschiedener	Unterſchiedener	unterscheiden	ADJA
s1	w41	Hoher	Hoher	hoch	ADJA
s1	w42	Fürstl.	Fuͤrſtl.	Fürstl.	NN
s1	w43	Personen	Perſonen	Person	NN
s1	w44	Auf	Auf	auf	APPR
s1	w45	dem	dem	d	ART
s1	w46	Im	Jm	im	APPRART
