Sent_ID	Token_ID	Corr_token	Orig_token	Lemma	POS
s1	w1	JUCUNDI	JUCUNDI	Jucundi	NE
s1	w2	JUCUNDISSIMI	JUCUNDISSIMI	Jucundissimi	NE
s1	w3	Wunderliche	Wunderliche	wunderlich	ADJA
s1	w4	Lebens-Beschreibung	Lebens-Beſchreibung	Lebens-Beschreibung	NN
s1	w5	/	/	/	$(
s1	w6	Das	Das	die	PDS
s1	w7	ist	iſt	sein	VAFIN
s1	w8	:	:	:	$.
s2	w9	Eine	Eine	eine	ART
s2	wa	kurzweilige	kurzweilige	kurzweilig	ADJA
s2	wb	Historie	Hiſtori	Historie	NN
s2	wc	Eines	Eines	eine	PIS
s2	wd	/	/	/	$(
s2	we	von	von	von	APPR
s2	wf	dem	dem	d	ART
s2	w10	Glück	Gluͤck	Glück	NN
s2	w11	/	/	/	$(
s2	w12	wunderlich	wunderlich	wunderlich	ADJD
s2	w13	erhabenen	erhabenen	erhaben	ADJA
s2	w14	Menschen	Menſchens	Mensch	NN
s2	w15	/	/	/	$(
s2	w16	welcher	welcher	welcher	PWS
s2	w17	erzählt	erzehlet	erzählen	VVFIN
s2	w18	/	/	/	$(
s2	w19	wie	wie	wie	PWAV
s2	w1a	und	und	und	KON
s2	w1b	auf	auf	auf	APPR
s2	w1c	was	was	was	PWS
s2	w1d	Weiß	Weis	wissen	VVFIN
s2	w1e	er	er	er	PPER
s2	w1f	in	in	in	APPR
s2	w20	der	der	d	ART
s2	w21	Welt	Welt	Welt	NN
s2	w22	/	/	/	$(
s2	w23	unter	unter	unter	APPR
s2	w24	lauter	lauter	lauter	PIAT
s2	w25	abentheurlich-	abentheurlich-	abentheurlich-	TRUNC
s2	w26	und	und	und	KON
s2	w27	seltsamen	ſeltſamen	seltsam	ADJA
s2	w28	Begebenheiten	Begebenheiten	Begebenheit	NN
s2	w29	herum	herum	herum	APZR
s2	w2a	gewallt	gewallet	wallen	VVPP
s2	w2b	/	/	/	$(
s2	w2c	bis	bis	bis	KOUS
s2	w2d	er	er	er	PPER
s2	w2e	endlich	endlich	endlich	ADV
s2	w2f	zur	zur	zur	APPRART
s2	w30	Ruhe	Ruhe	Ruhe	NN
s2	w31	gekommen	gekommen	kommen	VVPP
s2	w32	/	/	/	$(
s2	w33	In	Jn	in	APPR
s2	w34	welcher	welcher	welcher	PWAT
s2	w35	unterschiedliche	Unterſchidliche	unterschiedlich	ADJA
s2	w36	Begebenheiten	Begebenheiten	Begebenheit	NN
s2	w37	durch	durch	durch	APPR
s2	w38	die	die	d	ART
s2	w39	Hechel	Hechel	Hechel	NE
s2	w3a	gezogen	gezogen	ziehen	VVPP
s2	w3b	/	/	/	$(
s2	w3c	und	und	und	KON
s2	w3d	sonsten	ſonſten	sonsten	ADV
s2	w3e	allerlei	allerley	allerlei	PIAT
s2	w3f	merk-würdige	merk-wuͤrdige	merk-würdig	ADJA
s2	w40	Zufälle	Zufaͤlle	Zufall	NN
s2	w41	der	der	d	ART
s2	w42	vorwitzigen	vorwitzigen	vorwitzig	ADJA
s2	w43	Welt	Welt	Welt	NN
s2	w44	offenbaret	offenbaret	offenbaren	VVFIN
s2	w45	und	und	und	KON
s2	w46	entworfen	entworfen	entwerfen	VVPP
s2	w47	werden	werden	werden	VAINF
s2	w48	.	.	.	$.
s3	w49	Jedermänniglich	Jedermaͤnniglich	jedermänniglich	ADJD
s3	w4a	/	/	/	$(
s3	w4b	ohne	ohne	ohne	APPR
s3	w4c	Unterschied	Unterſcheid	Unterschied	NN
s3	w4d	des	des	d	ART
s3	w4e	Standes	Standes	Stand	NN
s3	w4f	/	/	/	$(
s3	w50	ersprießlich	erſprießlich	ersprießlich	ADJD
s3	w51	und	und	und	KON
s3	w52	nützlich	nuͤtzlich	nützlich	ADJD
s3	w53	zu	zu	zu	PTKZU
s3	w54	lesen	leſen	lesen	VVINF
s3	w55	.	.	.	$.
s4	w56	Gedruckt	Gedruckt	drucken	VVPP
s4	w57	in	in	in	APPR
s4	w58	diesem	dieſem	diese	PDAT
s4	w59	1680	1680	1680	CARD
s4	w5a	sten	ſten	Sten	NN
s4	w5b	Jahr	Jahr	Jahr	NN
s4	w5c	.	.	.	$.
s3ce	w9433	Kurzweiliger	Kurtzweiliger	kurzweilig	ADJA
s3ce	w9434	Historie	Hiſtorie	Historie	NN
s3ce	w9435	Erstes	Erſtes	erst	ADJA
s3ce	w9436	Buch	Buch	Buch	NN
s3ce	w9437	.	.	.	$.
s5	w5d	Ich	JCh	ich	PPER
s5	w5e	habe	hab	haben	VAFIN
s5	w5f	der	der	d	ART
s5	w60	traurigen	traurigen	traurig	ADJA
s5	w61	Stunden	Stunden	Stunde	NN
s5	w62	mehr	mehr	mehr	ADV
s5	w63	als	als	als	KOKOM
s5	w64	zu	zu	zu	PTKA
s5	w65	viel	viel	viel	PIS
s5	w66	gefressen	gefreſſen	fressen	VVPP
s5	w67	/	/	/	$(
s5	w68	deswegen	deßwegen	deswegen	PAV
s5	w69	ist	iſt	sein	VAFIN
s5	w6a	es	es	es	PPER
s5	w6b	von	von	von	APPR
s5	w6c	Nöten	noͤthen	Not	NN
s5	w6d	/	/	/	$(
s5	w6e	daß	daß	daß	KOUS
s5	w6f	ich	ich	ich	PPER
s5	w70	meinem	meinem	meine	PPOSAT
s5	w71	Gemüt	Gemuͤt	Gemüt	NN
s5	w72	den	den	d	ART
s5	w73	Traur-	Traur-	traur-	TRUNC
s5	w74	Mantel	Mantel	Mantel	NN
s5	w75	abnehme	abnehme	abnehmen	VVFIN
s5	w76	/	/	/	$(
s5	w77	und	und	und	KON
s5	w78	meine	meine	meine	PPOSAT
s5	w79	verdrußliche	verdruͤßliche	verdrußlich	ADJA
s5	w7a	Zeit	Zeit	Zeit	NN
s5	w7b	mit	mit	mit	APPR
s5	w7c	einer	einer	eine	ART
s5	w7d	kurzweiligen	kurzweiligen	kurzweilig	ADJA
s5	w7e	Stunde	Stunde	Stunde	NN
s5	w7f	verwechsle	verwechsle	verwechseln	VVFIN
s5	w80	;	;	;	$.
s5	w81	Indem	Jndem	indem	KOUS
s5	w82	ich	ich	ich	PPER
s5	w83	aber	aber	aber	ADV
s5	w84	vormalen	vormalen	vormalen	VVFIN
s5	w85	meine	meine	meine	PPOSAT
s5	w86	Zeit-Vertreibung	Zeit-Vertreibung	Zeit-Vertreibung	NN
s5	w87	in	in	in	APPR
s5	w88	dem	dem	d	ART
s5	w89	Bücher-Schreiben	Buͤcher-ſchreiben	Bucher-Schreiben	NN
s5	w8a	gesucht	geſuchet	suchen	VVPP
s5	w8b	/	/	/	$(
s5	w8c	will	will	wollen	VMFIN
s5	w8d	ich	ich	ich	PPER
s5	w8e	solches	ſolches	solch	PIAT
s5	w8f	Mittel	Mittel	Mittel	NN
s5	w90	nicht	nicht	nicht	PTKNEG
s5	w91	aus	aus	aus	APPR
s5	w92	der	der	d	ART
s5	w93	Hand	Hand	Hand	NN
s5	w94	lassen	laßen	lassen	VVINF
s5	w95	/	/	/	$(
s5	w96	zu	zu	zu	APPR
s5	w97	einer	einer	eine	ART
s5	w98	solchen	ſolchen	solch	PIAT
s5	w99	Zeit	Zeit	Zeit	NN
s5	w9a	/	/	/	$(
s5	w9b	da	da	da	KOUS
s5	w9c	es	es	es	PPER
s5	w9d	mir	mir	ich	PPER
s5	w9e	höchst	hoͤchſt	höchst	ADV
s5	w9f	von	von	von	APPR
s5	wa0	Nöten	noͤthen	Not	NN
s5	wa1	ist	iſt	sein	VAFIN
s5	wa2	.	.	.	$.
s6	wa3	Ich	Jch	ich	PPER
s6	wa4	bekenne	bekenne	bekennen	VVFIN
s6	wa5	meine	meine	meine	PPOSAT
s6	wa6	Zustände	Zuſtaͤnde	Zustand	NN
s6	wa7	!	!	!	$.
s6	wa8	daß	daß	daß	KOUS
s6	wa9	ich	ich	ich	PPER
s6	waa	wenig	wenig	wenig	ADV
s6	wab	oder	oder	oder	KON
s6	wac	gar	gar	gar	ADV
s6	wad	keine	keine	keine	PIAT
s6	wae	Zierlichkeit	Zierlichkeit	Zierlichkeit	NN
s6	waf	in	in	in	APPR
s6	wb0	meiner	meiner	meine	PPOSAT
s6	wb1	Feder	Feder	Feder	NN
s6	wb2	führe	fuͤhre	führen	VVFIN
s6	wb3	;	;	;	$.
s6	wb4	Aber	Aber	aber	KON
s6	wb5	/	/	/	$(
s6	wb6	wann	wann	wann	PWAV
s6	wb7	ich	ich	ich	PPER
s6	wb8	im	im	im	APPRART
s6	wb9	Gegenteil	Gegentheil	Gegenteil	NN
s6	wba	ansehe	anſehe	ansehen	VVFIN
s6	wbb	meine	meine	meine	PPOSAT
s6	wbc	große	große	groß	ADJA
s6	wbd	Vergnügung	Vergnuͤgung	Vergnügung	NN
s6	wbe	in	in	in	APPR
s6	wbf	dem	dem	d	ART
s6	wc0	Schreiben	Schreiben	Schreiben	NN
s6	wc1	/	/	/	$(
s6	wc2	wird	wird	werden	VAFIN
s6	wc3	mir	mir	ich	PPER
s6	wc4	Niemand	Niemand	niemand	PIS
s6	wc5	verargen	verargen	verargen	VVINF
s6	wc6	/	/	/	$(
s6	wc7	wann	wann	wann	PWAV
s6	wc8	ich	ich	ich	PPER
s6	wc9	die	die	d	ART
s6	wca	Feder	Feder	Feder	NN
s6	wcb	statt	ſtatt	statt	APPR
s6	wcc	einer	einer	eine	ART
s6	wcd	Büchse	Buͤchſe	Büchse	NN
s6	wce	aus	aus	aus	APPR
s6	wcf	der	der	d	ART
s6	wd0	Apotheke	Apotheke	Apotheke	NN
s6	wd1	ergreife	ergreiffe	ergreifen	VVFIN
s6	wd2	/	/	/	$(
s6	wd3	mit	mit	mit	APPR
s6	wd4	welcher	welcher	welche	PRELS
s6	wd5	ich	ich	ich	PPER
s6	wd6	mein	mein	mein	PPOSAT
s6	wd7	Gemüt	Gemuͤht	Gemüt	NN
s6	wd8	viel	viel	viel	ADV
s6	wd9	mehr	mehr	mehr	ADV
s6	wda	/	/	/	$(
s6	wdb	als	als	als	KOKOM
s6	wdc	durch	durch	durch	APPR
s6	wdd	jene	jene	jene	PDS
s6	wde	zu	zu	zu	APPR
s6	wdf	Frieden	Frieden	Frieden	NN
