S_ID	T_ID	TOKENcorr	TOKENorig	LEMMA	POS

# text = Ein Lehrgedicht von Friedrich Rückert .
s1	w1	Ein	Ein	eine	ART
s1	w2	Lehrgedicht	Lehrgedicht	Lehrgedicht	NN
s1	w3	von	von	von	APPR
s1	w4	Friedrich	Friedrich	Friedrich	NE
s1	w5	Rückert	Rückert	Rückert	NE
s1	w6	.	.	.	$.

# text = Die Weisheit des Brahmanen , ein Lehrgedicht in Bruchſtücken .
s2	w7	Die	Die	d	ART
s2	w8	Weisheit	Weisheit	Weisheit	NN
s2	w9	des	des	d	ART
s2	wa	Brahmanen	Brahmanen	Brahmane	NN
s2	wb	,	,	,	$,
s2	wc	ein	ein	eine	ART
s2	wd	Lehrgedicht	Lehrgedicht	Lehrgedicht	NN
s2	we	in	in	in	APPR
s2	wf	Bruchstücken	Bruchſtücken	Bruchstück	NN
s2	w10	.	.	.	$.

# text = Von Friedrich Rückert . Viertes Bändchen .
s3	w11	Von	Von	von	APPR
s3	w12	Friedrich	Friedrich	Friedrich	NE
s3	w13	Rückert	Rückert	Rückert	NE
s3	w14	.	.	.	$.
s3	w15	Viertes	Viertes	viert	ADJA
s3	w16	Bändchen	Bändchen	Bandchen	NN
s3	w17	.	.	.	$.

# text = Leipzig , Weidmann'ſche Buchhandlung . 1838 .
s4	w18	Leipzig	Leipzig	Leipzig	NE
s4	w19	,	,	,	$,
s4	w1a	Weidmann'sche	Weidmann'ſche	weidmann'sche	ADJA
s4	w1b	Buchhandlung	Buchhandlung	Buchhandlung	NN
s4	w1c	.	.	.	$.
s4	w1d	1838	1838	1838	CARD
s4	w1e	.	.	.	$.

# text = IX.
s870	w9afa	IX.	IX.	Ix.	NE

# text = 1.
s871	w9afb	1.	1.	1.	ADJA

# text = Die Sonne ſteigt , mit Gott ! und golden iſt der Oſten ; Sie tritt ihr Tagwerk an , und ich an meinen Poſten .
s5	w1f	Die	Die	d	ART
s5	w20	Sonne	Sonne	Sonne	NN
s5	w21	steigt	ſteigt	steigen	VVFIN
s5	w22	,	,	,	$,
s5	w23	mit	mit	mit	APPR
s5	w24	Gott	Gott	Gott	NN
s5	w25	!	!	!	$.
s5	w26	und	und	und	KON
s5	w27	golden	golden	golden	ADJD
s5	w28	ist	iſt	sein	VAFIN
s5	w29	der	der	d	ART
s5	w2a	Osten	Oſten	Osten	NN
s5	w2b	;	;	;	$.
s5	w2c	Sie	Sie	sie	PPER
s5	w2d	tritt	tritt	treten	VVFIN
s5	w2e	ihr	ihr	ihr	PPOSAT
s5	w2f	Tagwerk	Tagwerk	Tagwerk	NN
s5	w30	an	an	an	PTKVZ
s5	w31	,	,	,	$,
s5	w32	und	und	und	KON
s5	w33	ich	ich	ich	PPER
s5	w34	an	an	an	APPR
