Sent_ID	Token_ID	Corr_token	Orig_token	Lemma	POS
s1	w1	EINE	EINE	Einen	NN
s1	w2	BESONDERE	BESONDERE	besonder	ADJA
s1	w3	ART	ART	Art	NN
s1	w4	Der	DER	d	ART
s1	w5	WORTBLINDHEIT	WORTBLINDHEIT	Wortblindheit	NN
s1	w6	(	(	(	$(
s1	w7	DYSLEXIE	DYSLEXIE	dyslexie	XY
s1	w8	)	)	)	$(
s1	w9	.	.	.	$.
s2	wa	Von	Von	von	APPR
s2	wb	Professor	Professor	Professor	NN
s2	wc	Dr.	Dr.	Dr.	NN
s2	wd	R.	R.	R.	NE
s3	we	BERLIN	BERLIN	Berlin	NE
s3	wf	in	in	in	APPR
s3	w10	Stuttgart	stuttgart	Stuttgart	NE
s3	w11	.	.	.	$.
s4	w12	Mit	Mit	mit	APPR
s4	w13	einer	einer	eine	ART
s4	w14	Tafel	Tafel	Tafel	NN
s4	w15	.	.	.	$.
s5	w16	WIESBADEN	WIESBADEN	Wiesbaden	NE
s5	w17	.	.	.	$.
s6	w18	VERLAG	VERLAG	Verlag	NN
s6	w19	VON	VON	VON	NE
s6	w1a	J.	J.	J.	NE
s6	w1b	F.	F.	F.	NE
s6	w1c	BERGMANN	BERGMANN	Bergmann	NE
s6	w1d	.	.	.	$.
s6	w1e	1887	1887	1887	CARD
s6	w1f	.	.	.	$.
s7	w20	Neuer	Neuer	neu	ADJA
s7	w21	medizinischer	medicinischer	medizinisch	ADJA
s7	w22	Verlag	Verlag	Verlag	NN
s7	w23	von	von	von	APPR
s7	w24	J.	J.	J.	NE
s7	w25	F.	F.	F.	NE
s7	w26	Bergmann	Bergmann	Bergmann	NE
s7	w27	in	in	in	APPR
s7	w28	Wiesbaden	Wiesbaden	Wiesbaden	NE
s7	w29	.	.	.	$.
s8	w2a	Ophthalmiatrische	Ophthalmiatrische	Ophthalmiatrische	NE
s8	w2b	Beiträge	Beiträge	Beitrag	NN
s8	w2c	zur	zur	zur	APPRART
s8	w2d	Diagnostik	Diagnostik	Diagnostik	NN
s8	w2e	der	der	d	ART
s8	w2f	Gehirnkrankheiten	Gehirnkrankheiten	Gehirnkrankheit	NN
s8	w30	.	.	.	$.
s9	w31	Von	Von	von	APPR
s9	w32	Dr.	Dr.	Dr.	NN
s9	w33	Herm.	Herm.	Herm.	NE
s9	w34	Wilbrand	Wilbrand	Wilbrand	NE
s9	w35	,	,	,	$,
s9	w36	Augenarzt	Augenarzt	Augenarzt	NN
s9	w37	in	in	in	APPR
s9	w38	Hamburg	Hamburg	Hamburg	NE
s9	w39	.	.	.	$.
sa	w3a	Mit	Mit	mit	APPR
sa	w3b	Tafeln	Tafeln	Tafel	NN
sa	w3c	.	.	.	$.
sb	w3d	Preis	Preis	Preis	NN
sb	w3e	:	:	:	$.
sb	w3f	M.	M.	M.	NE
sb	w40	3.60	3.60	3.60	CARD
sb	w41	.	.	.	$.
sc	w42	Die	Die	d	ART
sc	w43	Seelenblindheit	Seelenblindheit	Seelenblindheit	NN
sc	w44	als	als	als	KOKOM
sc	w45	Herderscheinung	Herderscheinung	Herderscheinung	NN
sc	w46	und	und	und	KON
sc	w47	ihre	ihre	ihr	PPOSAT
sc	w48	Beziehungen	Beziehungen	Beziehung	NN
sc	w49	zur	zur	zur	APPRART
sc	w4a	Homonymen	Homonymen	Homonym	NN
sc	w4b	Hemianopsie	Hemianopsie	Hemianopsie	NE
sc	w4c	,	,	,	$,
sc	w4d	zur	zur	zur	APPRART
sc	w4e	Alexie	Alexie	Alexie	NN
sc	w4f	und	und	und	KON
sc	w50	Agraphie	Agraphie	Agraphie	NN
sc	w51	.	.	.	$.
sd	w52	Von	Von	von	APPR
sd	w53	Dr.	Dr.	Dr.	NN
sd	w54	Herm.	Herm.	Herm.	NE
sd	w55	Wilbrand	Wilbrand	Wilbrand	NE
sd	w56	.	.	.	$.
se	w57	Mit	Mit	mit	APPR
se	w58	Abbildungen	Abbildungen	Abbildung	NN
se	w59	.	.	.	$.
sf	w5a	Preis	Preis	Preis	NN
sf	w5b	:	:	:	$.
sf	w5c	M.	M.	M.	NE
sf	w5d	4.60	4.60	4.60	CARD
sf	w5e	.	.	.	$.
s10	w5f	Über	Ueber	über	APPR
s10	w60	den	den	d	ART
s10	w61	Shock	Shock	Shock	NE
s10	w62	.	.	.	$.
s11	w63	Von	Von	von	APPR
s11	w64	Stabsarzt	Stabsarzt	Stabsarzt	NN
s11	w65	Dr.	Dr.	Dr.	NN
s11	w66	Groeningen	Groeningen	Groeningen	NE
s11	w67	,	,	,	$,
s11	w68	am	am	am	APPRART
s11	w69	medizinisch-chirurgischen	medicinisch-chirurgischen	medizinisch-chirurgisch	ADJA
s11	w6a	Friedrich-Wilhelm-Institut	Friedrich-Wilhelm-Institut	Friedrich-Wilhelm-Institut	NN
s11	w6b	zu	zu	zu	APPR
s11	w6c	Berlin	Berlin	Berlin	NE
s11	w6d	.	.	.	$.
s12	w6e	Mit	Mit	mit	APPR
s12	w6f	Vorwort	Vorwort	Vorwort	NN
s12	w70	von	von	von	APPR
s12	w71	Prof.	Prof.	Prof.	NN
s12	w72	Dr.	Dr.	Dr.	NN
s12	w73	Bardeleben	Bardeleben	Bardeleben	NE
s12	w74	,	,	,	$,
s12	w75	Generalarzt	Generalarzt	Generalarzt	NN
s12	w76	und	und	und	KON
s12	w77	Geh.	Geh.	Geh.	NN
s12	w78	Medizinalrat	Medicinalrath	Medizinalrat	NN
s12	w79	.	.	.	$.
s13	w7a	Preis	Preis	Preis	NN
s13	w7b	:	:	:	$.
s13	w7c	M.	M.	M.	NE
s13	w7d	7	7	7	CARD
s13	w7e	.	.	.	$.
s13	w7f	-	–	-	$(
s14	w80	Anleitung	Anleitung	Anleitung	NN
s14	w81	zur	zur	zur	APPRART
s14	w82	experimentellen	experimentellen	experimentell	ADJA
s14	w83	Erforschung	Erforschung	Erforschung	NN
s14	w84	des	des	d	ART
s14	w85	Hypnotismus	Hypnotismus	Hypnotismus	NN
s14	w86	.	.	.	$.
s15	w87	Nach	Nach	nach	APPR
s15	w88	Prof	Prof	Prof	NN
s15	w89	.	.	.	$.
s16	w8a	Tamburine	Tamburini	Tamburin	NN
s16	w8b	und	und	und	KON
s16	w8c	Seppilli	Seppilli	Seppilli	NN
s16	w8d	bearbeitet	bearbeitet	bearbeiten	VVPP
s16	w8e	von	von	von	APPR
s16	w8f	Dr.	Dr.	Dr.	NN
s16	w90	med.	med.	Med.	NN
s16	w91	M.	M.	M.	NE
s16	w92	O.	O.	O.	NE
s16	w93	Fränkel	Fränkel	Fränkel	NE
s16	w94	,	,	,	$,
s16	w95	Direktor	Director	Direktor	NN
s16	w96	der	der	d	ART
s16	w97	Landes-Irrenheilanstalt	Landes-Irrenheilanstalt	Landes-Irrenheilanstalt	NN
s16	w98	zu	zu	zu	APPR
s16	w99	Bernburg	Bernburg	Bernburg	NE
s16	w9a	.	.	.	$.
s17	w9b	Zwei	Zwei	zwei	CARD
s17	w9c	Hefte	Hefte	Heft	NN
s17	w9d	.	.	.	$.
s18	w9e	Mit	Mit	mit	APPR
s18	w9f	Tafeln	Tafeln	Tafel	NN
s18	wa0	.	.	.	$.
s19	wa1	Preis	Preis	Preis	NN
s19	wa2	:	:	:	$.
s19	wa3	M.	M.	M.	NE
s19	wa4	4	4	4	CARD
s19	wa5	.	.	.	$.
s19	wa6	-	–	-	$(
s1a	wa7	Gehirn	Gehirn	Gehirn	NN
s1a	wa8	und	und	und	KON
s1a	wa9	Auge	Auge	Auge	NN
s1a	waa	.	.	.	$.
s1b	wab	Von	Von	von	APPR
s1b	wac	Dr.	Dr.	Dr.	NN
s1b	wad	L.	L.	L.	NE
s1b	wae	Mautner	Mauthner	Mautner	NE
s1b	waf	,	,	,	$,
s1b	wb0	k.	k.	k.	ADJA
s1b	wb1	k.	k.	k.	ADJA
s1b	wb2	Universitäts-Professor	Universitäts-Professor	Universitäts-Professor	NN
s1b	wb3	in	in	in	APPR
s1b	wb4	Wien	Wien	Wien	NE
s1b	wb5	.	.	.	$.
s1c	wb6	Mit	Mit	mit	APPR
s1c	wb7	Abbildungen	Abbildungen	Abbildung	NN
s1c	wb8	.	.	.	$.
s1d	wb9	Preis	Preis	Preis	NN
s1d	wba	:	:	:	$.
s1d	wbb	M.	M.	M.	NE
s1d	wbc	7	7	7	CARD
s1d	wbd	.	.	.	$.
s1d	wbe	-	–	-	$(
s1e	wbf	""""	„	""""	$(
s1e	wc0	Unter	Unter	unter	APPR
s1e	wc1	den	den	d	ART
s1e	wc2	anerkannt	anerkannt	anerkennen	VVPP
s1e	wc3	trefflichen	trefflichen	trefflich	ADJA
s1e	wc4	Vorträgen	Vorträgen	Vortrag	NN
s1e	wc5	des	des	d	ART
s1e	wc6	Wiener	Wiener	Wiener	ADJA
s1e	wc7	Ophthalmologen	Ophthalmologen	Ophthalmologe	NN
s1e	wc8	aus	aus	aus	APPR
s1e	wc9	dem	dem	d	ART
s1e	wca	Gesamtgebiete	Gesammtgebiete	Gesamtgebiet	NN
s1e	wcb	der	der	d	ART
s1e	wcc	Augenheilkunde	Augenheilkunde	Augenheilkunde	NN
s1e	wcd	nimmt	nimmt	nehmen	VVFIN
s1e	wce	obengenannte	obengenannte	obengenannt	ADJA
s1e	wcf	Schrift	Schrift	Schrift	NN
s1e	wd0	eine	eine	eine	ART
s1e	wd1	hervorragende	hervorragende	hervorragend	ADJA
s1e	wd2	und	und	und	KON
