Sent_ID	Token_ID	Corr_token	Orig_token	Lemma	POS
s1	w1	Bücher	Bücher	Buch	NN
s1	w2	von	von	von	APPR
s1	w3	Otto	Otto	Otto	NE
s1	w4	Julius	Julius	Julius	NE
s1	w5	Bierbaum	Bierbaum	Bierbaum	NE
s2	w6	*	*	*	XY
s3	w7	Die	Die	d	ART
s3	w8	Schlangendame	Schlangendame	Schlangendame	NN
s3	w9	(	(	(	$(
s3	wa	Novelle	Novelle	Novelle	NN
s3	wb	,	,	,	$,
s3	wc	2.	2.	2.	ADJA
s3	wd	Aufl.	Aufl.	Aufl.	NN
s3	we	)	)	)	$(
s4	wf	*	*	*	XY
s5	w10	Studentenbeichten	Studentenbeichten	Studentenbeichte	NN
s5	w11	,	,	,	$,
s5	w12	Erste	Erſte	erst	ADJA
s5	w13	Reihe	Reihe	Reihe	NN
s5	w14	(	(	(	$(
s5	w15	Novellen	Novellen	Novelle	NN
s5	w16	,	,	,	$,
s5	w17	3.	3.	3.	ADJA
s5	w18	Aufl.	Aufl.	Aufl.	NN
s5	w19	)	)	)	$(
s6	w1a	*	*	*	XY
s7	w1b	Studentenbeichten	Studentenbeichten	Studentenbeichte	NN
s7	w1c	,	,	,	$,
s7	w1d	Zweite	Zweite	zweit	ADJA
s7	w1e	Reihe	Reihe	Reihe	NN
s7	w1f	(	(	(	$(
s7	w20	Novellen	Novellen	Novelle	NN
s7	w21	)	)	)	$(
s8	w22	*	*	*	XY
s9	w23	Der	Der	d	ART
s9	w24	Bunte	Bunte	Bunte	NN
s9	w25	Vogel	Vogel	Vogel	NE
s9	w26	(	(	(	$(
s9	w27	Illustriertes	Illuſtriertes	illustriert	ADJA
s9	w28	Kalenderbuch	Kalenderbuch	Kalenderbuch	NN
s9	w29	)	)	)	$(
sa	w2a	*	*	*	XY
sb	w2b	Lobetanz	Lobetanz	Lobetanz	NN
sb	w2c	(	(	(	$(
sb	w2d	Liederspiel	Liederſpiel	Liederspiel	NN
