Sent_ID	Token_ID	Corr_token	Orig_token	Lemma	POS
s1	w1	Das	Das	die	PDS
s1	w2	in	in	in	APPR
s1	w3	Dessau	Deſſau	Dessau	NE
s1	w4	errichtete	errichtete	errichtet	ADJA
s1	w5	Philanthropinum	Philanthropinum	Philanthropinum	NN
s1	w6	,	,	,	$,
s1	w7	Eine	Eine	eine	ART
s1	w8	Schule	Schule	Schule	NN
s1	w9	der	der	d	ART
s1	wa	Menschenfreundschaft	Menſchenfreundſchaft	Menschenfreundschaft	NN
s1	wb	und	und	und	KON
s1	wc	guter	guter	gut	ADJA
s1	wd	Kenntnisse	Kenntniſſe	Kenntnis	NN
s1	we	für	fuͤr	für	APPR
s1	wf	Lernende	Lernende	Lernende	NN
s1	w10	und	und	und	KON
s1	w11	junge	junge	jung	ADJA
s1	w12	Lehrer	Lehrer	Lehrer	NN
s1	w13	,	,	,	$,
s1	w14	arme	arme	arm	ADJA
s1	w15	und	und	und	KON
s1	w16	reiche	reiche	reichen	VVFIN
s1	w17	;	;	;	$.
s1	w18	Ein	Ein	eine	ART
s1	w19	Fideikommiss	Fidei-Commiß	Fideikommiss	NN
s1	w1a	des	des	d	ART
s1	w1b	Publikums	Publicums	Publikum	NN
s1	w1c	zur	zur	zur	APPRART
s1	w1d	Vervollkommnung	Vervollkommnung	Vervollkommnung	NN
s1	w1e	des	des	d	ART
s1	w1f	Erziehungswesens	Erziehungsweſens	Erziehungswesen	NN
s1	w20	aller	aller	alle	PIAT
s1	w21	Orten	Orten	Ort	NN
s1	w22	nach	nach	nach	APPR
s1	w23	dem	dem	d	ART
s1	w24	Plane	Plane	Plane	NN
s1	w25	des	des	d	ART
s1	w26	Elementarwerks	Elementarwerks	Elementarwerk	NN
s1	w27	.	.	.	$.
s2	w28	Den	Den	d	ART
s2	w29	Erforschern	Erforſchern	Erforscher	NN
s2	w2a	und	und	und	KON
s2	w2b	Tätern	Thaͤtern	Täter	NN
s2	w2c	des	des	d	ART
s2	w2d	Guten	Guten	Gute	NN
s2	w2e	,	,	,	$,
s2	w2f	unter	unter	unter	APPR
s2	w30	Fürsten	Fuͤrſten	Fürst	NN
s2	w31	,	,	,	$,
s2	w32	menschenfreundlichen	menſchenfreundlichen	menschenfreundlich	ADJA
s2	w33	Gesellschaften	Geſellſchaften	Gesellschaft	NN
s2	w34	und	und	und	KON
s2	w35	Privatpersonen	Privatperſonen	Privatperson	NN
s2	w36	,	,	,	$,
s2	w37	empfohlen	empfohlen	empfehlen	VVPP
s2	w38	von	von	von	APPR
s2	w39	Johann	Johann	Johann	NE
s2	w3a	Bernhard	Bernhard	Bernhard	NE
s2	w3b	Basedow	Baſedow	Basedow	NE
s2	w3c	,	,	,	$,
s2	w3d	(	(	(	$(
s2	w3e	oder	oder	oder	KON
s2	w3f	in	in	in	APPR
s2	w40	einigen	einigen	einige	PIAT
s2	w41	Schriften	Schriften	Schrift	NN
s2	w42	Bernhard	Bernhard	Bernhard	NE
s2	w43	aus	aus	aus	APPR
s2	w44	Nordalbingien	Nordalbingien	Nordalbingien	NE
s2	w45	.	.	.	$.
s2	w46	)	)	)	$(
s3	w47	Leipzig	Leipzig	Leipzig	NE
s3	w48	,	,	,	$,
s3	w49	1774	1774	1774	CARD
s3	w4a	.	.	.	$.
s4	w4b	Bei	Bey	bei	APPR
