Sent_ID	Token_ID	Corr_token	Orig_token	Lemma	POS
s1	w1	Eines	Eines	eine	ART
s1	w2	zehen-jährigen	zehen-jaͤhrigen	zehen-jährig	ADJA
s1	w3	Knaben	Knabens	Knabe	NN
s1	w4	Christlieb	Chriſtlieb	Christlieb	NE
s1	w5	Leberecht	Leberecht	Leberecht	NE
s1	w6	von	von	von	APPR
s1	w7	Exter	Exter	Exter	NE
s1	w8	/	/	/	$(
s1	w9	aus	aus	aus	APPR
s1	wa	Zerbst	Zerbſt	Zerbst	NE
s1	wb	/	/	/	$(
s1	wc	Christlich	Chriſtlich	christlich	ADJD
s1	wd	geführter	gefuͤhrter	geführt	ADJA
s1	we	Lebenslauf	Lebens-Lauff	Lebenslauf	NN
s1	wf	/	/	/	$(
s1	w10	Nebst	Nebſt	nebst	APPR
s1	w11	dessen	deſſen	die	PRELAT
s1	w12	angefangenen	angefangenen	angefangen	ADJA
s1	w13	Tractätlein	Tractaͤtlein	Tractätlein	NN
s1	w14	vom	vom	vom	APPRART
s1	w15	Wahren	Wahren	wahr	ADJA
s1	w16	Christentum	Chriſtenthum	Christentum	NN
s1	w17	/	/	/	$(
s1	w18	ingleichen	ingleichen	ingleichen	ADV
s1	w19	seine	ſeine	seine	PPOSAT
s1	w1a	Briefe	Briefe	Brief	NN
s1	w1b	und	und	und	KON
s1	w1c	Lieder	Lieder	Lied	NN
s1	w1d	/	/	/	$(
s1	w1e	etc	&c	et_cetera	ADV
s1	w1f	.	.	.	$.
s2	w20	Zum	Zum	zum	APPRART
s2	w21	Lobe	Lobe	Lob	NN
s2	w22	Gottes	Gottes	Gott	NN
s2	w23	/	/	/	$(
s2	w24	und	und	und	KON
s2	w25	allgemeiner	allgemeiner	allgemein	ADJD
s2	w26	/	/	/	$(
s2	w27	sonderlich	ſonderlich	sonderlich	ADJD
s2	w28	aber	aber	aber	ADV
s2	w29	der	der	d	ART
s2	w2a	lieben	lieben	lieb	ADJA
s2	w2b	Jugend	Jugend	Jugend	NN
s2	w2c	Christl.	Chriſtl.	Christl.	NE
s2	w2d	Erbauung	Erbauung	Erbauung	NN
s2	w2e	zum	zum	zum	APPRART
s2	w2f	öffentlichen	oͤffentlichen	öffentlich	ADJA
s2	w30	Druck	Druck	Druck	NN
s2	w31	gegeben	gegeben	geben	VVPP
s2	w32	/	/	/	$(
s2	w33	und	und	und	KON
s2	w34	Sr.	Sr.	Sr.	NE
s2	w35	Hoch-Fürstl.	Hoch-Fuͤrſtl.	Hoch-Fürstl.	NE
s2	w36	Durchl.	Durchl.	Durchl.	NE
s2	w37	Herrn	Herrn	Herr	NN
s2	w38	Anton	Anton	Anton	NE
s2	w39	Günther	Guͤnthern	Günther	NE
s2	w3a	/	/	/	$(
s2	w3b	Fürsten	Fuͤrſten	Fürst	NN
s2	w3c	zu	zu	zu	APPR
s2	w3d	Anhalt	Anhalt	Anhalt	NE
s2	w3e	etc.	ꝛc.	etc.	ADV
s2	w3f	etc.	ꝛc.	etc.	ADV
s2	w40	untertänigst	unterthaͤnigſt	untertänig	ADJD
s2	w41	dediziert	dediciret	dedizieren	VVPP
s2	w42	von	von	von	APPR
s2	w43	August	Auguſt	August	NN
s2	w44	Hermann	Hermann	Hermann	NE
s2	w45	Francken	Francken	Francken	NE
s2	w46	/	/	/	$(
s2	w47	SS.	SS.	SS.	NE
s2	w48	Theol.	Theol.	Theol.	NE
s2	w49	Prof.	Prof.	Prof.	NN
s2	w4a	und	und	und	KON
s2	w4b	Past.	Paſt.	Past.	NE
s2	w4c	Halle	Halle	Halle	NE
s2	w4d	/	/	/	$(
s2	w4e	zu	zu	zu	PTKZU
s2	w4f	finden	finden	finden	VVINF
s2	w50	im	im	im	APPRART
s2	w51	Buchladen	Buchladen	Buchladen	NN
s2	w52	des	des	d	ART
s2	w53	Wäysenhauses	Waͤyſenhauſes	Wäysenhauses	NN
s2	w54	.	.	.	$.
s3	w55	1708	1708	1708	CARD
s3	w56	.	.	.	$.
s42	wb91	Ordnung	Ordnung	Ordnung	NN
s42	wb92	der	der	d	ART
s42	wb93	hierinnen	hierinnen	hierinnen	PAV
s42	wb94	enthaltenen	enthaltenen	enthalten	ADJA
s42	wb95	Materien	Materien	Materie	NN
s42	wb96	.	.	.	$.
s4	w57	Nach	Nach	nach	APPR
s4	w58	der	der	d	ART
s4	w59	Dedikation	Dedication	Dedikation	NN
s4	w5a	/	/	/	$(
s4	w5b	worin	worinnen	worin	PWAV
s4	w5c	die	die	d	ART
s4	w5d	dem	dem	d	ART
s4	w5e	Christlichen	Chriſtlichen	christlich	ADJA
s4	w5f	Leser	Leſer	Leser	NN
s4	w60	etwa	etwa	etwa	ADV
s4	w61	nötige	noͤthige	nötig	ADJA
s4	w62	Nachricht	Nachricht	Nachricht	NN
s4	w63	und	und	und	KON
s4	w64	Erinnerungen	Erinnerungen	Erinnerung	NN
s4	w65	anzutreffen	anzutreffen	antreffen	VVIZU
s4	w66	sind	ſind	sein	VAFIN
s4	w67	/	/	/	$(
s4	w68	folget	folget	folgen	VVFIN
s43	wb97	1.	1.	1.	ADV
s43	wb98	Des	Des	d	ART
s43	wb99	sel.	ſel.	Sel.	NN
s43	wb9a	Christlieb	Chriſtlieb	Christlieb	NE
s43	wb9b	Leberecht	Leberecht	Leberecht	NE
s43	wb9c	von	von	von	APPR
s43	wb9d	Exter	Exter	Exter	NE
s43	wb9e	geführter	gefuͤhrter	geführt	ADJA
s43	wb9f	Lebenslauf	Lebens-Lauff	Lebenslauf	NN
s43	wba0	/	/	/	$(
s43	wba1	von	von	von	APPR
s43	wba2	seinem	ſeinem	seine	PPOSAT
s43	wba3	gewesenen	geweſenen	gewesen	ADJA
s43	wba4	Informator	Informatore	Informator	NN
s43	wba5	aufgesetzt	aufgeſetzet	aufsetzen	VVPP
s43	wba6	.	.	.	$.
s43	wba7	pag.	pag.	Pag.	NN
s43	wba8	1.	1.	1.	ADV
s43	wba9	bis	bis	bis	APPR
s43	wbaa	46	46	46	CARD
s43	wbab	.	.	.	$.
s44	wbac	2.	2.	2.	ADJA
s44	wbad	Sr.	Sr.	Sr.	NN
s44	wbae	Hoch-Fürstl.	Hoch-Fuͤrſtl.	Hoch-Fürstl.	NE
s44	wbaf	Durchl.	Durchl.	Durchl.	NE
s44	wbb0	Herrn	Herrn	Herr	NN
s44	wbb1	Anton	Anton	Anton	NE
s44	wbb2	Günther	Guͤnther	Günther	NE
s44	wbb3	Fürsten	Fuͤrſten	Fürst	NN
s44	wbb4	zu	zu	zu	APPR
s44	wbb5	Anhalt	Anhalt	Anhalt	NE
s44	wbb6	erteiltes	ertheiltes	erteilt	ADJA
s44	wbb7	Zeugnis	Zeugniß	Zeugnis	NN
s44	wbb8	vom	vom	vom	APPRART
s44	wbb9	diesem	dieſem	diese	PDAT
s44	wbba	sel.	ſel.	Sel.	NN
s44	wbbb	Kinde	Kinde	Kind	NN
s44	wbbc	und	und	und	KON
s44	wbbd	dessen	deſſen	die	PRELAT
s44	wbbe	Schrifften.	Schrifften.	Schrifften.	NN
s44	wbbf	p.	p.	P.	NN
s44	wbc0	47-52	47-52	47-52	CARD
s44	wbc1	.	.	.	$.
s45	wbc2	3.	3.	3.	ADV
s45	wbc3	Des	Des	d	ART
s45	wbc4	sel	ſel	Sel	NN
s45	wbc5	.	.	.	$.
s46	wbc6	Kindes	Kindes	Kind	NN
s46	wbc7	angefangenes	angefangenes	angefangen	ADJA
s46	wbc8	und	und	und	KON
