Sent_ID	Token_ID	Corr_token	Orig_token	Lemma	POS
s1	w1	Die	Die	d	ART
s1	w2	Günderode	Günderode	Günderode	NE
s1	w3	.	.	.	$.
s2	w4	Zweiter	Zweiter	zweit	ADJA
s2	w5	Teil	Theil	Teil	NN
s2	w6	.	.	.	$.
s3	w7	Grünberg	Grünberg	Grünberg	NE
s3	w8	und	und	und	KON
s3	w9	Leipzig	Leipzig	Leipzig	NE
s3	wa	,	,	,	$,
s3	wb	bei	bei	bei	APPR
s3	wc	W.	W.	W.	ADJA
s3	wd	Levysohn	Levyſohn	Levysohn	NN
s3	we	.	.	.	$.
s3	wf	1840	1840	1840	CARD
s3	w10	.	.	.	$.
s4	w11	Wenn	Wenn	wenn	KOUS
s4	w12	Dich	Dich	du	PPER
s4	w13	eine	eine	eine	ART
s4	w14	höhere	höhere	hoch	ADJA
s4	w15	Vorstellung	Vorſtellung	Vorstellung	NN
s4	w16	durchdringt	durchdringt	durchdringen	VVFIN
s4	w17	von	von	von	APPR
s4	w18	einer	einer	eine	ART
s4	w19	Menschennatur	Menſchennatur	Menschennatur	NN
s4	w1a	,	,	,	$,
s4	w1b	so	ſo	so	ADV
s4	w1c	zweifle	zweifle	zweifeln	VVFIN
s4	w1d	nicht	nicht	nicht	PTKNEG
s4	w1e	daß	daß	daß	KOUS
s4	w1f	dies	dies	diese	PDS
s4	w20	die	die	d	ART
s4	w21	wahre	wahre	wahr	ADJA
s4	w22	sei	ſei	sein	VAFIN
s4	w23	,	,	,	$,
s4	w24	denn	denn	denn	KON
s4	w25	alle	alle	alle	PIS
s4	w26	sind	ſind	sein	VAFIN
s4	w27	geboren	geboren	gebären	VVPP
s4	w28	zum	zum	zum	APPRART
s4	w29	Ideal	Ideal	Ideal	NN
s4	w2a	,	,	,	$,
s4	w2b	und	und	und	KON
s4	w2c	wo	wo	wo	PWAV
s4	w2d	Du	Du	du	PPER
s4	w2e	es	es	es	PPER
s4	w2f	ahnst	ahnſt	ahnen	VVFIN
s4	w30	,	,	,	$,
s4	w31	da	da	da	KOUS
s4	w32	kannst	kannſt	können	VMFIN
s4	w33	Du	Du	du	PPER
s4	w34	es	es	es	PPER
s4	w35	auch	auch	auch	ADV
s4	w36	in	in	in	APPR
s4	w37	ihm	ihm	er	PPER
s4	w38	zur	zur	zur	APPRART
s4	w39	Erscheinung	Erſcheinung	Erscheinung	NN
s4	w3a	bringen	bringen	bringen	VVINF
s4	w3b	,	,	,	$,
s4	w3c	denn	denn	denn	KON
s4	w3d	er	er	er	PPER
s4	w3e	hat	hat	haben	VAFIN
s4	w3f	gewiß	gewiß	gewiß	ADV
s4	w40	die	die	d	ART
s4	w41	Anlage	Anlage	Anlage	NN
s4	w42	dazu	dazu	dazu	PTKVZ
s4	w43	.	.	.	$.
s5	w44	Wer	Wer	wer	PWS
s5	w45	das	das	d	ART
s5	w46	Ideal	Ideal	Ideal	NN
s5	w47	leugnet	läugnet	leugnen	VVFIN
s5	w48	in	in	in	APPR
s5	w49	sich	ſich	sich	PRF
s5	w4a	,	,	,	$,
s5	w4b	der	der	d	ART
s5	w4c	könnte	könnte	können	VMFIN
s5	w4d	es	es	es	PPER
s5	w4e	auch	auch	auch	ADV
s5	w4f	nicht	nicht	nicht	PTKNEG
s5	w50	verstehen	verſtehen	verstehen	VVINF
s5	w51	in	in	in	APPR
s5	w52	Anderen	Andern	ander	ADJA
s5	w53	,	,	,	$,
s5	w54	selbst	ſelbſt	selbst	ADV
s5	w55	wenn	wenn	wenn	KOUS
s5	w56	es	es	es	PPER
