Sent_ID	Token_ID	Corr_token	Orig_token	Lemma	POS
s1	w1	Volksrecht	Volksrecht	Volksrecht	NN
s1	w2	und	und	und	KON
s1	w3	Juristenrecht	Juriſtenrecht	Juristenrecht	NN
s1	w4	.	.	.	$.
s2	w5	Von	Von	von	APPR
s2	w6	Dr.	Dr.	Dr.	NN
s2	w7	Georg	Georg	Georg	NE
s2	w8	Beseler	Beſeler	Beseler	NE
s2	w9	,	,	,	$,
s2	wa	Geh.	Geh.	Geh.	ADJA
s2	wb	Justizrate	Juſtizrathe	Justizrate	NN
s2	wc	und	und	und	KON
s2	wd	Professor	Profeſſor	Professor	NN
s2	we	zu	zu	zu	APPR
s2	wf	Greifswald	Greifswald	Greifswald	NE
s2	w10	.	.	.	$.
s3	w11	Leipzig	Leipzig	Leipzig	NE
s3	w12	,	,	,	$,
s3	w13	Weidmann'sche	Weidmann’ſche	weidmann'sche	ADJA
s3	w14	Buchhandlung	Buchhandlung	Buchhandlung	NN
s3	w15	.	.	.	$.
s3	w16	1843	1843	1843	CARD
s3	w17	.	.	.	$.
sc	w103	Vorrede	Vorrede	Vorrede	NN
sc	w104	.	.	.	$.
s4	w18	Es	Es	es	PPER
s4	w19	war	war	sein	VAFIN
s4	w1a	ursprünglich	urſprünglich	ursprünglich	ADJD
s4	w1b	meine	meine	meine	PPOSAT
s4	w1c	Absicht	Abſicht	Absicht	NN
s4	w1d	,	,	,	$,
s4	w1e	den	den	d	ART
s4	w1f	Inhalt	Inhalt	Inhalt	NN
s4	w20	dieser	dieſer	diese	PDAT
s4	w21	Schrift	Schrift	Schrift	NN
s4	w22	,	,	,	$,
s4	w23	welche	welche	welche	PRELS
s4	w24	jetzt	jetzt	jetzt	ADV
s4	w25	ein	ein	eine	ART
s4	w26	zusammenhängendes	zuſammenhaͤngendes	zusammenhängend	ADJA
s4	w27	Ganzes	Ganzes	Ganze	NN
s4	w28	bildet	bildet	bilden	VVFIN
s4	w29	,	,	,	$,
s4	w2a	in	in	in	APPR
s4	w2b	einer	einer	eine	ART
s4	w2c	Reihe	Reihe	Reihe	NN
s4	w2d	einzelner	einzelner	einzeln	ADJA
s4	w2e	Abhandlungen	Abhandlungen	Abhandlung	NN
s4	w2f	zu	zu	zu	PTKZU
s4	w30	bearbeiten	bearbeiten	bearbeiten	VVINF
s4	w31	,	,	,	$,
s4	w32	und	und	und	KON
s4	w33	zwar	zwar	zwar	ADV
s4	w34	nach	nach	nach	APPR
s4	w35	der	der	d	ART
s4	w36	Beschaffenheit	Beſchaffenheit	Beschaffenheit	NN
s4	w37	des	des	d	ART
s4	w38	Gegenstandes	Gegenſtandes	Gegenstand	NN
s4	w39	teils	theils	teils	ADV
s4	w3a	in	in	in	APPR
s4	w3b	der	der	d	ART
s4	w3c	Form	Form	Form	NN
s4	w3d	einer	einer	eine	ART
s4	w3e	freien	freien	frei	ADJA
s4	w3f	wissenschaftlichen	wiſſenſchaftlichen	wissenschaftlich	ADJA
s4	w40	Erörterung	Erörterung	Erörterung	NN
s4	w41	,	,	,	$,
s4	w42	teils	theils	teils	ADV
s4	w43	als	als	als	KOKOM
s4	w44	ausführliche	ausführliche	ausführlich	ADJA
s4	w45	,	,	,	$,
s4	w46	mit	mit	mit	APPR
s4	w47	dem	dem	d	ART
s4	w48	vollständigen	vollſtaͤndigen	vollständig	ADJA
s4	w49	gelehrten	gelehrten	gelehrt	ADJA
s4	w4a	Apparat	Apparat	Apparat	NN
s4	w4b	ausgestattete	ausgeſtattete	ausgestattet	ADJA
s4	w4c	Monographien	Monographien	Monographie	NN
s4	w4d	.	.	.	$.
s5	w4e	Ich	Ich	ich	PPER
s5	w4f	weiß	weiß	wissen	VVFIN
s5	w50	nun	nun	nun	ADV
s5	w51	freilich	freilich	freilich	ADV
s5	w52	sehr	ſehr	sehr	ADV
s5	w53	wohl	wohl	wohl	ADV
s5	w54	,	,	,	$,
s5	w55	daß	daß	daß	KOUS
s5	w56	ich	ich	ich	PPER
s5	w57	,	,	,	$,
s5	w58	indem	indem	indem	KOUS
s5	w59	ich	ich	ich	PPER
s5	w5a	von	von	von	APPR
s5	w5b	diesem	dieſem	diese	PDAT
s5	w5c	Plane	Plane	Plane	NN
s5	w5d	abging	abging	abgehen	VVFIN
s5	w5e	und	und	und	KON
s5	w5f	die	die	d	ART
s5	w60	gegenwärtige	gegenwärtige	gegenwärtig	ADJA
s5	w61	Form	Form	Form	NN
s5	w62	des	des	d	ART
s5	w63	Werkes	Werkes	Werk	NN
s5	w64	wählte	wählte	wählen	VVFIN
s5	w65	,	,	,	$,
s5	w66	den	den	d	ART
s5	w67	wichtigen	wichtigen	wichtig	ADJA
s5	w68	Vorteil	Vortheil	Vorteil	NN
s5	w69	aus	aus	aus	APPR
s5	w6a	der	der	d	ART
s5	w6b	Hand	Hand	Hand	NN
s5	w6c	gab	gab	geben	VVFIN
s5	w6d	,	,	,	$,
s5	w6e	auch	auch	auch	ADV
s5	w6f	die	die	d	ART
s5	w70	einzelnen	einzelnen	einzeln	ADJA
s5	w71	darin	darin	darin	PAV
s5	w72	behandelten	behandelten	behandeln	VVFIN
s5	w73	Lehren	Lehren	Lehre	NN
s5	w74	so	ſo	so	ADV
s5	w75	,	,	,	$,
s5	w76	wie	wie	wie	PWAV
s5	w77	es	es	es	PPER
s5	w78	die	die	d	ART
s5	w79	unbefangene	unbefangene	unbefangen	ADJA
s5	w7a	Darlegung	Darlegung	Darlegung	NN
s5	w7b	einer	einer	eine	ART
s5	w7c	genauen	genauen	genau	ADJA
s5	w7d	Forschung	Forſchung	Forschung	NN
s5	w7e	allein	allein	allein	ADV
s5	w7f	vermag	vermag	vermögen	VVFIN
s5	w80	,	,	,	$,
s5	w81	zu	zu	zu	PTKZU
s5	w82	begründen	begründen	begründen	VVINF
s5	w83	.	.	.	$.
s6	w84	Indessen	Indeſſen	indessen	ADV
s6	w85	schien	ſchien	scheinen	VVFIN
s6	w86	es	es	es	PPER
s6	w87	mir	mir	ich	PPER
s6	w88	doch	doch	doch	ADV
s6	w89	vor	vor	vor	APPR
s6	w8a	Allem	Allem	alle	PIS
s6	w8b	darauf	darauf	darauf	PAV
s6	w8c	anzukommen	anzukommen	ankommen	VVIZU
s6	w8d	,	,	,	$,
s6	w8e	die	die	d	ART
s6	w8f	leitenden	leitenden	leitend	ADJA
s6	w90	Gedanken	Gedanken	Gedanke	NN
s6	w91	,	,	,	$,
s6	w92	um	um	um	APPR
s6	w93	deren	deren	die	PRELAT
s6	w94	Ausführung	Ausfuͤhrung	Ausführung	NN
s6	w95	es	es	es	PPER
s6	w96	mir	mir	mich	PRF
s6	w97	zunächst	zunaͤchſt	zunächst	ADV
s6	w98	zu	zu	zu	PTKZU
s6	w99	tun	thun	tun	VVINF
s6	w9a	war	war	sein	VAFIN
s6	w9b	,	,	,	$,
s6	w9c	zur	zur	zur	APPRART
s6	w9d	gehörigen	gehoͤrigen	gehörig	ADJA
s6	w9e	Klarheit	Klarheit	Klarheit	NN
s6	w9f	und	und	und	KON
s6	wa0	Anschaulichkeit	Anſchaulichkeit	Anschaulichkeit	NN
s6	wa1	zu	zu	zu	PTKZU
s6	wa2	erheben	erheben	erheben	VVINF
s6	wa3	,	,	,	$,
s6	wa4	und	und	und	KON
s6	wa5	so	ſo	so	ADV
s6	wa6	trug	trug	tragen	VVFIN
s6	wa7	ich	ich	ich	PPER
s6	wa8	kein	kein	keine	PIAT
s6	wa9	Bedenken	Bedenken	Bedenken	NN
s6	waa	,	,	,	$,
s6	wab	in	in	in	APPR
s6	wac	ihrem	ihrem	ihr	PPOSAT
s6	wad	Dienste	Dienſte	Dienst	NN
s6	wae	das	das	d	ART
s6	waf	von	von	von	APPR
s6	wb0	mir	mir	ich	PPER
s6	wb1	zusammen	zuſammen	zusammen	ADV
s6	wb2	gebrachte	gebrachte	gebringt	ADJA
s6	wb3	Material	Material	Material	NN
s6	wb4	zu	zu	zu	PTKZU
s6	wb5	verwenden	verwenden	verwenden	VVINF
s6	wb6	.	.	.	$.
s7	wb7	Mag	Mag	mögen	VMFIN
s7	wb8	diese	dieſe	diese	PDAT
s7	wb9	Schrift	Schrift	Schrift	NN
s7	wba	dadurch	dadurch	dadurch	PAV
s7	wbb	auch	auch	auch	ADV
s7	wbc	nach	nach	nach	APPR
s7	wbd	einer	einer	eine	ART
s7	wbe	Seite	Seite	Seite	NN
s7	wbf	hin	hin	hin	ADV
s7	wc0	an	an	an	APPR
s7	wc1	Wirksamkeit	Wirkſamkeit	Wirksamkeit	NN
s7	wc2	verloren	verloren	verlieren	VVPP
s7	wc3	haben	haben	haben	VAINF
s7	wc4	,	,	,	$,
s7	wc5	so	ſo	so	ADV
s7	wc6	gelingt	gelingt	gelingen	VVFIN
s7	wc7	es	es	es	PPER
s7	wc8	ihr	ihr	sie	PPER
s7	wc9	dafür	dafür	dafür	PAV
s7	wca	vielleicht	vielleicht	vielleicht	ADV
s7	wcb	um	um	um	APPR
s7	wcc	so	ſo	so	ADV
s7	wcd	eher	eher	eher	ADV
s7	wce	,	,	,	$,
s7	wcf	eine	eine	eine	ART
s7	wd0	allgemeinere	allgemeinere	allgemein	ADJA
s7	wd1	und	und	und	KON
s7	wd2	lebendigere	lebendigere	lebendig	ADJA
s7	wd3	Teilnahme	Theilnahme	Teilnahme	NN
s7	wd4	zu	zu	zu	PTKZU
s7	wd5	erregen	erregen	erregen	VVINF
s7	wd6	,	,	,	$,
s7	wd7	und	und	und	KON
s7	wd8	das	das	die	PDS
s7	wd9	würde	wuͤrde	werden	VAFIN
s7	wda	ich	ich	ich	PPER
s7	wdb	für	fuͤr	für	APPR
s7	wdc	einen	einen	eine	ART
s7	wdd	entschiedenen	entſchiedenen	entschieden	ADJA
s7	wde	Gewinn	Gewinn	Gewinn	NN
s7	wdf	halten	halten	halten	VVINF
s7	we0	.	.	.	$.
s8	we1	Denn	Denn	denn	KON
s8	we2	es	es	es	PPER
s8	we3	kommen	kommen	kommen	VVFIN
s8	we4	hier	hier	hier	ADV
s8	we5	Fragen	Fragen	Frage	NN
s8	we6	zur	zur	zur	APPRART
s8	we7	Erwägung	Erwägung	Erwägung	NN
s8	we8	,	,	,	$,
s8	we9	bei	bei	bei	APPR
s8	wea	deren	deren	die	PRELAT
s8	web	Lösung	Loͤſung	Lösung	NN
s8	wec	nicht	nicht	nicht	PTKNEG
s8	wed	allein	allein	allein	ADV
s8	wee	die	die	d	ART
s8	wef	Juristen	Juriſten	Jurist	NN
s8	wf0	beteiligt	betheiligt	beteiligen	VVPP
s8	wf1	sind	ſind	sein	VAFIN
s8	wf2	und	und	und	KON
s8	wf3	die	die	d	ART
s8	wf4	Entscheidung	Entſcheidung	Entscheidung	NN
s8	wf5	abzugeben	abzugeben	abgeben	VVIZU
s8	wf6	haben	haben	haben	VAFIN
s8	wf7	.	.	.	$.
s9	wf8	Greifswald	Greifswald	Greifswald	NE
s9	wf9	im	im	im	APPRART
s9	wfa	Julius	Julius	Julius	NE
s9	wfb	1843	1843	1843	CARD
s9	wfc	.	.	.	$.
sa	wfd	G.	G.	g.	XY
sa	wfe	B.	B.	b.	XY
sd	w105	Inhalt	Inhalt	Inhalt	NN
sd	w106	.	.	.	$.
sb	wff	Volksrecht	Volksrecht	Volksrecht	NN
sb	w100	und	und	und	KON
sb	w101	Juristenrecht	Juriſtenrecht	Juristenrecht	NN
sb	w102	.	.	.	$.
se	w107	Seite	Seite	Seite	NN
sf	w108	Erstes	Erſtes	erst	ADJA
sf	w109	Kapitel	Kapitel	Kapitel	NN
sf	w10a	.	.	.	$.
s10	w10b	Historische	Hiſtoriſche	historisch	ADJA
s10	w10c	Einleitung	Einleitung	Einleitung	NN
s10	w10d	1	1	1	CARD
s11	w10e	Zweites	Zweites	zweit	ADJA
s11	w10f	Kapitel	Kapitel	Kapitel	NN
s11	w110	.	.	.	$.
s12	w111	Feststellung	Feſtſtellung	Feststellung	NN
s12	w112	des	des	d	ART
s12	w113	Gegenstandes	Gegenſtandes	Gegenstand	NN
s12	w114	58	58	58	CARD
s13	w115	Drittes	Drittes	dritt	ADJA
s13	w116	Kapitel	Kapitel	Kapitel	NN
s13	w117	.	.	.	$.
s14	w118	Das	Das	d	ART
s14	w119	gemeine	gemeine	gemein	ADJA
