Sent_ID	Token_ID	Corr_token	Orig_token	Lemma	POS
s1	w1	DIE	DIE	d	ART
s1	w2	PREUSSISCHE	PREUSSISCHE	Preußische	NN
s1	w3	EXPEDITION	EXPEDITION	Expedition	NN
s1	w4	NACH	NACH	NACH	NE
s1	w5	OST-ASIEN	OST-ASIEN	Ost-Asien	NE
s1	w6	.	.	.	$.
s1	w7	NACH	NACH	NACH	NN
s1	w8	AMTLICHEN	AMTLICHEN	amtlich	ADJA
s1	w9	QUELLEN.	QUELLEN.	QUELLEN.	NN
s1	wa	BOTANISCHER	BOTANISCHER	Botanische	NN
s1	wb	teil	THEIL	teilen	PTKVZ
s1	wc	.	.	.	$.
s2	wd	DIE	DIE	d	ART
s2	we	TANGE	TANGE	Tang	NN
s2	wf	.	.	.	$.
s3	w10	MIT	MIT	Massachussetts_Institute_Of_Technology	NE
s3	w11	VIII	VIII	viii	CARD
s3	w12	ILLUSTRATIONEN.	ILLUSTRATIONEN.	ILLUSTRATIONEN.	NN
s3	w13	BEARBEITET	BEARBEITET	bearbeiten	VVPP
s3	w14	VON	VON	VON	NE
s3	w15	GEORG	GEORG	Georg	NE
s3	w16	v.	v.	v.	APPRART
s3	w17	MARTENS.	MARTENS.	MARTENS.	NN
s3	w18	BERLIN	BERLIN	Berlin	NE
s3	w19	MDCCCLXVI.	MDCCCLXVI.	Mdccclxvi.	NE
s3	w1a	VERLAG	VERLAG	Verlag	NN
s3	w1b	Der	DER	d	ART
s3	w1c	KÖNIGLICHEN	KÖNIGLICHEN	königlich	ADJA
s3	w1d	GEHEIMEN	GEHEIMEN	geheim	ADJA
s3	w1e	Ober-Hofbuchdruckerei	OBER-HOFBUCHDRUCKEREI	Ober-Hofbuchdruckerei	NN
s3	w1f	(	(	(	$(
s3	w20	R.	R.	R.	NE
s3	w21	v.	v.	v.	APPRART
s3	w22	DECKER	DECKER	Decker	NE
s3	w23	)	)	)	$(
s3	w24	.	.	.	$.
s4	w25	INHALT	INHALT	Inhalt	NN
s4	w26	.	.	.	$.
s5	w27	Seite	Seite	Seite	NN
s6	w28	Einleitung	Einleitung	Einleitung	NN
s6	w29	3	3	3	CARD
s7	w2a	I.	I.	i.	ADJA
s7	w2b	Tange	Tange	Tang	NN
s7	w2c	aus	aus	aus	APPR
s7	w2d	dem	dem	d	ART
s7	w2e	atlantischen	atlantischen	atlantisch	ADJA
s7	w2f	Weltmeer	Weltmeer	Weltmeer	NN
s7	w30	4	4	4	CARD
s8	w31	1.	1.	1.	ADV
s8	w32	Zu	Zu	zu	APPR
s8	w33	Portsmouth	Portsmouth	Portsmouth	NE
s8	w34	gesammelt	gesammelt	sammeln	VVPP
s8	w35	4	4	4	CARD
s9	w36	2.	2.	2.	ADV
s9	w37	Auf	Auf	auf	APPR
s9	w38	Madeira	Madeira	Madeira	NN
s9	w39	gesammelt	gesammelt	sammeln	VVPP
s9	w3a	5	5	5	CARD
sa	w3b	3.	3.	3.	ADV
sa	w3c	Die	Die	d	ART
sa	w3d	Krautsee	Krautsee	Krautsee	NN
sa	w3e	(	(	(	$(
sa	w3f	Sargasso	Sargasso	Sargasso	NE
sa	w40	)	)	)	$(
sa	w41	7	7	7	CARD
sb	w42	Verzeichnis	Verzeichniss	Verzeichnis	NN
