Sent_ID	Token_ID	Corr_token	Orig_token	Lemma	POS
s1	w1	Gottfried	Gottfried	Gottfried	NE
s1	w2	Achenwalls	Achenwalls	Achenwall	NE
s1	w3	ausserord.	auſſerord.	Ausserord.	NE
s1	w4	Lehrers	Lehrers	Lehrer	NN
s1	w5	der	der	d	ART
s1	w6	Weltw.	Weltw.	Weltw.	NN
s1	w7	zu	zu	zu	APPR
s1	w8	Göttingen	Goͤttingen	Göttingen	NE
s1	w9	Abriß	Abriß	Abriß	NN
s1	wa	der	der	d	ART
s1	wb	neuesten	neueſten	neu	ADJA
s1	wc	Staatswissenschaft	Staatswiſſenſchaft	Staatswissenschaft	NN
s1	wd	der	der	d	ART
s1	we	vornehmsten	vornehmſten	vornehm	ADJA
s1	wf	Europäischen	Europaͤiſchen	europäisch	ADJA
s1	w10	Reiche	Reiche	Reiche	NE
s1	w11	und	und	und	KON
s1	w12	Republiken	Republicken	Republik	NN
s1	w13	zum	zum	zum	APPRART
s1	w14	Gebrauch	Gebrauch	Gebrauch	NN
s1	w15	in	in	in	APPR
s1	w16	seinen	ſeinen	seine	PPOSAT
s1	w17	akademischen	Academiſchen	akademisch	ADJA
s1	w18	Vorlesungen	Vorleſungen	Vorlesung	NN
s1	w19	.	.	.	$.
s2	w1a	Göttingen	Goͤttingen	Göttingen	NE
s2	w1b	,	,	,	$,
s2	w1c	bei	bey	bei	APPR
s2	w1d	Joh.	Joh.	Joh.	NE
s2	w1e	Wilhelm	Wilhelm	Wilhelm	NE
s2	w1f	Schmidt	Schmidt	Schmidt	NE
s2	w20	,	,	,	$,
s2	w21	Univ.	Univ.	Univ.	NE
s2	w22	Buchhändl.	Buchhaͤndl.	Buchhändl.	NE
s2	w23	1749	1749	1749	CARD
s2	w24	.	.	.	$.
s3	w25	Dem	Dem	d	ART
s3	w26	Hochgeborenen	Hochgebohrnen	hochgebären	ADJA
s3	w27	Freiherrn	Freyherrn	Freiherr	NN
s3	w28	Herrn	Herrn	Herr	NN
s3	w29	Serlach	Serlach	Serlach	NE
s3	w2a	Adolph	Adolph	Adolph	NE
s3	w2b	von	von	von	APPR
s3	w2c	Münchhausen	Muͤnchhauſen	Münchhausen	NE
s3	w2d	,	,	,	$,
s3	w2e	Königlich	Koͤniglich	königlich	ADJD
s3	w2f	Groß-Britannischen	Groß-Britanniſchen	groß-britannisch	ADJA
s3	w30	und	und	und	KON
s3	w31	Chur-Braunschweig-Lüneburgischen	Chur-Braunſchweig-Luͤneburgiſchen	chur-braunschweig-lüneburgischen	ADJA
s3	w32	Hochbetrauten	Hochbetrauten	Hochbetraute	NN
s3	w33	wirklichen	wuͤrklichen	wirklich	ADJA
s3	w34	Geheimen	Geheimen	geheim	ADJA
s3	w35	Rate	Rathe	Rate	NN
s3	w36	und	und	und	KON
s3	w37	Groß-Voigte	Groß-Voigte	Groß-Voigte	NN
s3	w38	wie	wie	wie	KOKOM
s3	w39	auch	auch	auch	ADV
s3	w3a	der	der	d	ART
s3	w3b	Georg-August-Universität	Georg-Auguſt-Univerſitaͤt	Georg-August-Universität	NN
s3	w3c	Höchstansehnlichen	Hoͤchſtanſehnlichen	höchstansehnlich	ADJA
s3	w3d	und	und	und	KON
s3	w3e	Höchstverdienten	Hoͤchſtverdienten	höchstverdient	ADJA
s3	w3f	Kuratoren	Curatoren	Kurator	NN
s3	w40	Erbherrn	Erbherrn	Erbeherr	NN
s3	w41	auf	auf	auf	APPR
s3	w42	Straussfurt	Strausfurt	Straußfurt	NN
s3	w43	etc	ꝛc	et_cetera	ADV
s3	w44	.	.	.	$.
s4	w45	Meinem	Meinem	meine	PPOSAT
s4	w46	gnädigen	gnaͤdigen	gnädig	ADJA
s4	w47	Herrn	Herrn	Herr	NN
s4	w48	,	,	,	$,
s5	w49	Hochgeborener	Hochgebohrner	hochgebären	ADJA
s5	w4a	Freiherr	Freyherr	Freiherr	NN
s5	w4b	,	,	,	$,
s5	w4c	Gnädiger	Gnaͤdiger	gnädig	ADJA
s5	w4d	Herr	Herr	Herr	NN
s5	w4e	,	,	,	$,
s6	w4f	Eure	Eure	euer	PPOSAT
s6	w50	Hochgeborene	Hochgebohrne	hochgebären	ADJA
s6	w51	Exzellenz	Excellenz	Exzellenz	NN
s6	w52	geruhen	geruhen	geruhen	VVFIN
s6	w53	gnädig	gnaͤdig	gnädig	ADJD
s6	w54	,	,	,	$,
s6	w55	Sich	Sich	sich	PRF
s6	w56	diese	dieſe	diese	PDAT
s6	w57	geringe	geringe	gering	ADJA
s6	w58	Blätter	Blaͤtter	Blatt	NN
s6	w59	von	von	von	APPR
s6	w5a	mir	mir	ich	PPER
s6	w5b	in	in	in	APPR
s6	w5c	untertänigster	unterthaͤnigſter	untertänig	ADJA
s6	w5d	Ehrfurcht	Ehrfurcht	Ehrfurcht	NN
s6	w5e	überreichen	uͤberreichen	überreichen	VVINF
s6	w5f	zu	zu	zu	PTKZU
s6	w60	lassen	laſſen	lassen	VVINF
s6	w61	.	.	.	$.
s7	w62	Es	Es	es	PPER
s7	w63	ist	iſt	sein	VAFIN
s7	w64	Hochdenenselben	Hochdenenſelben	Hochdenenselben	NE
s7	w65	durch	durch	durch	APPR
s7	w66	eine	eine	eine	ART
s7	w67	vieljährige	vieljaͤhrige	vieljährig	ADJA
s7	w68	Gewohnheit	Gewohnheit	Gewohnheit	NN
s7	w69	so	ſo	so	ADV
s7	w6a	natürlich	natuͤrlich	natürlich	ADJD
s7	w6b	geworden	geworden	werden	VAPP
s7	w6c	,	,	,	$,
s7	w6d	alles	alles	alle	PIS
s7	w6e	,	,	,	$,
s7	w6f	was	was	was	PRELS
s7	w70	nur	nur	nur	ADV
s7	w71	einen	einen	eine	ART
s7	w72	Trieb	Trieb	Trieb	NN
s7	w73	zur	zur	zur	APPRART
s7	w74	Gelehrsamkeit	Gelehrſamkeit	Gelehrsamkeit	NN
s7	w75	anzeiget	anzeiget	anzeigen	VVFIN
s7	w76	,	,	,	$,
s7	w77	mit	mit	mit	APPR
s7	w78	huldreichem	huldreichem	huldreich	ADJA
s7	w79	Angesicht	Angeſicht	Angesicht	NN
s7	w7a	aufzunehmen	aufzunehmen	aufnehmen	VVIZU
s7	w7b	,	,	,	$,
s7	w7c	daß	daß	daß	KOUS
s7	w7d	ich	ich	ich	PPER
s7	w7e	befürchten	befuͤrchten	befürchten	VVINF
s7	w7f	müßte	muͤßte	müssen	VMFIN
s7	w80	,	,	,	$,
s7	w81	an	an	an	APPR
s7	w82	Hochderen	Hochdero	hochdie	PRELAT
s7	w83	nie	nie	nie	ADV
s7	w84	genug	genug	genug	ADV
s7	w85	zu	zu	zu	APPR
s7	w86	preisenden	preiſenden	preisend	ADJA
s7	w87	Leutseligkeit	Leutſeeligkeit	Leutseligkeit	NN
s7	w88	mich	mich	ich	PPER
s7	w89	zu	zu	zu	PTKZU
s7	w8a	versündigen	verſuͤndigen	versündigen	VVINF
s7	w8b	,	,	,	$,
s7	w8c	wenn	wenn	wenn	KOUS
s7	w8d	ich	ich	ich	PPER
s7	w8e	Entschuldigungen	Entſchuldigungen	Entschuldigung	NN
s7	w8f	darüber	daruͤber	darüber	PAV
s7	w90	machen	machen	machen	VVINF
s7	w91	wollte	wollte	wollen	VMFIN
s7	w92	,	,	,	$,
s7	w93	daß	daß	daß	KOUS
s7	w94	ich	ich	ich	PPER
s7	w95	mich	mich	mich	PRF
s7	w96	erkühnet	erkuͤhnet	erkühnen	VVFIN
s7	w97	,	,	,	$,
s7	w98	Deren	Dero	die	PDS
s7	w99	Erlauchten	Erlauchten	erlaucht	ADJA
s7	w9a	Rahmen	Ramen	Rahmen	NN
s7	w9b	gegenwärtiger	gegenwaͤrtiger	gegenwärtig	ADJA
s7	w9c	Schrift	Schrift	Schrift	NN
s7	w9d	vorzusetzen	vorzuſetzen	vorsetzen	VVIZU
s7	w9e	.	.	.	$.
s8	w9f	Das	Das	d	ART
s8	wa0	Vertrauen	Vertrauen	Vertrauen	NN
s8	wa1	auf	auf	auf	APPR
s8	wa2	diese	dieſe	diese	PDAT
s8	wa3	verehrungswürdige	verehrungswuͤrdige	verehrungswürdig	ADJA
s8	wa4	Huld	Huld	Huld	NN
s8	wa5	könnte	koͤnnte	können	VMFIN
s8	wa6	mir	mir	ich	PPER
