Sent_ID	Token_ID	Corr_token	Orig_token	Lemma	POS
s1	w1	Die	Die	d	ART
s1	w2	ganze	ganze	ganz	ADJA
s1	w3	Natürliche	Natuͤrliche	natürlich	ADJA
s1	w4	Weisheit	Weisheit	Weisheit	NN
s1	w5	im	im	im	APPRART
s1	w6	Privatstande	Privatſtande	Privatstand	NN
s1	w7	der	der	d	ART
s1	w8	gesitteten	geſitteten	gesittet	ADJA
s1	w9	Bürger	Buͤrger	Bürger	NN
s1	wa	von	von	von	APPR
s1	wb	Johann	Johann	Johann	NE
s1	wc	Bernhard	Bernhard	Bernhard	NE
s1	wd	Basedow	Baſedow	Basedow	NE
s1	we	P.	P.	p.	FM
s1	wf	P.	P.	p.	FM
s1	w10	Gedruckt	Gedruckt	drucken	VVPP
s1	w11	in	in	in	APPR
s1	w12	Altona	Altona	Altona	NE
s1	w13	bei	bey	bei	APPR
s1	w14	Spierrings	Spieringks	Spierring	NN
s1	w15	Witwe	Wittwe	Witwe	NN
s1	w16	.	.	.	$.
s1	w17	In	Jn	in	APPR
s1	w18	Kommission	Commißion	Kommission	NN
s1	w19	bei	bey	bei	APPR
s1	w1a	Curte	Curte	Curte	NE
s1	w1b	in	in	in	APPR
s1	w1c	Halle	Halle	Halle	NE
s1	w1d	.	.	.	$.
s2	w1e	An	An	an	APPR
s2	w1f	den	den	d	ART
s2	w20	Durchlauchtigsten	Durchlauchtigſten	durchlauchtig	ADJA
s2	w21	und	und	und	KON
s2	w22	gnädigsten	gnaͤdigſten	gnädig	ADJA
s2	w23	Erbprinzen	Erbprinzen	Erbeprinz	NN
s2	w24	von	von	von	APPR
s2	w25	Braunschweig-	Braunſchweig-	braunschweig-	TRUNC
s2	w26	Lüneburg	Luͤneburg	Lüneburg	NE
s2	w27	etc.	ꝛc.	etc.	ADV
s2	w28	etc.	ꝛc.	etc.	ADV
s2	w29	etc	ꝛc	et_cetera	ADV
s2	w2a	.	.	.	$.
s55	wbda	Durchlauchtigster	Durchlauchtigſter	durchlauchtig	ADJA
s55	wbdb	Erbprinz	Erbprinz	Erbeprinz	NN
s55	wbdc	,	,	,	$,
s55	wbdd	Gnädigster	Gnaͤdigſter	gnädig	ADJA
s55	wbde	Fürst	Fuͤrſt	Fürst	NN
s55	wbdf	und	und	und	KON
s55	wbe0	Herr	Herr	Herr	NN
s55	wbe1	,	,	,	$,
s3	w2b	Zu	Zu	zu	APPR
s3	w2c	der	der	d	ART
s3	w2d	Höhe	Hoͤhe	Höhe	NN
s3	w2e	,	,	,	$,
s3	w2f	worauf	worauf	worauf	PWAV
s3	w30	Gott	Gott	Gott	NN
s3	w31	Ew.	Ew.	Ew.	NE
s3	w32	Durchlauchten	Durchlauchten	Durchlaucht	NN
s3	w33	gesetzt	geſetzt	setzen	VVPP
s3	w34	hat	hat	haben	VAFIN
s3	w35	,	,	,	$,
s3	w36	würde	wuͤrde	werden	VAFIN
s3	w37	ich	ich	ich	PPER
s3	w38	nicht	nicht	nicht	PTKNEG
s3	w39	wagen	wagen	wagen	VVINF
s3	w3a	,	,	,	$,
s3	w3b	ein	ein	eine	ART
s3	w3c	Buch	Buch	Buch	NN
s3	w3d	,	,	,	$,
s3	w3e	welches	welches	welche	PRELS
s3	w3f	nur	nur	nur	ADV
s3	w40	dem	dem	d	ART
s3	w41	Privatstande	Privatſtande	Privatstand	NN
s3	w42	zum	zum	zum	APPRART
s3	w43	Besten	Beſten	Besten	NN
s3	w44	geschrieben	geſchrieben	schreiben	VVPP
s3	w45	ist	iſt	sein	VAFIN
s3	w46	,	,	,	$,
s3	w47	ehrerbietigst	ehrerbietigſt	ehrerbietig	ADJD
s3	w48	empor	empor	empor	PTKVZ
s3	w49	zu	zu	zu	PTKZU
s3	w4a	halten	halten	halten	VVINF
s3	w4b	,	,	,	$,
s3	w4c	wenn	wenn	wenn	KOUS
s3	w4d	ich	ich	ich	PPER
s3	w4e	nicht	nicht	nicht	PTKNEG
s3	w4f	aus	aus	aus	APPR
s3	w50	den	den	d	ART
s3	w51	sichersten	ſicherſten	sicher	ADJA
s3	w52	Beweisen	Beweiſen	Beweis	NN
s3	w53	überzeugt	uͤberzeugt	überzeugen	VVPP
s3	w54	wäre	waͤre	sein	VAFIN
s3	w55	,	,	,	$,
s3	w56	daß	daß	daß	KOUS
s3	w57	Sie	Sie	sie	PPER
s3	w58	wegen	wegen	wegen	APPR
s3	w59	der	der	d	ART
s3	w5a	übrigen	uͤbrigen	übrig	ADJA
s3	w5b	,	,	,	$,
s3	w5c	eben	eben	eben	ADV
s3	w5d	so	ſo	so	ADV
s3	w5e	wichtigen	wichtigen	wichtig	ADJA
s3	w5f	Fürstentugenden	Fuͤrſtentugenden	Fürstentugend	NN
s3	w60	,	,	,	$,
s3	w61	Sich	Sich	sich	PRF
s3	w62	im	im	im	APPRART
s3	w63	gleichen	gleichen	gleich	ADJA
s3	w64	Grade	Grade	Grad	NN
s3	w65	den	den	d	ART
s3	w66	Namen	Namen	Name	NN
s3	w67	eines	eines	eine	ART
s3	w68	Helden	Helden	Held	NN
s3	w69	erwerben	erwerben	erwerben	VVINF
s3	w6a	,	,	,	$,
s3	w6b	als	als	als	KOUS
s3	w6c	Sie	Sie	sie	PPER
s3	w6d	von	von	von	APPR
s3	w6e	ganz	ganz	ganz	ADV
s3	w6f	Europa	Europa	Europa	NE
s3	w70	,	,	,	$,
s3	w71	wegen	wegen	wegen	APPR
s3	w72	kriegerischer	kriegeriſcher	kriegerisch	ADJA
s3	w73	Helden-Taten	Helden-Thaten	Helden-Tat	NN
s3	w74	Ihres	Jhres	ihr	PPOSAT
s3	w75	von	von	von	APPR
s3	w76	Einsicht	Einſicht	Einsicht	NN
s3	w77	geleiteten	geleiteten	geleitet	ADJA
s3	w78	Mutes	Muthes	Mut	NN
s3	w79	,	,	,	$,
s3	w7a	schon	ſchon	schon	ADV
s3	w7b	viele	viele	viel	PIAT
s3	w7c	Jahre	Jahre	Jahr	NN
s3	w7d	bewundert	bewundert	bewundern	VVPP
s3	w7e	werden	werden	werden	VAINF
s3	w7f	.	.	.	$.
s4	w80	Einem	Einem	eine	ART
s4	w81	Fürsten	Fuͤrſten	Fürst	NN
s4	w82	von	von	von	APPR
s4	w83	solchem	ſolchem	solch	PIAT
s4	w84	Geiste	Geiſte	Geist	NN
s4	w85	und	und	und	KON
s4	w86	Herzen	Herzen	Herz	NN
s4	w87	ist	iſt	sein	VAFIN
s4	w88	ein	ein	eine	ART
s4	w89	Hilfsmittel	Huͤlfsmittel	Hilfsmittel	NN
s4	w8a	der	der	d	ART
s4	w8b	Weisheit	Weisheit	Weisheit	NN
s4	w8c	des	des	d	ART
s4	w8d	Bürgerlichen	Buͤrgerlichen	bürgerlich	ADJA
s4	w8e	Privatstandes	Privatſtandes	Privatstand	NN
s4	w8f	,	,	,	$,
s4	w90	wenn	wenn	wenn	KOUS
s4	w91	es	es	es	PPER
s4	w92	seinen	ſeinen	seine	PPOSAT
s4	w93	Titel	Titel	Titel	NN
s4	w94	verdient	verdient	verdienen	VVPP
s4	w95	,	,	,	$,
s4	w96	keineswegs	keinesweges	keineswegs	ADV
s4	w97	gleichgültig	gleichguͤltig	gleichgültig	ADJD
s4	w98	.	.	.	$.
s5	w99	Er	Er	er	PPER
s5	w9a	ist	iſt	sein	VAFIN
s5	w9b	nicht	nicht	nicht	PTKNEG
s5	w9c	nur	nur	nur	ADV
s5	w9d	überzeugt	uͤberzeugt	überzeugen	VVPP
s5	w9e	,	,	,	$,
s5	w9f	daß	daß	daß	KOUS
s5	wa0	der	der	d	ART
s5	wa1	erhabene	erhabne	erhaben	ADJA
s5	wa2	Stand	Stand	Stand	NN
s5	wa3	der	der	d	ART
s5	wa4	Fürsten	Fuͤrſten	Fürst	NN
s5	wa5	um	um	um	APPR
s5	wa6	der	der	d	ART
s5	wa7	zahlreichsten	zahlreichſten	zahlreich	ADJA
s5	wa8	Stände	Staͤnde	Stand	NN
s5	wa9	Willen	willen	Willen	NN
s5	waa	da	da	da	ADV
s5	wab	sei	ſey	sein	VAFIN
s5	wac	,	,	,	$,
s5	wad	sondern	ſondern	sondern	KON
s5	wae	Er	Er	er	PPER
s5	waf	läßt	laͤßt	lassen	VVFIN
s5	wb0	es	es	es	PPER
s5	wb1	Sich	Sich	sich	PRF
