Sent_ID	Token_ID	Corr_token	Orig_token	Lemma	POS
s1	w1	Der	Der	die	PDS
s1	w2	verliebte	verliebte	verlieben	VVFIN
s1	w3	Europeer	Europęer	Europeer	NN
s1	w4	,	,	,	$,
s1	w5	Oder	Oder	oder	KON
s1	w6	Wahrhaftige	Warhafftige	wahrhaftig	ADJA
s1	w7	Liebes-Roman	Liebes-Roman	Liebes-Roman	NN
s1	w8	/	/	/	$(
s1	w9	In	Jn	in	APPR
s1	wa	welchen	welchen	welchen	PWAT
s1	wb	Alexandri	Alexandri	Alexandri	NN
s1	wc	Liebesgeschichte	Liebesgeſchichte	Liebesgeschichte	NN
s1	wd	/	/	/	$(
s1	we	und	und	und	KON
s1	wf	tapfere	tapfere	tapfer	ADJA
s1	w10	Helden-Taten	Helden-Thathen	Helden-Tat	NN
s1	w11	/	/	/	$(
s1	w12	womit	womit	womit	PWAV
s1	w13	er	er	er	PPER
s1	w14	nicht	nicht	nicht	PTKNEG
s1	w15	alleine	alleine	alleine	ADV
s1	w16	sich	ſich	sich	PRF
s1	w17	bei	bey	bei	APPR
s1	w18	den	den	d	ART
s1	w19	Frauenzimmer	Frauenzimmer	Frauenzimmer	NN
s1	w1a	beliebt	beliebt	beliebt	ADJD
s1	w1b	gemacht	gemacht	machen	VVPP
s1	w1c	/	/	/	$(
s1	w1d	sondern	ſondern	sondern	KON
s1	w1e	auch	auch	auch	ADV
s1	w1f	in	in	in	APPR
s1	w20	Besichtigung	Beſichtigung	Besichtigung	NN
s1	w21	unterschiedliche	unterſchiedliche	unterschiedlich	ADJA
s1	w22	Königreiche	Koͤnigreiche	Königreich	NN
s1	w23	in	in	in	APPR
s1	w24	Europa	Europa	Europa	NE
s1	w25	/	/	/	$(
s1	w26	deren	dero	die	PRELAT
s1	w27	vornehmsten	vornehmſten	vornehm	ADJA
s1	w28	Staats-Maximen	Staats-Maximen	Staats-Maxime	NN
s1	w29	angemerkt	angemercket	anmerken	VVPP
s1	w2a	/	/	/	$(
s1	w2b	begriffen	begriffen	begreifen	VVPP
s1	w2c	/	/	/	$(
s1	w2d	Allem	Allem	alle	PIAT
s1	w2e	Kuriosen	Curioſen	kurios	ADJA
s1	w2f	Frauenzimmer	Frauenzimmer	Frauenzimmer	NN
s1	w30	/	/	/	$(
s1	w31	und	und	und	KON
s1	w32	klugen	klugen	klug	ADJA
s1	w33	Hoff-Leuten	Hoff-Leuten	Hoff-Leute	NN
s1	w34	zu	zu	zu	APPR
s1	w35	sonderbaren	ſonderbaren	sonderbar	ADJA
s1	w36	Nutz	Nutz	Nutz	NN
s1	w37	/	/	/	$(
s1	w38	zusammen	zuſammen	zusammen	ADV
s1	w39	getragen	getragen	tragen	VVPP
s1	w3a	/	/	/	$(
s1	w3b	durch	durch	durch	APPR
s1	w3c	Alexandri	Alexandri	Alexandri	NE
s1	w3d	guten	guten	gut	ADJA
s1	w3e	Freund	Freund	Freund	NN
s1	w3f	/	/	/	$(
s1	w40	welcher	welcher	welche	PRELS
s1	w41	sonst	ſonſt	sonst	ADV
s1	w42	genannt	genant	nennen	VVPP
s1	w43	wird	wird	werden	VAFIN
s1	w44	AMANDUS	AMANDUS	amandus	FM
s1	w45	de	de	de	FM
s1	w46	AMANTO	AMANTO	amanto	FM
s1	w47	.	.	.	$.
s2	w48	Gedruckt	Gedruckt	drucken	VVPP
s2	w49	in	in	in	APPR
s2	w4a	Wien	Wien	Wien	NE
s2	w4b	/	/	/	$(
s2	w4c	und	und	und	KON
s2	w4d	von	von	von	APPR
s2	w4e	dar	dar	dar	PTKVZ
s2	w4f	zum	zum	zum	APPRART
s2	w50	Verkauf	Verkauff	Verkauf	NN
s2	w51	übersandt	uͤberſandt	übersenden	VVPP
s2	w52	An	An	an	APPR
s2	w53	AUGUSTO	AUGUSTO	Augusto	NE
s2	w54	BOETIO	BOETIO	Boetio	NE
s2	w55	,	,	,	$,
s2	w56	Buchhände	Buchhaͤnd	Buchhand	NN
s2	w57	.	.	.	$.
s2	w58	in	in	in	APPR
s2	w59	Gotha	Gotha	Gotha	NE
s2	w5a	/	/	/	$(
s2	w5b	1682	1682	1682	CARD
s2	w5c	.	.	.	$.
s1e	w476	Zuschrift	Zuſchrifft	Zuschrift	NN
s1e	w477	An	An	an	APPR
s1e	w478	das	das	d	ART
s1e	w479	Hochlöbliche	Hochloͤbliche	hochlöblich	ADJA
s1e	w47a	Europäische	Europæiſche	europäisch	ADJA
s1e	w47b	und	und	und	KON
s1e	w47c	absonderlich	abſonderlich	absonderlich	ADJD
s1e	w47d	weltberühmte	weltberuͤhmte	weltberühmt	ADJA
s1e	w47e	Leipziger	Leipziger	Leipziger	ADJA
s1e	w47f	Frauenzimmer	Frauenzimmer	Frauenzimmer	NN
s1e	w480	.	.	.	$.
s3	w5d	Es	ES	es	PPER
s3	w5e	hat	hat	haben	VAFIN
s3	w5f	der	der	d	ART
s3	w60	verliebte	verliebte	verlieben	VVFIN
s3	w61	Europaer	Europær	Europaer	NN
s3	w62	etliche	etliche	etliche	PIAT
s3	w63	Jahre	Jahre	Jahr	NN
s3	w64	nach	nach	nach	APPR
s3	w65	einander	einander	einander	PRF
s3	w66	/	/	/	$(
s3	w67	in	in	in	APPR
s3	w68	Besichtigung	Beſichtigung	Besichtigung	NN
s3	w69	der	der	d	ART
s3	w6a	vornehmsten	vornehmſten	vornehm	ADJA
s3	w6b	Länder	Laͤnder	Land	NN
s3	w6c	in	in	in	APPR
s3	w6d	Europa	Europa	Europa	NE
s3	w6e	zugebracht	zugebracht	zubringen	VVPP
s3	w6f	/	/	/	$(
s3	w70	und	und	und	KON
s3	w71	absonderlich	abſonderlich	absonderlich	ADJD
s3	w72	seine	ſeine	seine	PPOSAT
s3	w73	höchste	hoͤchſte	hoch	ADJA
s3	w74	Vergnügung	Vergnuͤgung	Vergnügung	NN
s3	w75	in	in	in	APPR
s3	w76	Conversation	Converſation	Conversation	NE
s3	w77	mit	mit	mit	APPR
s3	w78	schönen	ſchoͤnen	schön	ADJA
s3	w79	und	und	und	KON
s3	w7a	tugendsamen	tugendſamen	tugendsam	ADJA
s3	w7b	Frauenzimmer	Frauenzim̃er	Frauenzimmer	NN
s3	w7c	gesucht	geſuchet	suchen	VVPP
s3	w7d	/	/	/	$(
s3	w7e	da	da	da	KOUS
s3	w7f	ihm	ihm	er	PPER
s3	w80	denn	denn	denn	ADV
s3	w81	keines	keines	keine	PIS
s3	w82	besser	beſſer	gut	ADJD
s3	w83	als	als	als	KOKOM
s3	w84	das	das	d	ART
s3	w85	Deutsche	Teutſche	Deutsche	NN
s3	w86	gefallen	gefallen	gefallen	VVPP
s3	w87	/	/	/	$(
s3	w88	und	und	und	KON
s3	w89	absonderlich	abſonderlich	absonderlich	ADJD
s3	w8a	wie	wie	wie	KOKOM
s3	w8b	er	er	er	PPER
s3	w8c	vergangene	vergangene	vergangen	ADJA
s3	w8d	Michaelis-	Michaelis-	michaelis-	TRUNC
s3	w8e	Messe	Meſſe	Messe	NN
s3	w8f	/	/	/	$(
s3	w90	in	in	in	APPR
s3	w91	die	die	d	ART
s3	w92	weltberühmte	weltberuͤhmte	weltberühmt	ADJA
s3	w93	Stadt	Stadt	Stadt	NN
s3	w94	Leipzig	Leipzig	Leipzig	NE
s3	w95	kommen	kommen	kommen	VVFIN
s3	w96	/	/	/	$(
s3	w97	hat	hat	haben	VAFIN
s3	w98	ihn	ihn	er	PPER
s3	w99	das	das	d	ART
s3	w9a	Frauenzimmer	Frauenzimmer	Frauenzimmer	NN
s3	w9b	in	in	in	APPR
s3	w9c	selbiger	ſelbiger	selbig	ADJA
s3	w9d	Stadt	Stadt	Stadt	NN
s3	w9e	so	ſo	so	ADV
s3	w9f	sehr	ſehr	sehr	ADV
s3	wa0	vergnüget	vergnuͤget	vergnügen	VVFIN
s3	wa1	/	/	/	$(
s3	wa2	daß	daß	daß	KOUS
s3	wa3	er	er	er	PPER
s3	wa4	auch	auch	auch	ADV
s3	wa5	so	ſo	so	ADV
s3	wa6	kühn	kuͤhn	kühn	ADJD
s3	wa7	gewesen	geweſen	sein	VAPP
s3	wa8	/	/	/	$(
s3	wa9	diesen	dieſen	diese	PDAT
s3	waa	geringen	geꝛingen	gering	ADJA
s3	wab	Roman	Roman	Roman	NN
s3	wac	/	/	/	$(
s3	wad	dem	dem	d	ART
s3	wae	Hochtugend-Edlen	Hochtugend-Edlen	hochtugend-edel	ADJA
s3	waf	Leipziger	Leipziger	Leipziger	ADJA
s3	wb0	Frauenzimmer	Frauenzimmer	Frauenzimmer	NN
s3	wb1	zu	zu	zu	PTKZU
s3	wb2	dedizieren	dediciren	dedizieren	VVINF
s3	wb3	.	.	.	$.
s4	wb4	Denn	Denn	denn	KON
s4	wb5	warum	warum	warum	PWAV
s4	wb6	sollten	ſolten	sollen	VMFIN
s4	wb7	so	ſo	so	ADV
s4	wb8	hochschätzbare	hochſchaͤtzbare	hochschätzbar	ADJA
s4	wb9	Kreaturen	Creaturen	Kreatur	NN
s4	wba	einem	einem	eine	ART
s4	wbb	kuriosen	curioſen	kurios	ADJA
s4	wbc	Liebhaber	Liebhaber	Liebhaber	NN
s4	wbd	nicht	nicht	nicht	PTKNEG
s4	wbe	Vergnügung	Vergnuͤgung	Vergnügung	NN
s4	wbf	erwecken	erwecken	erwecken	VVINF
s4	wc0	können	koͤnnen	können	VMINF
s4	wc1	.	.	.	$.
s5	wc2	Ihre	Jhre	ihr	PPOSAT
s5	wc3	Schönheit	Schoͤnheit	Schönheit	NN
s5	wc4	abzubilden	abzubilden	abbilden	VVIZU
s5	wc5	/	/	/	$(
s5	wc6	müssen	muͤſſen	müssen	VMFIN
s5	wc7	ja	ja	ja	ADV
s5	wc8	auch	auch	auch	ADV
s5	wc9	die	die	d	ART
s5	wca	künstlichsten	allerkuͤnſtlichſten	künstlich	ADJA
s5	wcb	Maler	Mahler	Maler	NN
s5	wcc	mit	mit	mit	APPR
s5	wcd	aller	aller	alle	PIAT
s5	wce	ihrer	ihrer	ihr	PPOSAT
s5	wcf	Kunst	Kunſt	Kunst	NN
s5	wd0	zu	zu	zu	APPR
s5	wd1	Schanden	Schanden	Schande	NN
s5	wd2	werden	werden	werden	VAINF
s5	wd3	/	/	/	$(
s5	wd4	und	und	und	KON
s5	wd5	die	die	d	ART
s5	wd6	sonst	ſonſt	sonst	ADV
s5	wd7	aller	aller	alle	PIAT
