Sent_ID	Token_ID	Corr_token	Orig_token	Lemma	POS
s1	w1	Doct.	Doct.	Doct.	NN
s1	w2	Joh.	Joh.	Joh.	NE
s1	w3	Joachim	Joachim	Joachim	NE
s1	w4	Bechers	Bechers	Becher	NE
s1	w5	Röm.	Roͤm.	Röm.	NE
s1	w6	Kays.	Kayſ.	Kays.	NE
s1	w7	Maj.	Maj.	Maj.	NE
s1	w8	Cammer-	Cammer-	cammer-	TRUNC
s1	w9	und	und	und	KON
s1	wa	Kommerzienrats	Commercien-Raths	Kommerzienrat	NN
s1	wb	Närrische	Naͤrriſche	närrisch	ADJA
s1	wc	Weißheit	Weiſzheit	Weißheit	NN
s1	wd	Und	Und	und	KON
s1	we	Weise	Weiſe	Weise	NN
s1	wf	Narrheit	Narꝛheit	Narrheit	NN
s1	w10	:	:	:	$.
s1	w11	Oder	Oder	oder	KON
s1	w12	Ein	Ein	eine	ART
s1	w13	Hundert	Hundert	hundert	CARD
s1	w14	/	/	/	$(
s1	w15	so	ſo	so	ADV
s1	w16	Politische	Politiſche	politisch	ADJA
s1	w17	als	alß	als	KOKOM
s1	w18	physikalische	Phyſicaliſche	physikalisch	ADJA
s1	w19	/	/	/	$(
s1	w1a	Mechanische	Mechaniſche	mechanisch	ADJA
s1	w1b	und	und	und	KON
s1	w1c	Merkantilische	Mercantiliſche	merkantilisch	ADJA
s1	w1d	Konzepten	Concepten	Konzept	NN
s1	w1e	und	und	und	KON
s1	w1f	Propositionen	Propoſitionen	Proposition	NN
s1	w20	/	/	/	$(
s1	w21	Deren	Deren	die	PDS
s1	w22	etliche	etliche	etliche	PIS
s1	w23	gut	gut	gut	ADJD
s1	w24	getan	gethan	tun	VVPP
s1	w25	/	/	/	$(
s1	w26	etliche	etliche	etliche	PIS
s1	w27	zu	zu	zu	APPR
s1	w28	nichts	nichts	nichts	PIS
s1	w29	worden	worden	werden	VAPP
s1	w2a	/	/	/	$(
s1	w2b	samt	Sampt	samt	APPR
s1	w2c	den	den	d	ART
s1	w2d	Ursachen	Urſachen	Ursache	NN
s1	w2e	/	/	/	$(
s1	w2f	Umständen	Umbſtaͤnden	Umstand	NN
s1	w30	und	und	und	KON
s1	w31	Beschreibungen	Beſchreibungen	Beschreibung	NN
s1	w32	derselben	derſelben	dieselbe	PDAT
s1	w33	.	.	.	$.
s2	w34	Ein	Ein	eine	ART
s2	w35	Tractätlein	Tractaͤtlein	Tractätlein	NN
s2	w36	vor	vor	vor	APPR
s2	w37	die	die	d	ART
s2	w38	Liebhaber	Liebhaber	Liebhaber	NN
s2	w39	/	/	/	$(
s2	w3a	sehr	ſehr	sehr	ADV
s2	w3b	kurios	curios	kurios	ADJD
s2	w3c	und	und	und	KON
s2	w3d	nützlich	nuͤtzlich	nützlich	ADJD
s2	w3e	zu	zu	zu	PTKZU
s2	w3f	lesen	leſen	lesen	VVINF
s2	w40	/	/	/	$(
s2	w41	als	als	als	KON
s2	w42	worin	worinnen	worin	PWAV
