Sent_ID	Token_ID	Corr_token	Orig_token	Lemma	POS
s1	w1	Das	Das	d	ART
s1	w2	vierte	Vierdte	viert	ADJA
s1	w3	Buch	Buch	Buch	NN
s1	w4	vom	vom	vom	APPRART
s1	w5	wahren	wahren	wahr	ADJA
s1	w6	Christentum	Chriſtenthumb	Christentum	NN
s1	w7	/	/	/	$(
s1	w8	Lieber	Liber	lieb	ADJD
s1	w9	Naturae	Naturæ	Naturae	NE
s1	wa	.	.	.	$.
s2	wb	Wie	Wie	wie	PWAV
s2	wc	das	das	d	ART
s2	wd	große	groſſe	groß	ADJA
s2	we	Weltbuch	Weltbuch	Weltbuch	NN
s2	wf	der	der	d	ART
s2	w10	Natur	Natur	Natur	NN
s2	w11	/	/	/	$(
s2	w12	nach	nach	nach	APPR
s2	w13	Christlicher	Chriſtlicher	christlich	ADJA
s2	w14	Auslegung	Außlegung	Auslegung	NN
s2	w15	/	/	/	$(
s2	w16	von	von	von	APPR
s2	w17	Gott	Gott	Gott	NN
s2	w18	zeuget	zeuget	zeugen	VVFIN
s2	w19	/	/	/	$(
s2	w1a	und	vnd	und	KON
s2	w1b	zu	zu	zu	APPR
s2	w1c	Gott	Gott	Gott	NN
s2	w1d	führt	fuͤhret	führen	VVFIN
s2	w1e	/	/	/	$(
s2	w1f	wie	wie	wie	KOKOM
s2	w20	auch	auch	auch	ADV
s2	w21	alle	alle	alle	PIAT
s2	w22	Menschen	Menſchen	Mensch	NN
s2	w23	Gott	Gott	Gott	NN
s2	w24	zu	zu	zu	PTKZU
s2	w25	lieben	lieben	lieben	VVINF
s2	w26	/	/	/	$(
s2	w27	durch	durch	durch	APPR
s2	w28	die	die	d	ART
s2	w29	Kreaturen	Creaturen	Kreatur	NN
s2	w2a	gereizt	gereitzet	gereizt	ADJD
s2	w2b	/	/	/	$(
s2	w2c	und	vnd	und	KON
s2	w2d	durch	durch	durch	APPR
s2	w2e	ihr	jhr	ihr	PPOSAT
s2	w2f	eigen	eigen	eigen	ADJD
s2	w30	Herz	Hertz	Herz	NN
s2	w31	überzeuget	vberzeuget	überzeugen	VVFIN
s2	w32	werden	werden	werden	VAINF
s2	w33	.	.	.	$.
s3	w34	Durch	Durch	durch	APPR
s3	w35	Johannes	Johannem	Johannes	NE
s3	w36	Arndt	Arndt	Arndt	NE
s3	w37	/	/	/	$(
s3	w38	Pfarrern	Pfarꝛern	Pfarrer	NN
s3	w39	der	der	d	ART
s3	w3a	Kirchen	Kirchen	Kirche	NN
s3	w3b	S.	S.	S.	NE
s3	w3c	Andreä	Andreæ	Andreä	NE
s3	w3d	in	in	in	APPR
s3	w3e	Eisleben	Eißleben	Eisleben	NE
s3	w3f	.	.	.	$.
s4	w40	Matth.	Matth.	Matth.	NE
s4	w41	6.	6.	6.	ADJA
s4	w42	Schauet	Schawet	schauen	VVFIN
s4	w43	die	die	d	ART
s4	w44	Lilien	Lilien	Lilie	NN
s4	w45	auf	auff	auf	APPR
s4	w46	dem	dem	d	ART
s4	w47	Felde	Felde	Feld	NN
s4	w48	wie	wie	wie	KOKOM
s4	w49	sie	ſie	sie	PPER
s4	w4a	wachsen	wachſen	wachsen	VVINF
s4	w4b	.	.	.	$.
s5	w4c	Psalm	Pſalm	Psalm	NN
s5	w4d	.	.	.	$.
s6	w4e	94.	94.	94.	ADV
s6	w4f	Der	Der	d	ART
s6	w50	das	das	d	ART
s6	w51	Ohr	Ohr	Ohr	NN
s6	w52	gepflanzt	gepflantzet	pflanzen	VVPP
s6	w53	hat	hat	haben	VAFIN
s6	w54	/	/	/	$(
s6	w55	sollt	ſolt	sollen	VMFIN
s6	w56	der	der	d	ART
s6	w57	nicht	nit	nicht	PTKNEG
