Sent_ID	Token_ID	Corr_token	Orig_token	Lemma	POS
s4	wb	C.	C.	C.	NE
s4	wc	Finke	Finke	Finke	NE
s4	wd	Gest	geſt	Gest	NE
s4	we	.	.	.	$.
s1	w1	Tagebuch	Tagebuch	Tagebuch	NN
s1	w2	.	.	.	$.
s2	w3	Berlin	Berlin	Berlin	NE
s2	w4	,	,	,	$,
s2	w5	bei	bei	bei	APPR
s2	w6	Ferdinand	Ferdinand	Ferdinand	NE
s2	w7	Tümmler	Dümmler	Tümmler	NE
s2	w8	.	.	.	$.
s3	w9	1835	1835	1835	CARD
s3	wa	.	.	.	$.
s629	wd035	Buch	Buch	Buch	NN
s629	wd036	der	der	d	ART
s629	wd037	Liebe	Liebe	Liebe	NN
s629	wd038	.	.	.	$.
s5	wf	In	In	in	APPR
s5	w10	dieses	dieſes	diese	PDAT
s5	w11	Buch	Buch	Buch	NN
s5	w12	möchte	möcht	mögen	VMFIN
s5	w13	ich	ich	ich	PPER
s5	w14	gern	gern	gern	ADV
s5	w15	schreiben	ſchreiben	schreiben	VVINF
s5	w16	,	,	,	$,
s5	w17	von	von	von	APPR
s5	w18	dem	dem	d	ART
s5	w19	geheimnisvollen	geheimnißvollen	geheimnisvoll	ADJA
s5	w1a	Denken	Denken	Denken	NN
s5	w1b	einsamer	einſamer	einsam	ADJA
s5	w1c	Stunden	Stunden	Stunde	NN
s5	w1d	der	der	d	ART
s5	w1e	Nacht	Nacht	Nacht	NN
s5	w1f	,	,	,	$,
s5	w20	von	von	von	APPR
s5	w21	dem	dem	d	ART
s5	w22	Reifen	Reifen	Reifen	NN
s5	w23	des	des	d	ART
s5	w24	Geistes	Geiſtes	Geist	NN
s5	w25	an	an	an	APPR
s5	w26	der	der	d	ART
s5	w27	Liebe	Liebe	Liebe	NN
s5	w28	wie	wie	wie	KOKOM
s5	w29	an	an	an	APPR
s5	w2a	der	der	d	ART
s5	w2b	Mittagssonne	Mittagsſonne	Mittagssonne	NN
s5	w2c	.	.	.	$.
s6	w2d	Die	Die	d	ART
s6	w2e	Wahrheit	Wahrheit	Wahrheit	NN
s6	w2f	will	will	wollen	VMFIN
s6	w30	ich	ich	ich	PPER
s6	w31	suchen	ſuchen	suchen	VVINF
s6	w32	,	,	,	$,
s6	w33	und	und	und	KON
s6	w34	fordern	fordern	fordern	VVINF
s6	w35	will	will	wollen	VMFIN
s6	w36	ich	ich	ich	PPER
s6	w37	von	von	von	APPR
s6	w38	ihr	ihr	ihr	PPOSAT
s6	w39	die	die	d	ART
s6	w3a	Gegenwart	Gegenwart	Gegenwart	NN
s6	w3b	des	des	d	ART
s6	w3c	Geliebten	Geliebten	Geliebte	NN
s6	w3d	,	,	,	$,
s6	w3e	von	von	von	APPR
s6	w3f	dem	dem	die	PRELS
s6	w40	ich	ich	ich	PPER
s6	w41	wähnen	wähnen	wähnen	VVINF
s6	w42	könnte	könnte	können	VMFIN
s6	w43	er	er	er	PPER
s6	w44	sei	ſei	sein	VAFIN
s6	w45	fern	fern	fern	ADJD
s6	w46	.	.	.	$.
s7	w47	Die	Die	d	ART
s7	w48	Liebe	Liebe	Liebe	NN
s7	w49	ist	iſt	sein	VAFIN
s7	w4a	ein	ein	eine	ART
s7	w4b	inniges	inniges	innig	ADJA
s7	w4c	Ineinandersein	Ineinanderſein	Ineinandersein	NN
s7	w4d	;	;	;	$.
s7	w4e	ich	ich	ich	PPER
s7	w4f	bin	bin	sein	VAFIN
s7	w50	nicht	nicht	nicht	PTKNEG
s7	w51	von	von	von	APPR
s7	w52	dir	dir	du	PPER
s7	w53	getrennt	getrennt	trennen	VVPP
s7	w54	wenn	wenn	wenn	KOUS
s7	w55	es	es	es	PPER
s7	w56	wahr	wahr	wahr	ADJD
s7	w57	ist	iſt	sein	VAFIN
s7	w58	,	,	,	$,
s7	w59	daß	daß	daß	KOUS
s7	w5a	ich	ich	ich	PPER
