Sent_ID	Token_ID	Corr_token	Orig_token	Lemma	POS
s1	w1	Börne's	Börne's	Börne	NE
s1	w2	Briefe	Briefe	Brief	NN
s1	w3	aus	aus	aus	APPR
s1	w4	Paris	Paris	Paris	NE
s1	w5	1830--1831	1830—1831	1830--1831	CARD
s1	w6	.	.	.	$.
s2	w7	Erster	Erſter	Erster	NN
s2	w8	Teil	Theil	Teil	NN
s2	w9	.	.	.	$.
s3	wa	Börne's	Börne's	Börne	NE
s3	wb	Schriften	Schriften	Schrift	NN
s3	wc	1r	1r	1r	CARD
s3	wd	bis	bis	bis	APPR
s3	we	8r	8r	8r	CARD
s3	wf	Band	Band	Band	NN
s3	w10	sind	ſind	sein	VAFIN
s3	w11	bis	bis	bis	ADV
s3	w12	zum	zum	zum	APPRART
s3	w13	Schluß	Schluß	Schluß	NN
s3	w14	der	der	d	ART
s3	w15	Leipziger	Leipziger	Leipziger	ADJA
s3	w16	Ostermesse	Oſtermeſſe	Ostermesse	NN
s3	w17	1832	1832	1832	CARD
s3	w18	noch	noch	noch	ADV
s3	w19	zum	zum	zum	APPRART
s3	w1a	zweiten	zweiten	zweit	ADJA
s3	w1b	Subskriptionspreise	Subſcriptionspreiſe	Subskriptionspreis	NN
s3	w1c	zu	zu	zu	APPR
s3	w1d	6	6	6	CARD
s3	w1e	Thlr.	Thlr.	Thlr.	NN
s3	w1f	zu	zu	zu	PTKZU
s3	w20	bekommen	bekommen	bekommen	VVINF
s3	w21	.	.	.	$.
s4	w22	Dann	Dann	dann	ADV
s4	w23	tritt	tritt	treten	VVFIN
s4	w24	der	der	d	ART
s4	w25	Ladenpreis	Ladenpreis	Ladenpreis	NN
s4	w26	dafür	dafür	dafür	PAV
s4	w27	mit	mit	mit	APPR
s4	w28	8	8	8	CARD
s4	w29	Thlr.	Thlr.	Thlr.	NN
s4	w2a	ein	ein	ein	PTKVZ
s4	w2b	.	.	.	$.
s5	w2c	Gesammelte	Geſammelte	gesammelt	ADJA
s5	w2d	Schriften	Schriften	Schrift	NN
s5	w2e	von	von	von	APPR
s5	w2f	Ludwig	Ludwig	Ludwig	NE
s5	w30	Börne	Boͤrne	Börne	NE
s5	w31	.	.	.	$.
s5	w32	Neunter	Neunter	neunt	ADJA
s5	w33	Theil.	Theil.	Theil.	NN
s5	w34	Hamburg	Hamburg	Hamburg	NE
s5	w35	.	.	.	$.
s6	w36	Bei	Bei	bei	APPR
s6	w37	Hoffmann	Hoffmann	Hoffmann	NE
s6	w38	und	und	und	KON
s6	w39	Campe	Campe	Campe	NE
s6	w3a	.	.	.	$.
s6	w3b	1832	1832	1832	CARD
s6	w3c	.	.	.	$.
s7	w3d	Briefe	Briefe	Brief	NN
s7	w3e	aus	aus	aus	APPR
s7	w3f	Paris	Paris	Paris	NE
s7	w40	1830--1831	1830—1831	1830--1831	CARD
s7	w41	von	von	von	APPR
s7	w42	Ludwig	Ludwig	Ludwig	NE
s7	w43	Börne	Boͤrne	Börne	NE
s7	w44	.	.	.	$.
s7	w45	Erster	Erſter	Erster	NN
s7	w46	Theil.	Theil.	Theil.	NE
s7	w47	Hamburg	Hamburg	Hamburg	NE
s7	w48	.	.	.	$.
s8	w49	Bei	Bei	bei	APPR
s8	w4a	Hoffmann	Hoffmann	Hoffmann	NE
s8	w4b	und	und	und	KON
s8	w4c	Campe	Campe	Campe	NE
s8	w4d	.	.	.	$.
s8	w4e	1832	1832	1832	CARD
s8	w4f	.	.	.	$.
s9	w50	Inhalt	Inhalt	Inhalt	NN
s9	w51	.	.	.	$.
sa	w52	Erster	Erſter	Erster	NN
sa	w53	Brief	Brief	Brief	NN
sa	w54	Seite	Seite	Seite	NN
sa	w55	1	1	1	CARD
sb	w56	Zweiter	Zweiter	zweit	ADJA
sb	w57	Brief	Brief	Brief	NN
sb	w58	--	—	--	$(
sb	w59	4	4	4	CARD
sc	w5a	Dritter	Dritter	dritt	ADJA
sc	w5b	Brief	Brief	Brief	NN
sc	w5c	--	—	--	$(
sc	w5d	8	8	8	CARD
sd	w5e	Vierter	Vierter	Vierter	NN
sd	w5f	Brief	Brief	Brief	NN
sd	w60	--	—	--	$(
sd	w61	14	14	14	CARD
se	w62	Fünfter	Fünfter	fünft	ADJA
se	w63	Brief	Brief	Brief	NN
se	w64	--	—	--	$(
se	w65	29	29	29	CARD
sf	w66	Sechster	Sechster	sechst	ADJA
sf	w67	Brief	Brief	Brief	NN
sf	w68	--	—	--	$(
sf	w69	35	35	35	CARD
s10	w6a	Siebenter	Siebenter	siebent	ADJA
s10	w6b	Brief	Brief	Brief	NN
s10	w6c	--	—	--	$(
s10	w6d	46	46	46	CARD
s11	w6e	Achter	Achter	acht	ADJA
s11	w6f	Brief	Brief	Brief	NN
s11	w70	--	—	--	$(
s11	w71	53	53	53	CARD
s12	w72	Neunter	Neunter	neunt	ADJA
s12	w73	Brief	Brief	Brief	NN
s12	w74	--	—	--	$(
s12	w75	60	60	60	CARD
s13	w76	Zehnter	Zehnter	zehnt	ADJA
s13	w77	Brief	Brief	Brief	NN
s13	w78	--	—	--	$(
s13	w79	65	65	65	CARD
s14	w7a	Eilfter	Eilfter	Eilfter	NE
s14	w7b	Brief	Brief	Brief	NN
s14	w7c	--	—	--	$(
s14	w7d	73	73	73	CARD
s15	w7e	Zwölfter	Zwölfter	zwölft	ADJA
s15	w7f	Brief	Brief	Brief	NN
s15	w80	--	—	--	$(
s15	w81	81	81	81	CARD
s16	w82	Dreizehnter	Dreizehnter	dreizehnt	ADJA
s16	w83	Brief	Brief	Brief	NN
s16	w84	--	—	--	$(
s16	w85	90	90	90	CARD
s17	w86	Vierzehnter	Vierzehnter	vierzehnt	ADJA
s17	w87	Brief	Brief	Brief	NN
s17	w88	--	—	--	$(
s17	w89	98	98	98	CARD
s18	w8a	Fünfzehnter	Funfzehnter	fünfzehnt	ADJA
s18	w8b	Brief	Brief	Brief	NN
s18	w8c	--	—	--	$(
s18	w8d	110	110	110	CARD
s19	w8e	Sechzehnter	Sechszehnter	sechzehnt	ADJA
s19	w8f	Brief	Brief	Brief	NN
s19	w90	--	—	--	$(
s19	w91	116	116	116	CARD
s1a	w92	Siebzehnter	Siebzehnter	siebzehnt	ADJA
s1a	w93	Brief	Brief	Brief	NN
s1a	w94	--	—	--	$(
s1a	w95	124	124	124	CARD
s1b	w96	Achtzehnter	Achtzehnter	achtzehnt	ADJA
s1b	w97	Brief	Brief	Brief	NN
s1b	w98	--	—	--	$(
s1b	w99	129	129	129	CARD
s1c	w9a	Neunzehnter	Neunzehnter	neunzehnt	ADJA
s1c	w9b	Brief	Brief	Brief	NN
s1c	w9c	Seite	Seite	Seite	NN
s1c	w9d	137	137	137	CARD
s1d	w9e	Zwanzigster	Zwanzigſter	zwanzigst	ADJA
s1d	w9f	Brief	Brief	Brief	NN
s1d	wa0	--	—	--	$(
s1d	wa1	147	147	147	CARD
s1e	wa2	Ein	Ein	eine	ART
s1e	wa3	und	und	und	KON
s1e	wa4	zwanzigster	zwanzigſter	zwanzigst	ADJA
s1e	wa5	Brief	Brief	Brief	NN
s1e	wa6	--	—	--	$(
s1e	wa7	155	155	155	CARD
s1f	wa8	Zwei	Zwei	zwei	CARD
s1f	wa9	und	und	und	KON
s1f	waa	zwanzigster	zwanzigſter	zwanzigst	ADJA
s1f	wab	Brief	Brief	Brief	NN
s1f	wac	--	—	--	$(
s1f	wad	163	163	163	CARD
s20	wae	Drei	Drei	drei	CARD
s20	waf	und	und	und	KON
s20	wb0	zwanzigster	zwanzigſter	zwanzigst	ADJA
s20	wb1	Brief	Brief	Brief	NN
s20	wb2	--	—	--	$(
s20	wb3	168	168	168	CARD
s21	wb4	Vier	Vier	vier	CARD
s21	wb5	und	und	und	KON
s21	wb6	zwanzigster	zwanzigſter	zwanzigst	ADJA
s21	wb7	Brief	Brief	Brief	NN
s21	wb8	--	—	--	$(
s21	wb9	172	172	172	CARD
s22	wba	Fünf	Fünf	fünf	CARD
s22	wbb	und	und	und	KON
s22	wbc	zwanzigster	zwanzigſter	zwanzigst	ADJA
s22	wbd	Brief	Brief	Brief	NN
s22	wbe	--	—	--	$(
s22	wbf	183	183	183	CARD
s23	wc0	Sechs	Sechs	sechs	CARD
s23	wc1	und	und	und	KON
s23	wc2	zwanzigster	zwanzigſter	zwanzigst	ADJA
s23	wc3	Brief	Brief	Brief	NN
s23	wc4	--	—	--	$(
s23	wc5	197	197	197	CARD
s24	wc6	Sieben	Sieben	Sieben	NN
s24	wc7	und	und	und	KON
s24	wc8	zwanzigster	zwanzigſter	zwanzigst	ADJA
s24	wc9	Brief	Brief	Brief	NN
s24	wca	--	—	--	$(
s24	wcb	210	210	210	CARD
s25	wcc	Acht	Acht	acht	CARD
s25	wcd	und	und	und	KON
s25	wce	zwanzigster	zwanzigſter	zwanzigst	ADJA
s25	wcf	Brief	Brief	Brief	NN
s25	wd0	--	—	--	$(
s25	wd1	223	223	223	CARD
s988	wb639	Erster	Erſter	Erster	NN
s988	wb63a	Brief	Brief	Brief	NN
s988	wb63b	.	.	.	$.
s26	wd2	Karlsruhe	Karlsruhe	Karlsruhe	NE
s26	wd3	,	,	,	$,
s26	wd4	Sonntag	Sonntag	Sonntag	NN
s26	wd5	den	den	d	ART
s26	wd6	5.	5.	5.	ADJA
s26	wd7	September	September	September	NN
s26	wd8	1830	1830	1830	CARD
s26	wd9	.	.	.	$.
s27	wda	Ich	Ich	ich	PPER
s27	wdb	fange	fange	fangen	VVFIN
s27	wdc	an	an	an	APPR
s27	wdd	den	den	d	ART
s27	wde	guten	guten	gut	ADJA
s27	wdf	Reisegeist	Reiſegeiſt	Reisegeist	NN
s27	we0	zu	zu	zu	PTKZU
s27	we1	spüren	ſpüren	spüren	VVINF
s27	we2	,	,	,	$,
s27	we3	und	und	und	KON
s27	we4	einige	einige	einige	PIS
s27	we5	von	von	von	APPR
s27	we6	der	der	d	ART
s27	we7	Legion	Legion	Legion	NN
s27	we8	Teufel	Teufel	Teufel	NE
s27	we9	,	,	,	$,
s27	wea	die	die	die	PRELS
s27	web	ich	ich	ich	PPER
s27	wec	im	im	im	APPRART
s27	wed	Leibe	Leibe	Leib	NN
s27	wee	habe	habe	haben	VAFIN
s27	wef	,	,	,	$,
s27	wf0	sind	ſind	sein	VAFIN
s27	wf1	schon	ſchon	schon	ADV
s27	wf2	ausgezogen	ausgezogen	ausziehen	VVPP
s27	wf3	.	.	.	$.
s28	wf4	Aber	Aber	aber	KON
s28	wf5	je	je	je	ADV
s28	wf6	näher	näher	nah	ADJD
s28	wf7	ich	ich	ich	PPER
s28	wf8	der	der	d	ART
s28	wf9	französischen	franzöſiſchen	französisch	ADJA
s28	wfa	Grenze	Grenze	Grenze	NN
s28	wfb	komme	komme	kommen	VVFIN
s28	wfc	,	,	,	$,
s28	wfd	je	je	je	ADV
s28	wfe	toller	toller	toll	ADJA
s28	wff	werde	werde	werden	VAFIN
s28	w100	ich	ich	ich	PPER
s28	w101	.	.	.	$.
s29	w102	Weiß	Weiß	wissen	VVFIN
s29	w103	ich	ich	ich	PPER
s29	w104	doch	doch	doch	ADV
s29	w105	jetzt	jetzt	jetzt	ADV
s29	w106	schon	ſchon	schon	ADV
s29	w107	,	,	,	$,
s29	w108	was	was	was	PWS
s29	w109	ich	ich	ich	PPER
s29	w10a	tun	thun	tun	VVINF
s29	w10b	werde	werde	werden	VAFIN
s29	w10c	auf	auf	auf	APPR
s29	w10d	der	der	d	ART
s29	w10e	Kehler	Kehler	Kehler	ADJA
s29	w10f	Brücke	Brücke	Brücke	NN
s29	w110	,	,	,	$,
s29	w111	sobald	ſobald	sobald	KOUS
s29	w112	ich	ich	ich	PPER
s29	w113	der	der	d	ART
s29	w114	letzten	letzten	letzte	ADJA
s29	w115	badischen	badiſchen	badisch	ADJA
s29	w116	Schildwache	Schildwache	Schildwache	NN
s29	w117	den	den	d	ART
s29	w118	Rücken	Rücken	Rücken	NN
s29	w119	zukehre	zukehre	zukehren	VVFIN
s29	w11a	.	.	.	$.
s2a	w11b	Doch	Doch	doch	KON
s2a	w11c	darf	darf	dürfen	VMFIN
s2a	w11d	ich	ich	ich	PPER
s2a	w11e	das	das	d	ART
s2a	w11f	keinem	keinem	keine	PIAT
s2a	w120	Frauenzimmer	Frauenzimmer	Frauenzimmer	NN
s2a	w121	verraten	verrathen	verraten	VVPP
s2a	w122	.	.	.	$.
s2b	w123	Gestern	Geſtern	gestern	ADV
s2b	w124	Abend	Abend	Abend	NN
s2b	w125	war	war	sein	VAFIN
s2b	w126	ich	ich	ich	PPER
s2b	w127	bei	bei	bei	APPR
s2b	w128	S.	S.	S.	NN
s2c	w129	Die	Die	die	PDS
s2c	w12a	hatten	hatten	haben	VAFIN
s2c	w12b	einmal	einmal	einmal	ADV
s2c	w12c	eine	eine	eine	ART
s2c	w12d	Freude	Freude	Freude	NN
s2c	w12e	mich	mich	ich	PPER
s2c	w12f	zu	zu	zu	PTKZU
s2c	w130	sehen	ſehen	sehen	VVINF
s2c	w131	!	!	!	$.
s2d	w132	Sie	Sie	sie	PPER
s2d	w133	wußten	wußten	wissen	VVFIN
s2d	w134	gar	gar	gar	ADV
s2d	w135	nicht	nicht	nicht	PTKNEG
s2d	w136	,	,	,	$,
s2d	w137	was	was	was	PWS
s2d	w138	sie	ſie	sie	PPER
s2d	w139	mir	mir	ich	PPER
s2d	w13a	alles	alles	alle	PIAT
s2d	w13b	Liebes	Liebes	Liebe	NN
s2d	w13c	erzeugen	erzeugen	erzeugen	VVINF
s2d	w13d	sollten	ſollten	sollen	VMFIN
s2d	w13e	,	,	,	$,
s2d	w13f	sie	ſie	sie	PPER
s2d	w140	hätten	hätten	haben	VAFIN
