Sent_ID	Token_ID	Corr_token	Orig_token	Lemma	POS
s1	w1	W.	W.	W.	NE
s1	w2	Bölsche	Bölsche	Bölsche	NE
s1	w3	Das	Das	d	ART
s1	w4	Liebesleben	Liebesleben	Liebesleben	NN
s1	w5	in	in	in	APPR
s1	w6	der	der	d	ART
s1	w7	Natur	Natur	Natur	NN
s1	w8	Eine	Eine	eine	ART
s1	w9	Entwickelungsgeschichte	Entwickelungsgeschichte	Entwickelungsgeschichte	NN
s1	wa	der	der	d	ART
s1	wb	Liebe	Liebe	Liebe	NN
s1	wc	3.	3.	3.	ADJA
s1	wd	Folge	Folge	Folge	NN
s2	we	W.	W.	W.	NE
s2	wf	Bölsche	Bölsche	Bölsche	NE
s2	w10	Das	Das	d	ART
s2	w11	Liebesleben	Liebesleben	Liebesleben	NN
s2	w12	in	in	in	APPR
s2	w13	der	der	d	ART
s2	w14	Natur	Natur	Natur	NN
s2	w15	Eine	Eine	eine	ART
s2	w16	Entwickelungsgeschichte	Entwickelungsgeschichte	Entwickelungsgeschichte	NN
s2	w17	der	der	d	ART
s2	w18	Liebe	Liebe	Liebe	NN
s2	w19	Mit	Mit	mit	APPR
s2	w1a	Buchschmuck	Buchschmuck	Buchschmuck	NN
s2	w1b	von	von	von	APPR
s2	w1c	Müller-Schönefeld	Müller-Schönefeld	Müller-Schönefeld	NN
s2	w1d	1.	1.	1.	ADJA
s2	w1e	bis	bis	bis	KON
s2	w1f	5.	5.	5.	ADJA
s2	w20	Tausend	Tausend	tausend	CARD
s2	w21	Verlegt	Verlegt	verlegen	VVFIN
s2	w22	bei	bei	bei	APPR
s2	w23	Eugen	Eugen	Eugen	NE
s2	w24	Diederichs	Diederichs	Diederichs	NE
s2	w25	,	,	,	$,
s2	w26	Leipzig	Leipzig	Leipzig	NE
s2	w27	1903	1903	1903	CARD
s1478	w1c0df	Vorwort	Vorwort	Vorwort	NN
s3	w28	Diesem	Dieſem	diese	PDAT
s3	w29	Schlußbande	Schlußbande	Schlußbande	NN
s3	w2a	meines	meines	meine	PPOSAT
s3	w2b	Buches	Buches	Buch	NN
s3	w2c	vom	vom	vom	APPRART
s3	w2d	""""	„	""""	$(
s3	w2e	Liebesleben	Liebesleben	Liebesleben	NN
s3	w2f	habe	habe	haben	VAFIN
s3	w30	ich	ich	ich	PPER
s3	w31	nur	nur	nur	ADV
s3	w32	ein	ein	eine	ART
s3	w33	einziges	einziges	einzig	ADJA
s3	w34	kurzes	kurzes	kurz	ADJA
s3	w35	Wort	Wort	Wort	NN
s3	w36	voranzusetzen	voranzuſetzen	voransetzen	VVIZU
s3	w37	.	.	.	$.
s4	w38	Das	Das	d	ART
s4	w39	Wort	Wort	Wort	NN
s4	w3a	Dank	Dank	dank	APPR
s4	w3b	meinen	meinen	meine	PPOSAT
s4	w3c	Lesern	Leſern	Leser	NN
s4	w3d	gegenüber	gegenüber	gegenüber	PTKVZ
s4	w3e	.	.	.	$.
s5	w3f	Mit	Mit	mit	APPR
s5	w40	den	den	d	ART
s5	w41	geringen	geringen	gering	ADJA
s5	w42	Ausnahmen	Ausnahmen	Ausnahme	NN
s5	w43	,	,	,	$,
s5	w44	die	die	die	PRELS
s5	w45	in	in	in	APPR
s5	w46	ihrer	ihrer	ihr	PPOSAT
s5	w47	Weise	Weiſe	Weise	NN
s5	w48	auch	auch	auch	ADV
s5	w49	alle	alle	alle	PIS
s5	w4a	berechtigt	berechtigt	berechtigen	VVPP
s5	w4b	sind	ſind	sein	VAFIN
s5	w4c	in	in	in	APPR
s5	w4d	dem	dem	d	ART
s5	w4e	harten	harten	hart	ADJA
s5	w4f	Ideenkampfe	Ideenkampfe	Ideenkampf	NN
s5	w50	unserer	unſerer	unsere	PPOSAT
s5	w51	Tage	Tage	Tag	NN
s5	w52	und	und	und	KON
s5	w53	von	von	von	APPR
s5	w54	niemand	niemand	niemand	PIS
s5	w55	unbefangener	unbefangener	unbefangen	ADJD
s5	w56	begriffen	begriffen	begreifen	VVPP
s5	w57	werden	werden	werden	VAINF
s5	w58	können	können	können	VMINF
s5	w59	,	,	,	$,
s5	w5a	als	als	als	KOUS
s5	w5b	von	von	von	APPR
s5	w5c	mir	mir	ich	PPER
s5	w5d	selbst	ſelbſt	selbst	ADV
s5	w5e	,	,	,	$,
s5	w5f	--	—	--	$(
s5	w60	ist	iſt	sein	VAFIN
s5	w61	mein	mein	mein	PPOSAT
s5	w62	Werk	Werk	Werk	NN
s5	w63	von	von	von	APPR
s5	w64	der	der	d	ART
s5	w65	Menge	Menge	Menge	NN
s5	w66	seiner	ſeiner	seine	PPOSAT
s5	w67	Leser	Leſer	Leser	NN
s5	w68	so	ſo	so	ADV
s5	w69	vorurteilsfrei	vorurteilsfrei	vorurteilsfrei	ADJD
s5	w6a	und	und	und	KON
s5	w6b	sachlich	ſachlich	sachlich	ADJD
s5	w6c	wohlwollend	wohlwollend	wohlwollend	ADJD
