Sent_ID	Token_ID	Corr_token	Orig_token	Lemma	POS
s1	w1	Aus	Aus	aus	APPR
s1	w2	meinem	meinem	meine	PPOSAT
s1	w3	Bühnenleben	Bühnenleben	Bühnenleben	NN
s1	w4	.	.	.	$.
s2	w5	Aus	Aus	aus	APPR
s2	w6	meinem	meinem	meine	PPOSAT
s2	w7	Bühnenleben	Bühnenleben	Bühnenleben	NN
s2	w8	.	.	.	$.
s3	w9	Erinnerungen	Erinnerungen	Erinnerung	NN
s3	wa	von	von	von	APPR
s3	wb	Karoline	Karoline	Karoline	NE
s3	wc	Bauer	Bauer	Bauer	NE
s3	wd	.	.	.	$.
s4	we	Herausgegeben	Herausgegeben	herausgeben	VVPP
s4	wf	von	von	von	APPR
s4	w10	Arnold	Arnold	Arnold	NE
s4	w11	Wellmer	Wellmer	Wellmer	NE
s4	w12	.	.	.	$.
s5	w13	Mit	Mit	mit	APPR
s5	w14	dem	dem	d	ART
s5	w15	Bildnis	Bildniß	Bildnis	NN
s5	w16	der	der	d	ART
s5	w17	Verfasserin	Verfaſſerin	Verfasserin	NN
s5	w18	in	in	in	APPR
s5	w19	Photographie	Photographie	Photographie	NN
s5	w1a	.	.	.	$.
s6	w1b	Berlin	Berlin	Berlin	NE
s6	w1c	,	,	,	$,
s6	w1d	1871	1871	1871	CARD
s6	w1e	.	.	.	$.
s7	w1f	Verlag	Verlag	Verlag	NN
s7	w20	der	der	d	ART
s7	w21	Königlichen	Königlichen	königlich	ADJA
s7	w22	Geheimen	Geheimen	geheim	ADJA
s7	w23	Ober-Hofbuchdruckerei	Ober-Hofbuchdruckerei	Ober-Hofbuchdruckerei	NN
s7	w24	(	(	(	$(
s7	w25	R.	R.	R.	NE
s7	w26	v.	v.	v.	APPRART
s7	w27	Decker	Decker	Decker	NE
s7	w28	)	)	)	$(
s7	w29	.	.	.	$.
s8	w2a	Das	Das	d	ART
s8	w2b	Übersetzungsrecht	Ueberſetzungsrecht	Übersetzungsrecht	NN
s8	w2c	ist	iſt	sein	VAFIN
s8	w2d	vorbehalten	vorbehalten	vorbehalten	VVPP
s8	w2e	.	.	.	$.
s15d8	w1c911	Inhalts-Verzeichnis	Inhalts-Verzeichniß	Inhalts-Verzeichnis	NN
s15d8	w1c912	.	.	.	$.
s15d9	w1c913	Seite	Seite	Seite	NN
s15d9	w1c914	.	.	.	$.
s15da	w1c915	Karoline	Karoline	Karoline	NE
