Sent_ID	Token_ID	Corr_token	Orig_token	Lemma	POS
s1	w1	Ruhe	Ruhe	Ruhe	NN
s1	w2	ist	iſt	sein	VAFIN
s1	w3	die	die	d	ART
s1	w4	erste	erſte	erst	ADJA
s1	w5	Bürgerpflicht	Bürgerpflicht	Bürgerpflicht	NN
s1	w6	.	.	.	$.
s2	w7	Ruhe	Ruhe	Ruhe	NN
s2	w8	ist	iſt	sein	VAFIN
s2	w9	die	die	d	ART
s2	wa	erste	erſte	erst	ADJA
s2	wb	Bürgerpflicht	Bürgerpflicht	Bürgerpflicht	NN
s2	wc	oder	oder	oder	KON
s2	wd	Vor	Vor	vor	APPR
s2	we	fünfzig	fünfzig	fünfzig	CARD
s2	wf	Jahren	Jahren	Jahr	NN
s2	w10	.	.	.	$.
s3	w11	Vaterländischer	Vaterländiſcher	vaterländisch	ADJA
s3	w12	Roman	Roman	Roman	NN
s3	w13	von	von	von	APPR
s3	w14	W.	W.	W.	NE
s3	w15	Alexis	Alexis	Alexis	NE
s3	w16	(	(	(	$(
s3	w17	W.	W.	W.	NE
s3	w18	Hering	Häring	Hering	NE
s3	w19	)	)	)	$(
s3	w1a	.	.	.	$.
s4	w1b	Vierter	Vierter	Vierter	NN
s4	w1c	Band	Band	Band	NN
s4	w1d	.	.	.	$.
s5	w1e	Berlin	Berlin	Berlin	NE
s5	w1f	.	.	.	$.
s6	w20	Verlag	Verlag	Verlag	NN
s6	w21	von	von	von	APPR
s6	w22	Carl	Carl	Carl	NE
s6	w23	Barthol	Barthol	Barthol	NE
s6	w24	.	.	.	$.
s6	w25	1852	1852	1852	CARD
s6	w26	.	.	.	$.
s14aa	w15a2e	Erstes	Erſtes	erst	ADJA
s14aa	w15a2f	Kapitel	Kapitel	Kapitel	NN
s14aa	w15a30	.	.	.	$.
s14ab	w15a31	Ein	Ein	eine	ART
s14ab	w15a32	Mann	Mann	Mann	NN
s14ab	w15a33	von	von	von	APPR
s14ab	w15a34	zu	zu	zu	PTKA
s14ab	w15a35	vielem	vielem	viel	PIS
s14ab	w15a36	Sentiment	Sentiment	Sentiment	NN
s14ab	w15a37	.	.	.	$.
s7	w27	""""	„	""""	$(
s7	w28	Was	Was	was	PWS
s7	w29	gibt	giebt	geben	VVFIN
s7	w2a	es	es	es	PPER
s7	w2b	Neues	Neues	Neu	NN
s7	w2c	?	?	?	$.
s7	w2d	""""	“	""""	$(
s7	w2e	rief	rief	rufen	VVFIN
s7	w2f	der	der	d	ART
s7	w30	Geheimrat	Geheimrath	Geheimrat	NN
s7	w31	Bovillard	Bovillard	Bovillard	NE
s7	w32	dem	dem	d	ART
s7	w33	Legationsrat	Legationsrath	Legationsrat	NN
s7	w34	entgegen	entgegen	entgegen	PTKVZ
s7	w35	,	,	,	$,
s7	w36	und	und	und	KON
s7	w37	lud	lud	laden	VVFIN
s7	w38	,	,	,	$,
s7	w39	ohne	ohne	ohne	KOUI
s7	w3a	sich	ſich	sich	PRF
s7	w3b	im	im	im	APPRART
s7	w3c	Frühstück	Frühſtück	Frühstück	NN
s7	w3d	stören	ſtören	stören	VVINF
s7	w3e	zu	zu	zu	PTKZU
s7	w3f	lassen	laſſen	lassen	VVINF
s7	w40	,	,	,	$,
s7	w41	durch	durch	durch	APPR
s7	w42	eine	eine	eine	ART
s7	w43	Bewegung	Bewegung	Bewegung	NN
s7	w44	den	den	d	ART
s7	w45	Eingetretenen	Eingetretenen	Eingetretene	NN
s7	w46	zum	zum	zum	APPRART
s7	w47	Platznehmen	Platznehmen	Platznehmen	NN
s7	w48	ein	ein	ein	PTKVZ
s7	w49	.	.	.	$.
s8	w4a	Die	Die	d	ART
s8	w4b	Zerlegung	Zerlegung	Zerlegung	NN
s8	w4c	eines	eines	eine	ART
s8	w4d	Kapaunflügels	Kapaunenflügels	Kapaunflügel	NN
s8	w4e	schien	ſchien	scheinen	VVFIN
s8	w4f	ihm	ihm	er	PPER
s8	w50	einige	einige	einige	PIAT
s8	w51	Anstrengung	Anſtrengung	Anstrengung	NN
s8	w52	zu	zu	zu	PTKZU
s8	w53	verursachen	verurſachen	verursachen	VVINF
s8	w54	.	.	.	$.
s9	w55	Übrigens	Uebrigens	übrigens	ADV
s9	w56	sah	ſah	sehen	VVFIN
s9	w57	Herr	Herr	Herr	NN
s9	w58	von	von	von	APPR
s9	w59	Bovillard	Bovillard	Bovillard	NE
s9	w5a	gemütlicher	gemüthlicher	gemütlich	ADJD
s9	w5b	aus	aus	aus	PTKVZ
s9	w5c	als	als	als	KOKOM
s9	w5d	in	in	in	APPR
s9	w5e	letzter	letzter	letzte	ADJA
s9	w5f	Zeit	Zeit	Zeit	NN
s9	w60	;	;	;	$.
s9	w61	die	die	d	ART
s9	w62	Runzeln	Runzeln	Runzel	NN
s9	w63	waren	waren	sein	VAFIN
s9	w64	gewichen	gewichen	weichen	VVPP
s9	w65	,	,	,	$,
s9	w66	das	das	d	ART
s9	w67	Gesicht	Geſicht	Gesicht	NN
s9	w68	glänzte	glänzte	glänzen	VVFIN
